ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
611;Value added tax (VAT);2013 2nd quarter;10991.0
612;Value added tax (VAT);2013 3rd quarter;10574.0
613;Value added tax (VAT);2013 4th quarter;10767.0
614;Value added tax (VAT);2013;42408.0
615;Value added tax (VAT);2014 1st quarter;10583.0
616;Value added tax (VAT);2014 2nd quarter;11607.0
617;Value added tax (VAT);2014 3rd quarter;10227.0
618;Value added tax (VAT);2014 4th quarter;10534.0
619;Value added tax (VAT);2014;42951.0
620;Value added tax (VAT);2015 1st quarter;10999.0
621;Value added tax (VAT);2015 2nd quarter;11417.0
622;Value added tax (VAT);2015 3rd quarter;10831.0
623;Value added tax (VAT);2015 4th quarter;11478.0
624;Value added tax (VAT);2015;44725.0
625;Value added tax (VAT);2016 1st quarter;11815.0
626;Value added tax (VAT);2016 2nd quarter;12139.0
627;Value added tax (VAT);2016 3rd quarter;11541.0
628;Value added tax (VAT);2016 4th quarter;12303.0
629;Value added tax (VAT);2016;47798.0
630;Value added tax (VAT);2017 1st quarter;12346.0
631;Value added tax (VAT);2017 2nd quarter;12686.0
632;Value added tax (VAT);2017 3rd quarter;11986.0
633;Value added tax (VAT);2017 4th quarter;12773.0
634;Value added tax (VAT);2017;49791.0
635;Value added tax (VAT);2018 1st quarter;13019.0
636;Value added tax (VAT);2018 2nd quarter;13374.0
637;Value added tax (VAT);2018 3rd quarter;12737.0
638;Value added tax (VAT);2018 4th quarter;13518.0
639;Value added tax (VAT);2018;52648.0
640;Value added tax (VAT);2019 1st quarter;14332.0
641;Value added tax (VAT);2019 2nd quarter;14915.0
642;Value added tax (VAT);2019 3rd quarter;14111.0
643;Value added tax (VAT);2019 4th quarter;14757.0
644;Value added tax (VAT);2019;58115.0
645;Value added tax (VAT);2020 1st quarter;14951.0
646;Value added tax (VAT);2020 2nd quarter;14414.0
647;Value added tax (VAT);2020 3rd quarter;14792.0
648;Value added tax (VAT);2020 4th quarter;14814.0
649;Value added tax (VAT);2020;58971.0
650;Value added tax (VAT);2021 1st quarter;15206.0
651;Value added tax (VAT);2021 2nd quarter;16756.0
652;Value added tax (VAT);2021 3rd quarter;16338.0
653;Value added tax (VAT);2021 4th quarter;17100.0
654;Value added tax (VAT);2021;65400.0
655;Value added tax (VAT);2022 1st quarter;16940.0
656;Value added tax (VAT);2022 2nd quarter;18406.0
657;Value added tax (VAT);2022 3rd quarter;17180.0
658;Value added tax (VAT);2022 4th quarter;17932.0
659;Value added tax (VAT);2022;70458.0
660;Value added tax (VAT);2023 1st quarter;18903.0
661;Value added tax (VAT);2023 2nd quarter;19660.0
662;Value added tax (VAT);2023 3rd quarter;18469.0
663;Value added tax (VAT);2023 4th quarter;18888.0
664;Value added tax (VAT);2023;75920.0
665;Value added tax (VAT);2024 1st quarter;19342.0
666;Value added tax (VAT);2024 2nd quarter;20345.0
667;Value added tax (VAT);2024 3rd quarter;18924.0
668;Value added tax (VAT);2024 4th quarter;19920.0
669;Value added tax (VAT);2024;78531.0
670;Wage tax;1995;20140.0
671;Wage tax;1996;20007.0
672;Wage tax;1997;18691.0
673;Wage tax;1998;19845.0
674;Wage tax;1999 1st quarter;
675;Wage tax;1999 2nd quarter;
676;Wage tax;1999 3rd quarter;
677;Wage tax;1999 4th quarter;
678;Wage tax;1999;23020.0
679;Wage tax;2000 1st quarter;
680;Wage tax;2000 2nd quarter;
681;Wage tax;2000 3rd quarter;
682;Wage tax;2000 4th quarter;
683;Wage tax;2000;24433.0
684;Wage tax;2001 1st quarter;
685;Wage tax;2001 2nd quarter;
686;Wage tax;2001 3rd quarter;
687;Wage tax;2001 4th quarter;
688;Wage tax;2001;25789.0
689;Wage tax;2002 1st quarter;
690;Wage tax;2002 2nd quarter;
691;Wage tax;2002 3rd quarter;
692;Wage tax;2002 4th quarter;
693;Wage tax;2002;28728.0
694;Wage tax;2003 1st quarter;
695;Wage tax;2003 2nd quarter;
696;Wage tax;2003 3rd quarter;
697;Wage tax;2003 4th quarter;
698;Wage tax;2003;28016.0
699;Wage tax;2004 1st quarter;
700;Wage tax;2004 2nd quarter;
701;Wage tax;2004 3rd quarter;
702;Wage tax;2004 4th quarter;
703;Wage tax;2004;26803.0
704;Wage tax;2005 1st quarter;
705;Wage tax;2005 2nd quarter;
706;Wage tax;2005 3rd quarter;
707;Wage tax;2005 4th quarter;
708;Wage tax;2005;28451.0
709;Wage tax;2006 1st quarter;
710;Wage tax;2006 2nd quarter;
711;Wage tax;2006 3rd quarter;
712;Wage tax;2006 4th quarter;
713;Wage tax;2006;31958.0
714;Wage tax;2007 1st quarter;
715;Wage tax;2007 2nd quarter;
716;Wage tax;2007 3rd quarter;
717;Wage tax;2007 4th quarter;
718;Wage tax;2007;36775.0
719;Wage tax;2008 1st quarter;9285.0
720;Wage tax;2008 2nd quarter;11943.0
721;Wage tax;2008 3rd quarter;9050.0
722;Wage tax;2008 4th quarter;10310.0
723;Wage tax;2008;40588.0
724;Wage tax;2009 1st quarter;10678.0
725;Wage tax;2009 2nd quarter;12862.0
726;Wage tax;2009 3rd quarter;9946.0
727;Wage tax;2009 4th quarter;11599.0
728;Wage tax;2009;45085.0
729;Wage tax;2010 1st quarter;10128.0
730;Wage tax;2010 2nd quarter;13004.0
731;Wage tax;2010 3rd quarter;9909.0
732;Wage tax;2010 4th quarter;11661.0
733;Wage tax;2010;44702.0
734;Wage tax;2011 1st quarter;10447.0
735;Wage tax;2011 2nd quarter;13517.0
736;Wage tax;2011 3rd quarter;10157.0
737;Wage tax;2011 4th quarter;12138.0
738;Wage tax;2011;46259.0
739;Wage tax;2012 1st quarter;10641.0
740;Wage tax;2012 2nd quarter;13732.0
741;Wage tax;2012 3rd quarter;10354.0
742;Wage tax;2012 4th quarter;12240.0
743;Wage tax;2012;46967.0
744;Wage tax;2013 1st quarter;10548.0
745;Wage tax;2013 2nd quarter;13948.0
746;Wage tax;2013 3rd quarter;10450.0
747;Wage tax;2013 4th quarter;12318.0
748;Wage tax;2013;47264.0
749;Wage tax;2014 1st quarter;10515.0
750;Wage tax;2014 2nd quarter;13836.0
751;Wage tax;2014 3rd quarter;10569.0
752;Wage tax;2014 4th quarter;12504.0
753;Wage tax;2014;47424.0
754;Wage tax;2015 1st quarter;12225.0
755;Wage tax;2015 2nd quarter;15744.0
756;Wage tax;2015 3rd quarter;11672.0
757;Wage tax;2015 4th quarter;13809.0
758;Wage tax;2015;53450.0
759;Wage tax;2016 1st quarter;12341.0
760;Wage tax;2016 2nd quarter;15983.0
761;Wage tax;2016 3rd quarter;11912.0
762;Wage tax;2016 4th quarter;14369.0
763;Wage tax;2016;54605.0
764;Wage tax;2017 1st quarter;13243.0
765;Wage tax;2017 2nd quarter;17618.0
766;Wage tax;2017 3rd quarter;13188.0
767;Wage tax;2017 4th quarter;16239.0
768;Wage tax;2017;60288.0
769;Wage tax;2018 1st quarter;13830.0
770;Wage tax;2018 2nd quarter;17710.0
771;Wage tax;2018 3rd quarter;13350.0
772;Wage tax;2018 4th quarter;16054.0
773;Wage tax;2018;60944.0
774;Wage tax;2019 1st quarter;13928.0
775;Wage tax;2019 2nd quarter;17694.0
776;Wage tax;2019 3rd quarter;13266.0
777;Wage tax;2019 4th quarter;15932.0
778;Wage tax;2019;60820.0
779;Wage tax;2020 1st quarter;14292.0
780;Wage tax;2020 2nd quarter;17777.0
781;Wage tax;2020 3rd quarter;13526.0
782;Wage tax;2020 4th quarter;16401.0
783;Wage tax;2020;61996.0
784;Wage tax;2021 1st quarter;14615.0
785;Wage tax;2021 2nd quarter;18674.0
786;Wage tax;2021 3rd quarter;14110.0
787;Wage tax;2021 4th quarter;17466.0
788;Wage tax;2021;64865.0
789;Wage tax;2022 1st quarter;15734.0
790;Wage tax;2022 2nd quarter;19807.0
791;Wage tax;2022 3rd quarter;15119.0
792;Wage tax;2022 4th quarter;18624.0
793;Wage tax;2022;69284.0
794;Wage tax;2023 1st quarter;16654.0
795;Wage tax;2023 2nd quarter;21884.0
796;Wage tax;2023 3rd quarter;16295.0
797;Wage tax;2023 4th quarter;20434.0
798;Wage tax;2023;75267.0
799;Wage tax;2024 1st quarter;18254.0
800;Wage tax;2024 2nd quarter;23755.0
801;Wage tax;2024 3rd quarter;17868.0
802;Wage tax;2024 4th quarter;22422.0
803;Wage tax;2024;82299.0
804;Total excise duties;1995;6477.0
805;Total excise duties;1996;6363.0
806;Total excise duties;1997;6923.0
807;Total excise duties;1998;7296.0
808;Total excise duties;1999 1st quarter;
809;Total excise duties;1999 2nd quarter;
810;Total excise duties;1999 3rd quarter;
811;Total excise duties;1999 4th quarter;
812;Total excise duties;1999;7578.0
813;Total excise duties;2000 1st quarter;
814;Total excise duties;2000 2nd quarter;
815;Total excise duties;2000 3rd quarter;
816;Total excise duties;2000 4th quarter;
817;Total excise duties;2000;7713.0
818;Total excise duties;2001 1st quarter;
819;Total excise duties;2001 2nd quarter;
820;Total excise duties;2001 3rd quarter;
821;Total excise duties;2001 4th quarter;
822;Total excise duties;2001;7913.0
823;Total excise duties;2002 1st quarter;
824;Total excise duties;2002 2nd quarter;
825;Total excise duties;2002 3rd quarter;
826;Total excise duties;2002 4th quarter;
827;Total excise duties;2002;8446.0
828;Total excise duties;2003 1st quarter;
829;Total excise duties;2003 2nd quarter;
830;Total excise duties;2003 3rd quarter;
831;Total excise duties;2003 4th quarter;
832;Total excise duties;2003;8586.0
833;Total excise duties;2004 1st quarter;
834;Total excise duties;2004 2nd quarter;
835;Total excise duties;2004 3rd quarter;
836;Total excise duties;2004 4th quarter;
837;Total excise duties;2004;9358.0
838;Total excise duties;2005 1st quarter;
839;Total excise duties;2005 2nd quarter;
840;Total excise duties;2005 3rd quarter;
841;Total excise duties;2005 4th quarter;
842;Total excise duties;2005;9327.0
843;Total excise duties;2006 1st quarter;
844;Total excise duties;2006 2nd quarter;
845;Total excise duties;2006 3rd quarter;
846;Total excise duties;2006 4th quarter;
847;Total excise duties;2006;9860.0
848;Total excise duties;2007 1st quarter;
849;Total excise duties;2007 2nd quarter;
850;Total excise duties;2007 3rd quarter;
851;Total excise duties;2007 4th quarter;
852;Total excise duties;2007;10013.0
853;Total excise duties;2008 1st quarter;2641.0
854;Total excise duties;2008 2nd quarter;2594.0
855;Total excise duties;2008 3rd quarter;2630.0
856;Total excise duties;2008 4th quarter;2651.0
857;Total excise duties;2008;10516.0
858;Total excise duties;2009 1st quarter;2684.0
859;Total excise duties;2009 2nd quarter;2711.0
860;Total excise duties;2009 3rd quarter;2531.0
861;Total excise duties;2009 4th quarter;2770.0
862;Total excise duties;2009;10696.0
863;Total excise duties;2010 1st quarter;2636.0
864;Total excise duties;2010 2nd quarter;2897.0
865;Total excise duties;2010 3rd quarter;2737.0
866;Total excise duties;2010 4th quarter;2850.0
867;Total excise duties;2010;11120.0
868;Total excise duties;2011 1st quarter;2724.0
869;Total excise duties;2011 2nd quarter;2902.0
870;Total excise duties;2011 3rd quarter;2796.0
871;Total excise duties;2011 4th quarter;2846.0
872;Total excise duties;2011;11268.0
873;Total excise duties;2012 1st quarter;2788.0
874;Total excise duties;2012 2nd quarter;2874.0
875;Total excise duties;2012 3rd quarter;2718.0
876;Total excise duties;2012 4th quarter;2909.0
877;Total excise duties;2012;11289.0
878;Total excise duties;2013 1st quarter;2613.0
879;Total excise duties;2013 2nd quarter;2825.0
880;Total excise duties;2013 3rd quarter;2699.0
881;Total excise duties;2013 4th quarter;2748.0
882;Total excise duties;2013;10885.0
883;Total excise duties;2014 1st quarter;2868.0
884;Total excise duties;2014 2nd quarter;2978.0
885;Total excise duties;2014 3rd quarter;2769.0
886;Total excise duties;2014 4th quarter;2983.0
887;Total excise duties;2014;11598.0
888;Total excise duties;2015 1st quarter;2659.0
889;Total excise duties;2015 2nd quarter;2904.0
890;Total excise duties;2015 3rd quarter;2770.0
891;Total excise duties;2015 4th quarter;2874.0
892;Total excise duties;2015;11207.0
893;Total excise duties;2016 1st quarter;2804.0
894;Total excise duties;2016 2nd quarter;2959.0
895;Total excise duties;2016 3rd quarter;2880.0
896;Total excise duties;2016 4th quarter;3064.0
897;Total excise duties;2016;11707.0
898;Total excise duties;2017 1st quarter;2773.0
899;Total excise duties;2017 2nd quarter;3052.0
900;Total excise duties;2017 3rd quarter;2828.0
901;Total excise duties;2017 4th quarter;3036.0
902;Total excise duties;2017;11689.0
903;Total excise duties;2018 1st quarter;2898.0
904;Total excise duties;2018 2nd quarter;3182.0
905;Total excise duties;2018 3rd quarter;2996.0
906;Total excise duties;2018 4th quarter;3130.0
907;Total excise duties;2018;12206.0
908;Total excise duties;2019 1st quarter;2859.0
909;Total excise duties;2019 2nd quarter;3133.0
910;Total excise duties;2019 3rd quarter;2895.0
911;Total excise duties;2019 4th quarter;3204.0
912;Total excise duties;2019;12091.0
913;Total excise duties;2020 1st quarter;2792.0
914;Total excise duties;2020 2nd quarter;2727.0
915;Total excise duties;2020 3rd quarter;2845.0
916;Total excise duties;2020 4th quarter;3019.0
917;Total excise duties;2020;11383.0
918;Total excise duties;2021 1st quarter;2590.0
919;Total excise duties;2021 2nd quarter;3112.0
920;Total excise duties;2021 3rd quarter;2961.0
921;Total excise duties;2021 4th quarter;3007.0
922;Total excise duties;2021;11670.0
923;Total excise duties;2022 1st quarter;2841.0
924;Total excise duties;2022 2nd quarter;2728.0
925;Total excise duties;2022 3rd quarter;2577.0
926;Total excise duties;2022 4th quarter;2724.0
927;Total excise duties;2022;10870.0
928;Total excise duties;2023 1st quarter;2631.0
929;Total excise duties;2023 2nd quarter;3173.0
930;Total excise duties;2023 3rd quarter;2908.0
931;Total excise duties;2023 4th quarter;2837.0
932;Total excise duties;2023;11549.0
933;Total excise duties;2024 1st quarter;2841.0
934;Total excise duties;2024 2nd quarter;3154.0
935;Total excise duties;2024 3rd quarter;2966.0
936;Total excise duties;2024 4th quarter;3045.0
937;Total excise duties;2024;12006.0
938;Excise duties on beer;1995;278.0
939;Excise duties on beer;1996;249.0
940;Excise duties on beer;1997;275.0
941;Excise duties on beer;1998;299.0
942;Excise duties on beer;1999 1st quarter;
943;Excise duties on beer;1999 2nd quarter;
944;Excise duties on beer;1999 3rd quarter;
945;Excise duties on beer;1999 4th quarter;
946;Excise duties on beer;1999;297.0
947;Excise duties on beer;2000 1st quarter;
948;Excise duties on beer;2000 2nd quarter;
949;Excise duties on beer;2000 3rd quarter;
950;Excise duties on beer;2000 4th quarter;
951;Excise duties on beer;2000;263.0
952;Excise duties on beer;2001 1st quarter;
953;Excise duties on beer;2001 2nd quarter;
954;Excise duties on beer;2001 3rd quarter;
955;Excise duties on beer;2001 4th quarter;
956;Excise duties on beer;2001;287.0
957;Excise duties on beer;2002 1st quarter;
958;Excise duties on beer;2002 2nd quarter;
959;Excise duties on beer;2002 3rd quarter;
960;Excise duties on beer;2002 4th quarter;
961;Excise duties on beer;2002;306.0
962;Excise duties on beer;2003 1st quarter;
963;Excise duties on beer;2003 2nd quarter;
964;Excise duties on beer;2003 3rd quarter;
965;Excise duties on beer;2003 4th quarter;
966;Excise duties on beer;2003;300.0
967;Excise duties on beer;2004 1st quarter;
968;Excise duties on beer;2004 2nd quarter;
969;Excise duties on beer;2004 3rd quarter;
970;Excise duties on beer;2004 4th quarter;
971;Excise duties on beer;2004;346.0
972;Excise duties on beer;2005 1st quarter;
973;Excise duties on beer;2005 2nd quarter;
974;Excise duties on beer;2005 3rd quarter;
975;Excise duties on beer;2005 4th quarter;
976;Excise duties on beer;2005;297.0
977;Excise duties on beer;2006 1st quarter;
978;Excise duties on beer;2006 2nd quarter;
979;Excise duties on beer;2006 3rd quarter;
980;Excise duties on beer;2006 4th quarter;
981;Excise duties on beer;2006;335.0
982;Excise duties on beer;2007 1st quarter;
983;Excise duties on beer;2007 2nd quarter;
984;Excise duties on beer;2007 3rd quarter;
985;Excise duties on beer;2007 4th quarter;
986;Excise duties on beer;2007;310.0
987;Excise duties on beer;2008 1st quarter;77.0
988;Excise duties on beer;2008 2nd quarter;87.0
989;Excise duties on beer;2008 3rd quarter;79.0
990;Excise duties on beer;2008 4th quarter;75.0
991;Excise duties on beer;2008;318.0
992;Excise duties on beer;2009 1st quarter;84.0
993;Excise duties on beer;2009 2nd quarter;86.0
994;Excise duties on beer;2009 3rd quarter;105.0
995;Excise duties on beer;2009 4th quarter;115.0
996;Excise duties on beer;2009;390.0
997;Excise duties on beer;2010 1st quarter;86.0
998;Excise duties on beer;2010 2nd quarter;108.0
999;Excise duties on beer;2010 3rd quarter;103.0
1000;Excise duties on beer;2010 4th quarter;92.0
