ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
1055;1700a Textiles,clothing,leather products;Destination total;2004 June;4;90
1056;1700a Textiles,clothing,leather products;Destination total;2004 2nd quarter;-3;90
1057;1700a Textiles,clothing,leather products;Destination total;2004 July;8;90
1058;1700a Textiles,clothing,leather products;Destination total;2004 August;-7;89
1059;1700a Textiles,clothing,leather products;Destination total;2004 September;1;92
1060;1700a Textiles,clothing,leather products;Destination total;2004 3rd quarter;1;90
1061;1700a Textiles,clothing,leather products;Destination total;2004 October;-6;94
1062;1700a Textiles,clothing,leather products;Destination total;2004 November;4;92
1063;1700a Textiles,clothing,leather products;Destination total;2004 December;2;85
1064;1700a Textiles,clothing,leather products;Destination total;2004 4th quarter;1;89
1065;1700a Textiles,clothing,leather products;Destination total;2004;0;86
1066;1700a Textiles,clothing,leather products;Destination total;2005 January;-3;94
1067;1700a Textiles,clothing,leather products;Destination total;2005 February;-1;91
1068;1700a Textiles,clothing,leather products;Destination total;2005 March;2;92
1069;1700a Textiles,clothing,leather products;Destination total;2005 1st quarter;0;92
1070;1700a Textiles,clothing,leather products;Destination total;2005 April;7;91
1071;1700a Textiles,clothing,leather products;Destination total;2005 May;4;93
1072;1700a Textiles,clothing,leather products;Destination total;2005 June;5;95
1073;1700a Textiles,clothing,leather products;Destination total;2005 2nd quarter;5;93
1074;1700a Textiles,clothing,leather products;Destination total;2005 July;-5;93
1075;1700a Textiles,clothing,leather products;Destination total;2005 August;9;92
1076;1700a Textiles,clothing,leather products;Destination total;2005 September;-2;94
1077;1700a Textiles,clothing,leather products;Destination total;2005 3rd quarter;0;93
1078;1700a Textiles,clothing,leather products;Destination total;2005 October;-4;94
1079;1700a Textiles,clothing,leather products;Destination total;2005 November;2;96
1080;1700a Textiles,clothing,leather products;Destination total;2005 December;2;96
1081;1700a Textiles,clothing,leather products;Destination total;2005 4th quarter;0;95
1082;1700a Textiles,clothing,leather products;Destination total;2005;1;91
1083;1700a Textiles,clothing,leather products;Destination total;2006 January;9;96
1084;1700a Textiles,clothing,leather products;Destination total;2006 February;3;96
1085;1700a Textiles,clothing,leather products;Netherlands;1997 January;5;95
1086;1700a Textiles,clothing,leather products;Netherlands;1997 February;7;94
1087;1700a Textiles,clothing,leather products;Netherlands;1997 March;1;94
1088;1700a Textiles,clothing,leather products;Netherlands;1997 1st quarter;5;94
1089;1700a Textiles,clothing,leather products;Netherlands;1997 April;14;94
1090;1700a Textiles,clothing,leather products;Netherlands;1997 May;-4;94
1091;1700a Textiles,clothing,leather products;Netherlands;1997 June;9;94
1092;1700a Textiles,clothing,leather products;Netherlands;1997 2nd quarter;6;94
1093;1700a Textiles,clothing,leather products;Netherlands;1997 July;6;93
1094;1700a Textiles,clothing,leather products;Netherlands;1997 August;1;93
1095;1700a Textiles,clothing,leather products;Netherlands;1997 September;12;93
1096;1700a Textiles,clothing,leather products;Netherlands;1997 3rd quarter;7;93
1097;1700a Textiles,clothing,leather products;Netherlands;1997 October;12;94
1098;1700a Textiles,clothing,leather products;Netherlands;1997 November;6;93
1099;1700a Textiles,clothing,leather products;Netherlands;1997 December;15;92
1100;1700a Textiles,clothing,leather products;Netherlands;1997 4th quarter;11;92
1101;1700a Textiles,clothing,leather products;Netherlands;1997;7;92
1102;1700a Textiles,clothing,leather products;Netherlands;1998 January;-1;93
1103;1700a Textiles,clothing,leather products;Netherlands;1998 February;-1;93
1104;1700a Textiles,clothing,leather products;Netherlands;1998 March;12;93
1105;1700a Textiles,clothing,leather products;Netherlands;1998 1st quarter;4;93
1106;1700a Textiles,clothing,leather products;Netherlands;1998 April;4;92
1107;1700a Textiles,clothing,leather products;Netherlands;1998 May;7;92
1108;1700a Textiles,clothing,leather products;Netherlands;1998 June;1;94
1109;1700a Textiles,clothing,leather products;Netherlands;1998 2nd quarter;4;93
1110;1700a Textiles,clothing,leather products;Netherlands;1998 July;6;92
1111;1700a Textiles,clothing,leather products;Netherlands;1998 August;-11;93
1112;1700a Textiles,clothing,leather products;Netherlands;1998 September;-2;92
1113;1700a Textiles,clothing,leather products;Netherlands;1998 3rd quarter;-2;92
1114;1700a Textiles,clothing,leather products;Netherlands;1998 October;-3;91
1115;1700a Textiles,clothing,leather products;Netherlands;1998 November;2;92
1116;1700a Textiles,clothing,leather products;Netherlands;1998 December;0;92
1117;1700a Textiles,clothing,leather products;Netherlands;1998 4th quarter;0;92
1118;1700a Textiles,clothing,leather products;Netherlands;1998;2;90
1119;1700a Textiles,clothing,leather products;Netherlands;1999 January;3;93
1120;1700a Textiles,clothing,leather products;Netherlands;1999 February;-3;96
1121;1700a Textiles,clothing,leather products;Netherlands;1999 March;3;95
1122;1700a Textiles,clothing,leather products;Netherlands;1999 1st quarter;1;95
1123;1700a Textiles,clothing,leather products;Netherlands;1999 April;-5;95
1124;1700a Textiles,clothing,leather products;Netherlands;1999 May;-7;94
1125;1700a Textiles,clothing,leather products;Netherlands;1999 June;1;94
1126;1700a Textiles,clothing,leather products;Netherlands;1999 2nd quarter;-4;94
1127;1700a Textiles,clothing,leather products;Netherlands;1999 July;-5;95
1128;1700a Textiles,clothing,leather products;Netherlands;1999 August;-3;96
1129;1700a Textiles,clothing,leather products;Netherlands;1999 September;-5;96
1130;1700a Textiles,clothing,leather products;Netherlands;1999 3rd quarter;-5;96
1131;1700a Textiles,clothing,leather products;Netherlands;1999 October;-11;97
1132;1700a Textiles,clothing,leather products;Netherlands;1999 November;4;96
1133;1700a Textiles,clothing,leather products;Netherlands;1999 December;5;96
1134;1700a Textiles,clothing,leather products;Netherlands;1999 4th quarter;-1;96
1135;1700a Textiles,clothing,leather products;Netherlands;1999;-2;94
1136;1700a Textiles,clothing,leather products;Netherlands;2000 January;0;97
1137;1700a Textiles,clothing,leather products;Netherlands;2000 February;7;97
1138;1700a Textiles,clothing,leather products;Netherlands;2000 March;-2;97
1139;1700a Textiles,clothing,leather products;Netherlands;2000 1st quarter;2;97
1140;1700a Textiles,clothing,leather products;Netherlands;2000 April;0;98
1141;1700a Textiles,clothing,leather products;Netherlands;2000 May;21;98
1142;1700a Textiles,clothing,leather products;Netherlands;2000 June;-1;98
1143;1700a Textiles,clothing,leather products;Netherlands;2000 2nd quarter;6;97
1144;1700a Textiles,clothing,leather products;Netherlands;2000 July;0;98
1145;1700a Textiles,clothing,leather products;Netherlands;2000 August;16;97
1146;1700a Textiles,clothing,leather products;Netherlands;2000 September;6;97
1147;1700a Textiles,clothing,leather products;Netherlands;2000 3rd quarter;6;97
1148;1700a Textiles,clothing,leather products;Netherlands;2000 October;8;97
1149;1700a Textiles,clothing,leather products;Netherlands;2000 November;4;98
1150;1700a Textiles,clothing,leather products;Netherlands;2000 December;-10;98
1151;1700a Textiles,clothing,leather products;Netherlands;2000 4th quarter;1;97
1152;1700a Textiles,clothing,leather products;Netherlands;2000;4;96
1153;1700a Textiles,clothing,leather products;Netherlands;2001 January;10;95
1154;1700a Textiles,clothing,leather products;Netherlands;2001 February;1;95
1155;1700a Textiles,clothing,leather products;Netherlands;2001 March;0;96
1156;1700a Textiles,clothing,leather products;Netherlands;2001 1st quarter;3;96
1157;1700a Textiles,clothing,leather products;Netherlands;2001 April;3;96
1158;1700a Textiles,clothing,leather products;Netherlands;2001 May;-3;97
1159;1700a Textiles,clothing,leather products;Netherlands;2001 June;0;95
1160;1700a Textiles,clothing,leather products;Netherlands;2001 2nd quarter;0;96
1161;1700a Textiles,clothing,leather products;Netherlands;2001 July;-1;96
1162;1700a Textiles,clothing,leather products;Netherlands;2001 August;-2;93
1163;1700a Textiles,clothing,leather products;Netherlands;2001 September;-13;94
1164;1700a Textiles,clothing,leather products;Netherlands;2001 3rd quarter;-6;94
1165;1700a Textiles,clothing,leather products;Netherlands;2001 October;-2;94
1166;1700a Textiles,clothing,leather products;Netherlands;2001 November;-7;96
1167;1700a Textiles,clothing,leather products;Netherlands;2001 December;-6;95
1168;1700a Textiles,clothing,leather products;Netherlands;2001 4th quarter;-5;95
1169;1700a Textiles,clothing,leather products;Netherlands;2001;-2;94
1170;1700a Textiles,clothing,leather products;Netherlands;2002 January;-7;94
1171;1700a Textiles,clothing,leather products;Netherlands;2002 February;-6;94
1172;1700a Textiles,clothing,leather products;Netherlands;2002 March;-8;91
1173;1700a Textiles,clothing,leather products;Netherlands;2002 1st quarter;-6;91
1174;1700a Textiles,clothing,leather products;Netherlands;2002 April;-4;89
1175;1700a Textiles,clothing,leather products;Netherlands;2002 May;-11;90
1176;1700a Textiles,clothing,leather products;Netherlands;2002 June;-5;89
1177;1700a Textiles,clothing,leather products;Netherlands;2002 2nd quarter;-6;88
1178;1700a Textiles,clothing,leather products;Netherlands;2002 July;-1;87
1179;1700a Textiles,clothing,leather products;Netherlands;2002 August;2;89
1180;1700a Textiles,clothing,leather products;Netherlands;2002 September;6;88
1181;1700a Textiles,clothing,leather products;Netherlands;2002 3rd quarter;2;89
1182;1700a Textiles,clothing,leather products;Netherlands;2002 October;0;89
1183;1700a Textiles,clothing,leather products;Netherlands;2002 November;-6;89
1184;1700a Textiles,clothing,leather products;Netherlands;2002 December;3;90
1185;1700a Textiles,clothing,leather products;Netherlands;2002 4th quarter;-1;90
1186;1700a Textiles,clothing,leather products;Netherlands;2002;-2;88
1187;1700a Textiles,clothing,leather products;Netherlands;2003 January;-7;94
1188;1700a Textiles,clothing,leather products;Netherlands;2003 February;-6;95
1189;1700a Textiles,clothing,leather products;Netherlands;2003 March;-6;95
1190;1700a Textiles,clothing,leather products;Netherlands;2003 1st quarter;-6;94
1191;1700a Textiles,clothing,leather products;Netherlands;2003 April;-4;95
1192;1700a Textiles,clothing,leather products;Netherlands;2003 May;-2;93
1193;1700a Textiles,clothing,leather products;Netherlands;2003 June;5;94
1194;1700a Textiles,clothing,leather products;Netherlands;2003 2nd quarter;0;93
1195;1700a Textiles,clothing,leather products;Netherlands;2003 July;-9;94
1196;1700a Textiles,clothing,leather products;Netherlands;2003 August;-14;92
1197;1700a Textiles,clothing,leather products;Netherlands;2003 September;8;93
1198;1700a Textiles,clothing,leather products;Netherlands;2003 3rd quarter;-4;93
1199;1700a Textiles,clothing,leather products;Netherlands;2003 October;-3;93
1200;1700a Textiles,clothing,leather products;Netherlands;2003 November;-1;94
1201;1700a Textiles,clothing,leather products;Netherlands;2003 December;7;92
1202;1700a Textiles,clothing,leather products;Netherlands;2003 4th quarter;1;93
1203;1700a Textiles,clothing,leather products;Netherlands;2003;-2;90
1204;1700a Textiles,clothing,leather products;Netherlands;2004 January;-2;90
1205;1700a Textiles,clothing,leather products;Netherlands;2004 February;-4;90
1206;1700a Textiles,clothing,leather products;Netherlands;2004 March;7;89
1207;1700a Textiles,clothing,leather products;Netherlands;2004 1st quarter;1;89
1208;1700a Textiles,clothing,leather products;Netherlands;2004 April;-4;91
1209;1700a Textiles,clothing,leather products;Netherlands;2004 May;-8;92
1210;1700a Textiles,clothing,leather products;Netherlands;2004 June;1;92
1211;1700a Textiles,clothing,leather products;Netherlands;2004 2nd quarter;-4;90
1212;1700a Textiles,clothing,leather products;Netherlands;2004 July;12;91
1213;1700a Textiles,clothing,leather products;Netherlands;2004 August;-3;91
1214;1700a Textiles,clothing,leather products;Netherlands;2004 September;-6;96
1215;1700a Textiles,clothing,leather products;Netherlands;2004 3rd quarter;1;92
1216;1700a Textiles,clothing,leather products;Netherlands;2004 October;-5;93
1217;1700a Textiles,clothing,leather products;Netherlands;2004 November;2;90
1218;1700a Textiles,clothing,leather products;Netherlands;2004 December;-3;89
1219;1700a Textiles,clothing,leather products;Netherlands;2004 4th quarter;-1;88
1220;1700a Textiles,clothing,leather products;Netherlands;2004;-3;87
1221;1700a Textiles,clothing,leather products;Netherlands;2005 January;-6;95
1222;1700a Textiles,clothing,leather products;Netherlands;2005 February;0;90
1223;1700a Textiles,clothing,leather products;Netherlands;2005 March;1;91
1224;1700a Textiles,clothing,leather products;Netherlands;2005 1st quarter;-1;91
1225;1700a Textiles,clothing,leather products;Netherlands;2005 April;6;89
1226;1700a Textiles,clothing,leather products;Netherlands;2005 May;2;92
1227;1700a Textiles,clothing,leather products;Netherlands;2005 June;1;93
1228;1700a Textiles,clothing,leather products;Netherlands;2005 2nd quarter;2;91
1229;1700a Textiles,clothing,leather products;Netherlands;2005 July;-3;89
1230;1700a Textiles,clothing,leather products;Netherlands;2005 August;3;90
1231;1700a Textiles,clothing,leather products;Netherlands;2005 September;-1;91
1232;1700a Textiles,clothing,leather products;Netherlands;2005 3rd quarter;-1;90
1233;1700a Textiles,clothing,leather products;Netherlands;2005 October;-7;91
