ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
5546;86101 University hospitals;2007;5;0;0;0;0;0;0;0;5;0;5
5547;86101 University hospitals;2008;10;0;0;0;0;0;0;0;10;0;10
5548;86101 University hospitals;2009;10;0;0;0;0;0;0;0;10;0;10
5549;86101 University hospitals;2010;10;0;0;0;0;0;0;0;10;0;10
5550;86102 General hospitals;2006;105;10;5;0;0;0;0;0;90;5;100
5551;86102 General hospitals;2007;105;10;0;0;0;0;0;0;85;5;100
5552;86102 General hospitals;2008;100;10;0;0;0;0;0;0;85;5;95
5553;86102 General hospitals;2009;105;15;0;5;0;0;0;0;85;5;100
5554;86102 General hospitals;2010;105;15;0;5;0;0;0;0;85;5;100
5555;86103 Categorical hospitals;2006;60;15;5;10;5;0;0;0;25;10;50
5556;86103 Categorical hospitals;2007;65;15;5;10;5;5;0;0;25;10;55
5557;86103 Categorical hospitals;2008;75;15;5;10;10;5;0;0;20;10;65
5558;86103 Categorical hospitals;2009;100;30;10;15;10;10;5;0;25;15;85
5559;86103 Categorical hospitals;2010;115;35;15;15;15;10;0;0;20;20;90
5560;86104 Social work with lodging;2006;140;25;15;5;5;0;0;5;75;35;105
5561;86104 Social work with lodging;2007;135;25;20;5;5;0;5;5;75;35;100
5562;86104 Social work with lodging;2008;135;30;15;10;0;0;5;0;70;35;100
5563;86104 Social work with lodging;2009;150;35;20;10;5;5;5;0;70;45;105
5564;86104 Social work with lodging;2010;160;50;20;15;5;5;5;0;65;45;115
5565;862 Medical and dental practices;2006;14455;2200;5330;4380;2030;385;80;20;25;10910;3545
5566;862 Medical and dental practices;2007;14430;4110;3355;3790;2505;515;110;20;20;10520;3905
5567;862 Medical and dental practices;2008;14475;5285;3070;3470;2030;490;90;20;20;10260;4215
5568;862 Medical and dental practices;2009;14460;5005;2965;3380;2325;605;135;20;25;10140;4320
5569;862 Medical and dental practices;2010;14895;5365;3080;3355;2300;610;140;20;20;10450;4445
5570;8621 General medical practices;2006;5470;280;2190;2085;770;110;25;10;0;5085;385
5571;8621 General medical practices;2007;5320;1140;1325;1650;980;185;30;10;0;4910;410
5572;8621 General medical practices;2008;5255;1535;1225;1490;800;165;30;5;0;4795;460
5573;8621 General medical practices;2009;5320;1330;1235;1500;980;235;30;10;0;4835;480
5574;8621 General medical practices;2010;5410;1460;1245;1475;955;235;30;10;0;4905;505
5575;86221 Other specialist practices;2006;3055;1190;740;560;435;90;20;5;10;1570;1480
5576;86221 Other specialist practices;2007;3195;1115;730;675;520;115;25;5;10;1500;1695
5577;86221 Other specialist practices;2008;3275;1400;645;645;445;115;20;5;5;1455;1820
5578;86221 Other specialist practices;2009;3345;1620;520;540;480;130;35;5;10;1515;1835
5579;86221 Other specialist practices;2010;3515;1670;595;565;490;140;40;5;10;1650;1865
5580;86222 Practices of psychiatrists;2006;170;75;40;20;5;5;0;5;15;80;90
5581;86222 Practices of psychiatrists;2007;180;95;35;20;10;5;0;0;15;95;90
5582;86222 Practices of psychiatrists;2008;205;125;25;25;10;5;0;5;10;100;100
5583;86222 Practices of psychiatrists;2009;240;140;30;20;15;10;5;0;10;125;110
5584;86222 Practices of psychiatrists;2010;305;205;40;20;20;10;5;0;10;185;120
5585;86231 general dental practices;2006;5450;575;2315;1665;725;130;30;0;0;4120;1330
5586;86231 general dental practices;2007;5405;1680;1210;1410;890;170;45;5;0;3975;1430
5587;86231 general dental practices;2008;5410;2130;1140;1250;690;170;35;5;0;3870;1540
5588;86231 general dental practices;2009;5225;1800;1145;1260;770;190;55;5;0;3625;1605
5589;86231 general dental practices;2010;5330;1915;1170;1235;760;190;55;5;0;3660;1670
5590;86232 Specialised dental practices;2006;310;80;40;45;95;45;5;0;5;50;265
5591;86232 Specialised dental practices;2007;325;80;50;35;105;45;5;0;0;40;285
5592;86232 Specialised dental practices;2008;330;100;30;60;90;40;5;0;0;35;290
5593;86232 Specialised dental practices;2009;330;115;35;65;75;35;5;0;5;40;290
5594;86232 Specialised dental practices;2010;335;115;35;65;80;35;5;0;5;45;290
5595;869 Other health care (no accommodation);2006;16575;9655;3385;1790;1120;310;160;70;80;14495;2080
5596;869 Other health care (no accommodation);2007;17755;11100;2885;1695;1300;430;185;75;85;15495;2260
5597;869 Other health care (no accommodation);2008;18980;12555;2820;1630;1220;395;205;70;85;16475;2505
5598;869 Other health care (no accommodation);2009;21395;14445;3030;1675;1345;510;210;80;95;18675;2720
5599;869 Other health care (no accommodation);2010;24780;17720;3215;1650;1315;495;205;75;100;21925;2855
5600;86911 Practices of midwives;2006;440;35;140;170;85;5;0;0;0;420;15
5601;86911 Practices of midwives;2007;425;45;120;160;95;5;0;0;0;410;20
5602;86911 Practices of midwives;2008;420;50;130;150;85;5;0;0;0;405;15
5603;86911 Practices of midwives;2009;435;50;125;155;95;5;0;0;0;415;20
5604;86911 Practices of midwives;2010;445;45;140;155;100;5;0;0;0;425;20
5605;86912 Practices of physiotherapists;2006;8820;4875;1935;1110;740;145;10;0;0;8470;350
5606;86912 Practices of physiotherapists;2007;8780;5185;1570;945;835;225;20;0;0;8420;360
5607;86912 Practices of physiotherapists;2008;8660;5265;1430;935;800;205;30;0;0;8230;430
5608;86912 Practices of physiotherapists;2009;8795;5195;1475;950;870;265;40;0;0;8340;455
5609;86912 Practices of physiotherapists;2010;8685;5180;1455;915;840;260;40;0;0;8200;485
5610;86913 Practices of psychologists;2006;1675;1190;335;80;50;10;0;0;0;1550;130
5611;86913 Practices of psychologists;2007;2010;1515;320;95;50;20;5;0;0;1865;145
5612;86913 Practices of psychologists;2008;2440;1935;350;90;40;20;10;0;0;2275;170
5613;86913 Practices of psychologists;2009;3350;2735;420;105;55;20;10;5;5;3145;205
5614;86913 Practices of psychologists;2010;4565;3860;500;100;55;25;15;5;5;4320;245
5615;86919 Other paramedical practitioners;2006;2805;1880;565;220;85;40;10;0;0;2500;305
5616;86919 Other paramedical practitioners;2007;3250;2390;465;235;115;35;10;0;0;2930;320
5617;86919 Other paramedical practitioners;2008;3790;2965;475;210;95;30;15;0;0;3445;345
5618;86919 Other paramedical practitioners;2009;4695;3765;555;200;115;40;15;5;0;4310;385
5619;86919 Other paramedical practitioners;2010;6635;5595;645;215;120;40;10;5;0;6220;410
5620;86921 Health centres;2006;230;85;40;20;25;25;25;0;5;100;130
5621;86921 Health centres;2007;265;120;40;25;20;30;25;5;5;125;140
5622;86921 Health centres;2008;290;145;40;25;25;20;25;0;5;140;150
5623;86921 Health centres;2009;325;165;45;20;20;30;30;10;5;155;170
5624;86921 Health centres;2010;340;180;45;20;25;30;30;10;5;155;185
5625;86922 Health at work  and reintegration;2006;890;540;140;70;45;35;35;20;15;520;375
5626;86922 Health at work  and reintegration;2007;1115;690;130;85;80;50;45;20;15;680;435
5627;86922 Health at work  and reintegration;2008;1295;840;155;90;65;55;40;25;20;795;495
5628;86922 Health at work  and reintegration;2009;1480;1005;155;105;75;60;45;15;20;935;545
5629;86922 Health at work  and reintegration;2010;1555;1095;160;95;70;55;40;15;25;1015;545
5630;86923 Other preventative health care;2006;605;360;85;50;25;15;20;25;25;325;280
5631;86923 Other preventative health care;2007;685;395;90;80;40;15;20;25;25;375;310
5632;86923 Other preventative health care;2008;750;470;95;65;40;10;25;15;25;400;355
5633;86923 Other preventative health care;2009;860;560;100;65;40;25;20;20;25;465;395
5634;86923 Other preventative health care;2010;955;665;105;65;40;25;20;15;25;555;405
5635;86924 Medical laboratories;2006;195;65;20;30;15;20;20;10;15;30;165
5636;86924 Medical laboratories;2007;195;65;20;30;20;15;20;10;15;30;165
5637;86924 Medical laboratories;2008;195;70;20;25;20;20;20;10;15;30;165
5638;86924 Medical laboratories;2009;205;75;25;25;10;25;15;10;15;30;170
5639;86924 Medical laboratories;2010;210;80;25;25;10;25;15;10;15;35;170
5640;86925 Ambulance transport;2006;40;10;5;0;0;0;10;5;15;5;35
5641;86925 Ambulance transport;2007;40;10;0;0;0;0;10;5;10;5;35
5642;86925 Ambulance transport;2008;35;10;0;0;0;5;10;0;10;5;30
5643;86925 Ambulance transport;2009;40;10;0;0;0;0;10;0;10;5;35
5644;86925 Ambulance transport;2010;35;10;0;0;0;5;5;0;10;5;35
5645;86929 Support activities for health care;2006;875;610;120;40;50;15;25;10;5;570;305
5646;86929 Support activities for health care;2007;985;695;125;45;45;30;25;15;10;655;330
5647;86929 Support activities for health care;2008;1100;800;130;45;45;25;35;10;10;755;345
5648;86929 Support activities for health care;2009;1215;885;130;55;55;30;30;20;10;875;340
5649;86929 Support activities for health care;2010;1350;1010;140;55;55;30;30;20;15;990;360
5650;87 Residential care and guidance;2006;1110;115;75;45;60;60;110;185;460;125;985
5651;87 Residential care and guidance;2007;1150;140;105;45;70;70;100;175;445;190;960
5652;87 Residential care and guidance;2008;1140;155;130;75;55;70;95;135;430;240;895
5653;87 Residential care and guidance;2009;1210;180;190;70;75;75;65;105;450;340;870
5654;87 Residential care and guidance;2010;1270;220;250;70;75;75;65;100;415;425;845
5655;871 Residential nursing care;2006;130;5;5;0;5;5;0;5;110;5;130
5656;871 Residential nursing care;2007;130;5;0;0;5;5;0;0;110;5;125
5657;871 Residential nursing care;2008;130;5;5;5;0;5;0;0;105;5;120
5658;871 Residential nursing care;2009;125;5;0;5;0;5;5;5;100;5;120
5659;871 Residential nursing care;2010;125;10;5;5;0;5;5;5;95;5;115
5660;8710 Residential nursing care;2006;130;5;5;0;5;5;0;5;110;5;130
5661;8710 Residential nursing care;2007;130;5;0;0;5;5;0;0;110;5;125
5662;8710 Residential nursing care;2008;130;5;5;5;0;5;0;0;105;5;120
5663;8710 Residential nursing care;2009;125;5;0;5;0;5;5;5;100;5;120
5664;8710 Residential nursing care;2010;125;10;5;5;0;5;5;5;95;5;115
5665;872 Residential care for mental health;2006;245;40;30;15;20;10;15;15;105;65;180
5666;872 Residential care for mental health;2007;300;60;70;15;20;15;15;10;100;120;180
5667;872 Residential care for mental health;2008;340;75;90;30;20;15;10;10;90;165;175
5668;872 Residential care for mental health;2009;425;90;130;45;30;20;10;10;90;240;185
5669;872 Residential care for mental health;2010;495;120;170;45;35;20;10;10;85;300;195
5670;8720 Residential care for mental health;2006;245;40;30;15;20;10;15;15;105;65;180
5671;8720 Residential care for mental health;2007;300;60;70;15;20;15;15;10;100;120;180
5672;8720 Residential care for mental health;2008;340;75;90;30;20;15;10;10;90;165;175
5673;8720 Residential care for mental health;2009;425;90;130;45;30;20;10;10;90;240;185
5674;8720 Residential care for mental health;2010;495;120;170;45;35;20;10;10;85;300;195
5675;873 Homes for the disabled and elderly;2006;505;20;15;15;20;25;70;150;195;25;480
5676;873 Homes for the disabled and elderly;2007;485;25;10;10;20;25;65;140;185;30;455
5677;873 Homes for the disabled and elderly;2008;445;30;10;20;15;20;70;100;180;30;415
5678;873 Homes for the disabled and elderly;2009;415;30;20;10;15;25;45;75;200;35;380
5679;873 Homes for the disabled and elderly;2010;390;35;20;10;15;20;40;70;175;40;350
5680;87301 Residential care for the disabled;2006;25;0;5;0;0;0;5;5;10;5;20
5681;87301 Residential care for the disabled;2007;30;5;5;0;0;0;5;5;10;5;20
5682;87301 Residential care for the disabled;2008;30;5;5;0;0;0;0;5;15;10;20
5683;87301 Residential care for the disabled;2009;30;5;5;0;0;0;0;0;15;10;20
5684;87301 Residential care for the disabled;2010;30;5;10;5;0;0;0;0;10;15;15
5685;87302 Residential care for the elderly;2006;480;20;10;15;20;25;70;145;185;20;460
5686;87302 Residential care for the elderly;2007;455;20;10;10;20;25;60;140;175;20;435
5687;87302 Residential care for the elderly;2008;415;25;5;15;15;20;65;100;165;20;395
5688;87302 Residential care for the elderly;2009;385;25;15;5;15;25;40;75;185;25;360
5689;87302 Residential care for the elderly;2010;360;25;15;10;15;20;40;65;165;25;335
5690;879 Residential care for other persons;2006;225;45;25;15;20;25;25;20;50;30;200
5691;879 Residential care for other persons;2007;235;50;25;15;30;25;20;20;50;40;200
5692;879 Residential care for other persons;2008;225;45;20;20;20;30;15;20;50;40;185
5693;879 Residential care for other persons;2009;245;55;40;15;25;30;10;15;60;60;190
5694;879 Residential care for other persons;2010;265;60;55;15;25;30;10;15;60;80;185
5695;87901 Residential care for children;2006;75;10;10;0;10;5;5;0;30;15;60
5696;87901 Residential care for children;2007;85;15;15;5;10;5;5;5;30;20;65
5697;87901 Residential care for children;2008;85;10;15;5;5;10;5;0;30;25;60
5698;87901 Residential care for children;2009;115;15;30;10;10;10;5;5;30;45;70
5699;87901 Residential care for children;2010;130;20;45;5;10;10;5;5;30;60;70
5700;87902 Residential care for other persons;2006;155;35;15;10;15;20;20;20;20;15;135
5701;87902 Residential care for other persons;2007;150;35;10;15;15;25;15;15;20;20;135
5702;87902 Residential care for other persons;2008;140;35;10;15;15;20;10;20;20;20;125
5703;87902 Residential care for other persons;2009;135;40;10;5;15;20;5;10;25;15;120
5704;87902 Residential care for other persons;2010;135;40;10;5;10;20;10;10;25;20;115
5705;88 Social work without accommodation;2006;7655;3530;935;760;815;615;460;240;300;2145;5510
5706;88 Social work without accommodation;2007;8295;3895;925;920;885;645;490;240;295;2735;5565
5707;88 Social work without accommodation;2008;8690;4405;925;790;855;660;500;255;295;3105;5580
5708;88 Social work without accommodation;2009;9175;4395;1040;800;930;745;625;290;345;3665;5505
5709;88 Social work without accommodation;2010;9680;4890;1165;790;895;730;605;270;335;4120;5560
5710;881 Social work without accommodation;2006;950;350;100;85;105;70;65;50;125;320;630
5711;881 Social work without accommodation;2007;1055;415;105;90;105;90;75;45;130;430;625
5712;881 Social work without accommodation;2008;1145;490;115;95;115;85;80;50;120;495;650
5713;881 Social work without accommodation;2009;1315;565;145;100;120;105;90;60;125;635;680
5714;881 Social work without accommodation;2010;1460;730;170;105;110;100;75;55;115;795;665
5715;88101 Home care;2006;680;265;70;50;50;45;55;35;110;285;390
5716;88101 Home care;2007;795;335;80;55;55;65;60;35;115;390;400
5717;88101 Home care;2008;880;385;95;60;70;60;70;35;105;440;440
5718;88101 Home care;2009;1025;450;120;75;75;75;75;50;110;555;475
5719;88101 Home care;2010;1150;590;140;80;65;75;65;40;100;680;470
5720;88102 Welfare for elderly;2006;225;70;25;35;55;20;10;5;0;15;205
5721;88102 Welfare for elderly;2007;210;60;25;35;45;25;10;5;0;15;195
5722;88102 Welfare for elderly;2008;205;75;15;35;45;25;10;0;0;25;180
5723;88102 Welfare for elderly;2009;200;65;20;20;45;30;15;5;0;30;170
5724;88102 Welfare for elderly;2010;195;70;25;20;40;30;10;5;5;35;160
5725;88103 Welfare for disabled;2006;50;15;5;0;0;0;0;10;15;20;30
5726;88103 Welfare for disabled;2007;55;20;0;5;5;0;5;10;15;20;30
5727;88103 Welfare for disabled;2008;65;30;5;0;0;0;0;10;10;30;30
5728;88103 Welfare for disabled;2009;85;50;5;5;0;0;0;10;15;55;35
5729;88103 Welfare for disabled;2010;115;75;10;5;0;0;0;10;15;80;35
5730;889 Other social work (no accommodation);2006;6705;3175;835;675;710;545;395;190;175;1825;4880
5731;889 Other social work (no accommodation);2007;7240;3480;820;830;780;555;415;195;170;2305;4935
5732;889 Other social work (no accommodation);2008;7540;3920;810;700;740;580;420;205;175;2610;4930
5733;889 Other social work (no accommodation);2009;7860;3830;895;700;810;640;535;230;220;3030;4830
5734;889 Other social work (no accommodation);2010;8220;4160;995;685;785;625;530;215;220;3325;4895
5735;88911 Day nurseries for pupils;2006;2145;745;270;240;320;265;175;65;65;1075;1070
5736;88911 Day nurseries for pupils;2007;2455;965;240;290;360;280;185;70;60;1375;1085
5737;88911 Day nurseries for pupils;2008;2590;1040;280;255;345;300;205;95;70;1495;1095
5738;88911 Day nurseries for pupils;2009;2695;950;320;260;365;325;265;105;95;1640;1055
5739;88911 Day nurseries for pupils;2010;2800;1005;395;255;360;325;265;100;100;1670;1130
5740;88912 Kindergartens (no schools);2006;580;255;85;70;75;55;20;10;5;50;530
5741;88912 Kindergartens (no schools);2007;580;230;100;85;75;60;20;10;10;60;525
5742;88912 Kindergartens (no schools);2008;555;265;70;65;80;50;15;5;5;40;515
5743;88912 Kindergartens (no schools);2009;520;190;70;70;75;75;30;10;0;15;505
5744;88912 Kindergartens (no schools);2010;470;160;65;65;70;75;30;10;0;20;450
5745;88991 Social work for children;2006;140;65;15;10;5;5;5;5;30;70;70
5746;88991 Social work for children;2007;165;85;15;10;10;5;5;5;30;90;70
5747;88991 Social work for children;2008;200;110;25;15;5;10;5;0;30;130;75
5748;88991 Social work for children;2009;275;165;35;20;10;10;5;5;35;190;85
5749;88991 Social work for children;2010;335;215;45;20;10;5;10;5;30;245;90
5750;88992 Social work for adults;2006;490;230;65;50;35;35;30;25;15;155;335
5751;88992 Social work for adults;2007;515;240;85;50;35;35;30;25;15;180;335
5752;88992 Social work for adults;2008;540;290;75;50;30;30;25;30;15;230;310
5753;88992 Social work for adults;2009;620;335;85;45;50;35;25;25;20;295;325
5754;88992 Social work for adults;2010;690;405;90;45;50;30;25;25;20;360;330
5755;88993 Community activities;2006;1285;675;145;115;110;80;75;45;40;115;1175
5756;88993 Community activities;2007;1350;730;135;135;120;75;75;50;40;155;1200
5757;88993 Community activities;2008;1355;780;115;110;110;80;75;45;40;180;1175
5758;88993 Community activities;2009;1425;805;135;100;115;80;100;45;45;240;1185
5759;88993 Community activities;2010;1490;870;135;95;115;80;100;40;45;300;1190
5760;88999 Other welfare and consultancy;2006;2065;1205;255;190;160;105;95;40;20;370;1700
5761;88999 Other welfare and consultancy;2007;2175;1230;245;260;185;105;100;35;15;445;1725
5762;88999 Other welfare and consultancy;2008;2300;1440;245;205;165;110;90;30;15;535;1765
5763;88999 Other welfare and consultancy;2009;2320;1385;250;210;195;115;105;40;20;645;1670
5764;88999 Other welfare and consultancy;2010;2440;1505;270;210;185;110;100;40;25;730;1710
5765;R Culture, sports and recreation;2006;10835;4440;1950;1645;1330;730;505;130;100;2820;8015
5766;R Culture, sports and recreation;2007;11240;4175;1940;1875;1665;805;555;125;95;3010;8230
5767;R Culture, sports and recreation;2008;11725;5145;1795;1830;1440;820;485;120;90;3175;8555
5768;R Culture, sports and recreation;2009;11500;4470;1905;1820;1535;910;595;155;105;3265;8235
5769;R Culture, sports and recreation;2010;11455;4510;1945;1760;1485;890;600;160;105;3245;8215
5770;90 Arts;2006;2545;1055;495;370;295;175;100;35;25;600;1945
5771;90 Arts;2007;2675;1000;505;455;350;180;120;35;25;650;2025
5772;90 Arts;2008;2875;1325;450;435;310;180;115;40;15;705;2165
5773;90 Arts;2009;2995;1340;480;460;320;190;140;40;25;755;2240
5774;90 Arts;2010;2985;1400;470;435;290;185;140;40;25;730;2255
5775;900 Arts;2006;2545;1055;495;370;295;175;100;35;25;600;1945
5776;900 Arts;2007;2675;1000;505;455;350;180;120;35;25;650;2025
5777;900 Arts;2008;2875;1325;450;435;310;180;115;40;15;705;2165
5778;900 Arts;2009;2995;1340;480;460;320;190;140;40;25;755;2240
5779;900 Arts;2010;2985;1400;470;435;290;185;140;40;25;730;2255
5780;90011 Practicing performing arts;2006;555;280;90;60;60;25;15;15;15;45;510
5781;90011 Practicing performing arts;2007;575;270;85;75;75;25;20;15;10;65;510
5782;90011 Practicing performing arts;2008;585;315;70;75;55;30;20;15;10;70;520
5783;90011 Practicing performing arts;2009;540;275;65;75;60;25;20;15;10;75;465
5784;90011 Practicing performing arts;2010;540;285;60;65;55;25;20;15;10;75;465
5785;90012 Producers of stage productions;2006;300;135;55;45;35;20;5;5;0;50;250
