ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
1671;Total 1 or more employed persons;412 Construction of buildings;2022 December;138.2;6.0
1672;Total 1 or more employed persons;412 Construction of buildings;2022 4th quarter;128.3;8.0
1673;Total 1 or more employed persons;412 Construction of buildings;2022;109.0;9.0
1674;Total 1 or more employed persons;412 Construction of buildings;2023 January;76.6;7.6
1675;Total 1 or more employed persons;412 Construction of buildings;2023 February;101.7;8.3
1676;Total 1 or more employed persons;412 Construction of buildings;2023 March;126.5;8.3
1677;Total 1 or more employed persons;412 Construction of buildings;2023 1st quarter;101.6;8.1
1678;Total 1 or more employed persons;412 Construction of buildings;2023 April;105.8;-0.4
1679;Total 1 or more employed persons;412 Construction of buildings;2023 May;121.0;7.3
1680;Total 1 or more employed persons;412 Construction of buildings;2023 June;127.0;3.4
1681;Total 1 or more employed persons;412 Construction of buildings;2023 2nd quarter;117.9;3.5
1682;Total 1 or more employed persons;412 Construction of buildings;2023 July;121.5;2.3
1683;Total 1 or more employed persons;412 Construction of buildings;2023 August;69.3;6.2
1684;Total 1 or more employed persons;412 Construction of buildings;2023 September;114.6;-0.8
1685;Total 1 or more employed persons;412 Construction of buildings;2023 3rd quarter;101.8;2.0
1686;Total 1 or more employed persons;412 Construction of buildings;2023 October;124.1;3.9
1687;Total 1 or more employed persons;412 Construction of buildings;2023 November;127.0;-0.2
1688;Total 1 or more employed persons;412 Construction of buildings;2023 December;136.7;-1.1
1689;Total 1 or more employed persons;412 Construction of buildings;2023 4th quarter;129.3;0.8
1690;Total 1 or more employed persons;412 Construction of buildings;2023;112.7;3.3
1691;Total 1 or more employed persons;412 Construction of buildings;2024 January;77.9;1.6
1692;Total 1 or more employed persons;412 Construction of buildings;2024 February;103.6;1.9
1693;Total 1 or more employed persons;412 Construction of buildings;2024 March;119.7;-5.3
1694;Total 1 or more employed persons;412 Construction of buildings;2024 1st quarter;100.4;-1.2
1695;Total 1 or more employed persons;412 Construction of buildings;2024 April;118.0;11.5
1696;Total 1 or more employed persons;412 Construction of buildings;2024 May;118.9;-1.7
1697;Total 1 or more employed persons;412 Construction of buildings;2024 June;120.6;-5.0
1698;Total 1 or more employed persons;412 Construction of buildings;2024 2nd quarter;119.2;1.0
1699;Total 1 or more employed persons;412 Construction of buildings;2024 July;125.9;3.6
1700;Total 1 or more employed persons;412 Construction of buildings;2024 August;72.5;4.6
1701;Total 1 or more employed persons;412 Construction of buildings;2024 September;115.3;0.6
1702;Total 1 or more employed persons;412 Construction of buildings;2024 3rd quarter;104.5;2.7
1703;Total 1 or more employed persons;412 Construction of buildings;2024 October;133.0;7.1
1704;Total 1 or more employed persons;412 Construction of buildings;2024 November;134.5;5.9
1705;Total 1 or more employed persons;412 Construction of buildings;2024 December;139.8;2.2
1706;Total 1 or more employed persons;412 Construction of buildings;2024 4th quarter;135.7;5.0
1707;Total 1 or more employed persons;412 Construction of buildings;2024;115.0;2.1
1708;Total 1 or more employed persons;412 Construction of buildings;2025 January;91.1;17.0
1709;Total 1 or more employed persons;412 Construction of buildings;2025 February;108.7;4.9
1710;Total 1 or more employed persons;42 Civil engineering;2005 January;31.9;9.1
1711;Total 1 or more employed persons;42 Civil engineering;2005 February;43.1;2.8
1712;Total 1 or more employed persons;42 Civil engineering;2005 March;52.2;-0.2
1713;Total 1 or more employed persons;42 Civil engineering;2005 1st quarter;42.4;3.0
1714;Total 1 or more employed persons;42 Civil engineering;2005 April;59.9;9.7
1715;Total 1 or more employed persons;42 Civil engineering;2005 May;59.1;6.3
1716;Total 1 or more employed persons;42 Civil engineering;2005 June;71.4;15.1
1717;Total 1 or more employed persons;42 Civil engineering;2005 2nd quarter;63.5;10.6
1718;Total 1 or more employed persons;42 Civil engineering;2005 July;64.2;17.0
1719;Total 1 or more employed persons;42 Civil engineering;2005 August;46.8;21.4
1720;Total 1 or more employed persons;42 Civil engineering;2005 September;71.7;8.2
1721;Total 1 or more employed persons;42 Civil engineering;2005 3rd quarter;60.9;14.4
1722;Total 1 or more employed persons;42 Civil engineering;2005 October;71.8;5.5
1723;Total 1 or more employed persons;42 Civil engineering;2005 November;77.9;9.7
1724;Total 1 or more employed persons;42 Civil engineering;2005 December;100.2;-1.2
1725;Total 1 or more employed persons;42 Civil engineering;2005 4th quarter;83.3;3.9
1726;Total 1 or more employed persons;42 Civil engineering;2005;62.5;7.8
1727;Total 1 or more employed persons;42 Civil engineering;2006 January;29.8;-6.7
1728;Total 1 or more employed persons;42 Civil engineering;2006 February;46.1;6.8
1729;Total 1 or more employed persons;42 Civil engineering;2006 March;60.7;16.2
1730;Total 1 or more employed persons;42 Civil engineering;2006 1st quarter;45.5;7.3
1731;Total 1 or more employed persons;42 Civil engineering;2006 April;59.9;0.0
1732;Total 1 or more employed persons;42 Civil engineering;2006 May;71.4;20.8
1733;Total 1 or more employed persons;42 Civil engineering;2006 June;76.1;6.6
1734;Total 1 or more employed persons;42 Civil engineering;2006 2nd quarter;69.1;8.9
1735;Total 1 or more employed persons;42 Civil engineering;2006 July;67.7;5.5
1736;Total 1 or more employed persons;42 Civil engineering;2006 August;55.1;17.6
1737;Total 1 or more employed persons;42 Civil engineering;2006 September;81.3;13.5
1738;Total 1 or more employed persons;42 Civil engineering;2006 3rd quarter;68.0;11.7
1739;Total 1 or more employed persons;42 Civil engineering;2006 October;80.6;12.3
1740;Total 1 or more employed persons;42 Civil engineering;2006 November;88.0;12.9
1741;Total 1 or more employed persons;42 Civil engineering;2006 December;113.8;13.6
1742;Total 1 or more employed persons;42 Civil engineering;2006 4th quarter;94.2;13.0
1743;Total 1 or more employed persons;42 Civil engineering;2006;69.2;10.7
1744;Total 1 or more employed persons;42 Civil engineering;2007 January;36.9;23.8
1745;Total 1 or more employed persons;42 Civil engineering;2007 February;54.0;17.3
1746;Total 1 or more employed persons;42 Civil engineering;2007 March;67.7;11.6
1747;Total 1 or more employed persons;42 Civil engineering;2007 1st quarter;52.9;16.2
1748;Total 1 or more employed persons;42 Civil engineering;2007 April;64.1;7.0
1749;Total 1 or more employed persons;42 Civil engineering;2007 May;75.5;5.7
1750;Total 1 or more employed persons;42 Civil engineering;2007 June;79.6;4.5
1751;Total 1 or more employed persons;42 Civil engineering;2007 2nd quarter;73.0;5.7
1752;Total 1 or more employed persons;42 Civil engineering;2007 July;66.3;-2.1
1753;Total 1 or more employed persons;42 Civil engineering;2007 August;61.8;12.2
1754;Total 1 or more employed persons;42 Civil engineering;2007 September;78.6;-3.3
1755;Total 1 or more employed persons;42 Civil engineering;2007 3rd quarter;68.9;1.3
1756;Total 1 or more employed persons;42 Civil engineering;2007 October;85.2;5.6
1757;Total 1 or more employed persons;42 Civil engineering;2007 November;87.5;-0.6
1758;Total 1 or more employed persons;42 Civil engineering;2007 December;117.0;2.8
1759;Total 1 or more employed persons;42 Civil engineering;2007 4th quarter;96.6;2.5
1760;Total 1 or more employed persons;42 Civil engineering;2007;72.8;5.3
1761;Total 1 or more employed persons;42 Civil engineering;2008 January;38.4;3.9
1762;Total 1 or more employed persons;42 Civil engineering;2008 February;58.5;8.3
1763;Total 1 or more employed persons;42 Civil engineering;2008 March;72.9;7.7
1764;Total 1 or more employed persons;42 Civil engineering;2008 1st quarter;56.6;7.0
1765;Total 1 or more employed persons;42 Civil engineering;2008 April;76.6;19.6
1766;Total 1 or more employed persons;42 Civil engineering;2008 May;75.8;0.5
1767;Total 1 or more employed persons;42 Civil engineering;2008 June;87.1;9.5
1768;Total 1 or more employed persons;42 Civil engineering;2008 2nd quarter;79.9;9.3
1769;Total 1 or more employed persons;42 Civil engineering;2008 July;71.0;7.1
1770;Total 1 or more employed persons;42 Civil engineering;2008 August;65.3;5.7
1771;Total 1 or more employed persons;42 Civil engineering;2008 September;85.4;8.7
1772;Total 1 or more employed persons;42 Civil engineering;2008 3rd quarter;73.9;7.3
1773;Total 1 or more employed persons;42 Civil engineering;2008 October;87.5;2.7
1774;Total 1 or more employed persons;42 Civil engineering;2008 November;85.5;-2.3
1775;Total 1 or more employed persons;42 Civil engineering;2008 December;116.3;-0.6
1776;Total 1 or more employed persons;42 Civil engineering;2008 4th quarter;96.4;-0.1
1777;Total 1 or more employed persons;42 Civil engineering;2008;76.7;5.3
1778;Total 1 or more employed persons;42 Civil engineering;2009 January;41.5;8.2
1779;Total 1 or more employed persons;42 Civil engineering;2009 February;54.5;-6.9
1780;Total 1 or more employed persons;42 Civil engineering;2009 March;84.3;15.7
1781;Total 1 or more employed persons;42 Civil engineering;2009 1st quarter;60.1;6.2
1782;Total 1 or more employed persons;42 Civil engineering;2009 April;79.5;3.7
1783;Total 1 or more employed persons;42 Civil engineering;2009 May;77.2;1.8
1784;Total 1 or more employed persons;42 Civil engineering;2009 June;85.4;-2.0
1785;Total 1 or more employed persons;42 Civil engineering;2009 2nd quarter;80.7;1.0
1786;Total 1 or more employed persons;42 Civil engineering;2009 July;78.1;10.0
1787;Total 1 or more employed persons;42 Civil engineering;2009 August;73.4;12.4
1788;Total 1 or more employed persons;42 Civil engineering;2009 September;83.2;-2.6
1789;Total 1 or more employed persons;42 Civil engineering;2009 3rd quarter;78.2;5.8
1790;Total 1 or more employed persons;42 Civil engineering;2009 October;92.6;5.8
1791;Total 1 or more employed persons;42 Civil engineering;2009 November;88.8;3.8
1792;Total 1 or more employed persons;42 Civil engineering;2009 December;112.5;-3.3
1793;Total 1 or more employed persons;42 Civil engineering;2009 4th quarter;98.0;1.6
1794;Total 1 or more employed persons;42 Civil engineering;2009;79.3;3.3
1795;Total 1 or more employed persons;42 Civil engineering;2010 January;38.7;-6.8
1796;Total 1 or more employed persons;42 Civil engineering;2010 February;47.5;-12.9
1797;Total 1 or more employed persons;42 Civil engineering;2010 March;66.5;-21.2
1798;Total 1 or more employed persons;42 Civil engineering;2010 1st quarter;50.9;-15.4
1799;Total 1 or more employed persons;42 Civil engineering;2010 April;75.3;-5.3
1800;Total 1 or more employed persons;42 Civil engineering;2010 May;71.6;-7.3
1801;Total 1 or more employed persons;42 Civil engineering;2010 June;86.8;1.7
1802;Total 1 or more employed persons;42 Civil engineering;2010 2nd quarter;77.9;-3.5
1803;Total 1 or more employed persons;42 Civil engineering;2010 July;82.4;5.5
1804;Total 1 or more employed persons;42 Civil engineering;2010 August;56.4;-23.1
1805;Total 1 or more employed persons;42 Civil engineering;2010 September;77.6;-6.8
1806;Total 1 or more employed persons;42 Civil engineering;2010 3rd quarter;72.1;-7.8
1807;Total 1 or more employed persons;42 Civil engineering;2010 October;85.4;-7.8
1808;Total 1 or more employed persons;42 Civil engineering;2010 November;93.6;5.5
1809;Total 1 or more employed persons;42 Civil engineering;2010 December;105.0;-6.7
1810;Total 1 or more employed persons;42 Civil engineering;2010 4th quarter;94.7;-3.4
1811;Total 1 or more employed persons;42 Civil engineering;2010;73.9;-6.8
1812;Total 1 or more employed persons;42 Civil engineering;2011 January;41.7;7.9
1813;Total 1 or more employed persons;42 Civil engineering;2011 February;55.4;16.7
1814;Total 1 or more employed persons;42 Civil engineering;2011 March;74.1;11.5
1815;Total 1 or more employed persons;42 Civil engineering;2011 1st quarter;57.1;12.2
1816;Total 1 or more employed persons;42 Civil engineering;2011 April;75.3;0.0
1817;Total 1 or more employed persons;42 Civil engineering;2011 May;86.4;20.6
1818;Total 1 or more employed persons;42 Civil engineering;2011 June;79.0;-9.0
1819;Total 1 or more employed persons;42 Civil engineering;2011 2nd quarter;80.2;3.0
