ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
5868;Total sales;1039 Other processed and preserve...;2019 June;103.4;-0.1;-1.0
5869;Total sales;1039 Other processed and preserve...;2019 July;104.9;1.5;1.1
5870;Total sales;1039 Other processed and preserve...;2019 August;103.6;-1.3;-0.2
5871;Total sales;1039 Other processed and preserve...;2019 September;104.3;0.7;0.6
5872;Total sales;1039 Other processed and preserve...;2019 October;104.2;-0.1;1.1
5873;Total sales;1039 Other processed and preserve...;2019 November;105.2;1.0;-0.1
5874;Total sales;1039 Other processed and preserve...;2019 December;105.2;0.0;-0.3
5875;Total sales;1039 Other processed and preserve...;2019;104.3;;-0.9
5876;Total sales;1039 Other processed and preserve...;2020 January;106.2;0.9;1.9
5877;Total sales;1039 Other processed and preserve...;2020 February;106.3;0.1;2.1
5878;Total sales;1039 Other processed and preserve...;2020 March;106.4;0.1;2.2
5879;Total sales;1039 Other processed and preserve...;2020 April;104.6;-1.6;0.3
5880;Total sales;1039 Other processed and preserve...;2020 May;104.4;-0.2;0.9
5881;Total sales;1039 Other processed and preserve...;2020 June;104.5;0.1;1.0
5882;Total sales;1039 Other processed and preserve...;2020 July;104.3;-0.2;-0.6
5883;Total sales;1039 Other processed and preserve...;2020 August;104.2;0.0;0.7
5884;Total sales;1039 Other processed and preserve...;2020 September;104.1;-0.1;-0.1
5885;Total sales;1039 Other processed and preserve...;2020 October;105.4;1.2;1.2
5886;Total sales;1039 Other processed and preserve...;2020 November;105.8;0.4;0.5
5887;Total sales;1039 Other processed and preserve...;2020 December;105.9;0.1;0.6
5888;Total sales;1039 Other processed and preserve...;2020;105.2;;0.9
5889;Total sales;1039 Other processed and preserve...;2021 January;106.0;0.1;-0.1
5890;Total sales;1039 Other processed and preserve...;2021 February;106.2;0.1;-0.1
5891;Total sales;1039 Other processed and preserve...;2021 March;106.3;0.1;-0.1
5892;Total sales;1039 Other processed and preserve...;2021 April;108.2;1.8;3.4
5893;Total sales;1039 Other processed and preserve...;2021 May;108.6;0.4;4.0
5894;Total sales;1039 Other processed and preserve...;2021 June;107.8;-0.7;3.2
5895;Total sales;1039 Other processed and preserve...;2021 July;107.7;-0.1;3.3
5896;Total sales;1039 Other processed and preserve...;2021 August;107.9;0.2;3.5
5897;Total sales;1039 Other processed and preserve...;2021 September;107.8;-0.1;3.5
5898;Total sales;1039 Other processed and preserve...;2021 October;105.8;-1.8;0.4
5899;Total sales;1039 Other processed and preserve...;2021 November;106.3;0.4;0.5
5900;Total sales;1039 Other processed and preserve...;2021 December;106.5;0.2;0.5
5901;Total sales;1039 Other processed and preserve...;2021;107.1;;1.8
5902;Total sales;1039 Other processed and preserve...;2022 January;112.6;5.8;6.2
5903;Total sales;1039 Other processed and preserve...;2022 February;113.0;0.3;6.4
5904;Total sales;1039 Other processed and preserve...;2022 March;113.3;0.2;6.5
5905;Total sales;1039 Other processed and preserve...;2022 April;115.0;1.5;6.2
5906;Total sales;1039 Other processed and preserve...;2022 May;114.5;-0.4;5.5
5907;Total sales;1039 Other processed and preserve...;2022 June;114.5;0.0;6.2
5908;Total sales;1039 Other processed and preserve...;2022 July;114.2;-0.3;6.0
5909;Total sales;1039 Other processed and preserve...;2022 August;114.5;0.3;6.1
5910;Total sales;1039 Other processed and preserve...;2022 September;114.7;0.2;6.4
5911;Total sales;1039 Other processed and preserve...;2022 October;118.9;3.7;12.4
5912;Total sales;1039 Other processed and preserve...;2022 November;121.4;2.1;14.2
5913;Total sales;1039 Other processed and preserve...;2022 December;121.2;-0.2;13.8
5914;Total sales;1039 Other processed and preserve...;2022;115.7;;8.0
5915;Total sales;1039 Other processed and preserve...;2023 January;128.7;6.2;14.3
5916;Total sales;1039 Other processed and preserve...;2023 February;129.1;0.3;14.3
5917;Total sales;1039 Other processed and preserve...;2023 March;129.8;0.5;14.6
5918;Total sales;1039 Other processed and preserve...;2023 April;131.1;1.0;14.1
5919;Total sales;1039 Other processed and preserve...;2023 May;131.0;-0.1;14.4
5920;Total sales;1039 Other processed and preserve...;2023 June;131.0;0.0;14.4
5921;Total sales;1039 Other processed and preserve...;2023 July;132.2;0.9;15.7
5922;Total sales;1039 Other processed and preserve...;2023 August;131.9;-0.2;15.2
5923;Total sales;1039 Other processed and preserve...;2023 September;132.1;0.2;15.2
5924;Total sales;1039 Other processed and preserve...;2023 October;135.1;2.3;13.6
5925;Total sales;1039 Other processed and preserve...;2023 November;137.8;2.0;13.4
5926;Total sales;1039 Other processed and preserve...;2023 December;137.6;-0.1;13.5
5927;Total sales;1039 Other processed and preserve...;2023;132.3;;14.4
5928;Total sales;10391 Processed and preserved vege...;2012 January;92.0;;
5929;Total sales;10391 Processed and preserved vege...;2012 February;92.1;0.1;
5930;Total sales;10391 Processed and preserved vege...;2012 March;92.8;0.8;
5931;Total sales;10391 Processed and preserved vege...;2012 April;93.4;0.6;
5932;Total sales;10391 Processed and preserved vege...;2012 May;93.5;0.1;
5933;Total sales;10391 Processed and preserved vege...;2012 June;93.4;-0.2;
5934;Total sales;10391 Processed and preserved vege...;2012 July;92.9;-0.6;
5935;Total sales;10391 Processed and preserved vege...;2012 August;92.9;0.0;
5936;Total sales;10391 Processed and preserved vege...;2012 September;96.8;4.2;
5937;Total sales;10391 Processed and preserved vege...;2012 October;96.8;0.0;
5938;Total sales;10391 Processed and preserved vege...;2012 November;96.8;0.0;
5939;Total sales;10391 Processed and preserved vege...;2012 December;96.4;-0.4;
5940;Total sales;10391 Processed and preserved vege...;2012;94.2;;
5941;Total sales;10391 Processed and preserved vege...;2013 January;97.5;1.1;5.9
5942;Total sales;10391 Processed and preserved vege...;2013 February;97.5;0.0;5.9
5943;Total sales;10391 Processed and preserved vege...;2013 March;97.2;-0.2;4.7
5944;Total sales;10391 Processed and preserved vege...;2013 April;97.2;0.0;4.1
5945;Total sales;10391 Processed and preserved vege...;2013 May;96.2;-1.1;2.8
5946;Total sales;10391 Processed and preserved vege...;2013 June;96.5;0.3;3.3
5947;Total sales;10391 Processed and preserved vege...;2013 July;95.7;-0.8;3.1
5948;Total sales;10391 Processed and preserved vege...;2013 August;94.8;-1.0;2.1
5949;Total sales;10391 Processed and preserved vege...;2013 September;95.0;0.2;-1.8
5950;Total sales;10391 Processed and preserved vege...;2013 October;96.5;1.5;-0.4
5951;Total sales;10391 Processed and preserved vege...;2013 November;99.7;3.3;2.9
5952;Total sales;10391 Processed and preserved vege...;2013 December;99.6;-0.1;3.3
5953;Total sales;10391 Processed and preserved vege...;2013;97.0;;3.0
5954;Total sales;10391 Processed and preserved vege...;2014 January;100.9;1.3;3.5
5955;Total sales;10391 Processed and preserved vege...;2014 February;100.9;0.0;3.5
5956;Total sales;10391 Processed and preserved vege...;2014 March;100.8;-0.1;3.6
5957;Total sales;10391 Processed and preserved vege...;2014 April;100.6;-0.1;3.5
5958;Total sales;10391 Processed and preserved vege...;2014 May;97.6;-3.0;1.5
5959;Total sales;10391 Processed and preserved vege...;2014 June;98.0;0.5;1.6
5960;Total sales;10391 Processed and preserved vege...;2014 July;98.2;0.1;2.5
5961;Total sales;10391 Processed and preserved vege...;2014 August;98.2;0.0;3.5
5962;Total sales;10391 Processed and preserved vege...;2014 September;98.2;0.0;3.3
5963;Total sales;10391 Processed and preserved vege...;2014 October;97.9;-0.2;1.5
5964;Total sales;10391 Processed and preserved vege...;2014 November;101.1;3.2;1.4
5965;Total sales;10391 Processed and preserved vege...;2014 December;101.1;0.0;1.6
5966;Total sales;10391 Processed and preserved vege...;2014;99.5;;2.6
5967;Total sales;10391 Processed and preserved vege...;2015 January;100.7;-0.4;-0.1
5968;Total sales;10391 Processed and preserved vege...;2015 February;100.4;-0.3;-0.5
5969;Total sales;10391 Processed and preserved vege...;2015 March;101.3;0.9;0.5
5970;Total sales;10391 Processed and preserved vege...;2015 April;101.1;-0.2;0.5
5971;Total sales;10391 Processed and preserved vege...;2015 May;99.5;-1.6;2.0
5972;Total sales;10391 Processed and preserved vege...;2015 June;99.9;0.4;1.9
5973;Total sales;10391 Processed and preserved vege...;2015 July;99.3;-0.6;1.1
5974;Total sales;10391 Processed and preserved vege...;2015 August;99.0;-0.3;0.8
5975;Total sales;10391 Processed and preserved vege...;2015 September;98.2;-0.8;0.1
5976;Total sales;10391 Processed and preserved vege...;2015 October;98.4;0.2;0.5
5977;Total sales;10391 Processed and preserved vege...;2015 November;100.7;2.3;-0.4
5978;Total sales;10391 Processed and preserved vege...;2015 December;101.6;0.9;0.4
5979;Total sales;10391 Processed and preserved vege...;2015;100.0;;0.6
5980;Total sales;10391 Processed and preserved vege...;2016 January;101.5;-0.1;0.7
5981;Total sales;10391 Processed and preserved vege...;2016 February;101.7;0.3;1.3
5982;Total sales;10391 Processed and preserved vege...;2016 March;101.5;-0.2;0.2
5983;Total sales;10391 Processed and preserved vege...;2016 April;100.8;-0.7;-0.2
5984;Total sales;10391 Processed and preserved vege...;2016 May;99.4;-1.4;-0.1
5985;Total sales;10391 Processed and preserved vege...;2016 June;101.2;1.8;1.3
5986;Total sales;10391 Processed and preserved vege...;2016 July;101.2;0.1;2.0
5987;Total sales;10391 Processed and preserved vege...;2016 August;100.3;-0.9;1.3
5988;Total sales;10391 Processed and preserved vege...;2016 September;100.2;-0.1;2.0
5989;Total sales;10391 Processed and preserved vege...;2016 October;100.8;0.5;2.4
5990;Total sales;10391 Processed and preserved vege...;2016 November;100.8;0.0;0.1
5991;Total sales;10391 Processed and preserved vege...;2016 December;100.8;0.0;-0.8
5992;Total sales;10391 Processed and preserved vege...;2016;100.9;;0.9
5993;Total sales;10391 Processed and preserved vege...;2017 January;100.7;-0.1;-0.7
5994;Total sales;10391 Processed and preserved vege...;2017 February;101.5;0.8;-0.2
5995;Total sales;10391 Processed and preserved vege...;2017 March;101.6;0.1;0.1
5996;Total sales;10391 Processed and preserved vege...;2017 April;101.4;-0.2;0.6
5997;Total sales;10391 Processed and preserved vege...;2017 May;102.5;1.0;3.1
5998;Total sales;10391 Processed and preserved vege...;2017 June;102.4;0.0;1.3
5999;Total sales;10391 Processed and preserved vege...;2017 July;103.0;0.6;1.8
6000;Total sales;10391 Processed and preserved vege...;2017 August;103.0;0.0;2.7
6001;Total sales;10391 Processed and preserved vege...;2017 September;102.2;-0.8;1.9
6002;Total sales;10391 Processed and preserved vege...;2017 October;102.8;0.6;2.0
6003;Total sales;10391 Processed and preserved vege...;2017 November;105.8;2.9;5.0
6004;Total sales;10391 Processed and preserved vege...;2017 December;106.3;0.5;5.5
6005;Total sales;10391 Processed and preserved vege...;2017;102.8;;1.9
6006;Total sales;10391 Processed and preserved vege...;2018 January;107.3;0.9;6.6
6007;Total sales;10391 Processed and preserved vege...;2018 February;107.2;-0.1;5.6
6008;Total sales;10391 Processed and preserved vege...;2018 March;108.0;0.8;6.3
6009;Total sales;10391 Processed and preserved vege...;2018 April;107.6;-0.4;6.1
6010;Total sales;10391 Processed and preserved vege...;2018 May;102.0;-5.2;-0.5
6011;Total sales;10391 Processed and preserved vege...;2018 June;101.9;-0.1;-0.5
6012;Total sales;10391 Processed and preserved vege...;2018 July;100.3;-1.6;-2.7
6013;Total sales;10391 Processed and preserved vege...;2018 August;100.2;-0.1;-2.7
6014;Total sales;10391 Processed and preserved vege...;2018 September;100.1;-0.1;-2.0
6015;Total sales;10391 Processed and preserved vege...;2018 October;100.0;-0.1;-2.7
6016;Total sales;10391 Processed and preserved vege...;2018 November;104.5;4.5;-1.2
6017;Total sales;10391 Processed and preserved vege...;2018 December;105.1;0.6;-1.2
6018;Total sales;10391 Processed and preserved vege...;2018;103.7;;0.9
6019;Total sales;10391 Processed and preserved vege...;2019 January;105.3;0.2;-1.9
6020;Total sales;10391 Processed and preserved vege...;2019 February;105.1;-0.2;-2.0
6021;Total sales;10391 Processed and preserved vege...;2019 March;105.1;0.0;-2.7
6022;Total sales;10391 Processed and preserved vege...;2019 April;105.4;0.3;-2.1
6023;Total sales;10391 Processed and preserved vege...;2019 May;103.6;-1.7;1.6
6024;Total sales;10391 Processed and preserved vege...;2019 June;103.5;-0.1;1.6
6025;Total sales;10391 Processed and preserved vege...;2019 July;103.8;0.3;3.6
6026;Total sales;10391 Processed and preserved vege...;2019 August;100.9;-2.9;0.7
6027;Total sales;10391 Processed and preserved vege...;2019 September;102.5;1.6;2.4
6028;Total sales;10391 Processed and preserved vege...;2019 October;102.8;0.3;2.8
6029;Total sales;10391 Processed and preserved vege...;2019 November;105.1;2.2;0.6
6030;Total sales;10391 Processed and preserved vege...;2019 December;105.1;0.0;0.0
6031;Total sales;10391 Processed and preserved vege...;2019;104.0;;0.3
6032;Total sales;10391 Processed and preserved vege...;2020 January;105.9;0.8;0.6
6033;Total sales;10391 Processed and preserved vege...;2020 February;106.2;0.2;1.0
6034;Total sales;10391 Processed and preserved vege...;2020 March;106.4;0.2;1.2
6035;Total sales;10391 Processed and preserved vege...;2020 April;105.3;-1.0;-0.1
6036;Total sales;10391 Processed and preserved vege...;2020 May;104.8;-0.5;1.1
6037;Total sales;10391 Processed and preserved vege...;2020 June;104.9;0.1;1.4
6038;Total sales;10391 Processed and preserved vege...;2020 July;105.6;0.6;1.7
6039;Total sales;10391 Processed and preserved vege...;2020 August;105.5;0.0;4.6
6040;Total sales;10391 Processed and preserved vege...;2020 September;105.3;-0.2;2.8
6041;Total sales;10391 Processed and preserved vege...;2020 October;106.2;0.9;3.3
6042;Total sales;10391 Processed and preserved vege...;2020 November;107.0;0.8;1.8
6043;Total sales;10391 Processed and preserved vege...;2020 December;107.3;0.3;2.1
6044;Total sales;10391 Processed and preserved vege...;2020;105.9;;1.8
6045;Total sales;10391 Processed and preserved vege...;2021 January;107.4;0.1;1.4
6046;Total sales;10391 Processed and preserved vege...;2021 February;107.7;0.3;1.5
6047;Total sales;10391 Processed and preserved vege...;2021 March;108.0;0.3;1.5
6048;Total sales;10391 Processed and preserved vege...;2021 April;107.8;-0.2;2.4
6049;Total sales;10391 Processed and preserved vege...;2021 May;108.7;0.8;3.7
6050;Total sales;10391 Processed and preserved vege...;2021 June;106.9;-1.6;1.9
6051;Total sales;10391 Processed and preserved vege...;2021 July;108.3;1.3;2.6
6052;Total sales;10391 Processed and preserved vege...;2021 August;108.7;0.4;3.0
6053;Total sales;10391 Processed and preserved vege...;2021 September;108.4;-0.3;3.0
6054;Total sales;10391 Processed and preserved vege...;2021 October;107.8;-0.5;1.5
6055;Total sales;10391 Processed and preserved vege...;2021 November;108.8;0.9;1.7
6056;Total sales;10391 Processed and preserved vege...;2021 December;109.2;0.4;1.7
6057;Total sales;10391 Processed and preserved vege...;2021;108.1;;2.2
6058;Total sales;10391 Processed and preserved vege...;2022 January;113.6;4.0;5.8
6059;Total sales;10391 Processed and preserved vege...;2022 February;114.4;0.7;6.2
6060;Total sales;10391 Processed and preserved vege...;2022 March;115.0;0.5;6.5
6061;Total sales;10391 Processed and preserved vege...;2022 April;117.5;2.2;9.0
6062;Total sales;10391 Processed and preserved vege...;2022 May;116.5;-0.9;7.2
6063;Total sales;10391 Processed and preserved vege...;2022 June;116.4;0.0;8.9
6064;Total sales;10391 Processed and preserved vege...;2022 July;117.2;0.7;8.2
6065;Total sales;10391 Processed and preserved vege...;2022 August;117.9;0.6;8.4
6066;Total sales;10391 Processed and preserved vege...;2022 September;118.3;0.4;9.1
6067;Total sales;10391 Processed and preserved vege...;2022 October;121.7;2.9;12.8
6068;Total sales;10391 Processed and preserved vege...;2022 November;127.3;4.6;17.0
6069;Total sales;10391 Processed and preserved vege...;2022 December;126.8;-0.4;16.1
6070;Total sales;10391 Processed and preserved vege...;2022;118.5;;9.6
6071;Total sales;10391 Processed and preserved vege...;2023 January;131.1;3.4;15.4
6072;Total sales;10391 Processed and preserved vege...;2023 February;132.0;0.7;15.3
6073;Total sales;10391 Processed and preserved vege...;2023 March;133.4;1.1;16.0
6074;Total sales;10391 Processed and preserved vege...;2023 April;134.1;0.5;14.1
6075;Total sales;10391 Processed and preserved vege...;2023 May;131.9;-1.6;13.2
6076;Total sales;10391 Processed and preserved vege...;2023 June;131.9;0.0;13.3
6077;Total sales;10391 Processed and preserved vege...;2023 July;131.7;-0.2;12.3
6078;Total sales;10391 Processed and preserved vege...;2023 August;131.2;-0.4;11.3
6079;Total sales;10391 Processed and preserved vege...;2023 September;131.6;0.3;11.3
6080;Total sales;10391 Processed and preserved vege...;2023 October;131.5;-0.1;8.0
6081;Total sales;10391 Processed and preserved vege...;2023 November;137.3;4.4;7.9
6082;Total sales;10391 Processed and preserved vege...;2023 December;136.9;-0.3;8.0
6083;Total sales;10391 Processed and preserved vege...;2023;132.9;;12.1
6084;Total sales;104 Vegetable and animal oils an...;2012 January;103.4;;
6085;Total sales;104 Vegetable and animal oils an...;2012 February;104.3;0.9;
6086;Total sales;104 Vegetable and animal oils an...;2012 March;108.5;4.0;
6087;Total sales;104 Vegetable and animal oils an...;2012 April;111.4;2.7;
