ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
5181;Cost of ownership transfer on land;N Renting and other business support;2006;5.0;71.4;6.0;0.0;0.0;1.0;0.0;0.0;5.0
5182;Cost of ownership transfer on land;N Renting and other business support;2007;5.0;71.4;5.0;0.0;0.0;1.0;0.0;0.0;5.0
5183;Cost of ownership transfer on land;N Renting and other business support;2008;4.0;57.1;5.0;0.0;0.0;0.0;0.0;0.0;4.0
5184;Cost of ownership transfer on land;N Renting and other business support;2009;5.0;71.4;4.0;0.0;1.0;0.0;0.0;0.0;5.0
5185;Cost of ownership transfer on land;N Renting and other business support;2010;7.0;100.0;5.0;0.0;2.0;1.0;0.0;0.0;7.0
5186;Cost of ownership transfer on land;N Renting and other business support;2011;5.0;83.3;7.0;-1.0;0.0;1.0;0.0;0.0;5.0
5187;Cost of ownership transfer on land;N Renting and other business support;2012;4.0;83.3;5.0;-1.0;0.0;0.0;0.0;0.0;4.0
5188;Cost of ownership transfer on land;N Renting and other business support;2013;4.0;83.3;4.0;0.0;0.0;0.0;0.0;0.0;4.0
5189;Cost of ownership transfer on land;N Renting and other business support;2014;3.0;62.5;4.0;0.0;0.0;0.0;0.0;0.0;3.0
5190;Cost of ownership transfer on land;N Renting and other business support;2015;3.0;62.5;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5191;Cost of ownership transfer on land;N Renting and other business support;2016;3.0;62.5;3.0;;;;;;3.0
5192;Cost of ownership transfer on land;O-Q Government and care;1995;869.0;55.7;795.0;14.0;145.0;86.0;0.0;0.0;869.0
5193;Cost of ownership transfer on land;O-Q Government and care;1996;1011.0;61.7;869.0;50.0;189.0;97.0;0.0;0.0;1011.0
5194;Cost of ownership transfer on land;O-Q Government and care;1997;1163.0;68.8;1011.0;47.0;214.0;110.0;0.0;0.0;1163.0
5195;Cost of ownership transfer on land;O-Q Government and care;1998;1371.0;73.9;1163.0;109.0;229.0;130.0;0.0;0.0;1371.0
5196;Cost of ownership transfer on land;O-Q Government and care;1999;1606.0;82.8;1371.0;89.0;296.0;150.0;0.0;0.0;1606.0
5197;Cost of ownership transfer on land;O-Q Government and care;2000;1983.0;93.0;1606.0;169.0;390.0;182.0;0.0;0.0;1983.0
5198;Cost of ownership transfer on land;O-Q Government and care;2001;2327.0;100.3;1983.0;192.0;369.0;217.0;0.0;0.0;2327.0
5199;Cost of ownership transfer on land;O-Q Government and care;2002;2495.0;105.0;2327.0;56.0;349.0;237.0;0.0;0.0;2495.0
5200;Cost of ownership transfer on land;O-Q Government and care;2003;2634.0;107.3;2495.0;84.0;311.0;256.0;0.0;0.0;2634.0
5201;Cost of ownership transfer on land;O-Q Government and care;2004;2667.0;105.8;2634.0;69.0;232.0;268.0;0.0;0.0;2667.0
5202;Cost of ownership transfer on land;O-Q Government and care;2005;2710.0;105.5;2667.0;52.0;267.0;276.0;0.0;0.0;2710.0
5203;Cost of ownership transfer on land;O-Q Government and care;2006;2748.0;103.9;2710.0;79.0;245.0;286.0;0.0;0.0;2748.0
5204;Cost of ownership transfer on land;O-Q Government and care;2007;2781.0;102.4;2748.0;76.0;251.0;294.0;0.0;0.0;2781.0
5205;Cost of ownership transfer on land;O-Q Government and care;2008;2833.0;101.4;2781.0;79.0;276.0;302.0;0.0;0.0;2833.0
5206;Cost of ownership transfer on land;O-Q Government and care;2009;2862.0;102.3;2833.0;4.0;329.0;304.0;0.0;0.0;2862.0
5207;Cost of ownership transfer on land;O-Q Government and care;2010;2799.0;100.0;2862.0;1.0;241.0;305.0;0.0;0.0;2799.0
5208;Cost of ownership transfer on land;O-Q Government and care;2011;2383.0;97.1;2799.0;-345.0;191.0;263.0;0.0;0.0;2383.0
5209;Cost of ownership transfer on land;O-Q Government and care;2012;1965.0;95.4;2383.0;-383.0;181.0;217.0;0.0;0.0;1965.0
5210;Cost of ownership transfer on land;O-Q Government and care;2013;1877.0;91.6;1965.0;-11.0;134.0;211.0;0.0;0.0;1877.0
5211;Cost of ownership transfer on land;O-Q Government and care;2014;1857.0;87.2;1877.0;74.0;119.0;212.0;0.0;0.0;1857.0
5212;Cost of ownership transfer on land;O-Q Government and care;2015;1818.0;81.5;1857.0;88.0;86.0;213.0;0.0;0.0;1818.0
5213;Cost of ownership transfer on land;O-Q Government and care;2016;1746.0;76.3;1818.0;;;;;;1746.0
5214;Cost of ownership transfer on land;O Public administration and services;1995;755.0;53.6;696.0;13.0;124.0;78.0;0.0;0.0;755.0
5215;Cost of ownership transfer on land;O Public administration and services;1996;879.0;59.4;755.0;45.0;168.0;88.0;0.0;0.0;879.0
5216;Cost of ownership transfer on land;O Public administration and services;1997;1020.0;66.8;879.0;44.0;197.0;100.0;0.0;0.0;1020.0
5217;Cost of ownership transfer on land;O Public administration and services;1998;1208.0;72.1;1020.0;95.0;212.0;118.0;0.0;0.0;1208.0
5218;Cost of ownership transfer on land;O Public administration and services;1999;1431.0;81.7;1208.0;84.0;276.0;137.0;0.0;0.0;1431.0
5219;Cost of ownership transfer on land;O Public administration and services;2000;1789.0;92.9;1431.0;152.0;374.0;168.0;0.0;0.0;1789.0
5220;Cost of ownership transfer on land;O Public administration and services;2001;2115.0;101.0;1789.0;173.0;354.0;201.0;0.0;0.0;2115.0
5221;Cost of ownership transfer on land;O Public administration and services;2002;2284.0;106.2;2115.0;57.0;333.0;221.0;0.0;0.0;2284.0
5222;Cost of ownership transfer on land;O Public administration and services;2003;2417.0;108.8;2284.0;77.0;295.0;239.0;0.0;0.0;2417.0
5223;Cost of ownership transfer on land;O Public administration and services;2004;2445.0;107.1;2417.0;66.0;213.0;251.0;0.0;0.0;2445.0
5224;Cost of ownership transfer on land;O Public administration and services;2005;2482.0;106.6;2445.0;49.0;246.0;258.0;0.0;0.0;2482.0
5225;Cost of ownership transfer on land;O Public administration and services;2006;2512.0;104.8;2482.0;73.0;224.0;267.0;0.0;0.0;2512.0
5226;Cost of ownership transfer on land;O Public administration and services;2007;2535.0;102.8;2512.0;71.0;227.0;274.0;0.0;0.0;2535.0
5227;Cost of ownership transfer on land;O Public administration and services;2008;2578.0;101.7;2535.0;71.0;253.0;282.0;0.0;0.0;2578.0
5228;Cost of ownership transfer on land;O Public administration and services;2009;2598.0;102.7;2578.0;-3.0;306.0;283.0;0.0;0.0;2598.0
5229;Cost of ownership transfer on land;O Public administration and services;2010;2528.0;100.0;2598.0;-3.0;216.0;282.0;0.0;0.0;2528.0
5230;Cost of ownership transfer on land;O Public administration and services;2011;2119.0;96.6;2528.0;-334.0;166.0;241.0;0.0;0.0;2119.0
5231;Cost of ownership transfer on land;O Public administration and services;2012;1714.0;94.5;2119.0;-367.0;158.0;196.0;0.0;0.0;1714.0
5232;Cost of ownership transfer on land;O Public administration and services;2013;1624.0;90.3;1714.0;-14.0;114.0;190.0;0.0;0.0;1624.0
5233;Cost of ownership transfer on land;O Public administration and services;2014;1593.0;85.5;1624.0;58.0;100.0;190.0;0.0;0.0;1593.0
5234;Cost of ownership transfer on land;O Public administration and services;2015;1540.0;79.1;1593.0;71.0;66.0;190.0;0.0;0.0;1540.0
5235;Cost of ownership transfer on land;O Public administration and services;2016;1469.0;73.2;1540.0;;;;;;1469.0
5236;Cost of ownership transfer on land;P Education;1995;47.0;196.2;41.0;1.0;8.0;3.0;0.0;0.0;47.0
5237;Cost of ownership transfer on land;P Education;1996;50.0;198.8;47.0;2.0;5.0;4.0;0.0;0.0;50.0
5238;Cost of ownership transfer on land;P Education;1997;51.0;196.3;50.0;1.0;3.0;4.0;0.0;0.0;51.0
5239;Cost of ownership transfer on land;P Education;1998;55.0;193.0;51.0;5.0;4.0;4.0;0.0;0.0;55.0
5240;Cost of ownership transfer on land;P Education;1999;57.0;191.3;55.0;2.0;4.0;4.0;0.0;0.0;57.0
5241;Cost of ownership transfer on land;P Education;2000;63.0;192.3;57.0;6.0;5.0;5.0;0.0;0.0;63.0
5242;Cost of ownership transfer on land;P Education;2001;65.0;180.5;63.0;6.0;2.0;5.0;0.0;0.0;65.0
5243;Cost of ownership transfer on land;P Education;2002;61.0;172.0;65.0;-1.0;2.0;5.0;0.0;0.0;61.0
5244;Cost of ownership transfer on land;P Education;2003;59.0;161.1;61.0;2.0;1.0;5.0;0.0;0.0;59.0
5245;Cost of ownership transfer on land;P Education;2004;55.0;147.7;59.0;1.0;1.0;5.0;0.0;0.0;55.0
5246;Cost of ownership transfer on land;P Education;2005;52.0;139.6;55.0;0.0;1.0;5.0;0.0;0.0;52.0
5247;Cost of ownership transfer on land;P Education;2006;49.0;129.1;52.0;1.0;1.0;5.0;0.0;0.0;49.0
5248;Cost of ownership transfer on land;P Education;2007;48.0;123.9;49.0;1.0;2.0;5.0;0.0;0.0;48.0
5249;Cost of ownership transfer on land;P Education;2008;47.0;116.5;48.0;2.0;2.0;5.0;0.0;0.0;47.0
5250;Cost of ownership transfer on land;P Education;2009;45.0;107.0;47.0;2.0;1.0;5.0;0.0;0.0;45.0
5251;Cost of ownership transfer on land;P Education;2010;43.0;100.0;45.0;1.0;1.0;4.0;0.0;0.0;43.0
5252;Cost of ownership transfer on land;P Education;2011;40.0;93.0;43.0;0.0;1.0;4.0;0.0;0.0;40.0
5253;Cost of ownership transfer on land;P Education;2012;37.0;86.0;40.0;0.0;1.0;4.0;0.0;0.0;37.0
5254;Cost of ownership transfer on land;P Education;2013;35.0;79.3;37.0;1.0;1.0;4.0;0.0;0.0;35.0
5255;Cost of ownership transfer on land;P Education;2014;34.0;72.8;35.0;2.0;1.0;4.0;0.0;0.0;34.0
5256;Cost of ownership transfer on land;P Education;2015;34.0;68.8;34.0;2.0;1.0;4.0;0.0;0.0;34.0
5257;Cost of ownership transfer on land;P Education;2016;31.0;62.7;34.0;;;;;;31.0
5258;Cost of ownership transfer on land;86 Human health activities;1995;24.0;51.9;21.0;0.0;5.0;2.0;0.0;0.0;24.0
5259;Cost of ownership transfer on land;86 Human health activities;1996;29.0;59.7;24.0;1.0;5.0;2.0;0.0;0.0;29.0
5260;Cost of ownership transfer on land;86 Human health activities;1997;31.0;61.8;29.0;1.0;4.0;2.0;0.0;0.0;31.0
5261;Cost of ownership transfer on land;86 Human health activities;1998;37.0;67.3;31.0;3.0;5.0;2.0;0.0;0.0;37.0
5262;Cost of ownership transfer on land;86 Human health activities;1999;42.0;73.0;37.0;1.0;6.0;3.0;0.0;0.0;42.0
5263;Cost of ownership transfer on land;86 Human health activities;2000;46.0;72.7;42.0;4.0;4.0;3.0;0.0;0.0;46.0
5264;Cost of ownership transfer on land;86 Human health activities;2001;52.0;77.8;46.0;4.0;5.0;4.0;0.0;0.0;52.0
5265;Cost of ownership transfer on land;86 Human health activities;2002;54.0;79.3;52.0;1.0;5.0;4.0;0.0;0.0;54.0
5266;Cost of ownership transfer on land;86 Human health activities;2003;56.0;79.3;54.0;2.0;5.0;4.0;0.0;0.0;56.0
5267;Cost of ownership transfer on land;86 Human health activities;2004;60.0;83.4;56.0;1.0;7.0;4.0;0.0;0.0;60.0
5268;Cost of ownership transfer on land;86 Human health activities;2005;63.0;86.2;60.0;1.0;7.0;5.0;0.0;0.0;63.0
5269;Cost of ownership transfer on land;86 Human health activities;2006;66.0;87.5;63.0;2.0;7.0;5.0;0.0;0.0;66.0
5270;Cost of ownership transfer on land;86 Human health activities;2007;72.0;92.6;66.0;2.0;9.0;5.0;0.0;0.0;72.0
5271;Cost of ownership transfer on land;86 Human health activities;2008;76.0;95.2;72.0;2.0;8.0;6.0;0.0;0.0;76.0
5272;Cost of ownership transfer on land;86 Human health activities;2009;80.0;97.6;76.0;2.0;8.0;6.0;0.0;0.0;80.0
5273;Cost of ownership transfer on land;86 Human health activities;2010;83.0;100.0;80.0;1.0;9.0;6.0;0.0;0.0;83.0
5274;Cost of ownership transfer on land;86 Human health activities;2011;82.0;103.8;83.0;-4.0;9.0;6.0;0.0;0.0;82.0
5275;Cost of ownership transfer on land;86 Human health activities;2012;77.0;106.6;82.0;-7.0;8.0;6.0;0.0;0.0;77.0
5276;Cost of ownership transfer on land;86 Human health activities;2013;78.0;106.6;77.0;1.0;6.0;6.0;0.0;0.0;78.0
5277;Cost of ownership transfer on land;86 Human health activities;2014;83.0;106.6;78.0;5.0;6.0;7.0;0.0;0.0;83.0
5278;Cost of ownership transfer on land;86 Human health activities;2015;87.0;104.2;83.0;6.0;6.0;7.0;0.0;0.0;87.0
5279;Cost of ownership transfer on land;86 Human health activities;2016;87.0;104.2;87.0;;;;;;87.0
5280;Cost of ownership transfer on land;87-88 Care and social work;1995;43.0;53.2;38.0;0.0;8.0;3.0;0.0;0.0;43.0
5281;Cost of ownership transfer on land;87-88 Care and social work;1996;53.0;62.5;43.0;2.0;11.0;3.0;0.0;0.0;53.0
5282;Cost of ownership transfer on land;87-88 Care and social work;1997;60.0;68.5;53.0;1.0;10.0;4.0;0.0;0.0;60.0
5283;Cost of ownership transfer on land;87-88 Care and social work;1998;70.0;72.8;60.0;6.0;8.0;5.0;0.0;0.0;70.0
5284;Cost of ownership transfer on land;87-88 Care and social work;1999;77.0;76.6;70.0;2.0;10.0;5.0;0.0;0.0;77.0
5285;Cost of ownership transfer on land;87-88 Care and social work;2000;85.0;76.9;77.0;7.0;7.0;6.0;0.0;0.0;85.0
5286;Cost of ownership transfer on land;87-88 Care and social work;2001;95.0;78.9;85.0;8.0;8.0;7.0;0.0;0.0;95.0
5287;Cost of ownership transfer on land;87-88 Care and social work;2002;96.0;79.7;95.0;0.0;9.0;7.0;0.0;0.0;96.0
5288;Cost of ownership transfer on land;87-88 Care and social work;2003;102.0;82.1;96.0;3.0;10.0;8.0;0.0;0.0;102.0
5289;Cost of ownership transfer on land;87-88 Care and social work;2004;107.0;84.5;102.0;2.0;11.0;8.0;0.0;0.0;107.0
5290;Cost of ownership transfer on land;87-88 Care and social work;2005;113.0;88.4;107.0;1.0;13.0;8.0;0.0;0.0;113.0
5291;Cost of ownership transfer on land;87-88 Care and social work;2006;119.0;90.7;113.0;3.0;13.0;9.0;0.0;0.0;119.0
5292;Cost of ownership transfer on land;87-88 Care and social work;2007;126.0;93.7;119.0;3.0;13.0;10.0;0.0;0.0;126.0
5293;Cost of ownership transfer on land;87-88 Care and social work;2008;132.0;95.1;126.0;4.0;13.0;10.0;0.0;0.0;132.0
5294;Cost of ownership transfer on land;87-88 Care and social work;2009;140.0;97.9;132.0;4.0;14.0;11.0;0.0;0.0;140.0
5295;Cost of ownership transfer on land;87-88 Care and social work;2010;145.0;100.0;140.0;2.0;15.0;11.0;0.0;0.0;145.0
5296;Cost of ownership transfer on land;87-88 Care and social work;2011;143.0;102.9;145.0;-6.0;15.0;11.0;0.0;0.0;143.0
5297;Cost of ownership transfer on land;87-88 Care and social work;2012;136.0;105.2;143.0;-10.0;14.0;11.0;0.0;0.0;136.0
5298;Cost of ownership transfer on land;87-88 Care and social work;2013;139.0;106.7;136.0;1.0;13.0;11.0;0.0;0.0;139.0
5299;Cost of ownership transfer on land;87-88 Care and social work;2014;148.0;107.5;139.0;8.0;12.0;12.0;0.0;0.0;148.0
5300;Cost of ownership transfer on land;87-88 Care and social work;2015;157.0;107.5;148.0;9.0;13.0;13.0;0.0;0.0;157.0
5301;Cost of ownership transfer on land;87-88 Care and social work;2016;159.0;108.8;157.0;;;;;;159.0
5302;Cost of ownership transfer on land;R-U Culture, recreation, other services;1995;5.0;89.7;4.0;0.0;2.0;0.0;0.0;0.0;5.0
5303;Cost of ownership transfer on land;R-U Culture, recreation, other services;1996;5.0;85.5;5.0;0.0;0.0;0.0;0.0;0.0;5.0
5304;Cost of ownership transfer on land;R-U Culture, recreation, other services;1997;6.0;99.3;5.0;0.0;1.0;0.0;0.0;0.0;6.0
5305;Cost of ownership transfer on land;R-U Culture, recreation, other services;1998;7.0;105.6;6.0;1.0;1.0;0.0;0.0;0.0;7.0
5306;Cost of ownership transfer on land;R-U Culture, recreation, other services;1999;7.0;101.0;7.0;0.0;1.0;1.0;0.0;0.0;7.0
5307;Cost of ownership transfer on land;R-U Culture, recreation, other services;2000;8.0;105.0;7.0;1.0;1.0;1.0;0.0;0.0;8.0
5308;Cost of ownership transfer on land;R-U Culture, recreation, other services;2001;9.0;90.0;8.0;1.0;1.0;1.0;0.0;0.0;9.0
5309;Cost of ownership transfer on land;R-U Culture, recreation, other services;2002;9.0;90.0;9.0;0.0;0.0;1.0;0.0;0.0;9.0
5310;Cost of ownership transfer on land;R-U Culture, recreation, other services;2003;8.0;80.0;9.0;0.0;0.0;1.0;0.0;0.0;8.0
5311;Cost of ownership transfer on land;R-U Culture, recreation, other services;2004;9.0;90.0;8.0;0.0;1.0;1.0;0.0;0.0;9.0
5312;Cost of ownership transfer on land;R-U Culture, recreation, other services;2005;8.0;80.0;9.0;0.0;0.0;1.0;0.0;0.0;8.0
5313;Cost of ownership transfer on land;R-U Culture, recreation, other services;2006;8.0;80.0;8.0;0.0;1.0;1.0;0.0;0.0;8.0
5314;Cost of ownership transfer on land;R-U Culture, recreation, other services;2007;8.0;80.0;8.0;0.0;0.0;1.0;0.0;0.0;8.0
5315;Cost of ownership transfer on land;R-U Culture, recreation, other services;2008;9.0;90.0;8.0;0.0;2.0;1.0;0.0;0.0;9.0
5316;Cost of ownership transfer on land;R-U Culture, recreation, other services;2009;9.0;90.0;9.0;0.0;0.0;1.0;0.0;0.0;9.0
5317;Cost of ownership transfer on land;R-U Culture, recreation, other services;2010;10.0;100.0;9.0;0.0;2.0;1.0;0.0;0.0;10.0
5318;Cost of ownership transfer on land;R-U Culture, recreation, other services;2011;8.0;88.9;10.0;-1.0;0.0;1.0;0.0;0.0;8.0
5319;Cost of ownership transfer on land;R-U Culture, recreation, other services;2012;6.0;76.2;8.0;-1.0;0.0;1.0;0.0;0.0;6.0
5320;Cost of ownership transfer on land;R-U Culture, recreation, other services;2013;5.0;63.5;6.0;0.0;0.0;1.0;0.0;0.0;5.0
5321;Cost of ownership transfer on land;R-U Culture, recreation, other services;2014;5.0;63.5;5.0;0.0;0.0;1.0;0.0;0.0;5.0
5322;Cost of ownership transfer on land;R-U Culture, recreation, other services;2015;5.0;63.5;5.0;0.0;0.0;1.0;0.0;0.0;5.0
5323;Cost of ownership transfer on land;R-U Culture, recreation, other services;2016;4.0;50.8;5.0;;;;;;4.0
5324;Cost of ownership transfer on land;R Culture, sports and recreation;1995;5.0;179.5;4.0;0.0;2.0;0.0;0.0;0.0;5.0
5325;Cost of ownership transfer on land;R Culture, sports and recreation;1996;5.0;170.9;5.0;0.0;0.0;0.0;0.0;0.0;5.0
5326;Cost of ownership transfer on land;R Culture, sports and recreation;1997;6.0;198.6;5.0;0.0;1.0;0.0;0.0;0.0;6.0
5327;Cost of ownership transfer on land;R Culture, sports and recreation;1998;7.0;211.3;6.0;1.0;1.0;0.0;0.0;0.0;7.0
5328;Cost of ownership transfer on land;R Culture, sports and recreation;1999;7.0;202.0;7.0;0.0;1.0;1.0;0.0;0.0;7.0
5329;Cost of ownership transfer on land;R Culture, sports and recreation;2000;8.0;210.0;7.0;1.0;1.0;1.0;0.0;0.0;8.0
5330;Cost of ownership transfer on land;R Culture, sports and recreation;2001;9.0;180.0;8.0;1.0;1.0;1.0;0.0;0.0;9.0
5331;Cost of ownership transfer on land;R Culture, sports and recreation;2002;9.0;180.0;9.0;0.0;0.0;1.0;0.0;0.0;9.0
5332;Cost of ownership transfer on land;R Culture, sports and recreation;2003;8.0;160.0;9.0;0.0;0.0;1.0;0.0;0.0;8.0
5333;Cost of ownership transfer on land;R Culture, sports and recreation;2004;9.0;180.0;8.0;0.0;1.0;1.0;0.0;0.0;9.0
5334;Cost of ownership transfer on land;R Culture, sports and recreation;2005;8.0;160.0;9.0;0.0;0.0;1.0;0.0;0.0;8.0
5335;Cost of ownership transfer on land;R Culture, sports and recreation;2006;7.0;140.0;8.0;0.0;0.0;1.0;0.0;0.0;7.0
5336;Cost of ownership transfer on land;R Culture, sports and recreation;2007;7.0;140.0;7.0;0.0;0.0;1.0;0.0;0.0;7.0
5337;Cost of ownership transfer on land;R Culture, sports and recreation;2008;6.0;120.0;7.0;0.0;0.0;1.0;0.0;0.0;6.0
5338;Cost of ownership transfer on land;R Culture, sports and recreation;2009;6.0;120.0;6.0;0.0;0.0;1.0;0.0;0.0;6.0
5339;Cost of ownership transfer on land;R Culture, sports and recreation;2010;5.0;100.0;6.0;0.0;0.0;1.0;0.0;0.0;5.0
5340;Cost of ownership transfer on land;R Culture, sports and recreation;2011;4.0;100.0;5.0;-1.0;0.0;1.0;0.0;0.0;4.0
5341;Cost of ownership transfer on land;R Culture, sports and recreation;2012;3.0;100.0;4.0;-1.0;0.0;0.0;0.0;0.0;3.0
5342;Cost of ownership transfer on land;R Culture, sports and recreation;2013;3.0;100.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5343;Cost of ownership transfer on land;R Culture, sports and recreation;2014;3.0;100.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5344;Cost of ownership transfer on land;R Culture, sports and recreation;2015;2.0;66.7;3.0;0.0;0.0;0.0;0.0;0.0;2.0
5345;Cost of ownership transfer on land;R Culture, sports and recreation;2016;2.0;66.7;2.0;;;;;;2.0
5346;Cost of ownership transfer on land;S Other service activities;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5347;Cost of ownership transfer on land;S Other service activities;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5348;Cost of ownership transfer on land;S Other service activities;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5349;Cost of ownership transfer on land;S Other service activities;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5350;Cost of ownership transfer on land;S Other service activities;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5351;Cost of ownership transfer on land;S Other service activities;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5352;Cost of ownership transfer on land;S Other service activities;2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5353;Cost of ownership transfer on land;S Other service activities;2002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5354;Cost of ownership transfer on land;S Other service activities;2003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5355;Cost of ownership transfer on land;S Other service activities;2004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5356;Cost of ownership transfer on land;S Other service activities;2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5357;Cost of ownership transfer on land;S Other service activities;2006;1.0;25.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
5358;Cost of ownership transfer on land;S Other service activities;2007;1.0;25.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
