ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
6729;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 September;3702;109.0;0.1;2.4;3702;109.0;0.1;2.4
6730;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 October;3702;109.0;0.4;2.6;3702;109.0;0.4;2.6
6731;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 November;3702;109.0;0.0;2.5;3702;109.0;0.0;2.5
6732;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 December;3702;109.0;0.0;2.4;3702;109.0;0.0;2.4
6733;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004;3702;109.0;;1.9;3702;109.0;;1.9
6734;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 January;3702;111.0;1.2;3.0;3702;111.0;1.2;3.0
6735;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 February;3702;111.0;-0.1;2.9;3702;111.0;-0.1;2.9
6736;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 March;3702;111.0;0.1;3.0;3702;111.0;0.1;3.0
6737;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 April;3702;111.0;0.4;3.0;3702;111.0;0.4;3.0
6738;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 May;3702;111.0;0.0;2.9;3702;111.0;0.0;2.9
6739;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 June;3702;112.0;0.3;3.2;3702;112.0;0.3;3.2
6740;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 July;3702;112.0;0.3;2.7;3702;112.0;0.3;2.7
6741;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 August;3702;112.0;0.0;2.7;3702;112.0;0.0;2.7
6742;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 September;3702;112.0;0.0;2.7;3702;112.0;0.0;2.7
6743;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 October;3702;112.0;0.1;2.4;3702;112.0;0.1;2.4
6744;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 November;3702;112.0;0.0;2.4;3702;112.0;0.0;2.4
6745;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005 December;3702;112.0;0.0;2.4;3702;112.0;0.0;2.4
6746;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2005;3702;112.0;;2.8;3702;112.0;;2.8
6747;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 January;3702;113.0;0.8;2.0;3702;113.0;0.8;2.0
6748;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 February;3702;113.0;0.0;2.1;3702;113.0;0.0;2.1
6749;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 March;3702;113.0;0.1;2.0;3702;113.0;0.1;2.0
6750;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 April;3702;114.0;0.5;2.1;3702;114.0;0.5;2.1
6751;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 May;3702;114.0;0.0;2.2;3702;114.0;0.0;2.2
6752;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 June;3702;114.0;0.0;1.9;3702;114.0;0.0;1.9
6753;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 July;3702;114.0;0.5;2.2;3702;114.0;0.5;2.2
6754;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 August;3702;114.0;0.0;2.1;3702;114.0;0.0;2.1
6755;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 September;3702;114.0;0.0;2.1;3702;114.0;0.0;2.1
6756;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 October;3702;115.0;0.3;2.3;3702;115.0;0.3;2.3
6757;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 November;3702;115.0;0.0;2.3;3702;115.0;0.0;2.3
6758;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006 December;3702;115.0;0.1;2.4;3702;115.0;0.1;2.4
6759;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2006;3702;114.0;;2.1;3702;114.0;;2.1
6760;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 January;3702;116.0;1.5;3.1;3702;116.0;1.5;3.1
6761;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 February;3702;116.0;0.0;3.1;3702;116.0;0.0;3.1
6762;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 March;3702;117.0;0.1;3.1;3702;117.0;0.1;3.1
6763;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 April;3702;117.0;0.4;3.0;3702;117.0;0.4;3.0
6764;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 May;3702;117.0;0.0;3.0;3702;117.0;0.0;3.0
6765;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 June;3702;117.0;0.0;2.9;3702;117.0;0.0;2.9
6766;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 July;3702;118.0;0.5;2.9;3702;118.0;0.5;2.9
6767;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 August;3702;118.0;0.0;2.9;3702;118.0;0.0;2.9
6768;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 September;3702;118.0;0.0;3.0;3702;118.0;0.0;3.0
6769;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 October;3702;118.0;0.3;2.9;3702;118.0;0.3;2.9
6770;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 November;3702;118.0;0.0;2.9;3702;118.0;0.0;2.9
6771;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007 December;3702;118.0;0.0;2.9;3702;118.0;0.0;2.9
6772;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2007;3702;117.0;;3.0;3702;117.0;;3.0
6773;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 January;3702;120.0;1.5;2.9;3702;120.0;1.5;2.9
6774;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 February;3702;120.0;0.1;3.0;3702;120.0;0.1;3.0
6775;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 March;3702;120.0;0.0;2.9;3702;120.0;0.0;2.9
6776;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 April;3702;120.0;0.4;2.9;3702;120.0;0.4;2.9
6777;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 May;3702;121.0;0.1;3.0;3702;121.0;0.1;3.0
6778;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 June;3702;121.0;0.1;3.1;3702;121.0;0.1;3.1
6779;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 July;3702;122.0;1.0;3.7;3702;122.0;1.0;3.7
6780;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 August;3702;122.0;0.1;3.7;3702;122.0;0.1;3.7
6781;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 September;3702;122.0;0.0;3.7;3702;122.0;0.0;3.7
6782;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 October;3702;123.0;0.4;3.9;3702;123.0;0.4;3.9
6783;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 November;3702;123.0;0.0;3.9;3702;123.0;0.0;3.9
6784;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008 December;3702;123.0;0.0;3.9;3702;123.0;0.0;3.9
6785;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2008;3702;121.0;;3.4;3702;121.0;;3.4
6786;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 January;2138;100.0;;;2138;100.0;;
6787;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 February;2138;100.0;-0.1;;2138;100.0;-0.1;
6788;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 March;2138;99.0;0.0;;2138;99.0;0.0;
6789;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 April;2138;100.0;0.1;;2138;100.0;0.1;
6790;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 May;2138;100.0;0.3;;2138;100.0;0.3;
6791;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 June;2138;100.0;0.1;;2138;100.0;0.1;
6792;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 July;2138;100.0;0.3;;2138;100.0;0.3;
6793;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 August;2138;100.0;0.0;;2138;100.0;0.0;
6794;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 September;2138;100.0;-0.1;;2138;100.0;-0.1;
6795;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 October;2138;101.0;0.4;;2138;101.0;0.4;
6796;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 November;2138;101.0;0.0;;2138;101.0;0.0;
6797;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000 December;2138;100.0;-0.1;;2138;100.0;-0.1;
6798;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2000;2138;100.0;;;2138;100.0;;
6799;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 January;2138;102.0;1.6;2.4;2138;102.0;1.6;2.4
6800;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 February;2138;102.0;0.0;2.5;2138;102.0;0.0;2.5
6801;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 March;2138;102.0;0.0;2.6;2138;102.0;0.0;2.6
6802;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 April;2138;102.0;0.0;2.4;2138;102.0;0.0;2.4
6803;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 May;2138;102.0;0.0;2.2;2138;102.0;0.0;2.2
6804;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 June;2138;102.0;0.0;2.1;2138;102.0;0.0;2.1
6805;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 July;2138;102.0;0.1;2.0;2138;102.0;0.1;2.0
6806;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 August;2138;102.0;0.0;2.0;2138;102.0;0.0;2.0
6807;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 September;2138;102.0;0.1;2.2;2138;102.0;0.1;2.2
6808;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 October;2138;102.0;-0.1;1.7;2138;102.0;-0.1;1.7
6809;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 November;2138;103.0;0.6;2.3;2138;103.0;0.6;2.3
6810;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001 December;2138;103.0;-0.2;2.2;2138;103.0;-0.2;2.2
6811;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2001;2138;102.0;;2.2;2138;102.0;;2.2
6812;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 January;2138;103.0;0.6;1.2;2138;103.0;0.6;1.2
6813;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 February;2138;103.0;0.1;1.3;2138;103.0;0.1;1.3
6814;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 March;2138;103.0;0.0;1.3;2138;103.0;0.0;1.3
6815;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 April;2138;103.0;0.0;1.3;2138;103.0;0.0;1.3
6816;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 May;2138;103.0;0.0;1.3;2138;103.0;0.0;1.3
6817;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 June;2138;103.0;0.0;1.3;2138;103.0;0.0;1.3
6818;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 July;2138;104.0;0.5;1.7;2138;104.0;0.5;1.7
6819;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 August;2138;105.0;0.8;2.5;2138;105.0;0.8;2.5
6820;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 September;2138;105.0;0.0;2.4;2138;105.0;0.0;2.4
6821;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 October;2138;105.0;0.2;2.6;2138;105.0;0.2;2.6
6822;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 November;2138;105.0;-0.2;1.8;2138;105.0;-0.2;1.8
6823;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002 December;2138;105.0;0.0;2.0;2138;105.0;0.0;2.0
6824;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2002;2138;104.0;;1.7;2138;104.0;;1.7
6825;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 January;2138;105.0;0.5;1.8;2138;105.0;0.5;1.8
6826;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 February;2138;105.0;0.3;2.1;2138;105.0;0.3;2.1
6827;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 March;2138;106.0;0.1;2.2;2138;106.0;0.1;2.2
6828;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 April;2138;106.0;0.1;2.2;2138;106.0;0.1;2.2
6829;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 May;2138;106.0;0.1;2.4;2138;106.0;0.1;2.4
6830;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 June;2138;105.0;-0.3;2.0;2138;105.0;-0.3;2.0
6831;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 July;2138;105.0;-0.1;1.4;2138;105.0;-0.1;1.4
6832;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 August;2138;105.0;-0.1;0.6;2138;105.0;-0.1;0.6
6833;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 September;2138;105.0;0.1;0.7;2138;105.0;0.1;0.7
6834;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 October;2138;106.0;0.2;0.8;2138;106.0;0.2;0.8
6835;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 November;2138;106.0;0.6;1.6;2138;106.0;0.6;1.6
6836;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003 December;2138;106.0;0.0;1.5;2138;106.0;0.0;1.5
6837;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2003;2138;106.0;;1.6;2138;106.0;;1.6
6838;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 January;2138;107.0;0.4;1.4;2138;107.0;0.4;1.4
6839;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 February;2138;107.0;0.0;1.1;2138;107.0;0.0;1.1
6840;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 March;2138;107.0;0.2;1.2;2138;107.0;0.2;1.2
6841;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 April;2138;107.0;0.3;1.5;2138;107.0;0.3;1.5
6842;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 May;2138;107.0;0.2;1.5;2138;107.0;0.2;1.5
6843;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 June;2138;108.0;0.1;1.9;2138;108.0;0.1;1.9
6844;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 July;2138;108.0;0.2;2.1;2138;108.0;0.2;2.1
6845;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 August;2138;108.0;0.0;2.2;2138;108.0;0.0;2.2
6846;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 September;2138;108.0;0.1;2.2;2138;108.0;0.1;2.2
6847;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 October;2138;108.0;0.2;2.2;2138;108.0;0.2;2.2
6848;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 November;2138;108.0;-0.1;1.4;2138;108.0;-0.1;1.4
6849;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004 December;2138;107.0;-0.4;1.1;2138;107.0;-0.4;1.1
6850;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2004;2138;107.0;;1.7;2138;107.0;;1.7
6851;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 January;2138;108.0;0.8;1.6;2138;108.0;0.8;1.6
6852;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 February;2138;108.0;-0.1;1.5;2138;108.0;-0.1;1.5
6853;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 March;2138;108.0;0.2;1.5;2138;108.0;0.2;1.5
6854;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 April;2138;109.0;0.4;1.6;2138;109.0;0.4;1.6
6855;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 May;2138;109.0;0.0;1.5;2138;109.0;0.0;1.5
6856;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 June;2138;111.0;1.6;3.0;2138;111.0;1.6;3.0
6857;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 July;2138;111.0;0.4;3.2;2138;111.0;0.4;3.2
6858;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 August;2138;111.0;0.0;3.2;2138;111.0;0.0;3.2
6859;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 September;2138;111.0;0.1;3.2;2138;111.0;0.1;3.2
6860;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 October;2138;111.0;0.2;3.2;2138;111.0;0.2;3.2
6861;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 November;2138;111.0;0.0;3.4;2138;111.0;0.0;3.4
6862;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005 December;2138;112.0;0.2;3.9;2138;112.0;0.2;3.9
6863;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2005;2138;110.0;;2.6;2138;110.0;;2.6
6864;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 January;2138;112.0;0.7;3.8;2138;112.0;0.7;3.8
6865;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 February;2138;113.0;0.1;4.0;2138;113.0;0.1;4.0
6866;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 March;2138;113.0;0.1;3.8;2138;113.0;0.1;3.8
6867;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 April;2138;113.0;0.4;3.7;2138;113.0;0.4;3.7
6868;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 May;2138;114.0;0.4;4.2;2138;114.0;0.4;4.2
6869;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 June;2138;114.0;0.4;3.0;2138;114.0;0.4;3.0
6870;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 July;2138;114.0;0.3;2.9;2138;114.0;0.3;2.9
6871;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 August;2138;114.0;0.0;2.9;2138;114.0;0.0;2.9
6872;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 September;2138;114.0;0.0;2.9;2138;114.0;0.0;2.9
6873;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 October;2138;115.0;0.2;2.8;2138;115.0;0.2;2.8
6874;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 November;2138;115.0;0.2;3.0;2138;115.0;0.2;3.0
6875;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006 December;2138;115.0;0.1;2.9;2138;115.0;0.1;2.9
6876;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2006;2138;114.0;;3.3;2138;114.0;;3.3
6877;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 January;2138;115.0;0.2;2.5;2138;115.0;0.2;2.5
6878;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 February;2138;115.0;-0.1;2.2;2138;115.0;-0.1;2.2
6879;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 March;2138;115.0;0.4;2.5;2138;115.0;0.4;2.5
6880;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 April;2138;115.0;0.1;2.2;2138;115.0;0.1;2.2
6881;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 May;2138;116.0;0.0;1.7;2138;116.0;0.0;1.7
6882;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 June;2138;116.0;0.1;1.4;2138;116.0;0.1;1.4
6883;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 July;2138;116.0;0.4;1.5;2138;116.0;0.4;1.5
6884;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 August;2138;116.0;0.0;1.5;2138;116.0;0.0;1.5
6885;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 September;2138;116.0;0.0;1.5;2138;116.0;0.0;1.5
6886;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 October;2138;116.0;0.1;1.4;2138;116.0;0.1;1.4
6887;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 November;2138;116.0;0.0;1.3;2138;116.0;0.0;1.3
6888;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007 December;2138;116.0;0.1;1.2;2138;116.0;0.1;1.2
6889;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2007;2138;116.0;;1.7;2138;116.0;;1.7
6890;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 January;2138;117.0;0.4;1.4;2138;117.0;0.4;1.4
6891;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 February;2138;117.0;0.3;1.9;2138;117.0;0.3;1.9
6892;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 March;2138;117.0;0.2;1.7;2138;117.0;0.2;1.7
6893;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 April;2138;118.0;0.5;2.1;2138;118.0;0.5;2.1
6894;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 May;2138;118.0;0.0;2.1;2138;118.0;0.0;2.1
6895;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 June;2138;118.0;0.0;2.1;2138;118.0;0.0;2.1
6896;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 July;2138;119.0;0.9;2.6;2138;119.0;0.9;2.6
6897;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 August;2138;119.0;0.0;2.6;2138;119.0;0.0;2.6
6898;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 September;2138;119.0;0.3;2.9;2138;119.0;0.3;2.9
6899;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 October;2138;119.0;-0.3;2.5;2138;119.0;-0.3;2.5
6900;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 November;2138;120.0;0.4;2.8;2138;120.0;0.4;2.8
6901;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008 December;2138;119.0;-0.1;2.6;2138;119.0;-0.1;2.6
6902;Domestic sales (total);DL MANUFACTURE OF ELECTRICAL AND OPTICAL;2008;2138;118.0;;2.3;2138;118.0;;2.3
6903;Domestic sales (total);30 Manufacture of office machinery and c;2000 January;500;100.0;;;500;100.0;;
