ID;EducationLevel;FieldsOfEducation;CaribbeanNetherlands;Periods;MBOstudents_1
413;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2022/'23;49.0
414;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2023/'24;36.0
415;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2024/'25;23.0
416;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2009/'10;
417;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2010/'11;
418;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2011/'12;
419;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2012/'13;0.0
420;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2013/'14;0.0
421;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2014/'15;0.0
422;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2015/'16;0.0
423;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2016/'17;0.0
424;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2017/'18;0.0
425;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2018/'19;0.0
426;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2019/'20;0.0
427;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2020/'21;0.0
428;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2021/'22;
429;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2022/'23;
430;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2023/'24;
431;Total MBO;Domain Final constr, timber, maintenance;St Eustatius;2024/'25;
432;Total MBO;Domain Final constr, timber, maintenance;Saba;2009/'10;
433;Total MBO;Domain Final constr, timber, maintenance;Saba;2010/'11;
434;Total MBO;Domain Final constr, timber, maintenance;Saba;2011/'12;
435;Total MBO;Domain Final constr, timber, maintenance;Saba;2012/'13;7.0
436;Total MBO;Domain Final constr, timber, maintenance;Saba;2013/'14;8.0
437;Total MBO;Domain Final constr, timber, maintenance;Saba;2014/'15;6.0
438;Total MBO;Domain Final constr, timber, maintenance;Saba;2015/'16;3.0
439;Total MBO;Domain Final constr, timber, maintenance;Saba;2016/'17;4.0
440;Total MBO;Domain Final constr, timber, maintenance;Saba;2017/'18;4.0
441;Total MBO;Domain Final constr, timber, maintenance;Saba;2018/'19;3.0
442;Total MBO;Domain Final constr, timber, maintenance;Saba;2019/'20;1.0
443;Total MBO;Domain Final constr, timber, maintenance;Saba;2020/'21;0.0
444;Total MBO;Domain Final constr, timber, maintenance;Saba;2021/'22;
445;Total MBO;Domain Final constr, timber, maintenance;Saba;2022/'23;
446;Total MBO;Domain Final constr, timber, maintenance;Saba;2023/'24;
447;Total MBO;Domain Final constr, timber, maintenance;Saba;2024/'25;
448;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2009/'10;25.0
449;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2010/'11;5.0
450;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2011/'12;12.0
451;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2012/'13;
452;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2013/'14;28.0
453;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2014/'15;91.0
454;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2015/'16;79.0
455;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2016/'17;101.0
456;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2017/'18;92.0
457;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2018/'19;63.0
458;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2019/'20;58.0
459;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2020/'21;57.0
460;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2021/'22;69.0
461;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2022/'23;62.0
462;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2023/'24;47.0
463;Total MBO;Domain Technique and process industry;Caribbean Netherlands;2024/'25;49.0
464;Total MBO;Domain Technique and process industry;Bonaire;2009/'10;25.0
465;Total MBO;Domain Technique and process industry;Bonaire;2010/'11;5.0
466;Total MBO;Domain Technique and process industry;Bonaire;2011/'12;12.0
467;Total MBO;Domain Technique and process industry;Bonaire;2012/'13;
468;Total MBO;Domain Technique and process industry;Bonaire;2013/'14;28.0
469;Total MBO;Domain Technique and process industry;Bonaire;2014/'15;91.0
470;Total MBO;Domain Technique and process industry;Bonaire;2015/'16;79.0
471;Total MBO;Domain Technique and process industry;Bonaire;2016/'17;101.0
472;Total MBO;Domain Technique and process industry;Bonaire;2017/'18;92.0
473;Total MBO;Domain Technique and process industry;Bonaire;2018/'19;63.0
474;Total MBO;Domain Technique and process industry;Bonaire;2019/'20;58.0
475;Total MBO;Domain Technique and process industry;Bonaire;2020/'21;57.0
476;Total MBO;Domain Technique and process industry;Bonaire;2021/'22;69.0
477;Total MBO;Domain Technique and process industry;Bonaire;2022/'23;62.0
478;Total MBO;Domain Technique and process industry;Bonaire;2023/'24;47.0
479;Total MBO;Domain Technique and process industry;Bonaire;2024/'25;49.0
480;Total MBO;Domain Technique and process industry;St Eustatius;2009/'10;
481;Total MBO;Domain Technique and process industry;St Eustatius;2010/'11;
482;Total MBO;Domain Technique and process industry;St Eustatius;2011/'12;
483;Total MBO;Domain Technique and process industry;St Eustatius;2012/'13;0.0
484;Total MBO;Domain Technique and process industry;St Eustatius;2013/'14;0.0
485;Total MBO;Domain Technique and process industry;St Eustatius;2014/'15;0.0
486;Total MBO;Domain Technique and process industry;St Eustatius;2015/'16;0.0
487;Total MBO;Domain Technique and process industry;St Eustatius;2016/'17;0.0
488;Total MBO;Domain Technique and process industry;St Eustatius;2017/'18;0.0
489;Total MBO;Domain Technique and process industry;St Eustatius;2018/'19;0.0
490;Total MBO;Domain Technique and process industry;St Eustatius;2019/'20;0.0
491;Total MBO;Domain Technique and process industry;St Eustatius;2020/'21;0.0
492;Total MBO;Domain Technique and process industry;St Eustatius;2021/'22;
493;Total MBO;Domain Technique and process industry;St Eustatius;2022/'23;
494;Total MBO;Domain Technique and process industry;St Eustatius;2023/'24;
495;Total MBO;Domain Technique and process industry;St Eustatius;2024/'25;
496;Total MBO;Domain Technique and process industry;Saba;2009/'10;
497;Total MBO;Domain Technique and process industry;Saba;2010/'11;
498;Total MBO;Domain Technique and process industry;Saba;2011/'12;
499;Total MBO;Domain Technique and process industry;Saba;2012/'13;0.0
500;Total MBO;Domain Technique and process industry;Saba;2013/'14;0.0
501;Total MBO;Domain Technique and process industry;Saba;2014/'15;0.0
502;Total MBO;Domain Technique and process industry;Saba;2015/'16;0.0
503;Total MBO;Domain Technique and process industry;Saba;2016/'17;0.0
504;Total MBO;Domain Technique and process industry;Saba;2017/'18;0.0
505;Total MBO;Domain Technique and process industry;Saba;2018/'19;0.0
506;Total MBO;Domain Technique and process industry;Saba;2019/'20;0.0
507;Total MBO;Domain Technique and process industry;Saba;2020/'21;0.0
508;Total MBO;Domain Technique and process industry;Saba;2021/'22;
509;Total MBO;Domain Technique and process industry;Saba;2022/'23;
510;Total MBO;Domain Technique and process industry;Saba;2023/'24;
511;Total MBO;Domain Technique and process industry;Saba;2024/'25;
512;Total MBO;Domain Media and design;Caribbean Netherlands;2009/'10;0.0
513;Total MBO;Domain Media and design;Caribbean Netherlands;2010/'11;0.0
514;Total MBO;Domain Media and design;Caribbean Netherlands;2011/'12;0.0
515;Total MBO;Domain Media and design;Caribbean Netherlands;2012/'13;
516;Total MBO;Domain Media and design;Caribbean Netherlands;2013/'14;47.0
517;Total MBO;Domain Media and design;Caribbean Netherlands;2014/'15;59.0
518;Total MBO;Domain Media and design;Caribbean Netherlands;2015/'16;66.0
519;Total MBO;Domain Media and design;Caribbean Netherlands;2016/'17;21.0
520;Total MBO;Domain Media and design;Caribbean Netherlands;2017/'18;15.0
521;Total MBO;Domain Media and design;Caribbean Netherlands;2018/'19;13.0
522;Total MBO;Domain Media and design;Caribbean Netherlands;2019/'20;15.0
523;Total MBO;Domain Media and design;Caribbean Netherlands;2020/'21;15.0
524;Total MBO;Domain Media and design;Caribbean Netherlands;2021/'22;13.0
525;Total MBO;Domain Media and design;Caribbean Netherlands;2022/'23;9.0
526;Total MBO;Domain Media and design;Caribbean Netherlands;2023/'24;3.0
527;Total MBO;Domain Media and design;Caribbean Netherlands;2024/'25;0.0
528;Total MBO;Domain Media and design;Bonaire;2009/'10;0.0
529;Total MBO;Domain Media and design;Bonaire;2010/'11;0.0
530;Total MBO;Domain Media and design;Bonaire;2011/'12;0.0
531;Total MBO;Domain Media and design;Bonaire;2012/'13;
532;Total MBO;Domain Media and design;Bonaire;2013/'14;47.0
533;Total MBO;Domain Media and design;Bonaire;2014/'15;59.0
534;Total MBO;Domain Media and design;Bonaire;2015/'16;66.0
535;Total MBO;Domain Media and design;Bonaire;2016/'17;21.0
536;Total MBO;Domain Media and design;Bonaire;2017/'18;15.0
537;Total MBO;Domain Media and design;Bonaire;2018/'19;13.0
538;Total MBO;Domain Media and design;Bonaire;2019/'20;15.0
539;Total MBO;Domain Media and design;Bonaire;2020/'21;15.0
540;Total MBO;Domain Media and design;Bonaire;2021/'22;13.0
541;Total MBO;Domain Media and design;Bonaire;2022/'23;9.0
542;Total MBO;Domain Media and design;Bonaire;2023/'24;3.0
543;Total MBO;Domain Media and design;Bonaire;2024/'25;0.0
544;Total MBO;Domain Media and design;St Eustatius;2009/'10;
545;Total MBO;Domain Media and design;St Eustatius;2010/'11;
546;Total MBO;Domain Media and design;St Eustatius;2011/'12;
547;Total MBO;Domain Media and design;St Eustatius;2012/'13;0.0
548;Total MBO;Domain Media and design;St Eustatius;2013/'14;0.0
549;Total MBO;Domain Media and design;St Eustatius;2014/'15;0.0
550;Total MBO;Domain Media and design;St Eustatius;2015/'16;0.0
551;Total MBO;Domain Media and design;St Eustatius;2016/'17;0.0
552;Total MBO;Domain Media and design;St Eustatius;2017/'18;0.0
553;Total MBO;Domain Media and design;St Eustatius;2018/'19;0.0
554;Total MBO;Domain Media and design;St Eustatius;2019/'20;0.0
555;Total MBO;Domain Media and design;St Eustatius;2020/'21;0.0
556;Total MBO;Domain Media and design;St Eustatius;2021/'22;
557;Total MBO;Domain Media and design;St Eustatius;2022/'23;
558;Total MBO;Domain Media and design;St Eustatius;2023/'24;
559;Total MBO;Domain Media and design;St Eustatius;2024/'25;
560;Total MBO;Domain Media and design;Saba;2009/'10;
561;Total MBO;Domain Media and design;Saba;2010/'11;
562;Total MBO;Domain Media and design;Saba;2011/'12;
563;Total MBO;Domain Media and design;Saba;2012/'13;0.0
564;Total MBO;Domain Media and design;Saba;2013/'14;0.0
565;Total MBO;Domain Media and design;Saba;2014/'15;0.0
566;Total MBO;Domain Media and design;Saba;2015/'16;0.0
567;Total MBO;Domain Media and design;Saba;2016/'17;0.0
568;Total MBO;Domain Media and design;Saba;2017/'18;0.0
569;Total MBO;Domain Media and design;Saba;2018/'19;0.0
570;Total MBO;Domain Media and design;Saba;2019/'20;0.0
571;Total MBO;Domain Media and design;Saba;2020/'21;0.0
572;Total MBO;Domain Media and design;Saba;2021/'22;
573;Total MBO;Domain Media and design;Saba;2022/'23;
574;Total MBO;Domain Media and design;Saba;2023/'24;
575;Total MBO;Domain Media and design;Saba;2024/'25;
576;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2009/'10;0.0
577;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2010/'11;0.0
578;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2011/'12;0.0
579;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2012/'13;
580;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2013/'14;0.0
581;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2014/'15;0.0
582;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2015/'16;0.0
583;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2016/'17;7.0
584;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2017/'18;2.0
585;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2018/'19;0.0
586;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2019/'20;0.0
587;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2020/'21;31.0
588;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2021/'22;47.0
589;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2022/'23;62.0
590;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2023/'24;57.0
591;Total MBO;Domain Information, communication techno;Caribbean Netherlands;2024/'25;64.0
592;Total MBO;Domain Information, communication techno;Bonaire;2009/'10;0.0
593;Total MBO;Domain Information, communication techno;Bonaire;2010/'11;0.0
594;Total MBO;Domain Information, communication techno;Bonaire;2011/'12;0.0
595;Total MBO;Domain Information, communication techno;Bonaire;2012/'13;
596;Total MBO;Domain Information, communication techno;Bonaire;2013/'14;0.0
597;Total MBO;Domain Information, communication techno;Bonaire;2014/'15;0.0
598;Total MBO;Domain Information, communication techno;Bonaire;2015/'16;0.0
599;Total MBO;Domain Information, communication techno;Bonaire;2016/'17;7.0
600;Total MBO;Domain Information, communication techno;Bonaire;2017/'18;2.0
601;Total MBO;Domain Information, communication techno;Bonaire;2018/'19;0.0
602;Total MBO;Domain Information, communication techno;Bonaire;2019/'20;0.0
603;Total MBO;Domain Information, communication techno;Bonaire;2020/'21;31.0
604;Total MBO;Domain Information, communication techno;Bonaire;2021/'22;47.0
605;Total MBO;Domain Information, communication techno;Bonaire;2022/'23;62.0
606;Total MBO;Domain Information, communication techno;Bonaire;2023/'24;57.0
607;Total MBO;Domain Information, communication techno;Bonaire;2024/'25;64.0
608;Total MBO;Domain Information, communication techno;St Eustatius;2009/'10;
609;Total MBO;Domain Information, communication techno;St Eustatius;2010/'11;
610;Total MBO;Domain Information, communication techno;St Eustatius;2011/'12;
611;Total MBO;Domain Information, communication techno;St Eustatius;2012/'13;0.0
612;Total MBO;Domain Information, communication techno;St Eustatius;2013/'14;0.0
613;Total MBO;Domain Information, communication techno;St Eustatius;2014/'15;0.0
614;Total MBO;Domain Information, communication techno;St Eustatius;2015/'16;0.0
615;Total MBO;Domain Information, communication techno;St Eustatius;2016/'17;0.0
616;Total MBO;Domain Information, communication techno;St Eustatius;2017/'18;0.0
617;Total MBO;Domain Information, communication techno;St Eustatius;2018/'19;0.0
618;Total MBO;Domain Information, communication techno;St Eustatius;2019/'20;0.0
619;Total MBO;Domain Information, communication techno;St Eustatius;2020/'21;0.0
620;Total MBO;Domain Information, communication techno;St Eustatius;2021/'22;
621;Total MBO;Domain Information, communication techno;St Eustatius;2022/'23;
622;Total MBO;Domain Information, communication techno;St Eustatius;2023/'24;
623;Total MBO;Domain Information, communication techno;St Eustatius;2024/'25;
624;Total MBO;Domain Information, communication techno;Saba;2009/'10;
625;Total MBO;Domain Information, communication techno;Saba;2010/'11;
626;Total MBO;Domain Information, communication techno;Saba;2011/'12;
627;Total MBO;Domain Information, communication techno;Saba;2012/'13;0.0
628;Total MBO;Domain Information, communication techno;Saba;2013/'14;0.0
629;Total MBO;Domain Information, communication techno;Saba;2014/'15;0.0
630;Total MBO;Domain Information, communication techno;Saba;2015/'16;0.0
631;Total MBO;Domain Information, communication techno;Saba;2016/'17;0.0
632;Total MBO;Domain Information, communication techno;Saba;2017/'18;0.0
633;Total MBO;Domain Information, communication techno;Saba;2018/'19;0.0
634;Total MBO;Domain Information, communication techno;Saba;2019/'20;0.0
635;Total MBO;Domain Information, communication techno;Saba;2020/'21;0.0
636;Total MBO;Domain Information, communication techno;Saba;2021/'22;
637;Total MBO;Domain Information, communication techno;Saba;2022/'23;
638;Total MBO;Domain Information, communication techno;Saba;2023/'24;
639;Total MBO;Domain Information, communication techno;Saba;2024/'25;
640;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2009/'10;100.0
641;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2010/'11;102.0
642;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2011/'12;119.0
643;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2012/'13;
644;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2013/'14;168.0
645;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2014/'15;155.0
646;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2015/'16;160.0
647;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2016/'17;126.0
648;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2017/'18;104.0
649;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2018/'19;104.0
650;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2019/'20;103.0
651;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2020/'21;98.0
652;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2021/'22;102.0
653;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2022/'23;81.0
654;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2023/'24;117.0
655;Total MBO;Domain Economy and administration.;Caribbean Netherlands;2024/'25;129.0
656;Total MBO;Domain Economy and administration.;Bonaire;2009/'10;100.0
