ID;OutputPrices;SIC2008;Periods;IndexNumbers_1;YearOnYearDevelopment_2;MonthOnMonthDevelopment_3;WeightFactor_4
361;Total output prices;B Mining and quarrying ;2008 November;143.7;39.2;-3.6;19825
362;Total output prices;B Mining and quarrying ;2008 December;143.1;37.2;-0.4;19825
363;Total output prices;B Mining and quarrying ;2008;133.2;29.9;;19825
364;Total output prices;B Mining and quarrying ;2009 January;128.7;18.0;-10.1;19825
365;Total output prices;B Mining and quarrying ;2009 February;125.0;11.5;-2.9;19825
366;Total output prices;B Mining and quarrying ;2009 March;119.7;4.1;-4.3;19825
367;Total output prices;B Mining and quarrying ;2009 April;101.5;-15.6;-15.2;19825
368;Total output prices;B Mining and quarrying ;2009 May;95.9;-25.2;-5.5;19825
369;Total output prices;B Mining and quarrying ;2009 June;92.6;-31.4;-3.4;19825
370;Total output prices;B Mining and quarrying ;2009 July;85.8;-41.8;-7.4;19825
371;Total output prices;B Mining and quarrying ;2009 August;83.4;-44.5;-2.8;19825
372;Total output prices;B Mining and quarrying ;2009 September;83.5;-42.8;0.2;19825
373;Total output prices;B Mining and quarrying ;2009 October;87.7;-41.1;5.0;19825
374;Total output prices;B Mining and quarrying ;2009 November;90.6;-36.9;3.3;19825
375;Total output prices;B Mining and quarrying ;2009 December;90.2;-37.0;-0.5;19825
376;Total output prices;B Mining and quarrying ;2009;98.7;-25.9;;19825
377;Total output prices;B Mining and quarrying ;2010 January;88.3;-31.5;-2.1;19825
378;Total output prices;B Mining and quarrying ;2010 February;90.4;-27.7;2.5;19825
379;Total output prices;B Mining and quarrying ;2010 March;92.0;-23.1;1.8;19825
380;Total output prices;B Mining and quarrying ;2010 April;94.1;-7.3;2.2;19825
381;Total output prices;B Mining and quarrying ;2010 May;94.6;-1.3;0.6;19825
382;Total output prices;B Mining and quarrying ;2010 June;99.9;7.8;5.6;19825
383;Total output prices;B Mining and quarrying ;2010 July;108.1;26.0;8.2;19825
384;Total output prices;B Mining and quarrying ;2010 August;108.5;30.1;0.3;19825
385;Total output prices;B Mining and quarrying ;2010 September;106.0;26.9;-2.3;19825
386;Total output prices;B Mining and quarrying ;2010 October;105.4;20.1;-0.5;19825
387;Total output prices;B Mining and quarrying ;2010 November;107.8;19.0;2.3;19825
388;Total output prices;B Mining and quarrying ;2010 December;104.9;16.4;-2.7;19825
389;Total output prices;B Mining and quarrying ;2010;100.0;1.3;;19825
390;Total output prices;B Mining and quarrying ;2011 January;111.1;25.9;5.9;19825
391;Total output prices;B Mining and quarrying ;2011 February;111.5;23.3;0.4;19825
392;Total output prices;B Mining and quarrying ;2011 March;112.2;21.9;0.6;19825
393;Total output prices;B Mining and quarrying ;2011 April;119.2;26.7;6.3;19825
394;Total output prices;B Mining and quarrying ;2011 May;118.4;25.1;-0.7;19825
395;Total output prices;B Mining and quarrying ;2011 June;119.9;20.1;1.3;19825
396;Total output prices;B Mining and quarrying ;2011 July;121.1;12.1;1.0;19825
397;Total output prices;B Mining and quarrying ;2011 August;119.7;10.4;-1.2;19825
398;Total output prices;B Mining and quarrying ;2011 September;124.4;17.3;3.9;19825
399;Total output prices;B Mining and quarrying ;2011 October;132.5;25.7;6.6;19825
400;Total output prices;B Mining and quarrying ;2011 November;133.4;23.7;0.7;19825
401;Total output prices;B Mining and quarrying ;2011 December;133.1;26.8;-0.3;19825
402;Total output prices;B Mining and quarrying ;2011;121.4;21.4;;19825
403;Total output prices;B Mining and quarrying ;2012 January;128.3;15.5;-3.6;19825
404;Total output prices;B Mining and quarrying ;2012 February;128.6;15.3;0.2;19825
405;Total output prices;B Mining and quarrying ;2012 March;129.4;15.4;0.6;19825
406;Total output prices;B Mining and quarrying ;2012 April;133.5;12.0;3.2;19825
407;Total output prices;B Mining and quarrying ;2012 May;135.6;14.5;1.5;19825
408;Total output prices;B Mining and quarrying ;2012 June;131.9;10.0;-2.7;19825
409;Total output prices;B Mining and quarrying ;2012 July;131.0;8.1;-0.7;19825
410;Total output prices;B Mining and quarrying ;2012 August;133.2;11.3;1.7;19825
411;Total output prices;B Mining and quarrying ;2012 September;133.1;7.0;-0.1;19825
412;Total output prices;B Mining and quarrying ;2012 October;136.3;2.8;2.4;19825
413;Total output prices;B Mining and quarrying ;2012 November;141.6;6.1;3.9;19825
414;Total output prices;B Mining and quarrying ;2012 December;136.2;2.4;-3.8;19825
415;Total output prices;B Mining and quarrying ;2012;133.2;9.8;;19825
416;Total output prices;B Mining and quarrying ;2013 January;133.4;3.9;-2.1;19825
417;Total output prices;B Mining and quarrying ;2013 February;130.8;1.7;-1.9;19825
418;Total output prices;B Mining and quarrying ;2013 March;131.1;1.3;0.2;19825
419;Total output prices;B Mining and quarrying ;2013 April;130.3;-2.4;-0.6;19825
420;Total output prices;B Mining and quarrying ;2013 May;128.8;-5.0;-1.1;19825
421;Total output prices;B Mining and quarrying ;2013 June;128.2;-2.8;-0.5;19825
422;Total output prices;B Mining and quarrying ;2013 July;128.2;-2.2;0.0;19825
423;Total output prices;B Mining and quarrying ;2013 August;127.5;-4.3;-0.5;19825
424;Total output prices;B Mining and quarrying ;2013 September;126.3;-5.1;-1.0;19825
425;Total output prices;B Mining and quarrying ;2013 October;127.8;-6.2;1.2;19825
426;Total output prices;B Mining and quarrying ;2013 November;129.5;-8.5;1.3;19825
427;Total output prices;B Mining and quarrying ;2013 December;130.3;-4.3;0.6;19825
428;Total output prices;B Mining and quarrying ;2013;129.4;-2.9;;19825
429;Total output prices;B Mining and quarrying ;2014 January;130.3;-2.3;0.0;19825
430;Total output prices;B Mining and quarrying ;2014 February;125.9;-3.8;-3.3;19825
431;Total output prices;B Mining and quarrying ;2014 March;120.7;-7.9;-4.1;19825
432;Total output prices;B Mining and quarrying ;2014 April;113.4;-12.9;-6.0;19825
433;Total output prices;B Mining and quarrying ;2014 May;107.9;-16.2;-4.9;19825
434;Total output prices;B Mining and quarrying ;2014 June;105.9;-17.4;-1.9;19825
435;Total output prices;B Mining and quarrying ;2014 July;101.2;-21.1;-4.5;19825
436;Total output prices;B Mining and quarrying ;2014 August;101.4;-20.5;0.2;19825
437;Total output prices;B Mining and quarrying ;2014 September;105.7;-16.3;4.3;19825
438;Total output prices;B Mining and quarrying ;2014 October;113.0;-11.6;6.8;19825
439;Total output prices;B Mining and quarrying ;2014 November;114.7;-11.4;1.5;19825
440;Total output prices;B Mining and quarrying ;2014 December;115.3;-11.5;0.6;19825
441;Total output prices;B Mining and quarrying ;2014;113.0;-12.7;;19825
442;Total output prices;B Mining and quarrying ;2015 January;107.8;-17.2;-6.5;19825
443;Total output prices;B Mining and quarrying ;2015 February;104.3;-17.2;-3.3;19825
444;Total output prices;B Mining and quarrying ;2015 March;109.3;-9.5;4.8;19825
445;Total output prices;B Mining and quarrying ;2015 April;106.4;-6.2;-2.6;19825
446;Total output prices;B Mining and quarrying ;2015 May;103.1;-4.5;-3.1;19825
447;Total output prices;B Mining and quarrying ;2015 June;101.4;-4.3;-1.7;19825
448;Total output prices;B Mining and quarrying ;2015 July;101.2;0.0;-0.2;19825
449;Total output prices;B Mining and quarrying ;2015 August;100.6;-0.8;-0.6;19825
450;Total output prices;B Mining and quarrying ;2015 September;101.5;-4.0;0.9;19825
451;Total output prices;B Mining and quarrying ;2015 October;94.4;-16.4;-6.9;19825
452;Total output prices;B Mining and quarrying ;2015 November;90.6;-21.0;-4.1;19825
453;Total output prices;B Mining and quarrying ;2015 December;88.2;-23.5;-2.7;19825
454;Total output prices;B Mining and quarrying ;2015;100.7;-10.8;;19825
455;Total output prices;B Mining and quarrying ;2016 January;;;;19825
456;Total output prices;B Mining and quarrying ;2016 February;;;;19825
457;Total output prices;B Mining and quarrying ;2016 March;;;;19825
458;Total output prices;B Mining and quarrying ;2016 April;;;;19825
459;Total output prices;B Mining and quarrying ;2016 May;;;;19825
460;Total output prices;B Mining and quarrying ;2016 June;;;;19825
461;Total output prices;B Mining and quarrying ;2016 July;;;;19825
462;Total output prices;B Mining and quarrying ;2016 August;;;;19825
463;Total output prices;B Mining and quarrying ;2016 September;;;;19825
464;Total output prices;B Mining and quarrying ;2016 October;;;;19825
465;Total output prices;B Mining and quarrying ;2016 November;;;;19825
466;Total output prices;B Mining and quarrying ;2016 December;;;;19825
467;Total output prices;B Mining and quarrying ;2016;75.1;-25.4;;19825
468;Total output prices;B Mining and quarrying ;2017 January;;;;19825
469;Total output prices;B Mining and quarrying ;2017 February;;;;19825
470;Total output prices;B Mining and quarrying ;2017 March;;;;19825
471;Total output prices;B Mining and quarrying ;2017 April;;;;19825
472;Total output prices;B Mining and quarrying ;2017 May;;;;19825
473;Total output prices;B Mining and quarrying ;2017 June;;;;19825
474;Total output prices;B Mining and quarrying ;2017 July;;;;19825
475;Total output prices;B Mining and quarrying ;2017 August;;;;19825
476;Total output prices;B Mining and quarrying ;2017 September;;;;19825
477;Total output prices;B Mining and quarrying ;2017 October;;;;19825
478;Total output prices;B Mining and quarrying ;2017 November;;;;19825
479;Total output prices;B Mining and quarrying ;2017 December;;;;19825
480;Total output prices;B Mining and quarrying ;2017;82.8;10.2;;19825
481;Total output prices;06 Extraction of crude petroleum and gas;1981 January;46.1;;;0
482;Total output prices;06 Extraction of crude petroleum and gas;1981 February;46.7;;1.4;0
483;Total output prices;06 Extraction of crude petroleum and gas;1981 March ;47.7;;2.2;0
484;Total output prices;06 Extraction of crude petroleum and gas;1981 April;52.1;;9.0;0
485;Total output prices;06 Extraction of crude petroleum and gas;1981 May;53.0;;1.9;0
486;Total output prices;06 Extraction of crude petroleum and gas;1981 June;56.5;;6.5;0
487;Total output prices;06 Extraction of crude petroleum and gas;1981 July;65.2;;15.4;0
488;Total output prices;06 Extraction of crude petroleum and gas;1981 August;64.7;;-0.8;0
489;Total output prices;06 Extraction of crude petroleum and gas;1981 September;61.9;;-4.3;0
490;Total output prices;06 Extraction of crude petroleum and gas;1981 October;63.0;;1.8;0
491;Total output prices;06 Extraction of crude petroleum and gas;1981 November;62.8;;-0.3;0
492;Total output prices;06 Extraction of crude petroleum and gas;1981 December;62.9;;0.2;0
493;Total output prices;06 Extraction of crude petroleum and gas;1981;56.9;;;0
494;Total output prices;06 Extraction of crude petroleum and gas;1982 January;64.7;40.3;2.8;0
495;Total output prices;06 Extraction of crude petroleum and gas;1982 February;64.2;37.5;-0.7;0
496;Total output prices;06 Extraction of crude petroleum and gas;1982 March ;64.2;34.4;-0.1;0
497;Total output prices;06 Extraction of crude petroleum and gas;1982 April;63.6;22.2;-0.9;0
498;Total output prices;06 Extraction of crude petroleum and gas;1982 May;63.6;19.9;-0.1;0
499;Total output prices;06 Extraction of crude petroleum and gas;1982 June;63.7;12.9;0.3;0
500;Total output prices;06 Extraction of crude petroleum and gas;1982 July;63.3;-2.8;-0.6;0
501;Total output prices;06 Extraction of crude petroleum and gas;1982 August;63.1;-2.5;-0.4;0
502;Total output prices;06 Extraction of crude petroleum and gas;1982 September;62.3;0.7;-1.2;0
503;Total output prices;06 Extraction of crude petroleum and gas;1982 October;62.0;-1.6;-0.5;0
504;Total output prices;06 Extraction of crude petroleum and gas;1982 November;61.8;-1.6;-0.4;0
505;Total output prices;06 Extraction of crude petroleum and gas;1982 December;61.2;-2.7;-0.9;0
506;Total output prices;06 Extraction of crude petroleum and gas;1982;63.1;11.0;;0
507;Total output prices;06 Extraction of crude petroleum and gas;1983 January;61.7;-4.6;0.8;0
508;Total output prices;06 Extraction of crude petroleum and gas;1983 February;61.6;-4.1;-0.2;0
509;Total output prices;06 Extraction of crude petroleum and gas;1983 March ;61.5;-4.2;-0.2;0
510;Total output prices;06 Extraction of crude petroleum and gas;1983 April;60.8;-4.4;-1.0;0
511;Total output prices;06 Extraction of crude petroleum and gas;1983 May;60.8;-4.4;-0.1;0
512;Total output prices;06 Extraction of crude petroleum and gas;1983 June;60.1;-5.7;-1.1;0
513;Total output prices;06 Extraction of crude petroleum and gas;1983 July;60.4;-4.6;0.6;0
514;Total output prices;06 Extraction of crude petroleum and gas;1983 August;60.3;-4.3;-0.2;0
515;Total output prices;06 Extraction of crude petroleum and gas;1983 September;59.9;-3.9;-0.7;0
516;Total output prices;06 Extraction of crude petroleum and gas;1983 October;62.0;-0.1;3.4;0
517;Total output prices;06 Extraction of crude petroleum and gas;1983 November;62.3;0.8;0.5;0
518;Total output prices;06 Extraction of crude petroleum and gas;1983 December;63.4;3.4;1.8;0
519;Total output prices;06 Extraction of crude petroleum and gas;1983;61.2;-3.0;;0
520;Total output prices;06 Extraction of crude petroleum and gas;1984 January;64.5;4.6;1.8;0
521;Total output prices;06 Extraction of crude petroleum and gas;1984 February;65.0;5.6;0.8;0
522;Total output prices;06 Extraction of crude petroleum and gas;1984 March ;66.7;8.6;2.6;0
523;Total output prices;06 Extraction of crude petroleum and gas;1984 April;67.8;11.5;1.6;0
524;Total output prices;06 Extraction of crude petroleum and gas;1984 May;70.4;15.9;3.9;0
525;Total output prices;06 Extraction of crude petroleum and gas;1984 June;70.9;18.0;0.7;0
526;Total output prices;06 Extraction of crude petroleum and gas;1984 July;71.3;18.0;0.6;0
527;Total output prices;06 Extraction of crude petroleum and gas;1984 August;72.4;20.1;1.6;0
528;Total output prices;06 Extraction of crude petroleum and gas;1984 September;73.3;22.3;1.1;0
529;Total output prices;06 Extraction of crude petroleum and gas;1984 October;71.8;15.9;-2.0;0
530;Total output prices;06 Extraction of crude petroleum and gas;1984 November;69.9;12.3;-2.7;0
531;Total output prices;06 Extraction of crude petroleum and gas;1984 December;70.1;10.6;0.3;0
532;Total output prices;06 Extraction of crude petroleum and gas;1984;69.5;13.6;;0
533;Total output prices;06 Extraction of crude petroleum and gas;1985 January;71.2;10.4;1.6;0
534;Total output prices;06 Extraction of crude petroleum and gas;1985 February;71.9;10.6;1.0;0
535;Total output prices;06 Extraction of crude petroleum and gas;1985 March ;72.3;8.3;0.5;0
536;Total output prices;06 Extraction of crude petroleum and gas;1985 April;75.6;11.6;4.6;0
537;Total output prices;06 Extraction of crude petroleum and gas;1985 May;76.4;8.4;1.0;0
538;Total output prices;06 Extraction of crude petroleum and gas;1985 June;75.0;5.8;-1.8;0
539;Total output prices;06 Extraction of crude petroleum and gas;1985 July;75.9;6.4;1.2;0
540;Total output prices;06 Extraction of crude petroleum and gas;1985 August;74.5;2.8;-1.9;0
541;Total output prices;06 Extraction of crude petroleum and gas;1985 September;75.3;2.8;1.1;0
542;Total output prices;06 Extraction of crude petroleum and gas;1985 October;69.9;-2.7;-7.3;0
543;Total output prices;06 Extraction of crude petroleum and gas;1985 November;67.6;-3.2;-3.2;0
544;Total output prices;06 Extraction of crude petroleum and gas;1985 December;66.3;-5.3;-1.9;0
545;Total output prices;06 Extraction of crude petroleum and gas;1985;72.7;4.5;;0
546;Total output prices;06 Extraction of crude petroleum and gas;1986 January;63.4;-10.9;-4.4;0
547;Total output prices;06 Extraction of crude petroleum and gas;1986 February;62.0;-13.8;-2.2;0
548;Total output prices;06 Extraction of crude petroleum and gas;1986 March ;61.1;-15.4;-1.4;0
549;Total output prices;06 Extraction of crude petroleum and gas;1986 April;57.1;-24.6;-6.7;0
550;Total output prices;06 Extraction of crude petroleum and gas;1986 May;58.4;-23.5;2.4;0
551;Total output prices;06 Extraction of crude petroleum and gas;1986 June;56.7;-24.5;-3.0;0
552;Total output prices;06 Extraction of crude petroleum and gas;1986 July;49.0;-35.4;-13.5;0
553;Total output prices;06 Extraction of crude petroleum and gas;1986 August;49.4;-33.7;0.8;0
554;Total output prices;06 Extraction of crude petroleum and gas;1986 September;44.2;-41.3;-10.5;0
555;Total output prices;06 Extraction of crude petroleum and gas;1986 October;39.5;-43.5;-10.7;0
556;Total output prices;06 Extraction of crude petroleum and gas;1986 November;37.7;-44.2;-4.4;0
557;Total output prices;06 Extraction of crude petroleum and gas;1986 December;37.1;-44.1;-1.6;0
558;Total output prices;06 Extraction of crude petroleum and gas;1986;51.3;-29.4;;0
559;Total output prices;06 Extraction of crude petroleum and gas;1987 January;31.0;-51.1;-16.5;0
560;Total output prices;06 Extraction of crude petroleum and gas;1987 February;30.7;-50.6;-1.1;0
561;Total output prices;06 Extraction of crude petroleum and gas;1987 March ;30.7;-49.8;0.2;0
562;Total output prices;06 Extraction of crude petroleum and gas;1987 April;33.2;-41.9;8.0;0
563;Total output prices;06 Extraction of crude petroleum and gas;1987 May;33.6;-42.5;1.2;0
564;Total output prices;06 Extraction of crude petroleum and gas;1987 June;35.8;-36.8;6.7;0
565;Total output prices;06 Extraction of crude petroleum and gas;1987 July;36.9;-24.6;3.1;0
566;Total output prices;06 Extraction of crude petroleum and gas;1987 August;37.5;-24.1;1.5;0
567;Total output prices;06 Extraction of crude petroleum and gas;1987 September;36.3;-18.0;-3.2;0
568;Total output prices;06 Extraction of crude petroleum and gas;1987 October;34.9;-11.7;-3.9;0
569;Total output prices;06 Extraction of crude petroleum and gas;1987 November;34.0;-9.8;-2.4;0
