ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
6787;Total entities with/without legal pers.;09 Mining support activities;2018 September;0
6788;Total entities with/without legal pers.;09 Mining support activities;2018 3rd quarter;1
6789;Total entities with/without legal pers.;09 Mining support activities;2018 October;0
6790;Total entities with/without legal pers.;09 Mining support activities;2018 November;0
6791;Total entities with/without legal pers.;09 Mining support activities;2018 December;0
6792;Total entities with/without legal pers.;09 Mining support activities;2018 4th quarter;0
6793;Total entities with/without legal pers.;09 Mining support activities;2018;1
6794;Total entities with/without legal pers.;09 Mining support activities;2019 January;1
6795;Total entities with/without legal pers.;09 Mining support activities;2019 February;0
6796;Total entities with/without legal pers.;09 Mining support activities;2019 March;0
6797;Total entities with/without legal pers.;09 Mining support activities;2019 1st quarter;1
6798;Total entities with/without legal pers.;09 Mining support activities;2019 April;0
6799;Total entities with/without legal pers.;09 Mining support activities;2019 May;0
6800;Total entities with/without legal pers.;09 Mining support activities;2019 June;0
6801;Total entities with/without legal pers.;09 Mining support activities;2019 2nd quarter;0
6802;Total entities with/without legal pers.;09 Mining support activities;2019 July;1
6803;Total entities with/without legal pers.;09 Mining support activities;2019 August;0
6804;Total entities with/without legal pers.;09 Mining support activities;2019 September;0
6805;Total entities with/without legal pers.;09 Mining support activities;2019 3rd quarter;1
6806;Total entities with/without legal pers.;09 Mining support activities;2019 October;0
6807;Total entities with/without legal pers.;09 Mining support activities;2019 November;0
6808;Total entities with/without legal pers.;09 Mining support activities;2019 December;0
6809;Total entities with/without legal pers.;09 Mining support activities;2019 4th quarter;0
6810;Total entities with/without legal pers.;09 Mining support activities;2019;2
6811;Total entities with/without legal pers.;09 Mining support activities;2020 January;0
6812;Total entities with/without legal pers.;09 Mining support activities;2020 February;0
6813;Total entities with/without legal pers.;09 Mining support activities;2020 March;0
6814;Total entities with/without legal pers.;09 Mining support activities;2020 1st quarter;0
6815;Total entities with/without legal pers.;09 Mining support activities;2020 April;0
6816;Total entities with/without legal pers.;09 Mining support activities;2020 May;0
6817;Total entities with/without legal pers.;09 Mining support activities;2020 June;0
6818;Total entities with/without legal pers.;09 Mining support activities;2020 2nd quarter;0
6819;Total entities with/without legal pers.;09 Mining support activities;2020 July;0
6820;Total entities with/without legal pers.;09 Mining support activities;2020 August;0
6821;Total entities with/without legal pers.;09 Mining support activities;2020 September;0
6822;Total entities with/without legal pers.;09 Mining support activities;2020 3rd quarter;0
6823;Total entities with/without legal pers.;09 Mining support activities;2020 October;0
6824;Total entities with/without legal pers.;09 Mining support activities;2020 November;0
6825;Total entities with/without legal pers.;09 Mining support activities;2020 December;0
6826;Total entities with/without legal pers.;09 Mining support activities;2020 4th quarter;0
6827;Total entities with/without legal pers.;09 Mining support activities;2020;0
6828;Total entities with/without legal pers.;09 Mining support activities;2021 January;0
6829;Total entities with/without legal pers.;09 Mining support activities;2021 February;0
6830;Total entities with/without legal pers.;09 Mining support activities;2021 March;0
6831;Total entities with/without legal pers.;09 Mining support activities;2021 1st quarter;0
6832;Total entities with/without legal pers.;09 Mining support activities;2021 April;0
6833;Total entities with/without legal pers.;09 Mining support activities;2021 May;0
6834;Total entities with/without legal pers.;09 Mining support activities;2021 June;0
6835;Total entities with/without legal pers.;09 Mining support activities;2021 2nd quarter;0
6836;Total entities with/without legal pers.;09 Mining support activities;2021 July;0
6837;Total entities with/without legal pers.;09 Mining support activities;2021 August;0
6838;Total entities with/without legal pers.;09 Mining support activities;2021 September;0
6839;Total entities with/without legal pers.;09 Mining support activities;2021 3rd quarter;0
6840;Total entities with/without legal pers.;09 Mining support activities;2021 October;0
6841;Total entities with/without legal pers.;09 Mining support activities;2021 November;0
6842;Total entities with/without legal pers.;09 Mining support activities;2021 December;0
6843;Total entities with/without legal pers.;09 Mining support activities;2021 4th quarter;0
6844;Total entities with/without legal pers.;09 Mining support activities;2021;0
6845;Total entities with/without legal pers.;09 Mining support activities;2022 January;0
6846;Total entities with/without legal pers.;09 Mining support activities;2022 February;0
6847;Total entities with/without legal pers.;09 Mining support activities;2022 March;0
6848;Total entities with/without legal pers.;09 Mining support activities;2022 1st quarter;0
6849;Total entities with/without legal pers.;09 Mining support activities;2022 April;0
6850;Total entities with/without legal pers.;09 Mining support activities;2022 May;0
6851;Total entities with/without legal pers.;09 Mining support activities;2022 June;0
6852;Total entities with/without legal pers.;09 Mining support activities;2022 2nd quarter;0
6853;Total entities with/without legal pers.;09 Mining support activities;2022 July;0
6854;Total entities with/without legal pers.;09 Mining support activities;2022 August;0
6855;Total entities with/without legal pers.;09 Mining support activities;2022 September;0
6856;Total entities with/without legal pers.;09 Mining support activities;2022 3rd quarter;0
6857;Total entities with/without legal pers.;09 Mining support activities;2022 October;0
6858;Total entities with/without legal pers.;09 Mining support activities;2022 November;0
6859;Total entities with/without legal pers.;09 Mining support activities;2022 December;0
6860;Total entities with/without legal pers.;09 Mining support activities;2022 4th quarter;0
6861;Total entities with/without legal pers.;09 Mining support activities;2022;0
6862;Total entities with/without legal pers.;09 Mining support activities;2023 January;0
6863;Total entities with/without legal pers.;09 Mining support activities;2023 February;0
6864;Total entities with/without legal pers.;09 Mining support activities;2023 March;0
6865;Total entities with/without legal pers.;09 Mining support activities;2023 1st quarter;0
6866;Total entities with/without legal pers.;09 Mining support activities;2023 April;0
6867;Total entities with/without legal pers.;09 Mining support activities;2023 May;0
6868;Total entities with/without legal pers.;09 Mining support activities;2023 June;0
6869;Total entities with/without legal pers.;09 Mining support activities;2023 2nd quarter;0
6870;Total entities with/without legal pers.;09 Mining support activities;2023 July;0
6871;Total entities with/without legal pers.;09 Mining support activities;2023 August;0
6872;Total entities with/without legal pers.;09 Mining support activities;2023 September;0
6873;Total entities with/without legal pers.;09 Mining support activities;2023 3rd quarter;0
6874;Total entities with/without legal pers.;09 Mining support activities;2023 October;0
6875;Total entities with/without legal pers.;09 Mining support activities;2023 November;0
6876;Total entities with/without legal pers.;09 Mining support activities;2023 December;0
6877;Total entities with/without legal pers.;09 Mining support activities;2023 4th quarter;0
6878;Total entities with/without legal pers.;09 Mining support activities;2023;0
6879;Total entities with/without legal pers.;09 Mining support activities;2024 January;0
6880;Total entities with/without legal pers.;09 Mining support activities;2024 February;0
6881;Total entities with/without legal pers.;09 Mining support activities;2024 March;0
6882;Total entities with/without legal pers.;09 Mining support activities;2024 1st quarter;0
6883;Total entities with/without legal pers.;09 Mining support activities;2024 April;0
6884;Total entities with/without legal pers.;09 Mining support activities;2024 May;0
6885;Total entities with/without legal pers.;09 Mining support activities;2024 June;0
6886;Total entities with/without legal pers.;09 Mining support activities;2024 2nd quarter;0
6887;Total entities with/without legal pers.;09 Mining support activities;2024 July;0
6888;Total entities with/without legal pers.;09 Mining support activities;2024 August;0
6889;Total entities with/without legal pers.;09 Mining support activities;2024 September;0
6890;Total entities with/without legal pers.;09 Mining support activities;2024 3rd quarter;0
