ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
4388;Listed monuments total;Baarn;2008;122
4389;Listed monuments total;Baarn;2009;122
4390;Listed monuments total;Baarn;2010;122
4391;Listed monuments total;Baarn;2011;122
4392;Listed monuments total;Baarn;2012;153
4393;Listed monuments total;Baarn;2013;153
4394;Listed monuments total;Baarn;2014;153
4395;Listed monuments total;Baarn;2015;153
4396;Listed monuments total;Baarn;2016;153
4397;Listed monuments total;Baarn;2017;153
4398;Listed monuments total;Baarn;2018;153
4399;Listed monuments total;Baarn;2019;152
4400;Listed monuments total;Barendrecht;1965;0
4401;Listed monuments total;Barendrecht;1966;0
4402;Listed monuments total;Barendrecht;1967;0
4403;Listed monuments total;Barendrecht;1968;0
4404;Listed monuments total;Barendrecht;1969;0
4405;Listed monuments total;Barendrecht;1970;11
4406;Listed monuments total;Barendrecht;1971;11
4407;Listed monuments total;Barendrecht;1972;11
4408;Listed monuments total;Barendrecht;1973;13
4409;Listed monuments total;Barendrecht;1974;13
4410;Listed monuments total;Barendrecht;1975;13
4411;Listed monuments total;Barendrecht;1976;13
4412;Listed monuments total;Barendrecht;1977;13
4413;Listed monuments total;Barendrecht;1978;13
4414;Listed monuments total;Barendrecht;1979;13
4415;Listed monuments total;Barendrecht;1980;13
4416;Listed monuments total;Barendrecht;1981;13
4417;Listed monuments total;Barendrecht;1982;13
4418;Listed monuments total;Barendrecht;1983;13
4419;Listed monuments total;Barendrecht;1984;13
4420;Listed monuments total;Barendrecht;1985;13
4421;Listed monuments total;Barendrecht;1986;13
4422;Listed monuments total;Barendrecht;1987;13
4423;Listed monuments total;Barendrecht;1988;13
4424;Listed monuments total;Barendrecht;1989;13
4425;Listed monuments total;Barendrecht;1990;13
4426;Listed monuments total;Barendrecht;1991;13
4427;Listed monuments total;Barendrecht;1992;13
4428;Listed monuments total;Barendrecht;1993;13
4429;Listed monuments total;Barendrecht;1994;13
4430;Listed monuments total;Barendrecht;1995;13
4431;Listed monuments total;Barendrecht;1996;13
4432;Listed monuments total;Barendrecht;1997;13
4433;Listed monuments total;Barendrecht;1998;13
4434;Listed monuments total;Barendrecht;1999;13
4435;Listed monuments total;Barendrecht;2000;13
4436;Listed monuments total;Barendrecht;2001;17
4437;Listed monuments total;Barendrecht;2002;19
4438;Listed monuments total;Barendrecht;2003;19
4439;Listed monuments total;Barendrecht;2004;19
4440;Listed monuments total;Barendrecht;2005;19
4441;Listed monuments total;Barendrecht;2006;20
4442;Listed monuments total;Barendrecht;2007;20
4443;Listed monuments total;Barendrecht;2008;20
4444;Listed monuments total;Barendrecht;2009;20
4445;Listed monuments total;Barendrecht;2010;20
4446;Listed monuments total;Barendrecht;2011;20
4447;Listed monuments total;Barendrecht;2012;20
4448;Listed monuments total;Barendrecht;2013;20
4449;Listed monuments total;Barendrecht;2014;20
4450;Listed monuments total;Barendrecht;2015;20
4451;Listed monuments total;Barendrecht;2016;20
4452;Listed monuments total;Barendrecht;2017;20
4453;Listed monuments total;Barendrecht;2018;20
4454;Listed monuments total;Barendrecht;2019;20
4455;Listed monuments total;Barneveld;1965;0
4456;Listed monuments total;Barneveld;1966;0
4457;Listed monuments total;Barneveld;1967;1
4458;Listed monuments total;Barneveld;1968;14
4459;Listed monuments total;Barneveld;1969;14
4460;Listed monuments total;Barneveld;1970;28
4461;Listed monuments total;Barneveld;1971;29
4462;Listed monuments total;Barneveld;1972;29
4463;Listed monuments total;Barneveld;1973;29
4464;Listed monuments total;Barneveld;1974;29
4465;Listed monuments total;Barneveld;1975;29
4466;Listed monuments total;Barneveld;1976;30
4467;Listed monuments total;Barneveld;1977;30
4468;Listed monuments total;Barneveld;1978;30
4469;Listed monuments total;Barneveld;1979;30
4470;Listed monuments total;Barneveld;1980;30
4471;Listed monuments total;Barneveld;1981;30
4472;Listed monuments total;Barneveld;1982;30
4473;Listed monuments total;Barneveld;1983;30
4474;Listed monuments total;Barneveld;1984;30
4475;Listed monuments total;Barneveld;1985;30
4476;Listed monuments total;Barneveld;1986;30
4477;Listed monuments total;Barneveld;1987;30
4478;Listed monuments total;Barneveld;1988;30
4479;Listed monuments total;Barneveld;1989;30
4480;Listed monuments total;Barneveld;1990;30
4481;Listed monuments total;Barneveld;1991;30
4482;Listed monuments total;Barneveld;1992;30
4483;Listed monuments total;Barneveld;1993;30
4484;Listed monuments total;Barneveld;1994;30
4485;Listed monuments total;Barneveld;1995;30
4486;Listed monuments total;Barneveld;1996;30
4487;Listed monuments total;Barneveld;1997;30
4488;Listed monuments total;Barneveld;1998;30
4489;Listed monuments total;Barneveld;1999;30
4490;Listed monuments total;Barneveld;2000;39
4491;Listed monuments total;Barneveld;2001;39
4492;Listed monuments total;Barneveld;2002;44
4493;Listed monuments total;Barneveld;2003;48
4494;Listed monuments total;Barneveld;2004;48
4495;Listed monuments total;Barneveld;2005;48
4496;Listed monuments total;Barneveld;2006;48
4497;Listed monuments total;Barneveld;2007;48
4498;Listed monuments total;Barneveld;2008;48
4499;Listed monuments total;Barneveld;2009;48
4500;Listed monuments total;Barneveld;2010;48
4501;Listed monuments total;Barneveld;2011;48
4502;Listed monuments total;Barneveld;2012;48
4503;Listed monuments total;Barneveld;2013;48
4504;Listed monuments total;Barneveld;2014;48
4505;Listed monuments total;Barneveld;2015;48
4506;Listed monuments total;Barneveld;2016;48
4507;Listed monuments total;Barneveld;2017;48
4508;Listed monuments total;Barneveld;2018;48
4509;Listed monuments total;Barneveld;2019;48
4510;Listed monuments total;Beek (L.);1965;0
4511;Listed monuments total;Beek (L.);1966;0
4512;Listed monuments total;Beek (L.);1967;29
4513;Listed monuments total;Beek (L.);1968;29
4514;Listed monuments total;Beek (L.);1969;29
4515;Listed monuments total;Beek (L.);1970;29
4516;Listed monuments total;Beek (L.);1971;31
4517;Listed monuments total;Beek (L.);1972;32
4518;Listed monuments total;Beek (L.);1973;32
4519;Listed monuments total;Beek (L.);1974;32
4520;Listed monuments total;Beek (L.);1975;32
4521;Listed monuments total;Beek (L.);1976;32
4522;Listed monuments total;Beek (L.);1977;32
4523;Listed monuments total;Beek (L.);1978;32
4524;Listed monuments total;Beek (L.);1979;32
4525;Listed monuments total;Beek (L.);1980;32
4526;Listed monuments total;Beek (L.);1981;32
4527;Listed monuments total;Beek (L.);1982;32
4528;Listed monuments total;Beek (L.);1983;32
4529;Listed monuments total;Beek (L.);1984;32
4530;Listed monuments total;Beek (L.);1985;32
4531;Listed monuments total;Beek (L.);1986;32
4532;Listed monuments total;Beek (L.);1987;32
4533;Listed monuments total;Beek (L.);1988;32
4534;Listed monuments total;Beek (L.);1989;32
4535;Listed monuments total;Beek (L.);1990;32
4536;Listed monuments total;Beek (L.);1991;32
4537;Listed monuments total;Beek (L.);1992;32
4538;Listed monuments total;Beek (L.);1993;48
4539;Listed monuments total;Beek (L.);1994;48
4540;Listed monuments total;Beek (L.);1995;48
4541;Listed monuments total;Beek (L.);1996;48
4542;Listed monuments total;Beek (L.);1997;48
4543;Listed monuments total;Beek (L.);1998;48
4544;Listed monuments total;Beek (L.);1999;53
4545;Listed monuments total;Beek (L.);2000;53
4546;Listed monuments total;Beek (L.);2001;54
4547;Listed monuments total;Beek (L.);2002;54
4548;Listed monuments total;Beek (L.);2003;54
4549;Listed monuments total;Beek (L.);2004;54
4550;Listed monuments total;Beek (L.);2005;54
4551;Listed monuments total;Beek (L.);2006;54
4552;Listed monuments total;Beek (L.);2007;54
4553;Listed monuments total;Beek (L.);2008;54
4554;Listed monuments total;Beek (L.);2009;54
4555;Listed monuments total;Beek (L.);2010;54
4556;Listed monuments total;Beek (L.);2011;54
4557;Listed monuments total;Beek (L.);2012;54
4558;Listed monuments total;Beek (L.);2013;54
4559;Listed monuments total;Beek (L.);2014;54
4560;Listed monuments total;Beek (L.);2015;54
4561;Listed monuments total;Beek (L.);2016;54
4562;Listed monuments total;Beek (L.);2017;54
4563;Listed monuments total;Beek (L.);2018;54
4564;Listed monuments total;Beek (L.);2019;54
4565;Listed monuments total;Beekdaelen;1965;9
4566;Listed monuments total;Beekdaelen;1966;43
4567;Listed monuments total;Beekdaelen;1967;164
4568;Listed monuments total;Beekdaelen;1968;164
4569;Listed monuments total;Beekdaelen;1969;164
4570;Listed monuments total;Beekdaelen;1970;164
4571;Listed monuments total;Beekdaelen;1971;166
4572;Listed monuments total;Beekdaelen;1972;169
4573;Listed monuments total;Beekdaelen;1973;169
4574;Listed monuments total;Beekdaelen;1974;169
4575;Listed monuments total;Beekdaelen;1975;169
4576;Listed monuments total;Beekdaelen;1976;169
4577;Listed monuments total;Beekdaelen;1977;169
4578;Listed monuments total;Beekdaelen;1978;170
4579;Listed monuments total;Beekdaelen;1979;170
4580;Listed monuments total;Beekdaelen;1980;171
4581;Listed monuments total;Beekdaelen;1981;171
4582;Listed monuments total;Beekdaelen;1982;171
4583;Listed monuments total;Beekdaelen;1983;173
4584;Listed monuments total;Beekdaelen;1984;173
4585;Listed monuments total;Beekdaelen;1985;176
4586;Listed monuments total;Beekdaelen;1986;176
4587;Listed monuments total;Beekdaelen;1987;178
4588;Listed monuments total;Beekdaelen;1988;179
4589;Listed monuments total;Beekdaelen;1989;179
4590;Listed monuments total;Beekdaelen;1990;179
4591;Listed monuments total;Beekdaelen;1991;179
4592;Listed monuments total;Beekdaelen;1992;179
4593;Listed monuments total;Beekdaelen;1993;203
4594;Listed monuments total;Beekdaelen;1994;203
4595;Listed monuments total;Beekdaelen;1995;203
4596;Listed monuments total;Beekdaelen;1996;203
4597;Listed monuments total;Beekdaelen;1997;240
4598;Listed monuments total;Beekdaelen;1998;241
4599;Listed monuments total;Beekdaelen;1999;248
4600;Listed monuments total;Beekdaelen;2000;248
4601;Listed monuments total;Beekdaelen;2001;254
4602;Listed monuments total;Beekdaelen;2002;255
4603;Listed monuments total;Beekdaelen;2003;255
4604;Listed monuments total;Beekdaelen;2004;255
4605;Listed monuments total;Beekdaelen;2005;255
4606;Listed monuments total;Beekdaelen;2006;255
4607;Listed monuments total;Beekdaelen;2007;255
4608;Listed monuments total;Beekdaelen;2008;255
4609;Listed monuments total;Beekdaelen;2009;255
4610;Listed monuments total;Beekdaelen;2010;255
4611;Listed monuments total;Beekdaelen;2011;255
4612;Listed monuments total;Beekdaelen;2012;255
4613;Listed monuments total;Beekdaelen;2013;255
4614;Listed monuments total;Beekdaelen;2014;255
4615;Listed monuments total;Beekdaelen;2015;255
4616;Listed monuments total;Beekdaelen;2016;255
4617;Listed monuments total;Beekdaelen;2017;255
4618;Listed monuments total;Beekdaelen;2018;255
4619;Listed monuments total;Beekdaelen;2019;255
4620;Listed monuments total;Beemster;1965;0
4621;Listed monuments total;Beemster;1966;0
4622;Listed monuments total;Beemster;1967;0
4623;Listed monuments total;Beemster;1968;49
4624;Listed monuments total;Beemster;1969;49
4625;Listed monuments total;Beemster;1970;49
4626;Listed monuments total;Beemster;1971;50
4627;Listed monuments total;Beemster;1972;50
4628;Listed monuments total;Beemster;1973;50
4629;Listed monuments total;Beemster;1974;51
4630;Listed monuments total;Beemster;1975;53
4631;Listed monuments total;Beemster;1976;53
4632;Listed monuments total;Beemster;1977;54
4633;Listed monuments total;Beemster;1978;54
4634;Listed monuments total;Beemster;1979;55
4635;Listed monuments total;Beemster;1980;55
4636;Listed monuments total;Beemster;1981;55
4637;Listed monuments total;Beemster;1982;55
4638;Listed monuments total;Beemster;1983;55
4639;Listed monuments total;Beemster;1984;55
4640;Listed monuments total;Beemster;1985;55
4641;Listed monuments total;Beemster;1986;55
4642;Listed monuments total;Beemster;1987;55
4643;Listed monuments total;Beemster;1988;55
4644;Listed monuments total;Beemster;1989;55
4645;Listed monuments total;Beemster;1990;55
4646;Listed monuments total;Beemster;1991;55
4647;Listed monuments total;Beemster;1992;55
4648;Listed monuments total;Beemster;1993;55
4649;Listed monuments total;Beemster;1994;55
4650;Listed monuments total;Beemster;1995;55
4651;Listed monuments total;Beemster;1996;55
4652;Listed monuments total;Beemster;1997;55
4653;Listed monuments total;Beemster;1998;88
4654;Listed monuments total;Beemster;1999;88
4655;Listed monuments total;Beemster;2000;88
4656;Listed monuments total;Beemster;2001;88
4657;Listed monuments total;Beemster;2002;88
4658;Listed monuments total;Beemster;2003;88
4659;Listed monuments total;Beemster;2004;88
4660;Listed monuments total;Beemster;2005;88
4661;Listed monuments total;Beemster;2006;88
4662;Listed monuments total;Beemster;2007;88
4663;Listed monuments total;Beemster;2008;88
4664;Listed monuments total;Beemster;2009;88
4665;Listed monuments total;Beemster;2010;88
4666;Listed monuments total;Beemster;2011;88
4667;Listed monuments total;Beemster;2012;88
4668;Listed monuments total;Beemster;2013;88
4669;Listed monuments total;Beemster;2014;88
4670;Listed monuments total;Beemster;2015;88
4671;Listed monuments total;Beemster;2016;88
4672;Listed monuments total;Beemster;2017;88
4673;Listed monuments total;Beemster;2018;88
4674;Listed monuments total;Beemster;2019;88
4675;Listed monuments total;Beesel;1965;0
4676;Listed monuments total;Beesel;1966;0
4677;Listed monuments total;Beesel;1967;0
4678;Listed monuments total;Beesel;1968;0
4679;Listed monuments total;Beesel;1969;0
4680;Listed monuments total;Beesel;1970;10
4681;Listed monuments total;Beesel;1971;10
4682;Listed monuments total;Beesel;1972;10
4683;Listed monuments total;Beesel;1973;10
4684;Listed monuments total;Beesel;1974;10
4685;Listed monuments total;Beesel;1975;11
4686;Listed monuments total;Beesel;1976;12
4687;Listed monuments total;Beesel;1977;12
4688;Listed monuments total;Beesel;1978;12
4689;Listed monuments total;Beesel;1979;12
4690;Listed monuments total;Beesel;1980;13
4691;Listed monuments total;Beesel;1981;13
4692;Listed monuments total;Beesel;1982;13
4693;Listed monuments total;Beesel;1983;13
4694;Listed monuments total;Beesel;1984;13
4695;Listed monuments total;Beesel;1985;13
4696;Listed monuments total;Beesel;1986;13
4697;Listed monuments total;Beesel;1987;13
4698;Listed monuments total;Beesel;1988;13
4699;Listed monuments total;Beesel;1989;13
4700;Listed monuments total;Beesel;1990;13
4701;Listed monuments total;Beesel;1991;13
4702;Listed monuments total;Beesel;1992;13
4703;Listed monuments total;Beesel;1993;13
4704;Listed monuments total;Beesel;1994;13
4705;Listed monuments total;Beesel;1995;13
4706;Listed monuments total;Beesel;1996;13
4707;Listed monuments total;Beesel;1997;13
4708;Listed monuments total;Beesel;1998;13
4709;Listed monuments total;Beesel;1999;13
4710;Listed monuments total;Beesel;2000;17
4711;Listed monuments total;Beesel;2001;17
4712;Listed monuments total;Beesel;2002;21
4713;Listed monuments total;Beesel;2003;21
4714;Listed monuments total;Beesel;2004;21
4715;Listed monuments total;Beesel;2005;21
4716;Listed monuments total;Beesel;2006;21
4717;Listed monuments total;Beesel;2007;21
4718;Listed monuments total;Beesel;2008;21
4719;Listed monuments total;Beesel;2009;21
4720;Listed monuments total;Beesel;2010;21
4721;Listed monuments total;Beesel;2011;21
4722;Listed monuments total;Beesel;2012;21
4723;Listed monuments total;Beesel;2013;21
4724;Listed monuments total;Beesel;2014;21
4725;Listed monuments total;Beesel;2015;21
4726;Listed monuments total;Beesel;2016;21
4727;Listed monuments total;Beesel;2017;21
4728;Listed monuments total;Beesel;2018;21
4729;Listed monuments total;Beesel;2019;21
4730;Listed monuments total;Berg en Dal;1965;0
4731;Listed monuments total;Berg en Dal;1966;0
4732;Listed monuments total;Berg en Dal;1967;0
4733;Listed monuments total;Berg en Dal;1968;0
4734;Listed monuments total;Berg en Dal;1969;0
4735;Listed monuments total;Berg en Dal;1970;0
4736;Listed monuments total;Berg en Dal;1971;18
4737;Listed monuments total;Berg en Dal;1972;19
4738;Listed monuments total;Berg en Dal;1973;20
4739;Listed monuments total;Berg en Dal;1974;28
4740;Listed monuments total;Berg en Dal;1975;29
4741;Listed monuments total;Berg en Dal;1976;32
4742;Listed monuments total;Berg en Dal;1977;33
4743;Listed monuments total;Berg en Dal;1978;33
4744;Listed monuments total;Berg en Dal;1979;33
4745;Listed monuments total;Berg en Dal;1980;55
4746;Listed monuments total;Berg en Dal;1981;55
4747;Listed monuments total;Berg en Dal;1982;55
4748;Listed monuments total;Berg en Dal;1983;55
