ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
5752;General government;Assets;AF42 Long-term loans;Other changes;2023 1st quarter;-11
5753;General government;Assets;AF42 Long-term loans;Other changes;2023 2nd quarter;3
5754;General government;Assets;AF42 Long-term loans;Other changes;2023 3rd quarter;25
5755;General government;Assets;AF42 Long-term loans;Other changes;2023 4th quarter;-67
5756;General government;Assets;AF42 Long-term loans;Other changes;2023;-50
5757;General government;Assets;AF42 Long-term loans;Other changes;2024 1st quarter;37
5758;General government;Assets;AF42 Long-term loans;Other changes;2024 2nd quarter;6
5759;General government;Assets;AF42 Long-term loans;Other changes;2024 3rd quarter;-56
5760;General government;Assets;AF42 Long-term loans;Other changes;2024 4th quarter;109
5761;General government;Assets;AF42 Long-term loans;Other changes;2024;96
5762;General government;Assets;AF42 Long-term loans;Closing balance sheet;1995;34859
5763;General government;Assets;AF42 Long-term loans;Closing balance sheet;1996;33463
5764;General government;Assets;AF42 Long-term loans;Closing balance sheet;1997;32815
5765;General government;Assets;AF42 Long-term loans;Closing balance sheet;1998;31013
5766;General government;Assets;AF42 Long-term loans;Closing balance sheet;1999 1st quarter;30679
5767;General government;Assets;AF42 Long-term loans;Closing balance sheet;1999 2nd quarter;30398
5768;General government;Assets;AF42 Long-term loans;Closing balance sheet;1999 3rd quarter;30093
5769;General government;Assets;AF42 Long-term loans;Closing balance sheet;1999 4th quarter;29752
5770;General government;Assets;AF42 Long-term loans;Closing balance sheet;1999;29752
5771;General government;Assets;AF42 Long-term loans;Closing balance sheet;2000 1st quarter;29816
5772;General government;Assets;AF42 Long-term loans;Closing balance sheet;2000 2nd quarter;29919
5773;General government;Assets;AF42 Long-term loans;Closing balance sheet;2000 3rd quarter;30010
5774;General government;Assets;AF42 Long-term loans;Closing balance sheet;2000 4th quarter;30027
5775;General government;Assets;AF42 Long-term loans;Closing balance sheet;2000;30027
5776;General government;Assets;AF42 Long-term loans;Closing balance sheet;2001 1st quarter;30089
5777;General government;Assets;AF42 Long-term loans;Closing balance sheet;2001 2nd quarter;29802
5778;General government;Assets;AF42 Long-term loans;Closing balance sheet;2001 3rd quarter;29810
5779;General government;Assets;AF42 Long-term loans;Closing balance sheet;2001 4th quarter;29659
5780;General government;Assets;AF42 Long-term loans;Closing balance sheet;2001;29659
5781;General government;Assets;AF42 Long-term loans;Closing balance sheet;2002 1st quarter;29135
5782;General government;Assets;AF42 Long-term loans;Closing balance sheet;2002 2nd quarter;28821
5783;General government;Assets;AF42 Long-term loans;Closing balance sheet;2002 3rd quarter;28361
5784;General government;Assets;AF42 Long-term loans;Closing balance sheet;2002 4th quarter;28658
5785;General government;Assets;AF42 Long-term loans;Closing balance sheet;2002;28658
5786;General government;Assets;AF42 Long-term loans;Closing balance sheet;2003 1st quarter;27767
5787;General government;Assets;AF42 Long-term loans;Closing balance sheet;2003 2nd quarter;27214
5788;General government;Assets;AF42 Long-term loans;Closing balance sheet;2003 3rd quarter;26461
5789;General government;Assets;AF42 Long-term loans;Closing balance sheet;2003 4th quarter;25710
5790;General government;Assets;AF42 Long-term loans;Closing balance sheet;2003;25710
5791;General government;Assets;AF42 Long-term loans;Closing balance sheet;2004 1st quarter;25417
5792;General government;Assets;AF42 Long-term loans;Closing balance sheet;2004 2nd quarter;25265
5793;General government;Assets;AF42 Long-term loans;Closing balance sheet;2004 3rd quarter;24892
5794;General government;Assets;AF42 Long-term loans;Closing balance sheet;2004 4th quarter;24690
5795;General government;Assets;AF42 Long-term loans;Closing balance sheet;2004;24690
5796;General government;Assets;AF42 Long-term loans;Closing balance sheet;2005 1st quarter;28390
5797;General government;Assets;AF42 Long-term loans;Closing balance sheet;2005 2nd quarter;32311
5798;General government;Assets;AF42 Long-term loans;Closing balance sheet;2005 3rd quarter;29743
5799;General government;Assets;AF42 Long-term loans;Closing balance sheet;2005 4th quarter;26999
5800;General government;Assets;AF42 Long-term loans;Closing balance sheet;2005;26999
5801;General government;Assets;AF42 Long-term loans;Closing balance sheet;2006 1st quarter;27013
5802;General government;Assets;AF42 Long-term loans;Closing balance sheet;2006 2nd quarter;26179
5803;General government;Assets;AF42 Long-term loans;Closing balance sheet;2006 3rd quarter;24655
5804;General government;Assets;AF42 Long-term loans;Closing balance sheet;2006 4th quarter;25243
5805;General government;Assets;AF42 Long-term loans;Closing balance sheet;2006;25243
5806;General government;Assets;AF42 Long-term loans;Closing balance sheet;2007 1st quarter;25527
5807;General government;Assets;AF42 Long-term loans;Closing balance sheet;2007 2nd quarter;26006
5808;General government;Assets;AF42 Long-term loans;Closing balance sheet;2007 3rd quarter;25582
5809;General government;Assets;AF42 Long-term loans;Closing balance sheet;2007 4th quarter;26802
5810;General government;Assets;AF42 Long-term loans;Closing balance sheet;2007;26802
5811;General government;Assets;AF42 Long-term loans;Closing balance sheet;2008 1st quarter;28164
5812;General government;Assets;AF42 Long-term loans;Closing balance sheet;2008 2nd quarter;27783
5813;General government;Assets;AF42 Long-term loans;Closing balance sheet;2008 3rd quarter;27475
5814;General government;Assets;AF42 Long-term loans;Closing balance sheet;2008 4th quarter;36202
5815;General government;Assets;AF42 Long-term loans;Closing balance sheet;2008;36202
5816;General government;Assets;AF42 Long-term loans;Closing balance sheet;2009 1st quarter;36492
5817;General government;Assets;AF42 Long-term loans;Closing balance sheet;2009 2nd quarter;36856
5818;General government;Assets;AF42 Long-term loans;Closing balance sheet;2009 3rd quarter;42840
5819;General government;Assets;AF42 Long-term loans;Closing balance sheet;2009 4th quarter;42305
5820;General government;Assets;AF42 Long-term loans;Closing balance sheet;2009;42305
5821;General government;Assets;AF42 Long-term loans;Closing balance sheet;2010 1st quarter;42104
5822;General government;Assets;AF42 Long-term loans;Closing balance sheet;2010 2nd quarter;43540
5823;General government;Assets;AF42 Long-term loans;Closing balance sheet;2010 3rd quarter;41001
5824;General government;Assets;AF42 Long-term loans;Closing balance sheet;2010 4th quarter;40717
5825;General government;Assets;AF42 Long-term loans;Closing balance sheet;2010;40717
5826;General government;Assets;AF42 Long-term loans;Closing balance sheet;2011 1st quarter;41480
5827;General government;Assets;AF42 Long-term loans;Closing balance sheet;2011 2nd quarter;41983
5828;General government;Assets;AF42 Long-term loans;Closing balance sheet;2011 3rd quarter;41174
5829;General government;Assets;AF42 Long-term loans;Closing balance sheet;2011 4th quarter;41204
5830;General government;Assets;AF42 Long-term loans;Closing balance sheet;2011;41204
5831;General government;Assets;AF42 Long-term loans;Closing balance sheet;2012 1st quarter;43577
5832;General government;Assets;AF42 Long-term loans;Closing balance sheet;2012 2nd quarter;46308
5833;General government;Assets;AF42 Long-term loans;Closing balance sheet;2012 3rd quarter;46777
5834;General government;Assets;AF42 Long-term loans;Closing balance sheet;2012 4th quarter;48921
5835;General government;Assets;AF42 Long-term loans;Closing balance sheet;2012;48921
5836;General government;Assets;AF42 Long-term loans;Closing balance sheet;2013 1st quarter;49097
5837;General government;Assets;AF42 Long-term loans;Closing balance sheet;2013 2nd quarter;51071
5838;General government;Assets;AF42 Long-term loans;Closing balance sheet;2013 3rd quarter;49991
5839;General government;Assets;AF42 Long-term loans;Closing balance sheet;2013 4th quarter;57353
5840;General government;Assets;AF42 Long-term loans;Closing balance sheet;2013;57353
5841;General government;Assets;AF42 Long-term loans;Closing balance sheet;2014 1st quarter;58196
5842;General government;Assets;AF42 Long-term loans;Closing balance sheet;2014 2nd quarter;58407
5843;General government;Assets;AF42 Long-term loans;Closing balance sheet;2014 3rd quarter;58614
5844;General government;Assets;AF42 Long-term loans;Closing balance sheet;2014 4th quarter;57769
5845;General government;Assets;AF42 Long-term loans;Closing balance sheet;2014;57769
5846;General government;Assets;AF42 Long-term loans;Closing balance sheet;2015 1st quarter;57106
5847;General government;Assets;AF42 Long-term loans;Closing balance sheet;2015 2nd quarter;56747
5848;General government;Assets;AF42 Long-term loans;Closing balance sheet;2015 3rd quarter;53043
5849;General government;Assets;AF42 Long-term loans;Closing balance sheet;2015 4th quarter;52997
5850;General government;Assets;AF42 Long-term loans;Closing balance sheet;2015;52997
5851;General government;Assets;AF42 Long-term loans;Closing balance sheet;2016 1st quarter;52942
5852;General government;Assets;AF42 Long-term loans;Closing balance sheet;2016 2nd quarter;52863
5853;General government;Assets;AF42 Long-term loans;Closing balance sheet;2016 3rd quarter;48820
5854;General government;Assets;AF42 Long-term loans;Closing balance sheet;2016 4th quarter;47941
5855;General government;Assets;AF42 Long-term loans;Closing balance sheet;2016;47941
5856;General government;Assets;AF42 Long-term loans;Closing balance sheet;2017 1st quarter;49516
5857;General government;Assets;AF42 Long-term loans;Closing balance sheet;2017 2nd quarter;48734
5858;General government;Assets;AF42 Long-term loans;Closing balance sheet;2017 3rd quarter;48888
5859;General government;Assets;AF42 Long-term loans;Closing balance sheet;2017 4th quarter;49643
5860;General government;Assets;AF42 Long-term loans;Closing balance sheet;2017;49643
5861;General government;Assets;AF42 Long-term loans;Closing balance sheet;2018 1st quarter;50717
5862;General government;Assets;AF42 Long-term loans;Closing balance sheet;2018 2nd quarter;51175
5863;General government;Assets;AF42 Long-term loans;Closing balance sheet;2018 3rd quarter;51604
5864;General government;Assets;AF42 Long-term loans;Closing balance sheet;2018 4th quarter;51851
5865;General government;Assets;AF42 Long-term loans;Closing balance sheet;2018;51851
5866;General government;Assets;AF42 Long-term loans;Closing balance sheet;2019 1st quarter;52048
5867;General government;Assets;AF42 Long-term loans;Closing balance sheet;2019 2nd quarter;52423
5868;General government;Assets;AF42 Long-term loans;Closing balance sheet;2019 3rd quarter;52618
5869;General government;Assets;AF42 Long-term loans;Closing balance sheet;2019 4th quarter;53620
5870;General government;Assets;AF42 Long-term loans;Closing balance sheet;2019;53620
5871;General government;Assets;AF42 Long-term loans;Closing balance sheet;2020 1st quarter;54153
5872;General government;Assets;AF42 Long-term loans;Closing balance sheet;2020 2nd quarter;54927
5873;General government;Assets;AF42 Long-term loans;Closing balance sheet;2020 3rd quarter;56478
5874;General government;Assets;AF42 Long-term loans;Closing balance sheet;2020 4th quarter;57327
5875;General government;Assets;AF42 Long-term loans;Closing balance sheet;2020;57327
5876;General government;Assets;AF42 Long-term loans;Closing balance sheet;2021 1st quarter;57257
5877;General government;Assets;AF42 Long-term loans;Closing balance sheet;2021 2nd quarter;57754
5878;General government;Assets;AF42 Long-term loans;Closing balance sheet;2021 3rd quarter;58209
5879;General government;Assets;AF42 Long-term loans;Closing balance sheet;2021 4th quarter;59722
5880;General government;Assets;AF42 Long-term loans;Closing balance sheet;2021;59722
5881;General government;Assets;AF42 Long-term loans;Closing balance sheet;2022 1st quarter;60561
5882;General government;Assets;AF42 Long-term loans;Closing balance sheet;2022 2nd quarter;60577
5883;General government;Assets;AF42 Long-term loans;Closing balance sheet;2022 3rd quarter;61096
5884;General government;Assets;AF42 Long-term loans;Closing balance sheet;2022 4th quarter;61142
