ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;StatisticalDifferences_8;TotalEnergyConsumption_9;TotalEnergyTransformationInput_10;ElectricityAndCHPTransformationInput_11;OtherTransformationInput_12;TotalEnergyTransformationOutput_13;ElectricityCHPTransformationOutput_14;OtherTransformationOutput_15;TotalNetEnergyTransformation_16;NetElectricityCHPTransformation_17;NetOtherTransformation_18;Total_19;ProductionOfHeatAndPower_20;ExtractionOfCrudePetroleumAndGas_21;CokeOvenPlants_22;BlastFurnaces_23;OilRefineryInstallations_24;OtherInstallations_25;DistributionLosses_26;TotalFinalConsumption_27;Total_28;Total_29;IronAndSteel_30;ChemicalAndPetrochemical_31;NonFerrousMetals_32;NonMetallicMinerals_33;TransportEquipment_34;Machinery_35;MiningAndQuarrying_36;FoodAndTobacco_37;PaperPulpAndPrinting_38;WoodAndWoodProducts_39;Construction_40;TextileAndLeather_41;OtherIndustryAndNonSpecified_42;Total_43;DomesticAviation_44;RoadTransport_45;RailTransport_46;PipelineTransport_47;DomesticNavigation_48;NonSpecified_49;Total_50;ServicesWasteWaterAndRepair_51;Dwellings_52;Agriculture_53;Fishing_54;NonSpecified_55;Total_56;IndustryExcludingTheEnergySector_57;OfWhichChemicalAndPetrochemical_58;Transport_59;OtherSectors_60
2089;Naphtha;1981;47.6;;242.3;191.6;50.7;;-3.1;0.2;47.4;145.6;;145.6;150.7;;150.7;-5.1;;-5.1;;;;;;;;;52.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5;52.5;52.5;;
2090;Naphtha;1982;68.1;;396.7;345.5;51.2;;16.9;0.9;67.2;277.6;;277.6;293.0;;293.0;-15.4;;-15.4;;;;;;;;;82.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82.6;82.6;82.6;;
2091;Naphtha;1983;63.9;;425.1;349.3;75.8;;-11.9;0.7;63.2;314.1;;314.1;350.6;;350.6;-36.5;;-36.5;;;;;;;;;99.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.7;99.7;99.7;;
2092;Naphtha;1984;54.2;;406.6;354.3;52.3;;2.0;0.2;54.0;298.8;;298.8;330.2;;330.2;-31.4;;-31.4;;;;;;;;;85.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.4;85.4;85.4;;
2093;Naphtha;1985;33.2;;363.6;332.8;30.8;;2.4;-0.1;33.3;212.7;;212.7;259.5;;259.5;-46.8;;-46.8;0.0;;;;;0.0;;;80.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.1;80.1;80.1;;
2094;Naphtha;1986;26.9;;364.0;340.1;23.9;;3.0;;26.9;258.9;;258.9;341.6;;341.6;-82.7;;-82.7;;;;;;;;;109.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109.6;109.6;109.6;;
2095;Naphtha;1987;16.8;;356.1;335.5;20.6;;-3.7;-0.2;17.0;276.8;;276.8;379.7;;379.7;-102.9;;-102.9;;;;;;;;;119.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.9;119.9;119.9;;
2096;Naphtha;1988;-60.7;;310.7;372.2;-61.5;;0.7;0.2;-60.9;277.1;;277.1;464.7;;464.7;-187.6;;-187.6;;;;;;;;;126.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126.7;126.7;126.7;;
2097;Naphtha;1989;-55.7;;365.0;410.6;-45.6;;-10.1;0.0;-55.7;254.4;;254.4;441.2;;441.2;-186.8;;-186.8;;;;;;;;;131.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131.1;131.1;131.1;;
2098;Naphtha;1990;74.7;;511.5;440.2;71.3;;3.4;;74.7;165.7;;165.7;210.4;;210.4;-44.7;;-44.7;;;;;;;;;119.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.4;119.4;119.4;;
2099;Naphtha;1991;10.6;;417.5;413.4;4.2;;6.5;;10.6;136.9;;136.9;236.1;;236.1;-99.3;;-99.3;;;;;;;;;109.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109.9;109.9;109.9;;
2100;Naphtha;1992;-0.2;;398.5;406.6;-8.1;;7.9;;-0.2;105.1;;105.1;223.0;;223.0;-118.0;;-118.0;;;;;;;;;117.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117.7;117.7;117.7;;
2101;Naphtha;1993;2.4;;366.0;356.7;9.3;;-6.8;0.0;2.4;107.7;;107.7;202.1;;202.1;-94.4;;-94.4;;;;;;;;;96.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.9;96.9;96.9;;
2102;Naphtha;1994;7.9;;356.2;344.9;11.3;;-3.4;0.0;7.9;110.1;;110.1;229.4;;229.4;-119.3;;-119.3;;;;;;;;;127.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127.3;127.3;127.3;;
2103;Naphtha;1995;-29.6;;372.2;405.2;-33.0;;3.4;;-29.6;101.5;;101.5;277.4;;277.4;-175.9;;-175.9;;;;;;;;;146.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146.3;146.3;146.3;;
2104;Naphtha;1996;-28.9;;380.5;420.7;-40.2;;11.3;;-28.9;122.5;;122.5;307.6;;307.6;-185.2;;-185.2;;;;;;;;;156.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156.3;156.3;156.3;;
2105;Naphtha;1997;-45.9;;435.3;471.5;-36.2;;-9.7;;-45.9;104.9;;104.9;306.9;;306.9;-202.0;;-202.0;;;;;;;;;156.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156.1;156.1;156.1;;
2106;Naphtha;1998;-55.9;;414.5;475.3;-60.8;;4.9;0.0;-55.9;111.2;;111.2;322.2;;322.2;-211.0;;-211.0;;;;;;;;;155.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155.1;155.1;155.1;;
2107;Naphtha;1999;-73.4;;458.1;531.7;-73.6;;0.2;;-73.4;120.2;;120.2;334.7;;334.7;-214.4;;-214.4;;;;;;;;;141.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141.1;141.1;141.1;;
2108;Naphtha;2000;-42.6;;539.8;574.7;-35.0;;-7.6;;-42.6;126.6;;126.6;321.3;;321.3;-194.7;;-194.7;;;;;;;;;152.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152.1;152.1;152.1;;
2109;Naphtha;2001;-18.0;;468.4;494.9;-26.5;;8.5;0.0;-18.0;137.0;;137.0;311.3;;311.3;-174.3;;-174.3;;;;;;;;;156.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156.3;156.3;156.3;;
2110;Naphtha;2002;8.9;;494.3;487.8;6.5;;2.4;;8.9;154.3;;154.3;311.1;;311.1;-156.8;;-156.8;;;;;;;;;165.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165.7;165.7;165.7;;
2111;Naphtha;2003;114.7;;660.0;535.4;124.6;;-9.9;0.0;114.7;202.2;;202.2;336.9;;336.9;-134.7;;-134.7;;;;;;;;;249.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249.4;249.4;249.4;;
2112;Naphtha;2004;63.1;;738.8;669.8;69.0;;-5.9;0.0;63.1;201.3;;201.3;367.6;;367.6;-166.3;;-166.3;;;;;;;;;229.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;229.4;229.4;229.4;;
2113;Naphtha;2005;48.8;;646.0;601.8;44.2;;4.6;;48.8;204.5;;204.5;367.8;;367.8;-163.3;;-163.3;;;;;;;;;212.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212.0;212.0;212.0;;
2114;Naphtha;2006;74.2;;653.5;575.7;77.8;;-3.6;0.0;74.2;208.7;;208.7;333.5;;333.5;-124.8;;-124.8;;;;;;;;;198.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198.9;198.9;198.9;;
2115;Naphtha;2007;72.3;;584.9;512.8;72.0;;0.3;;72.3;229.0;;229.0;381.0;;381.0;-152.0;;-152.0;;;;;;;;;224.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224.3;224.3;224.3;;
2116;Naphtha;2008;17.8;;530.0;504.4;25.7;;-7.8;;17.8;218.1;;218.1;391.1;;391.1;-173.0;;-173.0;;;;;;;;;190.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190.8;190.8;190.8;;
2117;Naphtha;2009;62.3;;560.7;495.6;65.1;;-2.8;;62.3;237.6;;237.6;386.1;;386.1;-148.6;;-148.6;;;;;;;;;210.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210.9;210.9;210.9;;
2118;Naphtha;2010;129.1;;668.6;551.4;117.2;;12.0;;129.1;274.7;;274.7;377.8;;377.8;-103.2;;-103.2;;;;;;;;;232.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232.3;232.3;232.3;;
2119;Naphtha;2011;27.0;;561.6;535.4;26.3;;0.8;;27.0;207.2;;207.2;380.8;;380.8;-173.6;;-173.6;;;;;;;;;200.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200.6;200.6;200.6;;
2120;Naphtha;2012;200.6;;740.5;539.3;201.2;;-0.6;;200.6;315.2;;315.2;364.5;;364.5;-49.3;;-49.3;;;;;;;;;249.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249.9;249.9;249.9;;
2121;Naphtha;2013;131.1;;694.4;558.2;136.2;;-5.0;;131.1;306.4;;306.4;367.2;;367.2;-60.8;;-60.8;;;;;;;;;191.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191.9;191.9;191.9;;
2122;Naphtha;2014;155.0;;652.9;486.6;166.3;;-11.3;;155.0;344.3;;344.3;344.8;;344.8;-0.5;;-0.5;;;;;;;;;155.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155.5;155.5;155.5;;
2123;Naphtha;2015;169.1;;700.8;547.7;153.0;;16.1;;169.1;417.3;;417.3;411.5;;411.5;5.8;;5.8;;;;;;;;;163.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163.3;163.3;163.3;;
2124;Naphtha;2016;137.6;;716.0;575.6;140.4;;-2.8;;137.6;421.4;;421.4;492.5;;492.5;-71.1;;-71.1;;;;;;;;;208.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208.7;208.7;208.7;;
2125;Naphtha;2017;176.4;;766.5;582.1;184.4;;-8.0;;176.4;444.0;;444.0;506.4;;506.4;-62.4;;-62.4;;;;;;;;;238.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238.8;238.8;238.8;;
2126;Naphtha;2018;359.1;;977.4;607.8;369.6;;-10.5;;359.1;676.2;;676.2;535.9;;535.9;140.2;;140.2;;;;;;;;;218.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218.9;218.9;218.9;;
2127;Naphtha;2019;479.6;;1009.4;523.2;486.2;;-6.6;;479.6;807.0;;807.0;535.7;;535.7;271.3;;271.3;;;;;;;;;208.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208.3;208.3;208.3;;
2128;Naphtha;2020;323.4;;884.4;556.3;328.1;;-4.7;;323.4;608.3;;608.3;525.7;;525.7;82.6;;82.6;;;;;;;;;240.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240.8;240.8;240.8;;
2129;Naphtha;2021;439.2;;1014.8;604.2;410.5;;28.7;;439.2;714.5;;714.5;524.7;;524.7;189.7;;189.7;;;;;;;;;249.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249.5;249.5;249.5;;
2130;Naphtha;2022;455.9;;1041.7;565.4;476.2;;-20.3;;455.9;747.0;;747.0;496.8;;496.8;250.2;;250.2;;;;;;;;;205.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205.7;205.7;205.7;;
2131;Naphtha;2023;224.2;;809.5;587.1;222.5;;1.7;;224.2;608.7;;608.7;548.5;;548.5;60.2;;60.2;;;;;;;;;164.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164.0;164.0;164.0;;
2132;Naphtha;2024;213.7;;793.4;593.5;200.0;;13.8;;213.7;561.4;;561.4;532.4;;532.4;29.0;;29.0;;;;;;;;;184.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2133;Motor gasoline, fossil fraction;1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2134;Motor gasoline, fossil fraction;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2135;Motor gasoline, fossil fraction;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2136;Motor gasoline, fossil fraction;1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2137;Motor gasoline, fossil fraction;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2138;Motor gasoline, fossil fraction;1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2139;Motor gasoline, fossil fraction;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2140;Motor gasoline, fossil fraction;1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2141;Motor gasoline, fossil fraction;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2142;Motor gasoline, fossil fraction;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2143;Motor gasoline, fossil fraction;1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2144;Motor gasoline, fossil fraction;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145;Motor gasoline, fossil fraction;1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2146;Motor gasoline, fossil fraction;1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2147;Motor gasoline, fossil fraction;1960;-88.0;;7.3;87.3;-80.0;;-8.1;;-88.0;;;;141.5;;141.5;-141.5;;-141.5;;;;;;;;;53.5;53.5;;;;;;;;;;;;;;;53.5;;53.4;;;0.1;;;;;;;;;;;;
2148;Motor gasoline, fossil fraction;1961;-71.6;;13.6;85.2;-71.6;;0.0;;-71.6;;;;129.5;;129.5;-129.5;;-129.5;;;;;;;;;57.9;57.9;;;;;;;;;;;;;;;57.9;;57.8;;;0.1;;;;;;;;;;;;
2149;Motor gasoline, fossil fraction;1962;-91.2;;13.8;101.4;-87.6;;-3.6;;-91.2;;;;154.0;;154.0;-154.0;;-154.0;;;;;;;;;62.8;62.8;;;;;;;;;;;;;;;62.8;;62.7;;;0.0;;;;;;;;;;;;
2150;Motor gasoline, fossil fraction;1963;-93.2;;12.4;106.0;-93.6;;0.3;;-93.2;;;;161.0;;161.0;-161.0;;-161.0;;;;;;;;;67.8;67.8;;;;;;;;;;;;;;;67.8;;67.8;;;0.0;;;;;;;;;;;;
2151;Motor gasoline, fossil fraction;1964;-43.6;;16.7;55.7;-39.0;;-4.7;;-43.6;;;;121.8;;121.8;-121.8;;-121.8;;;;;;;;;78.2;78.2;;;;;;;;;;;;;;;78.2;;78.2;;;0.0;;;;;;;;;;;;
2152;Motor gasoline, fossil fraction;1965;-34.6;;20.8;55.3;-34.5;;-0.1;;-34.6;;;;120.8;;120.8;-120.8;;-120.8;;;;;;;;;86.2;86.2;;;;;;;;;;;;;;;86.2;;86.2;;;0.0;;;;;;;;;;;;
2153;Motor gasoline, fossil fraction;1966;-3.7;;41.3;45.8;-4.5;;0.8;;-3.7;;;;99.0;;99.0;-99.0;;-99.0;;;;;;;;;95.3;95.3;;;;;;;;;;;;;;;95.3;;95.3;;;0.0;;;;;;;;;;;;
2154;Motor gasoline, fossil fraction;1967;8.0;;60.4;47.5;12.9;;-4.9;;8.0;;;;96.3;;96.3;-96.3;;-96.3;;;;;;;;;104.3;104.3;;;;;;;;;;;;;;;104.3;;104.2;;;0.0;;;;;;;;;;;;
2155;Motor gasoline, fossil fraction;1968;-33.7;;16.6;52.8;-36.2;;2.5;;-33.7;;;;148.9;;148.9;-148.9;;-148.9;;;;;;;;;115.2;115.2;;;;;;;;;;;;;;;115.2;;115.1;;;0.1;;;;;;;;;;;;
2156;Motor gasoline, fossil fraction;1969;-58.9;;22.6;76.6;-54.0;;-5.0;;-58.9;;;;180.3;;180.3;-180.3;;-180.3;;;;;;;;;121.4;121.4;;;;;;;;;;;;;;;121.4;;121.2;;;0.1;;;;;;;;;;;;
2157;Motor gasoline, fossil fraction;1970;-69.6;;21.9;87.9;-66.0;;-3.6;;-69.6;;;;203.1;;203.1;-203.1;;-203.1;;;;;;;;;133.5;133.5;;;;;;;;;;;;;;;133.5;;133.3;;;0.2;;;;;;;;;;;;
2158;Motor gasoline, fossil fraction;1971;-70.1;;13.6;87.5;-73.9;;3.9;;-70.1;;;;212.7;;212.7;-212.7;;-212.7;;;;;;;;;142.6;142.6;;;;;;;;;;;;;;;142.6;;142.4;;;0.3;;;;;;;;;;;;
2159;Motor gasoline, fossil fraction;1972;-82.4;;13.2;94.5;-81.3;;-1.1;;-82.4;;;;232.8;;232.8;-232.8;;-232.8;;;;;;;;;150.4;150.4;;;;;;;;;;;;;;;150.4;;150.1;;;0.3;;;;;;;;;;;;
2160;Motor gasoline, fossil fraction;1973;-97.6;;15.5;107.9;-92.4;;-5.2;;-97.6;;;;254.1;;254.1;-254.1;;-254.1;;;;;;;;;156.5;156.5;;;;;;;;;;;;;;;156.5;;156.2;;;0.3;;;;;;;;;;;;
2161;Motor gasoline, fossil fraction;1974;-109.7;;11.0;121.8;-110.8;;1.1;;-109.7;;;;250.6;;250.6;-250.6;;-250.6;;;;;;;;;140.9;140.9;;;;;;;;;;;;;;;140.9;;140.7;;;0.2;;;;;;;;;;;;
2162;Motor gasoline, fossil fraction;1975;-130.6;;13.1;147.3;-134.2;;3.7;0.1;-130.7;;;;283.5;;283.5;-283.5;;-283.5;;;;;;;;;152.8;152.8;;;;;;;;;;;;;;;152.8;;152.6;;;0.2;;;;;;;;;;;;
2163;Motor gasoline, fossil fraction;1976;-144.7;;19.2;158.1;-138.9;;-5.9;0.3;-145.0;;;;306.0;;306.0;-306.0;;-306.0;;;;;;;;;161.0;161.0;;;;;;;;;;;;;;;161.0;;160.6;;;0.4;;;;;;;;;;;;
2164;Motor gasoline, fossil fraction;1977;-114.0;;22.1;139.4;-117.3;;3.3;0.7;-114.7;;;;281.9;;281.9;-281.9;;-281.9;;;;;;;;;167.2;167.2;;;;;;;;;;;;;;;167.2;;166.5;;;0.7;;;;;;;;;;;;
2165;Motor gasoline, fossil fraction;1978;-130.5;;21.5;150.1;-128.6;;-1.8;1.1;-131.6;13.6;;13.6;315.2;;315.2;-301.6;;-301.6;;;;;;;;;170.0;170.0;;;;;;;;;;;;;;;170.0;;169.9;;;0.1;;;;;;;;;;;;
2166;Motor gasoline, fossil fraction;1979;-159.6;;50.2;210.7;-160.5;;0.9;0.8;-160.4;19.3;;19.3;350.8;;350.8;-331.5;;-331.5;;;;;;;;;171.1;171.1;;;;;;;;;;;;;;;171.1;;171.0;;;0.1;;;;;;;;;;;;
2167;Motor gasoline, fossil fraction;1980;-184.7;;92.2;281.7;-189.5;;4.8;0.8;-185.5;41.8;;41.8;393.0;;393.0;-351.2;;-351.2;0.0;;;;;0.0;;;165.7;165.7;;;;;;;;;;;;;;;165.7;;165.6;;;0.1;;;;;;;;;;;;
2168;Motor gasoline, fossil fraction;1981;-147.9;;126.7;272.7;-146.0;;-2.0;-2.5;-145.4;8.8;;8.8;312.7;;312.7;-303.9;;-303.9;0.0;;;;;0.0;;;158.5;158.5;;;;;;;;;;;;;;;158.5;;158.2;;;0.2;;;;;;;;;;;;
2169;Motor gasoline, fossil fraction;1982;-219.2;;122.5;335.5;-213.0;;-6.1;1.3;-220.5;-3.6;;-3.6;373.1;;373.1;-376.7;;-376.7;;;;;;;;;156.2;156.2;;;;;;;;;;;;;;;156.2;;156.2;;;;;;;;;;;;;;;
2170;Motor gasoline, fossil fraction;1983;-243.8;;156.6;399.9;-243.3;;-0.5;0.1;-243.9;-2.3;;-2.3;396.1;;396.1;-398.4;;-398.4;0.0;;;;;0.0;;;154.5;154.5;;;;;;;;;;;;;;;154.5;;154.5;;;;;;;;;;;;;;;
2171;Motor gasoline, fossil fraction;1984;-241.9;;140.3;382.4;-242.1;;0.1;0.4;-242.3;27.9;;27.9;425.6;;425.6;-397.7;;-397.7;;;;;;;;;155.4;155.4;;;;;;;;;;;;;;;155.4;;155.4;;;;;;;;;;;;;;;
2172;Motor gasoline, fossil fraction;1985;-203.4;;178.2;382.5;-204.3;;0.8;0.2;-203.6;88.1;;88.1;437.7;;437.7;-349.6;;-349.6;;;;;;;;;146.0;146.0;;;;;;;;;;;;;;;146.0;;146.0;;;;;;;;;;;;;;;
2173;Motor gasoline, fossil fraction;1986;-209.5;;240.4;440.7;-200.3;;-9.2;0.2;-209.7;179.1;;179.1;536.4;;536.4;-357.3;;-357.3;0.0;;;;;0.0;;;147.6;147.6;;;;;;;;;;;;;;;147.6;;147.6;;;;;;;;;;;;;;;
2174;Motor gasoline, fossil fraction;1987;-245.1;;197.4;456.6;-259.2;;14.1;0.5;-245.6;143.4;;143.4;531.1;;531.1;-387.7;;-387.7;;;;;;;;;142.1;142.1;;;;;;;;;;;;;;;142.1;;142.1;;;;;;;;;;;;;;;
2175;Motor gasoline, fossil fraction;1988;-220.4;;294.7;501.7;-207.0;;-13.3;-0.3;-220.1;121.2;;121.2;481.2;;481.2;-360.0;;-360.0;0.0;;;;;0.0;;;139.9;139.9;;;;;;;;;;;;;;;139.9;;139.9;;;;;;;;;;;;;;;
2176;Motor gasoline, fossil fraction;1989;-236.5;;320.7;549.7;-229.0;;-7.4;-0.3;-236.2;128.0;;128.0;506.3;;506.3;-378.3;;-378.3;;;;;;;;;142.1;142.1;;;;;;;;;;;;;;;142.1;;142.1;;;;;;;;;;;;;;;
2177;Motor gasoline, fossil fraction;1990;-283.4;;192.6;490.6;-298.0;;14.5;;-283.4;0.5;;0.5;426.9;;426.9;-426.4;;-426.4;0.0;;;;;0.0;;;142.9;142.9;0.1;0.0;0.0;;0.0;;0.0;;0.0;;;;0.0;;142.8;;142.8;;;;;;;;;;;;;;;
2178;Motor gasoline, fossil fraction;1991;-270.0;;129.9;398.5;-268.6;;-1.4;;-270.0;0.5;;0.5;413.9;;413.9;-413.4;;-413.4;0.0;;;;;0.0;;;143.4;143.4;0.1;0.0;;;0.0;;0.0;;;;;;;;143.3;;143.3;;;;;;;;;;;;;;;
2179;Motor gasoline, fossil fraction;1992;-226.6;;90.0;322.3;-232.4;;5.8;;-226.6;0.6;;0.6;375.9;;375.9;-375.3;;-375.3;0.0;;;;;0.0;;;148.7;148.7;0.1;0.0;;;0.0;;0.0;;;;;;;;148.6;;148.6;;;;;;;;;;;;;;;
2180;Motor gasoline, fossil fraction;1993;-252.9;;100.3;331.6;-231.4;;-21.5;0.0;-252.9;0.0;;0.0;409.9;;409.9;-409.9;;-409.9;0.0;;;;;0.0;;;157.0;157.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;;;0.0;;157.0;;157.0;;;;;;;;;;;;;;;
2181;Motor gasoline, fossil fraction;1994;-234.5;;98.2;355.8;-257.6;;23.1;0.0;-234.5;0.2;;0.2;395.3;;395.3;-395.1;;-395.1;0.0;;;;;0.0;;;160.6;160.6;0.0;0.0;;;;0.0;0.0;;;;;;;;160.6;;160.6;;;;;;;;;;;;;;;
2182;Motor gasoline, fossil fraction;1995;-247.4;;107.8;351.1;-243.3;;-4.1;0.0;-247.4;0.7;;0.7;413.4;;413.4;-412.7;;-412.7;0.0;;;;;0.0;;;165.3;165.3;0.0;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;165.3;;165.3;;;;;;;;;;;;;;;
2183;Motor gasoline, fossil fraction;1996;-230.1;;82.3;319.3;-236.9;;6.9;0.0;-230.1;1.5;;1.5;404.0;;404.0;-402.6;;-402.6;;;;;;;;;172.5;172.5;0.0;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;172.5;;172.5;;;;;;;;;;;;;;;
2184;Motor gasoline, fossil fraction;1997;-213.6;;103.6;316.4;-212.8;;-0.7;0.0;-213.6;0.8;;0.8;384.5;;384.5;-383.7;;-383.7;;;;;;;;;170.2;170.2;0.0;0.0;;;;0.0;0.0;;0.0;;;;0.0;;170.1;;170.1;;;;;;;;;;;;;;;
2185;Motor gasoline, fossil fraction;1998;-195.0;;141.1;330.5;-189.4;;-5.5;0.0;-195.0;0.1;;0.1;366.2;;366.2;-366.1;;-366.1;;;;;;;;;171.1;171.1;0.0;0.0;;;;0.0;0.0;;0.0;;;;0.0;;171.1;;171.1;;;;;;;;;;;;;;;
2186;Motor gasoline, fossil fraction;1999;-203.5;;113.4;327.1;-213.7;;10.2;0.0;-203.5;1.1;;1.1;375.7;;375.7;-374.6;;-374.6;;;;;;;;;171.1;171.1;0.0;0.0;;;;0.0;0.0;;0.0;;;;;;171.1;;171.1;;;;;;;;;;;;;;;
2187;Motor gasoline, fossil fraction;2000;-224.8;;189.1;395.9;-206.8;;-18.0;0.0;-224.8;0.1;;0.1;390.9;;390.9;-390.8;;-390.8;;;;;;;;;166.0;166.0;0.0;0.0;;;;0.0;0.0;;;;;;;;166.0;;166.0;;;;;;;;;;;;;;;
2188;Motor gasoline, fossil fraction;2001;-244.6;;162.7;400.5;-237.8;;-6.8;0.0;-244.6;0.1;;0.1;414.5;;414.5;-414.4;;-414.4;;;;;;;;;169.8;169.8;0.0;0.0;;;;0.0;;;;;;;;;169.8;;169.8;;;;;;;;;;;;;;;
2189;Motor gasoline, fossil fraction;2002;-180.5;;179.3;381.6;-202.4;;21.9;0.0;-180.5;0.7;;0.7;352.9;;352.9;-352.2;;-352.2;;;;;;;;;171.7;171.7;0.0;0.0;;;;0.0;;;;;;;;;171.7;;171.7;;;;;;;;;;;;;;;
2190;Motor gasoline, fossil fraction;2003;-211.7;;177.8;380.4;-202.6;;-9.1;0.0;-211.7;0.1;;0.1;384.3;;384.3;-384.2;;-384.2;;;;;;;;;172.4;172.4;0.0;0.0;;;;0.0;;;;;;;;;172.4;;172.4;;;;;;;;;;;;;;;
2191;Motor gasoline, fossil fraction;2004;-223.4;;197.7;411.7;-214.0;;-9.4;0.0;-223.4;0.4;;0.4;394.4;;394.4;-394.1;;-394.1;;;;;;;;;170.6;170.6;0.0;0.0;;;;;;;;;;;;;170.6;;170.6;;;;;;;;;;;;;;;
2192;Motor gasoline, fossil fraction;2005;-255.1;;232.5;487.9;-255.4;;0.3;0.0;-255.1;0.6;;0.6;424.8;;424.8;-424.2;;-424.2;;;;;;;;;169.1;169.1;0.0;0.0;;;;;;;;;;;;;169.1;;169.1;;;;;;;;;;;;;;;
2193;Motor gasoline, fossil fraction;2006;-268.1;;262.4;530.8;-268.4;;0.4;0.0;-268.1;1.1;;1.1;440.7;;440.7;-439.5;;-439.5;;;;;;;;;171.5;171.5;0.0;0.0;;;;;;;;;;;;;171.4;;171.4;;;;;;;;;;;;;;;
