ID;RegioS;Perioden;VerkeersintensiteitenRijkswegen_1
588;Zuid-Nederland (LD);2016 april;2387.0
589;Zuid-Nederland (LD);2016 mei;2408.0
590;Zuid-Nederland (LD);2016 juni;2483.0
591;Zuid-Nederland (LD);2016 juli;2451.0
592;Zuid-Nederland (LD);2016 augustus;2308.0
593;Zuid-Nederland (LD);2016 september;2473.0
594;Zuid-Nederland (LD);2016 oktober;2438.0
595;Zuid-Nederland (LD);2016 november;2407.0
596;Zuid-Nederland (LD);2016 december;2247.0
597;Zuid-Nederland (LD);2016;2369.0
598;Zuid-Nederland (LD);2017 januari;2174.0
599;Zuid-Nederland (LD);2017 februari;2264.0
600;Zuid-Nederland (LD);2017 maart;2421.0
601;Zuid-Nederland (LD);2017 april;2411.0
602;Zuid-Nederland (LD);2017 mei;2473.0
603;Zuid-Nederland (LD);2017 juni;2580.0
604;Zuid-Nederland (LD);2017 juli;2503.0
605;Zuid-Nederland (LD);2017 augustus;2435.0
606;Zuid-Nederland (LD);2017 september;2515.0
607;Zuid-Nederland (LD);2017 oktober;2548.0
608;Zuid-Nederland (LD);2017 november;2495.0
609;Zuid-Nederland (LD);2017 december;2216.0
610;Zuid-Nederland (LD);2017;2420.0
611;Zuid-Nederland (LD);2018 januari;2293.0
612;Zuid-Nederland (LD);2018 februari;2306.0
613;Zuid-Nederland (LD);2018 maart;2446.0
614;Zuid-Nederland (LD);2018 april;2477.0
615;Zuid-Nederland (LD);2018 mei;2516.0
616;Zuid-Nederland (LD);2018 juni;2581.0
617;Zuid-Nederland (LD);2018 juli;2447.0
618;Zuid-Nederland (LD);2018 augustus;2514.0
619;Zuid-Nederland (LD);2018 september;2517.0
620;Zuid-Nederland (LD);2018 oktober;2564.0
621;Zuid-Nederland (LD);2018 november;2484.0
622;Zuid-Nederland (LD);2018 december;2218.0
623;Zuid-Nederland (LD);2018;2447.0
624;Groningen (PV);2011 januari;968.0
625;Groningen (PV);2011 februari;1034.0
626;Groningen (PV);2011 maart;1062.0
627;Groningen (PV);2011 april;1127.0
628;Groningen (PV);2011 mei;1098.0
629;Groningen (PV);2011 juni;1066.0
630;Groningen (PV);2011 juli;1054.0
631;Groningen (PV);2011 augustus;954.0
632;Groningen (PV);2011 september;1022.0
633;Groningen (PV);2011 oktober;1049.0
634;Groningen (PV);2011 november;1078.0
635;Groningen (PV);2011 december;1011.0
636;Groningen (PV);2011;1043.0
637;Groningen (PV);2012 januari;988.0
638;Groningen (PV);2012 februari;968.0
639;Groningen (PV);2012 maart;1018.0
640;Groningen (PV);2012 april;1016.0
641;Groningen (PV);2012 mei;1046.0
642;Groningen (PV);2012 juni;1066.0
643;Groningen (PV);2012 juli;1046.0
644;Groningen (PV);2012 augustus;973.0
645;Groningen (PV);2012 september;1056.0
646;Groningen (PV);2012 oktober;1001.0
647;Groningen (PV);2012 november;1088.0
648;Groningen (PV);2012 december;973.0
649;Groningen (PV);2012;1020.0
650;Groningen (PV);2013 januari;972.0
651;Groningen (PV);2013 februari;997.0
652;Groningen (PV);2013 maart;1045.0
653;Groningen (PV);2013 april;1060.0
654;Groningen (PV);2013 mei;1072.0
655;Groningen (PV);2013 juni;1100.0
656;Groningen (PV);2013 juli;1017.0
657;Groningen (PV);2013 augustus;1019.0
658;Groningen (PV);2013 september;1085.0
659;Groningen (PV);2013 oktober;1182.0
660;Groningen (PV);2013 november;1135.0
661;Groningen (PV);2013 december;1126.0
662;Groningen (PV);2013;1068.0
663;Groningen (PV);2014 januari;1116.0
664;Groningen (PV);2014 februari;1176.0
665;Groningen (PV);2014 maart;1144.0
666;Groningen (PV);2014 april;1178.0
667;Groningen (PV);2014 mei;1118.0
668;Groningen (PV);2014 juni;1122.0
669;Groningen (PV);2014 juli;1002.0
670;Groningen (PV);2014 augustus;1058.0
671;Groningen (PV);2014 september;1140.0
672;Groningen (PV);2014 oktober;1168.0
673;Groningen (PV);2014 november;1102.0
674;Groningen (PV);2014 december;1120.0
675;Groningen (PV);2014;1120.0
676;Groningen (PV);2015 januari;1123.0
677;Groningen (PV);2015 februari;1099.0
678;Groningen (PV);2015 maart;1165.0
679;Groningen (PV);2015 april;1180.0
680;Groningen (PV);2015 mei;1114.0
681;Groningen (PV);2015 juni;1208.0
682;Groningen (PV);2015 juli;1057.0
683;Groningen (PV);2015 augustus;1110.0
684;Groningen (PV);2015 september;1170.0
685;Groningen (PV);2015 oktober;1199.0
686;Groningen (PV);2015 november;1254.0
687;Groningen (PV);2015 december;1221.0
688;Groningen (PV);2015;1158.0
689;Groningen (PV);2016 januari;1012.0
690;Groningen (PV);2016 februari;1193.0
691;Groningen (PV);2016 maart;1189.0
692;Groningen (PV);2016 april;1173.0
693;Groningen (PV);2016 mei;1143.0
694;Groningen (PV);2016 juni;1170.0
695;Groningen (PV);2016 juli;1104.0
696;Groningen (PV);2016 augustus;1025.0
697;Groningen (PV);2016 september;1178.0
698;Groningen (PV);2016 oktober;1145.0
699;Groningen (PV);2016 november;1159.0
700;Groningen (PV);2016 december;1119.0
701;Groningen (PV);2016;1134.0
702;Groningen (PV);2017 januari;1002.0
703;Groningen (PV);2017 februari;1064.0
704;Groningen (PV);2017 maart;1133.0
705;Groningen (PV);2017 april;1115.0
706;Groningen (PV);2017 mei;1156.0
707;Groningen (PV);2017 juni;1175.0
708;Groningen (PV);2017 juli;1047.0
709;Groningen (PV);2017 augustus;938.0
710;Groningen (PV);2017 september;1019.0
711;Groningen (PV);2017 oktober;1072.0
712;Groningen (PV);2017 november;1050.0
713;Groningen (PV);2017 december;1001.0
714;Groningen (PV);2017;1063.0
715;Groningen (PV);2018 januari;925.0
716;Groningen (PV);2018 februari;921.0
717;Groningen (PV);2018 maart;1093.0
718;Groningen (PV);2018 april;1058.0
719;Groningen (PV);2018 mei;1043.0
720;Groningen (PV);2018 juni;1063.0
721;Groningen (PV);2018 juli;1036.0
722;Groningen (PV);2018 augustus;922.0
723;Groningen (PV);2018 september;1014.0
724;Groningen (PV);2018 oktober;1091.0
725;Groningen (PV);2018 november;1151.0
726;Groningen (PV);2018 december;1059.0
727;Groningen (PV);2018;1031.0
728;Fryslân (PV);2011 januari;1015.0
729;Fryslân (PV);2011 februari;1087.0
730;Fryslân (PV);2011 maart;1163.0
731;Fryslân (PV);2011 april;1147.0
732;Fryslân (PV);2011 mei;1075.0
733;Fryslân (PV);2011 juni;1134.0
734;Fryslân (PV);2011 juli;1083.0
735;Fryslân (PV);2011 augustus;1014.0
736;Fryslân (PV);2011 september;1126.0
737;Fryslân (PV);2011 oktober;1106.0
738;Fryslân (PV);2011 november;1107.0
739;Fryslân (PV);2011 december;995.0
740;Fryslân (PV);2011;1087.0
741;Fryslân (PV);2012 januari;1012.0
742;Fryslân (PV);2012 februari;1039.0
743;Fryslân (PV);2012 maart;1072.0
744;Fryslân (PV);2012 april;1059.0
745;Fryslân (PV);2012 mei;1142.0
746;Fryslân (PV);2012 juni;1203.0
747;Fryslân (PV);2012 juli;1146.0
748;Fryslân (PV);2012 augustus;1048.0
749;Fryslân (PV);2012 september;1138.0
750;Fryslân (PV);2012 oktober;1088.0
751;Fryslân (PV);2012 november;1097.0
752;Fryslân (PV);2012 december;1016.0
753;Fryslân (PV);2012;1088.0
754;Fryslân (PV);2013 januari;1003.0
755;Fryslân (PV);2013 februari;1094.0
756;Fryslân (PV);2013 maart;1165.0
757;Fryslân (PV);2013 april;1179.0
758;Fryslân (PV);2013 mei;1215.0
759;Fryslân (PV);2013 juni;1246.0
760;Fryslân (PV);2013 juli;1161.0
761;Fryslân (PV);2013 augustus;1235.0
762;Fryslân (PV);2013 september;1289.0
763;Fryslân (PV);2013 oktober;1346.0
764;Fryslân (PV);2013 november;1229.0
765;Fryslân (PV);2013 december;1314.0
766;Fryslân (PV);2013;1207.0
767;Fryslân (PV);2014 januari;1223.0
768;Fryslân (PV);2014 februari;1314.0
769;Fryslân (PV);2014 maart;1180.0
770;Fryslân (PV);2014 april;1216.0
771;Fryslân (PV);2014 mei;1217.0
772;Fryslân (PV);2014 juni;1178.0
773;Fryslân (PV);2014 juli;1108.0
774;Fryslân (PV);2014 augustus;1195.0
775;Fryslân (PV);2014 september;1192.0
776;Fryslân (PV);2014 oktober;1226.0
777;Fryslân (PV);2014 november;1131.0
778;Fryslân (PV);2014 december;1233.0
779;Fryslân (PV);2014;1201.0
780;Fryslân (PV);2015 januari;1268.0
781;Fryslân (PV);2015 februari;1138.0
782;Fryslân (PV);2015 maart;1252.0
783;Fryslân (PV);2015 april;1235.0
784;Fryslân (PV);2015 mei;1266.0
785;Fryslân (PV);2015 juni;1252.0
786;Fryslân (PV);2015 juli;1179.0
787;Fryslân (PV);2015 augustus;1176.0
788;Fryslân (PV);2015 september;1192.0
789;Fryslân (PV);2015 oktober;1115.0
790;Fryslân (PV);2015 november;1359.0
791;Fryslân (PV);2015 december;1281.0
792;Fryslân (PV);2015;1226.0
793;Fryslân (PV);2016 januari;1055.0
794;Fryslân (PV);2016 februari;1251.0
795;Fryslân (PV);2016 maart;1172.0
796;Fryslân (PV);2016 april;1173.0
797;Fryslân (PV);2016 mei;1152.0
798;Fryslân (PV);2016 juni;1199.0
799;Fryslân (PV);2016 juli;1171.0
800;Fryslân (PV);2016 augustus;1122.0
801;Fryslân (PV);2016 september;1226.0
802;Fryslân (PV);2016 oktober;1158.0
803;Fryslân (PV);2016 november;1194.0
804;Fryslân (PV);2016 december;1108.0
805;Fryslân (PV);2016;1165.0
806;Fryslân (PV);2017 januari;1094.0
807;Fryslân (PV);2017 februari;1140.0
808;Fryslân (PV);2017 maart;1191.0
809;Fryslân (PV);2017 april;1165.0
810;Fryslân (PV);2017 mei;1161.0
811;Fryslân (PV);2017 juni;1232.0
812;Fryslân (PV);2017 juli;1151.0
813;Fryslân (PV);2017 augustus;1059.0
814;Fryslân (PV);2017 september;1189.0
815;Fryslân (PV);2017 oktober;1168.0
816;Fryslân (PV);2017 november;1060.0
817;Fryslân (PV);2017 december;977.0
818;Fryslân (PV);2017;1132.0
819;Fryslân (PV);2018 januari;1079.0
820;Fryslân (PV);2018 februari;1007.0
821;Fryslân (PV);2018 maart;1129.0
822;Fryslân (PV);2018 april;1173.0
823;Fryslân (PV);2018 mei;1184.0
824;Fryslân (PV);2018 juni;1198.0
825;Fryslân (PV);2018 juli;1271.0
826;Fryslân (PV);2018 augustus;1255.0
827;Fryslân (PV);2018 september;1325.0
828;Fryslân (PV);2018 oktober;1352.0
829;Fryslân (PV);2018 november;1317.0
830;Fryslân (PV);2018 december;1223.0
831;Fryslân (PV);2018;1209.0
832;Drenthe (PV);2011 januari;1062.0
833;Drenthe (PV);2011 februari;1173.0
834;Drenthe (PV);2011 maart;1250.0
835;Drenthe (PV);2011 april;1206.0
836;Drenthe (PV);2011 mei;1170.0
837;Drenthe (PV);2011 juni;1211.0
838;Drenthe (PV);2011 juli;1165.0
839;Drenthe (PV);2011 augustus;1077.0
840;Drenthe (PV);2011 september;1246.0
841;Drenthe (PV);2011 oktober;1244.0
842;Drenthe (PV);2011 november;1248.0
843;Drenthe (PV);2011 december;1130.0
844;Drenthe (PV);2011;1181.0
845;Drenthe (PV);2012 januari;1102.0
846;Drenthe (PV);2012 februari;1131.0
847;Drenthe (PV);2012 maart;1190.0
848;Drenthe (PV);2012 april;1161.0
849;Drenthe (PV);2012 mei;1132.0
850;Drenthe (PV);2012 juni;1193.0
851;Drenthe (PV);2012 juli;1110.0
852;Drenthe (PV);2012 augustus;1044.0
853;Drenthe (PV);2012 september;1181.0
854;Drenthe (PV);2012 oktober;1170.0
855;Drenthe (PV);2012 november;1220.0
856;Drenthe (PV);2012 december;1094.0
857;Drenthe (PV);2012;1143.0
858;Drenthe (PV);2013 januari;1086.0
859;Drenthe (PV);2013 februari;1122.0
860;Drenthe (PV);2013 maart;1181.0
861;Drenthe (PV);2013 april;1205.0
862;Drenthe (PV);2013 mei;1222.0
863;Drenthe (PV);2013 juni;1273.0
864;Drenthe (PV);2013 juli;1112.0
865;Drenthe (PV);2013 augustus;1155.0
866;Drenthe (PV);2013 september;1223.0
867;Drenthe (PV);2013 oktober;1277.0
868;Drenthe (PV);2013 november;1215.0
869;Drenthe (PV);2013 december;1174.0
870;Drenthe (PV);2013;1187.0
871;Drenthe (PV);2014 januari;1140.0
872;Drenthe (PV);2014 februari;1244.0
873;Drenthe (PV);2014 maart;1211.0
874;Drenthe (PV);2014 april;1258.0
875;Drenthe (PV);2014 mei;1251.0
876;Drenthe (PV);2014 juni;1252.0
877;Drenthe (PV);2014 juli;1118.0
878;Drenthe (PV);2014 augustus;1186.0
879;Drenthe (PV);2014 september;1279.0
880;Drenthe (PV);2014 oktober;1312.0
881;Drenthe (PV);2014 november;1262.0
882;Drenthe (PV);2014 december;1235.0
883;Drenthe (PV);2014;1228.0
884;Drenthe (PV);2015 januari;1228.0
885;Drenthe (PV);2015 februari;1239.0
886;Drenthe (PV);2015 maart;1306.0
887;Drenthe (PV);2015 april;1275.0
888;Drenthe (PV);2015 mei;1273.0
889;Drenthe (PV);2015 juni;1330.0
890;Drenthe (PV);2015 juli;1206.0
891;Drenthe (PV);2015 augustus;1198.0
892;Drenthe (PV);2015 september;1262.0
893;Drenthe (PV);2015 oktober;1246.0
894;Drenthe (PV);2015 november;1330.0
895;Drenthe (PV);2015 december;1258.0
896;Drenthe (PV);2015;1262.0
897;Drenthe (PV);2016 januari;1096.0
898;Drenthe (PV);2016 februari;1283.0
899;Drenthe (PV);2016 maart;1257.0
900;Drenthe (PV);2016 april;1279.0
901;Drenthe (PV);2016 mei;1274.0
902;Drenthe (PV);2016 juni;1315.0
903;Drenthe (PV);2016 juli;1217.0
904;Drenthe (PV);2016 augustus;1161.0
905;Drenthe (PV);2016 september;1316.0
906;Drenthe (PV);2016 oktober;1271.0
907;Drenthe (PV);2016 november;1292.0
908;Drenthe (PV);2016 december;1198.0
909;Drenthe (PV);2016;1247.0
910;Drenthe (PV);2017 januari;1115.0
911;Drenthe (PV);2017 februari;1265.0
912;Drenthe (PV);2017 maart;1290.0
913;Drenthe (PV);2017 april;1286.0
914;Drenthe (PV);2017 mei;1306.0
915;Drenthe (PV);2017 juni;1401.0
916;Drenthe (PV);2017 juli;1239.0
917;Drenthe (PV);2017 augustus;1166.0
918;Drenthe (PV);2017 september;1235.0
919;Drenthe (PV);2017 oktober;1297.0
920;Drenthe (PV);2017 november;1274.0
921;Drenthe (PV);2017 december;1157.0
922;Drenthe (PV);2017;1253.0
923;Drenthe (PV);2018 januari;1251.0
924;Drenthe (PV);2018 februari;1231.0
925;Drenthe (PV);2018 maart;1324.0
926;Drenthe (PV);2018 april;1181.0
927;Drenthe (PV);2018 mei;1187.0
928;Drenthe (PV);2018 juni;1193.0
929;Drenthe (PV);2018 juli;1232.0
930;Drenthe (PV);2018 augustus;1111.0
931;Drenthe (PV);2018 september;1154.0
932;Drenthe (PV);2018 oktober;1212.0
933;Drenthe (PV);2018 november;1230.0
934;Drenthe (PV);2018 december;1124.0
935;Drenthe (PV);2018;1203.0
936;Overijssel (PV);2011 januari;1224.0
937;Overijssel (PV);2011 februari;1295.0
938;Overijssel (PV);2011 maart;1338.0
939;Overijssel (PV);2011 april;1352.0
940;Overijssel (PV);2011 mei;1337.0
941;Overijssel (PV);2011 juni;1411.0
942;Overijssel (PV);2011 juli;1313.0
943;Overijssel (PV);2011 augustus;1214.0
944;Overijssel (PV);2011 september;1378.0
945;Overijssel (PV);2011 oktober;1376.0
946;Overijssel (PV);2011 november;1392.0
947;Overijssel (PV);2011 december;1247.0
948;Overijssel (PV);2011;1323.0
949;Overijssel (PV);2012 januari;1235.0
950;Overijssel (PV);2012 februari;1300.0
951;Overijssel (PV);2012 maart;1397.0
952;Overijssel (PV);2012 april;1370.0
953;Overijssel (PV);2012 mei;1411.0
954;Overijssel (PV);2012 juni;1405.0
955;Overijssel (PV);2012 juli;1395.0
956;Overijssel (PV);2012 augustus;1312.0
957;Overijssel (PV);2012 september;1430.0
958;Overijssel (PV);2012 oktober;1420.0
959;Overijssel (PV);2012 november;1442.0
960;Overijssel (PV);2012 december;1301.0
961;Overijssel (PV);2012;1368.0
962;Overijssel (PV);2013 januari;1277.0
963;Overijssel (PV);2013 februari;1366.0
964;Overijssel (PV);2013 maart;1406.0
965;Overijssel (PV);2013 april;1442.0
966;Overijssel (PV);2013 mei;1456.0
967;Overijssel (PV);2013 juni;1484.0
968;Overijssel (PV);2013 juli;1386.0
969;Overijssel (PV);2013 augustus;1411.0
970;Overijssel (PV);2013 september;1503.0
971;Overijssel (PV);2013 oktober;1550.0
972;Overijssel (PV);2013 november;1497.0
973;Overijssel (PV);2013 december;1406.0
974;Overijssel (PV);2013;1432.0
975;Overijssel (PV);2014 januari;1374.0
976;Overijssel (PV);2014 februari;1459.0
977;Overijssel (PV);2014 maart;1434.0
978;Overijssel (PV);2014 april;1494.0
979;Overijssel (PV);2014 mei;1493.0
980;Overijssel (PV);2014 juni;1535.0
981;Overijssel (PV);2014 juli;1398.0
982;Overijssel (PV);2014 augustus;1437.0
983;Overijssel (PV);2014 september;1541.0
984;Overijssel (PV);2014 oktober;1561.0
985;Overijssel (PV);2014 november;1498.0
986;Overijssel (PV);2014 december;1398.0
987;Overijssel (PV);2014;1468.0
988;Overijssel (PV);2015 januari;1410.0
989;Overijssel (PV);2015 februari;1481.0
990;Overijssel (PV);2015 maart;1514.0
991;Overijssel (PV);2015 april;1525.0
992;Overijssel (PV);2015 mei;1489.0
993;Overijssel (PV);2015 juni;1628.0
994;Overijssel (PV);2015 juli;1452.0
995;Overijssel (PV);2015 augustus;1476.0
996;Overijssel (PV);2015 september;1587.0
997;Overijssel (PV);2015 oktober;1594.0
998;Overijssel (PV);2015 november;1560.0
999;Overijssel (PV);2015 december;1446.0
1000;Overijssel (PV);2015;1513.0
1001;Overijssel (PV);2016 januari;1372.0
1002;Overijssel (PV);2016 februari;1514.0
1003;Overijssel (PV);2016 maart;1545.0
1004;Overijssel (PV);2016 april;1512.0
1005;Overijssel (PV);2016 mei;1517.0
1006;Overijssel (PV);2016 juni;1546.0
1007;Overijssel (PV);2016 juli;1437.0
1008;Overijssel (PV);2016 augustus;1361.0
1009;Overijssel (PV);2016 september;1499.0
1010;Overijssel (PV);2016 oktober;1468.0
1011;Overijssel (PV);2016 november;1456.0
1012;Overijssel (PV);2016 december;1346.0
1013;Overijssel (PV);2016;1464.0
1014;Overijssel (PV);2017 januari;1334.0
1015;Overijssel (PV);2017 februari;1402.0
1016;Overijssel (PV);2017 maart;1496.0
1017;Overijssel (PV);2017 april;1472.0
1018;Overijssel (PV);2017 mei;1587.0
1019;Overijssel (PV);2017 juni;1550.0
1020;Overijssel (PV);2017 juli;1490.0
1021;Overijssel (PV);2017 augustus;1412.0
1022;Overijssel (PV);2017 september;1540.0
1023;Overijssel (PV);2017 oktober;1618.0
1024;Overijssel (PV);2017 november;1578.0
1025;Overijssel (PV);2017 december;1406.0
1026;Overijssel (PV);2017;1484.0
1027;Overijssel (PV);2018 januari;1485.0
1028;Overijssel (PV);2018 februari;1505.0
1029;Overijssel (PV);2018 maart;1560.0
1030;Overijssel (PV);2018 april;1597.0
1031;Overijssel (PV);2018 mei;1606.0
1032;Overijssel (PV);2018 juni;1662.0
1033;Overijssel (PV);2018 juli;1614.0
1034;Overijssel (PV);2018 augustus;1497.0
1035;Overijssel (PV);2018 september;1606.0
1036;Overijssel (PV);2018 oktober;1644.0
1037;Overijssel (PV);2018 november;1561.0
1038;Overijssel (PV);2018 december;1377.0
1039;Overijssel (PV);2018;1560.0
1040;Flevoland (PV);2011 januari;1633.0
1041;Flevoland (PV);2011 februari;1705.0
1042;Flevoland (PV);2011 maart;1778.0
1043;Flevoland (PV);2011 april;1887.0
1044;Flevoland (PV);2011 mei;1883.0
1045;Flevoland (PV);2011 juni;1859.0
1046;Flevoland (PV);2011 juli;1781.0
1047;Flevoland (PV);2011 augustus;1686.0
1048;Flevoland (PV);2011 september;1883.0
1049;Flevoland (PV);2011 oktober;1872.0
1050;Flevoland (PV);2011 november;1849.0
1051;Flevoland (PV);2011 december;1699.0
1052;Flevoland (PV);2011;1793.0
1053;Flevoland (PV);2012 januari;1668.0
1054;Flevoland (PV);2012 februari;1686.0
1055;Flevoland (PV);2012 maart;1799.0
1056;Flevoland (PV);2012 april;1815.0
1057;Flevoland (PV);2012 mei;1934.0
1058;Flevoland (PV);2012 juni;1962.0
1059;Flevoland (PV);2012 juli;1892.0
1060;Flevoland (PV);2012 augustus;1816.0
1061;Flevoland (PV);2012 september;1954.0
1062;Flevoland (PV);2012 oktober;1946.0
1063;Flevoland (PV);2012 november;1840.0
1064;Flevoland (PV);2012 december;1603.0
1065;Flevoland (PV);2012;1826.0
1066;Flevoland (PV);2013 januari;1554.0
1067;Flevoland (PV);2013 februari;1677.0
1068;Flevoland (PV);2013 maart;1768.0
1069;Flevoland (PV);2013 april;1841.0
1070;Flevoland (PV);2013 mei;1907.0
1071;Flevoland (PV);2013 juni;1954.0
1072;Flevoland (PV);2013 juli;1834.0
1073;Flevoland (PV);2013 augustus;1863.0
1074;Flevoland (PV);2013 september;1912.0
1075;Flevoland (PV);2013 oktober;1911.0
1076;Flevoland (PV);2013 november;1806.0
1077;Flevoland (PV);2013 december;1723.0
1078;Flevoland (PV);2013;1813.0
1079;Flevoland (PV);2014 januari;1718.0
1080;Flevoland (PV);2014 februari;1804.0
1081;Flevoland (PV);2014 maart;1798.0
1082;Flevoland (PV);2014 april;1883.0
1083;Flevoland (PV);2014 mei;1952.0
1084;Flevoland (PV);2014 juni;1987.0
1085;Flevoland (PV);2014 juli;1813.0
1086;Flevoland (PV);2014 augustus;1872.0
1087;Flevoland (PV);2014 september;1979.0
1088;Flevoland (PV);2014 oktober;1981.0
1089;Flevoland (PV);2014 november;1872.0
1090;Flevoland (PV);2014 december;1714.0
1091;Flevoland (PV);2014;1864.0
1092;Flevoland (PV);2015 januari;1662.0
1093;Flevoland (PV);2015 februari;1775.0
1094;Flevoland (PV);2015 maart;1837.0
1095;Flevoland (PV);2015 april;1920.0
1096;Flevoland (PV);2015 mei;1933.0
1097;Flevoland (PV);2015 juni;1996.0
1098;Flevoland (PV);2015 juli;1798.0
1099;Flevoland (PV);2015 augustus;1869.0
