ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
1792;Total;R-U Culture, recreation, other services;2005 3rd quarter;322.0;322.0;399.0;399.0;107.0;118.0
1793;Total;R-U Culture, recreation, other services;2005 4th quarter;318.0;317.0;395.0;395.0;125.0;118.0
1794;Total;R-U Culture, recreation, other services;2005;322.0;;399.0;;475.0;
1795;Total;R-U Culture, recreation, other services;2006 1st quarter;318.0;321.0;396.0;399.0;125.0;119.0
1796;Total;R-U Culture, recreation, other services;2006 2nd quarter;326.0;323.0;404.0;401.0;118.0;119.0
1797;Total;R-U Culture, recreation, other services;2006 3rd quarter;325.0;326.0;406.0;406.0;109.0;121.0
1798;Total;R-U Culture, recreation, other services;2006 4th quarter;333.0;332.0;413.0;415.0;129.0;122.0
1799;Total;R-U Culture, recreation, other services;2006;325.0;;405.0;;481.0;
1800;Total;R-U Culture, recreation, other services;2007 1st quarter;338.0;339.0;423.0;424.0;133.0;127.0
1801;Total;R-U Culture, recreation, other services;2007 2nd quarter;346.0;344.0;434.0;431.0;128.0;130.0
1802;Total;R-U Culture, recreation, other services;2007 3rd quarter;348.0;350.0;436.0;439.0;119.0;131.0
1803;Total;R-U Culture, recreation, other services;2007 4th quarter;357.0;354.0;450.0;446.0;141.0;133.0
1804;Total;R-U Culture, recreation, other services;2007;347.0;;436.0;;521.0;
1805;Total;R-U Culture, recreation, other services;2008 1st quarter;355.0;356.0;449.0;450.0;139.0;133.0
1806;Total;R-U Culture, recreation, other services;2008 2nd quarter;360.0;359.0;457.0;455.0;133.0;134.0
1807;Total;R-U Culture, recreation, other services;2008 3rd quarter;363.0;364.0;460.0;462.0;126.0;138.0
1808;Total;R-U Culture, recreation, other services;2008 4th quarter;372.0;370.0;470.0;471.0;146.0;139.0
1809;Total;R-U Culture, recreation, other services;2008;362.0;;459.0;;545.0;
1810;Total;R-U Culture, recreation, other services;2009 1st quarter;370.0;370.0;475.0;472.0;146.0;140.0
1811;Total;R-U Culture, recreation, other services;2009 2nd quarter;368.0;369.0;472.0;472.0;138.0;141.0
1812;Total;R-U Culture, recreation, other services;2009 3rd quarter;367.0;369.0;470.0;474.0;127.0;139.0
1813;Total;R-U Culture, recreation, other services;2009 4th quarter;374.0;371.0;478.0;476.0;149.0;141.0
1814;Total;R-U Culture, recreation, other services;2009;370.0;;474.0;;561.0;
1815;Total;R-U Culture, recreation, other services;2010 1st quarter;368.0;370.0;475.0;476.0;148.0;142.0
1816;Total;R-U Culture, recreation, other services;2010 2nd quarter;370.0;370.0;480.0;479.0;137.0;140.0
1817;Total;R-U Culture, recreation, other services;2010 3rd quarter;371.0;372.0;480.0;481.0;132.0;143.0
1818;Total;R-U Culture, recreation, other services;2010 4th quarter;371.0;373.0;484.0;485.0;149.0;140.0
1819;Total;R-U Culture, recreation, other services;2010;370.0;;480.0;;565.0;
1820;Total;R-U Culture, recreation, other services;2011 1st quarter;381.0;378.0;500.0;499.0;151.0;145.0
1821;Total;R-U Culture, recreation, other services;2011 2nd quarter;379.0;379.0;501.0;500.0;142.0;144.0
1822;Total;R-U Culture, recreation, other services;2011 3rd quarter;378.0;378.0;497.0;498.0;131.0;143.0
1823;Total;R-U Culture, recreation, other services;2011 4th quarter;379.0;377.0;498.0;497.0;150.0;143.0
1824;Total;R-U Culture, recreation, other services;2011;379.0;;499.0;;574.0;
1825;Total;R-U Culture, recreation, other services;2012 1st quarter;375.0;377.0;492.0;494.0;149.0;143.0
1826;Total;R-U Culture, recreation, other services;2012 2nd quarter;378.0;377.0;497.0;494.0;140.0;142.0
1827;Total;R-U Culture, recreation, other services;2012 3rd quarter;375.0;376.0;491.0;494.0;131.0;142.0
1828;Total;R-U Culture, recreation, other services;2012 4th quarter;377.0;376.0;495.0;493.0;150.0;142.0
1829;Total;R-U Culture, recreation, other services;2012;376.0;;494.0;;569.0;
1830;Total;R-U Culture, recreation, other services;2013 1st quarter;372.0;373.0;481.0;483.0;148.0;144.0
1831;Total;R-U Culture, recreation, other services;2013 2nd quarter;374.0;372.0;486.0;483.0;143.0;144.0
1832;Total;R-U Culture, recreation, other services;2013 3rd quarter;366.0;371.0;476.0;482.0;131.0;141.0
1833;Total;R-U Culture, recreation, other services;2013 4th quarter;376.0;373.0;488.0;484.0;153.0;145.0
1834;Total;R-U Culture, recreation, other services;2013;372.0;;483.0;;575.0;
1835;Total;R-U Culture, recreation, other services;2014 1st quarter;371.0;376.0;481.0;485.0;145.0;142.0
1836;Total;R-U Culture, recreation, other services;2014 2nd quarter;375.0;378.0;489.0;487.0;143.0;144.0
1837;Total;R-U Culture, recreation, other services;2014 3rd quarter;380.0;377.0;488.0;488.0;135.0;145.0
1838;Total;R-U Culture, recreation, other services;2014 4th quarter;376.0;373.0;491.0;487.0;153.0;146.0
1839;Total;R-U Culture, recreation, other services;2014;376.0;;488.0;;576.0;
1840;Total;R-U Culture, recreation, other services;2015 1st quarter;363.0;371.0;476.0;489.0;141.0;138.0
1841;Total;R-U Culture, recreation, other services;2015 2nd quarter;376.0;373.0;495.0;491.0;143.0;144.0
1842;Total;R-U Culture, recreation, other services;2015 3rd quarter;379.0;377.0;496.0;493.0;137.0;145.0
1843;Total;R-U Culture, recreation, other services;2015 4th quarter;381.0;378.0;493.0;492.0;154.0;147.0
1844;Total;R-U Culture, recreation, other services;2015;375.0;;490.0;;574.0;
1845;Total;R-U Culture, recreation, other services;2016 1st quarter;369.0;378.0;485.0;493.0;147.0;145.0
1846;Total;R-U Culture, recreation, other services;2016 2nd quarter;379.0;377.0;499.0;493.0;147.0;147.0
1847;Total;R-U Culture, recreation, other services;2016 3rd quarter;381.0;377.0;492.0;492.0;139.0;147.0
1848;Total;R-U Culture, recreation, other services;2016 4th quarter;377.0;377.0;492.0;491.0;152.0;146.0
1849;Total;R-U Culture, recreation, other services;2016;377.0;;492.0;;584.0;
1850;Total;R-U Culture, recreation, other services;2017 1st quarter;373.0;377.0;486.0;493.0;151.0;147.0
1851;Total;R-U Culture, recreation, other services;2017 2nd quarter;378.0;378.0;499.0;495.0;148.0;149.0
1852;Total;R-U Culture, recreation, other services;2017 3rd quarter;384.0;379.0;502.0;499.0;142.0;150.0
1853;Total;R-U Culture, recreation, other services;2017 4th quarter;377.0;383.0;503.0;506.0;154.0;149.0
1854;Total;R-U Culture, recreation, other services;2017;378.0;;498.0;;595.0;
1855;Total;R-U Culture, recreation, other services;2018 1st quarter;382.0;385.0;507.0;510.0;156.0;152.0
1856;Employee;A-U All economic activities;1995 1st quarter;5822.0;5900.0;6175.0;6257.0;2190.0;2023.0
1857;Employee;A-U All economic activities;1995 2nd quarter;5954.0;5930.0;6317.0;6289.0;2053.0;2098.0
1858;Employee;A-U All economic activities;1995 3rd quarter;6042.0;5975.0;6410.0;6339.0;1889.0;2144.0
1859;Employee;A-U All economic activities;1995 4th quarter;6022.0;6036.0;6389.0;6406.0;2352.0;2219.0
1860;Employee;A-U All economic activities;1995;5960.0;;6323.0;;8483.0;
1861;Employee;A-U All economic activities;1996 1st quarter;5959.0;6039.0;6331.0;6415.0;2254.0;2124.0
1862;Employee;A-U All economic activities;1996 2nd quarter;6107.0;6080.0;6492.0;6462.0;2117.0;2151.0
1863;Employee;A-U All economic activities;1996 3rd quarter;6191.0;6121.0;6581.0;6507.0;1945.0;2194.0
1864;Employee;A-U All economic activities;1996 4th quarter;6154.0;6171.0;6540.0;6561.0;2417.0;2264.0
1865;Employee;A-U All economic activities;1996;6102.0;;6486.0;;8733.0;
1866;Employee;A-U All economic activities;1997 1st quarter;6140.0;6221.0;6512.0;6598.0;2302.0;2221.0
1867;Employee;A-U All economic activities;1997 2nd quarter;6303.0;6273.0;6689.0;6657.0;2242.0;2234.0
1868;Employee;A-U All economic activities;1997 3rd quarter;6412.0;6340.0;6807.0;6729.0;1996.0;2242.0
1869;Employee;A-U All economic activities;1997 4th quarter;6375.0;6395.0;6764.0;6789.0;2412.0;2257.0
1870;Employee;A-U All economic activities;1997;6307.0;;6693.0;;8952.0;
1871;Employee;A-U All economic activities;1998 1st quarter;6360.0;6443.0;6771.0;6859.0;2419.0;2292.0
1872;Employee;A-U All economic activities;1998 2nd quarter;6534.0;6500.0;6961.0;6925.0;2271.0;2300.0
1873;Employee;A-U All economic activities;1998 3rd quarter;6627.0;6555.0;7061.0;6982.0;2059.0;2328.0
1874;Employee;A-U All economic activities;1998 4th quarter;6581.0;6604.0;7008.0;7034.0;2490.0;2319.0
1875;Employee;A-U All economic activities;1998;6526.0;;6950.0;;9239.0;
1876;Employee;A-U All economic activities;1999 1st quarter;6610.0;6695.0;7020.0;7110.0;2475.0;2354.0
1877;Employee;A-U All economic activities;1999 2nd quarter;6783.0;6747.0;7207.0;7170.0;2337.0;2380.0
1878;Employee;A-U All economic activities;1999 3rd quarter;6865.0;6793.0;7296.0;7217.0;2105.0;2395.0
1879;Employee;A-U All economic activities;1999 4th quarter;6818.0;6841.0;7242.0;7267.0;2632.0;2420.0
1880;Employee;A-U All economic activities;1999;6769.0;;7191.0;;9549.0;
1881;Employee;A-U All economic activities;2000 1st quarter;6782.0;6867.0;7199.0;7292.0;2621.0;2411.0
1882;Employee;A-U All economic activities;2000 2nd quarter;6962.0;6925.0;7394.0;7356.0;2425.0;2453.0
1883;Employee;A-U All economic activities;2000 3rd quarter;7048.0;6976.0;7487.0;7407.0;2095.0;2400.0
1884;Employee;A-U All economic activities;2000 4th quarter;6998.0;7022.0;7429.0;7451.0;2545.0;2422.0
1885;Employee;A-U All economic activities;2000;6948.0;;7377.0;;9686.0;
1886;Employee;A-U All economic activities;2001 1st quarter;6985.0;7071.0;7394.0;7490.0;2642.0;2455.0
1887;Employee;A-U All economic activities;2001 2nd quarter;7141.0;7105.0;7563.0;7526.0;2438.0;2473.0
1888;Employee;A-U All economic activities;2001 3rd quarter;7210.0;7137.0;7637.0;7558.0;2164.0;2478.0
1889;Employee;A-U All economic activities;2001 4th quarter;7134.0;7158.0;7553.0;7573.0;2647.0;2485.0
1890;Employee;A-U All economic activities;2001;7117.0;;7537.0;;9892.0;
1891;Employee;A-U All economic activities;2002 1st quarter;7082.0;7165.0;7493.0;7587.0;2623.0;2471.0
1892;Employee;A-U All economic activities;2002 2nd quarter;7203.0;7170.0;7624.0;7589.0;2426.0;2470.0
1893;Employee;A-U All economic activities;2002 3rd quarter;7242.0;7172.0;7667.0;7590.0;2195.0;2469.0
1894;Employee;A-U All economic activities;2002 4th quarter;7153.0;7176.0;7571.0;7591.0;2632.0;2467.0
1895;Employee;A-U All economic activities;2002;7170.0;;7589.0;;9877.0;
1896;Employee;A-U All economic activities;2003 1st quarter;7084.0;7161.0;7485.0;7574.0;2621.0;2459.0
1897;Employee;A-U All economic activities;2003 2nd quarter;7183.0;7151.0;7593.0;7559.0;2403.0;2450.0
1898;Employee;A-U All economic activities;2003 3rd quarter;7193.0;7127.0;7605.0;7532.0;2180.0;2444.0
1899;Employee;A-U All economic activities;2003 4th quarter;7088.0;7110.0;7492.0;7513.0;2584.0;2435.0
1900;Employee;A-U All economic activities;2003;7137.0;;7544.0;;9789.0;
1901;Employee;A-U All economic activities;2004 1st quarter;6951.0;7022.0;7383.0;7465.0;2615.0;2444.0
1902;Employee;A-U All economic activities;2004 2nd quarter;7052.0;7023.0;7495.0;7464.0;2354.0;2440.0
1903;Employee;A-U All economic activities;2004 3rd quarter;7092.0;7031.0;7542.0;7472.0;2161.0;2446.0
1904;Employee;A-U All economic activities;2004 4th quarter;7003.0;7022.0;7443.0;7465.0;2634.0;2433.0
1905;Employee;A-U All economic activities;2004;7024.0;;7466.0;;9763.0;
1906;Employee;A-U All economic activities;2005 1st quarter;6981.0;7049.0;7422.0;7499.0;2563.0;2420.0
1907;Employee;A-U All economic activities;2005 2nd quarter;7089.0;7061.0;7541.0;7511.0;2380.0;2420.0
1908;Employee;A-U All economic activities;2005 3rd quarter;7121.0;7065.0;7577.0;7513.0;2165.0;2419.0
1909;Employee;A-U All economic activities;2005 4th quarter;7045.0;7061.0;7493.0;7512.0;2568.0;2417.0
1910;Employee;A-U All economic activities;2005;7059.0;;7508.0;;9675.0;
1911;Employee;A-U All economic activities;2006 1st quarter;7065.0;7130.0;7515.0;7587.0;2667.0;2430.0
1912;Employee;A-U All economic activities;2006 2nd quarter;7179.0;7153.0;7642.0;7613.0;2366.0;2440.0
1913;Employee;A-U All economic activities;2006 3rd quarter;7250.0;7198.0;7721.0;7662.0;2172.0;2455.0
1914;Employee;A-U All economic activities;2006 4th quarter;7272.0;7283.0;7743.0;7757.0;2596.0;2478.0
1915;Employee;A-U All economic activities;2006;7191.0;;7655.0;;9802.0;
1916;Employee;A-U All economic activities;2007 1st quarter;7247.0;7311.0;7715.0;7786.0;2701.0;2490.0
1917;Employee;A-U All economic activities;2007 2nd quarter;7400.0;7375.0;7883.0;7856.0;2427.0;2509.0
1918;Employee;A-U All economic activities;2007 3rd quarter;7477.0;7430.0;7969.0;7916.0;2238.0;2521.0
1919;Employee;A-U All economic activities;2007 4th quarter;7465.0;7470.0;7954.0;7960.0;2689.0;2534.0
1920;Employee;A-U All economic activities;2007;7397.0;;7880.0;;10055.0;
1921;Employee;A-U All economic activities;2008 1st quarter;7449.0;7512.0;7937.0;8008.0;2742.0;2570.0
1922;Employee;A-U All economic activities;2008 2nd quarter;7550.0;7529.0;8047.0;8022.0;2500.0;2568.0
1923;Employee;A-U All economic activities;2008 3rd quarter;7578.0;7535.0;8080.0;8034.0;2303.0;2556.0
1924;Employee;A-U All economic activities;2008 4th quarter;7538.0;7538.0;8034.0;8034.0;2712.0;2565.0
1925;Employee;A-U All economic activities;2008;7529.0;;8025.0;;10258.0;
1926;Employee;A-U All economic activities;2009 1st quarter;7455.0;7516.0;7944.0;8014.0;2725.0;2564.0
1927;Employee;A-U All economic activities;2009 2nd quarter;7483.0;7463.0;7977.0;7950.0;2420.0;2529.0
1928;Employee;A-U All economic activities;2009 3rd quarter;7460.0;7422.0;7957.0;7917.0;2264.0;2495.0
1929;Employee;A-U All economic activities;2009 4th quarter;7421.0;7417.0;7913.0;7910.0;2683.0;2504.0
1930;Employee;A-U All economic activities;2009;7455.0;;7948.0;;10092.0;
1931;Employee;A-U All economic activities;2010 1st quarter;7298.0;7357.0;7772.0;7841.0;2610.0;2466.0
1932;Employee;A-U All economic activities;2010 2nd quarter;7409.0;7390.0;7921.0;7891.0;2343.0;2484.0
1933;Employee;A-U All economic activities;2010 3rd quarter;7445.0;7409.0;7942.0;7906.0;2302.0;2518.0
1934;Employee;A-U All economic activities;2010 4th quarter;7430.0;7422.0;7923.0;7918.0;2727.0;2514.0
1935;Employee;A-U All economic activities;2010;7396.0;;7890.0;;9982.0;
1936;Employee;A-U All economic activities;2011 1st quarter;7369.0;7433.0;7877.0;7952.0;2673.0;2499.0
1937;Employee;A-U All economic activities;2011 2nd quarter;7474.0;7454.0;8016.0;7980.0;2408.0;2507.0
1938;Employee;A-U All economic activities;2011 3rd quarter;7488.0;7453.0;8000.0;7968.0;2323.0;2527.0
1939;Employee;A-U All economic activities;2011 4th quarter;7444.0;7433.0;7953.0;7945.0;2653.0;2523.0
1940;Employee;A-U All economic activities;2011;7444.0;;7962.0;;10057.0;
1941;Employee;A-U All economic activities;2012 1st quarter;7360.0;7428.0;7861.0;7940.0;2704.0;2500.0
1942;Employee;A-U All economic activities;2012 2nd quarter;7435.0;7414.0;7966.0;7926.0;2403.0;2495.0
1943;Employee;A-U All economic activities;2012 3rd quarter;7426.0;7392.0;7929.0;7900.0;2252.0;2482.0
1944;Employee;A-U All economic activities;2012 4th quarter;7377.0;7363.0;7876.0;7864.0;2565.0;2446.0
1945;Employee;A-U All economic activities;2012;7399.0;;7908.0;;9924.0;
1946;Employee;A-U All economic activities;2013 1st quarter;7254.0;7323.0;7733.0;7813.0;2596.0;2461.0
1947;Employee;A-U All economic activities;2013 2nd quarter;7314.0;7292.0;7821.0;7780.0;2397.0;2469.0
1948;Employee;A-U All economic activities;2013 3rd quarter;7301.0;7269.0;7777.0;7750.0;2245.0;2432.0
1949;Employee;A-U All economic activities;2013 4th quarter;7270.0;7253.0;7747.0;7733.0;2566.0;2442.0
1950;Employee;A-U All economic activities;2013;7285.0;;7769.0;;9804.0;
1951;Employee;A-U All economic activities;2014 1st quarter;7159.0;7229.0;7630.0;7712.0;2596.0;2459.0
1952;Employee;A-U All economic activities;2014 2nd quarter;7260.0;7238.0;7763.0;7722.0;2378.0;2445.0
1953;Employee;A-U All economic activities;2014 3rd quarter;7280.0;7248.0;7761.0;7735.0;2274.0;2466.0
1954;Employee;A-U All economic activities;2014 4th quarter;7277.0;7259.0;7765.0;7748.0;2571.0;2449.0
1955;Employee;A-U All economic activities;2014;7244.0;;7730.0;;9819.0;
1956;Employee;A-U All economic activities;2015 1st quarter;7208.0;7280.0;7686.0;7771.0;2592.0;2461.0
1957;Employee;A-U All economic activities;2015 2nd quarter;7324.0;7302.0;7836.0;7795.0;2371.0;2470.0
1958;Employee;A-U All economic activities;2015 3rd quarter;7354.0;7323.0;7844.0;7819.0;2258.0;2451.0
1959;Employee;A-U All economic activities;2015 4th quarter;7370.0;7351.0;7868.0;7849.0;2648.0;2487.0
1960;Employee;A-U All economic activities;2015;7315.0;;7809.0;;9869.0;
1961;Employee;A-U All economic activities;2016 1st quarter;7283.0;7356.0;7768.0;7854.0;2604.0;2488.0
1962;Employee;A-U All economic activities;2016 2nd quarter;7416.0;7394.0;7937.0;7896.0;2481.0;2522.0
1963;Employee;A-U All economic activities;2016 3rd quarter;7463.0;7432.0;7963.0;7937.0;2332.0;2534.0
1964;Employee;A-U All economic activities;2016 4th quarter;7502.0;7482.0;8011.0;7991.0;2676.0;2549.0
1965;Employee;A-U All economic activities;2016;7416.0;;7920.0;;10093.0;
1966;Employee;A-U All economic activities;2017 1st quarter;7457.0;7530.0;7956.0;8044.0;2754.0;2560.0
1967;Employee;A-U All economic activities;2017 2nd quarter;7599.0;7577.0;8136.0;8094.0;2503.0;2573.0
1968;Employee;A-U All economic activities;2017 3rd quarter;7659.0;7627.0;8175.0;8148.0;2372.0;2599.0
1969;Employee;A-U All economic activities;2017 4th quarter;7710.0;7689.0;8236.0;8216.0;2710.0;2606.0
1970;Employee;A-U All economic activities;2017;7607.0;;8127.0;;10338.0;
1971;Employee;A-U All economic activities;2018 1st quarter;7680.0;7755.0;8197.0;8286.0;2777.0;2615.0
1972;Employee;A Agriculture, forestry and fishing;1995 1st quarter;84.0;95.0;90.0;102.0;29.0;28.0
1973;Employee;A Agriculture, forestry and fishing;1995 2nd quarter;96.0;95.0;104.0;102.0;27.0;29.0
1974;Employee;A Agriculture, forestry and fishing;1995 3rd quarter;106.0;95.0;115.0;102.0;33.0;30.0
1975;Employee;A Agriculture, forestry and fishing;1995 4th quarter;92.0;95.0;99.0;102.0;28.0;30.0
1976;Employee;A Agriculture, forestry and fishing;1995;95.0;;102.0;;118.0;
1977;Employee;A Agriculture, forestry and fishing;1996 1st quarter;83.0;94.0;91.0;102.0;29.0;29.0
1978;Employee;A Agriculture, forestry and fishing;1996 2nd quarter;97.0;96.0;106.0;104.0;28.0;29.0
1979;Employee;A Agriculture, forestry and fishing;1996 3rd quarter;107.0;95.0;117.0;104.0;34.0;30.0
1980;Employee;A Agriculture, forestry and fishing;1996 4th quarter;93.0;95.0;101.0;104.0;29.0;31.0
1981;Employee;A Agriculture, forestry and fishing;1996;95.0;;103.0;;119.0;
1982;Employee;A Agriculture, forestry and fishing;1997 1st quarter;87.0;98.0;95.0;106.0;29.0;30.0
1983;Employee;A Agriculture, forestry and fishing;1997 2nd quarter;100.0;99.0;109.0;107.0;29.0;30.0
1984;Employee;A Agriculture, forestry and fishing;1997 3rd quarter;112.0;99.0;122.0;108.0;34.0;30.0
1985;Employee;A Agriculture, forestry and fishing;1997 4th quarter;98.0;100.0;107.0;110.0;28.0;30.0
