ID;AgeMotherOn31December;Periods;TotalLiveBornChildren_1;FirstChild_2;SecondChild_3;ThirdChild_4;FourthOrFollowingChildren_5;TotalMaritalLiveBornChildren_6;FirstChild_7;SecondChild_8;ThirdChild_9;FourthOrFollowingChildren_10;TotalNonMaritalLiveBornChildren_11;FirstChild_12;SecondChild_13;ThirdChild_14;FourthOrFollowingChildren_15;TotalLiveBornChildren_16;FirstChild_17;SecondChild_18;ThirdChild_19;FourthOrFollowingChildren_20
136;16 years;1956;110.0;108.0;2.0;0.0;0.0;52.0;50.0;2.0;0.0;0.0;58.0;58.0;0.0;0.0;0.0;1.3;1.27;0.02;0.0;0.0
137;16 years;1957;138.0;137.0;1.0;0.0;0.0;64.0;63.0;1.0;0.0;0.0;74.0;74.0;0.0;0.0;0.0;1.68;1.67;0.01;0.0;0.0
138;16 years;1958;162.0;160.0;2.0;0.0;0.0;87.0;85.0;2.0;0.0;0.0;75.0;75.0;0.0;0.0;0.0;1.89;1.86;0.02;0.0;0.0
139;16 years;1959;183.0;178.0;5.0;0.0;0.0;86.0;84.0;2.0;0.0;0.0;97.0;94.0;3.0;0.0;0.0;1.96;1.91;0.05;0.0;0.0
140;16 years;1960;186.0;184.0;2.0;0.0;0.0;99.0;97.0;2.0;0.0;0.0;87.0;87.0;0.0;0.0;0.0;1.91;1.89;0.02;0.0;0.0
141;16 years;1961;218.0;216.0;2.0;0.0;0.0;116.0;114.0;2.0;0.0;0.0;102.0;102.0;0.0;0.0;0.0;2.37;2.34;0.02;0.0;0.0
142;16 years;1962;312.0;308.0;4.0;0.0;0.0;181.0;177.0;4.0;0.0;0.0;131.0;131.0;0.0;0.0;0.0;2.43;2.4;0.03;0.0;0.0
143;16 years;1963;294.0;289.0;5.0;0.0;0.0;157.0;153.0;4.0;0.0;0.0;137.0;136.0;1.0;0.0;0.0;2.38;2.34;0.04;0.0;0.0
144;16 years;1964;296.0;292.0;4.0;0.0;0.0;160.0;156.0;4.0;0.0;0.0;136.0;136.0;0.0;0.0;0.0;2.57;2.54;0.04;0.0;0.0
145;16 years;1965;257.0;254.0;3.0;0.0;0.0;139.0;136.0;3.0;0.0;0.0;118.0;118.0;0.0;0.0;0.0;2.33;2.3;0.03;0.0;0.0
146;16 years;1966;275.0;271.0;4.0;0.0;0.0;136.0;132.0;4.0;0.0;0.0;139.0;139.0;0.0;0.0;0.0;2.56;2.52;0.04;0.0;0.0
147;16 years;1967;312.0;308.0;4.0;0.0;0.0;179.0;175.0;4.0;0.0;0.0;133.0;133.0;0.0;0.0;0.0;2.93;2.89;0.04;0.0;0.0
148;16 years;1968;340.0;336.0;4.0;0.0;0.0;180.0;176.0;4.0;0.0;0.0;160.0;160.0;0.0;0.0;0.0;3.12;3.08;0.04;0.0;0.0
149;16 years;1969;406.0;399.0;7.0;0.0;0.0;224.0;219.0;5.0;0.0;0.0;182.0;180.0;2.0;0.0;0.0;3.75;3.69;0.07;0.0;0.0
150;16 years;1970;385.0;383.0;2.0;0.0;0.0;225.0;223.0;2.0;0.0;0.0;160.0;160.0;0.0;0.0;0.0;3.55;3.53;0.02;0.0;0.0
151;16 years;1971;377.0;365.0;12.0;0.0;0.0;228.0;218.0;10.0;0.0;0.0;149.0;147.0;2.0;0.0;0.0;3.44;3.33;0.11;0.0;0.0
152;16 years;1972;388.0;383.0;5.0;0.0;0.0;237.0;232.0;5.0;0.0;0.0;151.0;151.0;0.0;0.0;0.0;3.5;3.45;0.05;0.0;0.0
153;16 years;1973;305.0;297.0;8.0;0.0;0.0;182.0;174.0;8.0;0.0;0.0;123.0;123.0;0.0;0.0;0.0;2.71;2.63;0.07;0.0;0.0
154;16 years;1974;261.0;258.0;3.0;0.0;0.0;136.0;134.0;2.0;0.0;0.0;125.0;124.0;1.0;0.0;0.0;2.29;2.26;0.03;0.0;0.0
155;16 years;1975;255.0;251.0;4.0;0.0;0.0;126.0;122.0;4.0;0.0;0.0;129.0;129.0;0.0;0.0;0.0;2.17;2.13;0.03;0.0;0.0
156;16 years;1976;198.0;194.0;4.0;0.0;0.0;86.0;84.0;2.0;0.0;0.0;112.0;110.0;2.0;0.0;0.0;1.7;1.66;0.03;0.0;0.0
157;16 years;1977;173.0;172.0;1.0;0.0;0.0;75.0;74.0;1.0;0.0;0.0;98.0;98.0;0.0;0.0;0.0;1.43;1.42;0.01;0.0;0.0
158;16 years;1978;209.0;209.0;0.0;0.0;0.0;83.0;83.0;0.0;0.0;0.0;126.0;126.0;0.0;0.0;0.0;1.73;1.73;0.0;0.0;0.0
159;16 years;1979;165.0;164.0;1.0;0.0;0.0;71.0;70.0;1.0;0.0;0.0;94.0;94.0;0.0;0.0;0.0;1.35;1.34;0.01;0.0;0.0
160;16 years;1980;192.0;191.0;1.0;0.0;0.0;95.0;95.0;0.0;0.0;0.0;97.0;96.0;1.0;0.0;0.0;1.55;1.54;0.01;0.0;0.0
161;16 years;1981;185.0;184.0;1.0;0.0;0.0;93.0;93.0;0.0;0.0;0.0;92.0;91.0;1.0;0.0;0.0;1.52;1.51;0.01;0.0;0.0
162;16 years;1982;169.0;168.0;1.0;0.0;0.0;58.0;57.0;1.0;0.0;0.0;111.0;111.0;0.0;0.0;0.0;1.42;1.41;0.01;0.0;0.0
163;16 years;1983;136.0;134.0;2.0;0.0;0.0;47.0;47.0;0.0;0.0;0.0;89.0;87.0;2.0;0.0;0.0;1.15;1.13;0.02;0.0;0.0
164;16 years;1984;124.0;122.0;2.0;0.0;0.0;46.0;45.0;1.0;0.0;0.0;78.0;77.0;1.0;0.0;0.0;1.05;1.03;0.02;0.0;0.0
165;16 years;1985;154.0;151.0;3.0;0.0;0.0;58.0;57.0;1.0;0.0;0.0;96.0;94.0;2.0;0.0;0.0;1.25;1.22;0.02;0.0;0.0
166;16 years;1986;181.0;180.0;1.0;0.0;0.0;79.0;79.0;0.0;0.0;0.0;102.0;101.0;1.0;0.0;0.0;1.51;1.5;0.01;0.0;0.0
167;16 years;1987;158.0;155.0;3.0;0.0;0.0;73.0;71.0;2.0;0.0;0.0;85.0;84.0;1.0;0.0;0.0;1.38;1.36;0.03;0.0;0.0
168;16 years;1988;145.0;142.0;3.0;0.0;0.0;72.0;70.0;2.0;0.0;0.0;73.0;72.0;1.0;0.0;0.0;1.34;1.31;0.03;0.0;0.0
169;16 years;1989;160.0;158.0;2.0;0.0;0.0;79.0;79.0;0.0;0.0;0.0;81.0;79.0;2.0;0.0;0.0;1.62;1.6;0.02;0.0;0.0
170;16 years;1990;146.0;144.0;2.0;0.0;0.0;65.0;65.0;0.0;0.0;0.0;81.0;79.0;2.0;0.0;0.0;1.54;1.52;0.02;0.0;0.0
171;16 years;1991;128.0;126.0;2.0;0.0;0.0;48.0;48.0;0.0;0.0;0.0;80.0;78.0;2.0;0.0;0.0;1.42;1.39;0.02;0.0;0.0
172;16 years;1992;114.0;110.0;4.0;0.0;0.0;42.0;41.0;1.0;0.0;0.0;72.0;69.0;3.0;0.0;0.0;1.28;1.24;0.05;0.0;0.0
173;16 years;1993;112.0;111.0;1.0;0.0;0.0;31.0;30.0;1.0;0.0;0.0;81.0;81.0;0.0;0.0;0.0;1.27;1.26;0.01;0.0;0.0
174;16 years;1994;109.0;106.0;3.0;0.0;0.0;26.0;25.0;1.0;0.0;0.0;83.0;81.0;2.0;0.0;0.0;1.22;1.19;0.03;0.0;0.0
175;16 years;1995;87.0;85.0;2.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;77.0;75.0;2.0;0.0;0.0;0.98;0.96;0.02;0.0;0.0
176;16 years;1996;94.0;92.0;2.0;0.0;0.0;13.0;13.0;0.0;0.0;0.0;81.0;79.0;2.0;0.0;0.0;1.03;1.0;0.02;0.0;0.0
177;16 years;1997;110.0;105.0;5.0;0.0;0.0;18.0;18.0;0.0;0.0;0.0;92.0;87.0;5.0;0.0;0.0;1.21;1.16;0.06;0.0;0.0
178;16 years;1998;114.0;111.0;3.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;104.0;101.0;3.0;0.0;0.0;1.3;1.26;0.03;0.0;0.0
179;16 years;1999;129.0;128.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;125.0;124.0;1.0;0.0;0.0;1.48;1.47;0.01;0.0;0.0
180;16 years;2000;142.0;141.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;139.0;138.0;1.0;0.0;0.0;1.58;1.57;0.01;0.0;0.0
181;16 years;2001;151.0;149.0;1.0;1.0;0.0;8.0;8.0;0.0;0.0;0.0;143.0;141.0;1.0;1.0;0.0;1.64;1.61;0.01;0.01;0.0
182;16 years;2002;138.0;136.0;2.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;133.0;131.0;2.0;0.0;0.0;1.45;1.42;0.02;0.0;0.0
183;16 years;2003;118.0;117.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;117.0;116.0;1.0;0.0;0.0;1.24;1.23;0.01;0.0;0.0
184;16 years;2004;105.0;102.0;2.0;1.0;0.0;3.0;3.0;0.0;0.0;0.0;102.0;99.0;2.0;1.0;0.0;1.1;1.07;0.02;0.01;0.0
185;16 years;2005;99.0;98.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;96.0;95.0;1.0;0.0;0.0;1.03;1.02;0.01;0.0;0.0
186;16 years;2006;87.0;84.0;3.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;85.0;82.0;3.0;0.0;0.0;0.87;0.84;0.03;0.0;0.0
187;16 years;2007;97.0;93.0;4.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;93.0;89.0;4.0;0.0;0.0;0.97;0.93;0.04;0.0;0.0
188;16 years;2008;91.0;90.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;88.0;87.0;1.0;0.0;0.0;0.93;0.92;0.01;0.0;0.0
189;16 years;2009;80.0;79.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;79.0;78.0;1.0;0.0;0.0;0.82;0.81;0.01;0.0;0.0
190;16 years;2010;68.0;67.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;65.0;64.0;1.0;0.0;0.0;0.7;0.69;0.01;0.0;0.0
191;16 years;2011;79.0;79.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;77.0;77.0;0.0;0.0;0.0;0.83;0.83;0.0;0.0;0.0
192;16 years;2012;72.0;72.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;69.0;69.0;0.0;0.0;0.0;0.76;0.76;0.0;0.0;0.0
193;16 years;2013;57.0;56.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;55.0;54.0;1.0;0.0;0.0;0.59;0.58;0.01;0.0;0.0
194;16 years;2014;56.0;56.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;55.0;55.0;0.0;0.0;0.0;0.57;0.57;0.0;0.0;0.0
195;17 years;1950;371.0;358.0;13.0;0.0;0.0;265.0;254.0;11.0;0.0;0.0;106.0;104.0;2.0;0.0;0.0;4.78;4.61;0.17;0.0;0.0
196;17 years;1951;358.0;345.0;13.0;0.0;0.0;260.0;247.0;13.0;0.0;0.0;98.0;98.0;0.0;0.0;0.0;4.57;4.4;0.17;0.0;0.0
197;17 years;1952;373.0;363.0;10.0;0.0;0.0;270.0;262.0;8.0;0.0;0.0;103.0;101.0;2.0;0.0;0.0;4.81;4.68;0.13;0.0;0.0
198;17 years;1953;377.0;367.0;10.0;0.0;0.0;278.0;268.0;10.0;0.0;0.0;99.0;99.0;0.0;0.0;0.0;4.82;4.69;0.13;0.0;0.0
199;17 years;1954;380.0;365.0;15.0;0.0;0.0;295.0;280.0;15.0;0.0;0.0;85.0;85.0;0.0;0.0;0.0;4.88;4.69;0.19;0.0;0.0
200;17 years;1955;421.0;406.0;15.0;0.0;0.0;309.0;297.0;12.0;0.0;0.0;112.0;109.0;3.0;0.0;0.0;5.17;4.99;0.18;0.0;0.0
201;17 years;1956;464.0;446.0;18.0;0.0;0.0;359.0;342.0;17.0;0.0;0.0;105.0;104.0;1.0;0.0;0.0;5.6;5.38;0.22;0.0;0.0
202;17 years;1957;494.0;470.0;22.0;1.0;1.0;362.0;341.0;20.0;1.0;0.0;132.0;129.0;2.0;0.0;1.0;5.82;5.54;0.26;0.01;0.01
203;17 years;1958;567.0;538.0;28.0;1.0;0.0;442.0;415.0;26.0;1.0;0.0;125.0;123.0;2.0;0.0;0.0;6.89;6.54;0.34;0.01;0.0
204;17 years;1959;660.0;632.0;28.0;0.0;0.0;492.0;468.0;24.0;0.0;0.0;168.0;164.0;4.0;0.0;0.0;7.68;7.35;0.33;0.0;0.0
205;17 years;1960;688.0;655.0;33.0;0.0;0.0;520.0;490.0;30.0;0.0;0.0;168.0;165.0;3.0;0.0;0.0;7.38;7.02;0.35;0.0;0.0
206;17 years;1961;828.0;787.0;40.0;1.0;0.0;636.0;598.0;37.0;1.0;0.0;192.0;189.0;3.0;0.0;0.0;8.46;8.04;0.41;0.01;0.0
207;17 years;1962;813.0;778.0;35.0;0.0;0.0;634.0;602.0;32.0;0.0;0.0;179.0;176.0;3.0;0.0;0.0;8.82;8.44;0.38;0.0;0.0
208;17 years;1963;1108.0;1055.0;53.0;0.0;0.0;861.0;811.0;50.0;0.0;0.0;247.0;244.0;3.0;0.0;0.0;8.62;8.2;0.41;0.0;0.0
209;17 years;1964;1201.0;1145.0;55.0;1.0;0.0;913.0;860.0;52.0;1.0;0.0;288.0;285.0;3.0;0.0;0.0;9.7;9.25;0.44;0.01;0.0
210;17 years;1965;1075.0;1027.0;47.0;1.0;0.0;824.0;779.0;44.0;1.0;0.0;251.0;248.0;3.0;0.0;0.0;9.33;8.91;0.41;0.01;0.0
211;17 years;1966;1090.0;1043.0;47.0;0.0;0.0;841.0;797.0;44.0;0.0;0.0;249.0;246.0;3.0;0.0;0.0;9.86;9.44;0.43;0.0;0.0
212;17 years;1967;1034.0;992.0;41.0;1.0;0.0;807.0;768.0;38.0;1.0;0.0;227.0;224.0;3.0;0.0;0.0;9.61;9.22;0.38;0.01;0.0
213;17 years;1968;1147.0;1102.0;45.0;0.0;0.0;880.0;838.0;42.0;0.0;0.0;267.0;264.0;3.0;0.0;0.0;10.75;10.33;0.42;0.0;0.0
214;17 years;1969;1234.0;1189.0;44.0;1.0;0.0;921.0;882.0;39.0;0.0;0.0;313.0;307.0;5.0;1.0;0.0;11.3;10.89;0.4;0.01;0.0
215;17 years;1970;1247.0;1199.0;46.0;2.0;0.0;942.0;897.0;43.0;2.0;0.0;305.0;302.0;3.0;0.0;0.0;11.51;11.07;0.43;0.02;0.0
216;17 years;1971;1342.0;1291.0;48.0;2.0;1.0;1052.0;1003.0;46.0;2.0;1.0;290.0;288.0;2.0;0.0;0.0;12.35;11.88;0.44;0.02;0.01
217;17 years;1972;1221.0;1172.0;47.0;1.0;1.0;950.0;907.0;41.0;1.0;1.0;271.0;265.0;6.0;0.0;0.0;11.11;10.67;0.43;0.01;0.01
218;17 years;1973;1003.0;959.0;44.0;0.0;0.0;778.0;740.0;38.0;0.0;0.0;225.0;219.0;6.0;0.0;0.0;9.01;8.62;0.4;0.0;0.0
219;17 years;1974;902.0;880.0;21.0;1.0;0.0;680.0;663.0;16.0;1.0;0.0;222.0;217.0;5.0;0.0;0.0;7.97;7.78;0.19;0.01;0.0
220;17 years;1975;677.0;657.0;19.0;1.0;0.0;493.0;473.0;19.0;1.0;0.0;184.0;184.0;0.0;0.0;0.0;5.9;5.72;0.17;0.01;0.0
221;17 years;1976;642.0;617.0;24.0;1.0;0.0;453.0;432.0;21.0;0.0;0.0;189.0;185.0;3.0;1.0;0.0;5.43;5.22;0.2;0.01;0.0
222;17 years;1977;656.0;642.0;14.0;0.0;0.0;464.0;453.0;11.0;0.0;0.0;192.0;189.0;3.0;0.0;0.0;5.61;5.49;0.12;0.0;0.0
223;17 years;1978;547.0;539.0;7.0;1.0;0.0;365.0;360.0;5.0;0.0;0.0;182.0;179.0;2.0;1.0;0.0;4.5;4.44;0.06;0.01;0.0
224;17 years;1979;578.0;565.0;11.0;2.0;0.0;365.0;357.0;8.0;0.0;0.0;213.0;208.0;3.0;2.0;0.0;4.77;4.66;0.09;0.02;0.0
225;17 years;1980;578.0;553.0;25.0;0.0;0.0;368.0;350.0;18.0;0.0;0.0;210.0;203.0;7.0;0.0;0.0;4.69;4.49;0.2;0.0;0.0
226;17 years;1981;577.0;557.0;20.0;0.0;0.0;361.0;344.0;17.0;0.0;0.0;216.0;213.0;3.0;0.0;0.0;4.62;4.46;0.16;0.0;0.0
227;17 years;1982;506.0;485.0;21.0;0.0;0.0;300.0;282.0;18.0;0.0;0.0;206.0;203.0;3.0;0.0;0.0;4.15;3.98;0.17;0.0;0.0
228;17 years;1983;424.0;407.0;16.0;1.0;0.0;231.0;226.0;5.0;0.0;0.0;193.0;181.0;11.0;1.0;0.0;3.55;3.4;0.13;0.01;0.0
229;17 years;1984;427.0;406.0;21.0;0.0;0.0;221.0;209.0;12.0;0.0;0.0;206.0;197.0;9.0;0.0;0.0;3.61;3.43;0.18;0.0;0.0
230;17 years;1985;383.0;365.0;16.0;2.0;0.0;205.0;198.0;5.0;2.0;0.0;178.0;167.0;11.0;0.0;0.0;3.23;3.08;0.14;0.02;0.0
231;17 years;1986;412.0;399.0;13.0;0.0;0.0;225.0;218.0;7.0;0.0;0.0;187.0;181.0;6.0;0.0;0.0;3.32;3.22;0.11;0.0;0.0
232;17 years;1987;417.0;397.0;20.0;0.0;0.0;252.0;238.0;14.0;0.0;0.0;165.0;159.0;6.0;0.0;0.0;3.46;3.3;0.17;0.0;0.0
233;17 years;1988;457.0;434.0;22.0;1.0;0.0;245.0;230.0;15.0;0.0;0.0;212.0;204.0;7.0;1.0;0.0;3.98;3.78;0.19;0.01;0.0
234;17 years;1989;437.0;417.0;19.0;1.0;0.0;264.0;255.0;9.0;0.0;0.0;173.0;162.0;10.0;1.0;0.0;4.01;3.82;0.17;0.01;0.0
235;17 years;1990;430.0;405.0;24.0;1.0;0.0;258.0;241.0;16.0;1.0;0.0;172.0;164.0;8.0;0.0;0.0;4.31;4.06;0.24;0.01;0.0
236;17 years;1991;435.0;414.0;19.0;2.0;0.0;258.0;249.0;8.0;1.0;0.0;177.0;165.0;11.0;1.0;0.0;4.56;4.34;0.2;0.02;0.0
237;17 years;1992;338.0;328.0;9.0;1.0;0.0;187.0;183.0;4.0;0.0;0.0;151.0;145.0;5.0;1.0;0.0;3.71;3.6;0.1;0.01;0.0
238;17 years;1993;283.0;275.0;8.0;0.0;0.0;164.0;160.0;4.0;0.0;0.0;119.0;115.0;4.0;0.0;0.0;3.16;3.07;0.09;0.0;0.0
239;17 years;1994;309.0;296.0;12.0;1.0;0.0;144.0;139.0;5.0;0.0;0.0;165.0;157.0;7.0;1.0;0.0;3.49;3.34;0.14;0.01;0.0
240;17 years;1995;234.0;217.0;15.0;2.0;0.0;74.0;67.0;7.0;0.0;0.0;160.0;150.0;8.0;2.0;0.0;2.61;2.42;0.17;0.02;0.0
241;17 years;1996;223.0;217.0;6.0;0.0;0.0;46.0;44.0;2.0;0.0;0.0;177.0;173.0;4.0;0.0;0.0;2.5;2.43;0.07;0.0;0.0
242;17 years;1997;243.0;234.0;9.0;0.0;0.0;47.0;44.0;3.0;0.0;0.0;196.0;190.0;6.0;0.0;0.0;2.64;2.54;0.1;0.0;0.0
243;17 years;1998;269.0;262.0;5.0;2.0;0.0;47.0;46.0;1.0;0.0;0.0;222.0;216.0;4.0;2.0;0.0;2.95;2.87;0.06;0.02;0.0
244;17 years;1999;312.0;300.0;12.0;0.0;0.0;28.0;27.0;1.0;0.0;0.0;284.0;273.0;11.0;0.0;0.0;3.53;3.4;0.14;0.0;0.0
245;17 years;2000;325.0;311.0;13.0;0.0;1.0;31.0;29.0;2.0;0.0;0.0;294.0;282.0;11.0;0.0;1.0;3.7;3.54;0.15;0.0;0.01
246;17 years;2001;422.0;406.0;16.0;0.0;0.0;40.0;38.0;2.0;0.0;0.0;382.0;368.0;14.0;0.0;0.0;4.66;4.48;0.18;0.0;0.0
247;17 years;2002;370.0;355.0;13.0;2.0;0.0;25.0;25.0;0.0;0.0;0.0;345.0;330.0;13.0;2.0;0.0;3.98;3.82;0.14;0.02;0.0
248;17 years;2003;333.0;329.0;4.0;0.0;0.0;32.0;29.0;3.0;0.0;0.0;301.0;300.0;1.0;0.0;0.0;3.47;3.43;0.04;0.0;0.0
249;17 years;2004;279.0;267.0;11.0;1.0;0.0;24.0;24.0;0.0;0.0;0.0;255.0;243.0;11.0;1.0;0.0;2.92;2.79;0.12;0.01;0.0
250;17 years;2005;260.0;253.0;7.0;0.0;0.0;22.0;21.0;1.0;0.0;0.0;238.0;232.0;6.0;0.0;0.0;2.73;2.65;0.07;0.0;0.0
251;17 years;2006;252.0;244.0;8.0;0.0;0.0;20.0;19.0;1.0;0.0;0.0;232.0;225.0;7.0;0.0;0.0;2.61;2.53;0.08;0.0;0.0
252;17 years;2007;248.0;242.0;5.0;1.0;0.0;23.0;23.0;0.0;0.0;0.0;225.0;219.0;5.0;1.0;0.0;2.48;2.42;0.05;0.01;0.0
253;17 years;2008;233.0;230.0;3.0;0.0;0.0;14.0;14.0;0.0;0.0;0.0;219.0;216.0;3.0;0.0;0.0;2.33;2.3;0.03;0.0;0.0
254;17 years;2009;228.0;218.0;9.0;1.0;0.0;27.0;25.0;2.0;0.0;0.0;201.0;193.0;7.0;1.0;0.0;2.32;2.22;0.09;0.01;0.0
255;17 years;2010;219.0;216.0;3.0;0.0;0.0;17.0;16.0;1.0;0.0;0.0;202.0;200.0;2.0;0.0;0.0;2.24;2.21;0.03;0.0;0.0
256;17 years;2011;190.0;185.0;5.0;0.0;0.0;12.0;11.0;1.0;0.0;0.0;178.0;174.0;4.0;0.0;0.0;1.94;1.89;0.05;0.0;0.0
257;17 years;2012;193.0;191.0;2.0;0.0;0.0;11.0;11.0;0.0;0.0;0.0;182.0;180.0;2.0;0.0;0.0;2.03;2.0;0.02;0.0;0.0
258;17 years;2013;158.0;156.0;2.0;0.0;0.0;17.0;17.0;0.0;0.0;0.0;141.0;139.0;2.0;0.0;0.0;1.67;1.65;0.02;0.0;0.0
259;17 years;2014;155.0;150.0;5.0;0.0;0.0;10.0;9.0;1.0;0.0;0.0;145.0;141.0;4.0;0.0;0.0;1.61;1.56;0.05;0.0;0.0
260;18 years;1950;1031.0;967.0;59.0;5.0;0.0;842.0;784.0;54.0;4.0;0.0;189.0;183.0;5.0;1.0;0.0;12.68;11.9;0.73;0.06;0.0
261;18 years;1951;1090.0;1011.0;75.0;4.0;0.0;932.0;856.0;72.0;4.0;0.0;158.0;155.0;3.0;0.0;0.0;14.03;13.01;0.97;0.05;0.0
262;18 years;1952;1109.0;1031.0;75.0;3.0;0.0;934.0;862.0;71.0;1.0;0.0;175.0;169.0;4.0;2.0;0.0;14.19;13.19;0.96;0.04;0.0
263;18 years;1953;1094.0;1021.0;70.0;3.0;0.0;931.0;862.0;66.0;3.0;0.0;163.0;159.0;4.0;0.0;0.0;14.15;13.2;0.91;0.04;0.0
264;18 years;1954;1055.0;960.0;93.0;2.0;0.0;902.0;811.0;89.0;2.0;0.0;153.0;149.0;4.0;0.0;0.0;13.51;12.3;1.19;0.03;0.0
265;18 years;1955;1138.0;1046.0;88.0;4.0;0.0;1001.0;912.0;85.0;4.0;0.0;137.0;134.0;3.0;0.0;0.0;14.64;13.45;1.13;0.05;0.0
266;18 years;1956;1188.0;1097.0;89.0;2.0;0.0;1015.0;930.0;83.0;2.0;0.0;173.0;167.0;6.0;0.0;0.0;14.59;13.47;1.09;0.03;0.0
267;18 years;1957;1256.0;1152.0;100.0;4.0;0.0;1085.0;986.0;95.0;4.0;0.0;171.0;166.0;5.0;0.0;0.0;15.15;13.89;1.21;0.05;0.0
268;18 years;1958;1332.0;1219.0;108.0;5.0;0.0;1154.0;1049.0;101.0;4.0;0.0;178.0;170.0;7.0;1.0;0.0;15.68;14.35;1.27;0.06;0.0
269;18 years;1959;1516.0;1381.0;126.0;9.0;0.0;1290.0;1165.0;117.0;8.0;0.0;226.0;216.0;9.0;1.0;0.0;18.41;16.78;1.53;0.11;0.0
270;18 years;1960;1633.0;1474.0;150.0;9.0;0.0;1407.0;1254.0;144.0;9.0;0.0;226.0;220.0;6.0;0.0;0.0;19.02;17.17;1.75;0.11;0.0
271;18 years;1961;1918.0;1724.0;188.0;5.0;1.0;1645.0;1458.0;181.0;5.0;1.0;273.0;266.0;7.0;0.0;0.0;20.57;18.49;2.02;0.05;0.01
272;18 years;1962;2073.0;1868.0;196.0;9.0;0.0;1785.0;1590.0;186.0;9.0;0.0;288.0;278.0;10.0;0.0;0.0;21.17;19.08;2.0;0.09;0.0
273;18 years;1963;2124.0;1899.0;217.0;8.0;0.0;1854.0;1636.0;210.0;8.0;0.0;270.0;263.0;7.0;0.0;0.0;23.03;20.59;2.35;0.09;0.0
274;18 years;1964;2904.0;2605.0;287.0;11.0;1.0;2511.0;2219.0;280.0;11.0;1.0;393.0;386.0;7.0;0.0;0.0;22.59;20.26;2.23;0.09;0.01
275;18 years;1965;2910.0;2625.0;276.0;9.0;0.0;2524.0;2247.0;268.0;9.0;0.0;386.0;378.0;8.0;0.0;0.0;23.51;21.21;2.23;0.07;0.0
276;18 years;1966;2661.0;2412.0;241.0;7.0;1.0;2304.0;2064.0;232.0;7.0;1.0;357.0;348.0;9.0;0.0;0.0;23.08;20.92;2.09;0.06;0.01
277;18 years;1967;2575.0;2348.0;220.0;7.0;0.0;2223.0;2005.0;211.0;7.0;0.0;352.0;343.0;9.0;0.0;0.0;23.27;21.22;1.99;0.06;0.0
278;18 years;1968;2577.0;2349.0;222.0;6.0;0.0;2209.0;1989.0;214.0;6.0;0.0;368.0;360.0;8.0;0.0;0.0;23.93;21.81;2.06;0.06;0.0
279;18 years;1969;2773.0;2542.0;226.0;4.0;1.0;2350.0;2128.0;217.0;4.0;1.0;423.0;414.0;9.0;0.0;0.0;25.95;23.79;2.12;0.04;0.01
280;18 years;1970;2848.0;2633.0;205.0;10.0;0.0;2381.0;2178.0;193.0;10.0;0.0;467.0;455.0;12.0;0.0;0.0;26.03;24.06;1.87;0.09;0.0
281;18 years;1971;2697.0;2482.0;205.0;8.0;2.0;2321.0;2119.0;192.0;8.0;2.0;376.0;363.0;13.0;0.0;0.0;24.8;22.82;1.89;0.07;0.02
282;18 years;1972;2472.0;2302.0;165.0;5.0;0.0;2138.0;1978.0;155.0;5.0;0.0;334.0;324.0;10.0;0.0;0.0;22.66;21.1;1.51;0.05;0.0
283;18 years;1973;2228.0;2077.0;148.0;3.0;0.0;1932.0;1790.0;139.0;3.0;0.0;296.0;287.0;9.0;0.0;0.0;20.2;18.83;1.34;0.03;0.0
284;18 years;1974;1823.0;1686.0;131.0;6.0;0.0;1555.0;1432.0;119.0;4.0;0.0;268.0;254.0;12.0;2.0;0.0;16.3;15.08;1.17;0.05;0.0
285;18 years;1975;1560.0;1449.0;106.0;5.0;0.0;1295.0;1190.0;101.0;4.0;0.0;265.0;259.0;5.0;1.0;0.0;13.69;12.72;0.93;0.04;0.0
286;18 years;1976;1376.0;1263.0;109.0;4.0;0.0;1090.0;995.0;94.0;1.0;0.0;286.0;268.0;15.0;3.0;0.0;11.92;10.94;0.94;0.04;0.0
287;18 years;1977;1340.0;1216.0;121.0;3.0;0.0;1029.0;914.0;112.0;3.0;0.0;311.0;302.0;9.0;0.0;0.0;11.29;10.25;1.02;0.03;0.0
288;18 years;1978;1302.0;1180.0;116.0;6.0;0.0;1013.0;903.0;105.0;5.0;0.0;289.0;277.0;11.0;1.0;0.0;11.08;10.04;0.99;0.05;0.0
