ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
4698;Primary schools;Special schools;More than 10 000 pupils/students;1998/99;0;0
4699;Primary schools;Special schools;More than 10 000 pupils/students;1999/00;0;0
4700;Primary schools;Special schools;More than 10 000 pupils/students;2000/01;0;0
4701;Primary schools;Special schools;More than 10 000 pupils/students;2001/02;0;0
4702;Primary schools;Special schools;More than 10 000 pupils/students;2002/03;0;0
4703;Primary schools;Special schools;More than 10 000 pupils/students;2003/04;0;0
4704;Primary schools;Special schools;More than 10 000 pupils/students;2004/05;0;0
4705;Primary schools;Special schools;More than 10 000 pupils/students;2005/06;0;0
4706;Primary schools;Special schools;More than 10 000 pupils/students;2006/07;0;0
4707;Primary schools;Special schools;More than 10 000 pupils/students;2007/08;0;0
4708;Primary schools;Special schools;More than 10 000 pupils/students;2008/09;0;0
4709;Primary schools;Special schools;More than 10 000 pupils/students;2009/10;0;0
4710;Primary schools;Special schools;More than 10 000 pupils/students;2010/11;0;0
4711;Primary schools;Special schools;More than 10 000 pupils/students;2011/12;0;0
4712;Primary schools;Special schools;More than 10 000 pupils/students;2012/13;0;0
4713;Primary schools;Special schools;More than 10 000 pupils/students;2013/14;0;0
4714;Primary schools;Special schools;More than 10 000 pupils/students;2014/15;0;0
4715;Primary schools;Special schools;More than 10 000 pupils/students;2015/16;0;0
4716;Primary schools;Special schools;More than 10 000 pupils/students;2016/17;0;0
4717;Primary schools;Special schools;More than 10 000 pupils/students;2017/18;0;0
4718;Primary schools;Special schools;More than 10 000 pupils/students;2018/19;0;0
4719;Primary schools;Special schools;More than 10 000 pupils/students;2019/20;0;0
4720;Primary schools;Special schools;More than 10 000 pupils/students;2020/21;0;0
4721;Primary schools;Special schools;More than 10 000 pupils/students;2021/22;0;0
4722;Primary schools;Special schools;More than 10 000 pupils/students;2022/23;0;0
4723;Primary schools;Special schools;More than 10 000 pupils/students;2023/24;0;0
4724;Primary schools;Special schools;More than 10 000 pupils/students;2024/25;0;0
4725;Primary schools;Protestant Schools;Total;1990/91;2545;419967
4726;Primary schools;Protestant Schools;Total;1991/92;2535;408895
4727;Primary schools;Protestant Schools;Total;1992/93;2510;408391
4728;Primary schools;Protestant Schools;Total;1993/94;2452;407987
4729;Primary schools;Protestant Schools;Total;1994/95;2365;410545
4730;Primary schools;Protestant Schools;Total;1995/96;2225;414038
4731;Primary schools;Protestant Schools;Total;1996/97;2182;418377
4732;Primary schools;Protestant Schools;Total;1997/98;2133;417872
4733;Primary schools;Protestant Schools;Total;1998/99;2026;404296
4734;Primary schools;Protestant Schools;Total;1999/00;1990;398721
4735;Primary schools;Protestant Schools;Total;2000/01;1980;399657
4736;Primary schools;Protestant Schools;Total;2001/02;2104;423792
4737;Primary schools;Protestant Schools;Total;2002/03;2104;423586
4738;Primary schools;Protestant Schools;Total;2003/04;2091;424460
4739;Primary schools;Protestant Schools;Total;2004/05;2092;426886
4740;Primary schools;Protestant Schools;Total;2005/06;2078;427742
4741;Primary schools;Protestant Schools;Total;2006/07;2073;429273
4742;Primary schools;Protestant Schools;Total;2007/08;2079;430950
4743;Primary schools;Protestant Schools;Total;2008/09;2078;431451
4744;Primary schools;Protestant Schools;Total;2009/10;2068;429500
4745;Primary schools;Protestant Schools;Total;2010/11;2049;425554
4746;Primary schools;Protestant Schools;Total;2011/12;2041;420554
4747;Primary schools;Protestant Schools;Total;2012/13;2015;414897
4748;Primary schools;Protestant Schools;Total;2013/14;1987;409300
4749;Primary schools;Protestant Schools;Total;2014/15;1950;404223
4750;Primary schools;Protestant Schools;Total;2015/16;1917;400943
4751;Primary schools;Protestant Schools;Total;2016/17;1892;396868
4752;Primary schools;Protestant Schools;Total;2017/18;1869;392434
4753;Primary schools;Protestant Schools;Total;2018/19;1846;389034
4754;Primary schools;Protestant Schools;Total;2019/20;1834;385916
4755;Primary schools;Protestant Schools;Total;2020/21;1827;383314
4756;Primary schools;Protestant Schools;Total;2021/22;1811;378534
4757;Primary schools;Protestant Schools;Total;2022/23;1802;376443
4758;Primary schools;Protestant Schools;Total;2023/24;1786;371293
4759;Primary schools;Protestant Schools;Total;2024/25;1770;367517
4760;Primary schools;Protestant Schools;Less than 101 pupils/students;1990/91;613;41850
4761;Primary schools;Protestant Schools;Less than 101 pupils/students;1991/92;645;43782
4762;Primary schools;Protestant Schools;Less than 101 pupils/students;1992/93;638;43787
4763;Primary schools;Protestant Schools;Less than 101 pupils/students;1993/94;603;40692
4764;Primary schools;Protestant Schools;Less than 101 pupils/students;1994/95;552;37256
4765;Primary schools;Protestant Schools;Less than 101 pupils/students;1995/96;482;31993
4766;Primary schools;Protestant Schools;Less than 101 pupils/students;1996/97;452;29968
4767;Primary schools;Protestant Schools;Less than 101 pupils/students;1997/98;418;27966
4768;Primary schools;Protestant Schools;Less than 101 pupils/students;1998/99;396;26528
4769;Primary schools;Protestant Schools;Less than 101 pupils/students;1999/00;395;26443
4770;Primary schools;Protestant Schools;Less than 101 pupils/students;2000/01;387;26186
4771;Primary schools;Protestant Schools;Less than 101 pupils/students;2001/02;404;27363
4772;Primary schools;Protestant Schools;Less than 101 pupils/students;2002/03;417;28061
4773;Primary schools;Protestant Schools;Less than 101 pupils/students;2003/04;401;27037
4774;Primary schools;Protestant Schools;Less than 101 pupils/students;2004/05;404;26799
4775;Primary schools;Protestant Schools;Less than 101 pupils/students;2005/06;382;25939
4776;Primary schools;Protestant Schools;Less than 101 pupils/students;2006/07;381;26008
4777;Primary schools;Protestant Schools;Less than 101 pupils/students;2007/08;391;25849
4778;Primary schools;Protestant Schools;Less than 101 pupils/students;2008/09;403;26532
4779;Primary schools;Protestant Schools;Less than 101 pupils/students;2009/10;419;27827
4780;Primary schools;Protestant Schools;Less than 101 pupils/students;2010/11;427;29200
4781;Primary schools;Protestant Schools;Less than 101 pupils/students;2011/12;438;29628
4782;Primary schools;Protestant Schools;Less than 101 pupils/students;2012/13;424;28773
4783;Primary schools;Protestant Schools;Less than 101 pupils/students;2013/14;421;28575
4784;Primary schools;Protestant Schools;Less than 101 pupils/students;2014/15;401;27695
4785;Primary schools;Protestant Schools;Less than 101 pupils/students;2015/16;375;25834
4786;Primary schools;Protestant Schools;Less than 101 pupils/students;2016/17;366;25146
4787;Primary schools;Protestant Schools;Less than 101 pupils/students;2017/18;353;24404
4788;Primary schools;Protestant Schools;Less than 101 pupils/students;2018/19;347;24368
4789;Primary schools;Protestant Schools;Less than 101 pupils/students;2019/20;346;24426
4790;Primary schools;Protestant Schools;Less than 101 pupils/students;2020/21;348;24787
4791;Primary schools;Protestant Schools;Less than 101 pupils/students;2021/22;342;24380
4792;Primary schools;Protestant Schools;Less than 101 pupils/students;2022/23;342;23962
4793;Primary schools;Protestant Schools;Less than 101 pupils/students;2023/24;336;23660
4794;Primary schools;Protestant Schools;Less than 101 pupils/students;2024/25;330;23541
4795;Primary schools;Protestant Schools;101 to 201 pupils/students;1990/91;1177;174511
4796;Primary schools;Protestant Schools;101 to 201 pupils/students;1991/92;1188;176381
4797;Primary schools;Protestant Schools;101 to 201 pupils/students;1992/93;1153;170862
4798;Primary schools;Protestant Schools;101 to 201 pupils/students;1993/94;1082;160564
4799;Primary schools;Protestant Schools;101 to 201 pupils/students;1994/95;990;148070
4800;Primary schools;Protestant Schools;101 to 201 pupils/students;1995/96;821;124200
4801;Primary schools;Protestant Schools;101 to 201 pupils/students;1996/97;783;119124
4802;Primary schools;Protestant Schools;101 to 201 pupils/students;1997/98;767;117062
4803;Primary schools;Protestant Schools;101 to 201 pupils/students;1998/99;704;107828
4804;Primary schools;Protestant Schools;101 to 201 pupils/students;1999/00;679;103627
4805;Primary schools;Protestant Schools;101 to 201 pupils/students;2000/01;671;102255
4806;Primary schools;Protestant Schools;101 to 201 pupils/students;2001/02;737;111484
4807;Primary schools;Protestant Schools;101 to 201 pupils/students;2002/03;735;111907
4808;Primary schools;Protestant Schools;101 to 201 pupils/students;2003/04;737;112191
4809;Primary schools;Protestant Schools;101 to 201 pupils/students;2004/05;717;108409
4810;Primary schools;Protestant Schools;101 to 201 pupils/students;2005/06;727;109850
4811;Primary schools;Protestant Schools;101 to 201 pupils/students;2006/07;728;110460
4812;Primary schools;Protestant Schools;101 to 201 pupils/students;2007/08;721;109314
4813;Primary schools;Protestant Schools;101 to 201 pupils/students;2008/09;716;109065
4814;Primary schools;Protestant Schools;101 to 201 pupils/students;2009/10;695;106268
4815;Primary schools;Protestant Schools;101 to 201 pupils/students;2010/11;693;107053
4816;Primary schools;Protestant Schools;101 to 201 pupils/students;2011/12;689;106405
4817;Primary schools;Protestant Schools;101 to 201 pupils/students;2012/13;704;109255
4818;Primary schools;Protestant Schools;101 to 201 pupils/students;2013/14;696;107853
4819;Primary schools;Protestant Schools;101 to 201 pupils/students;2014/15;681;104501
4820;Primary schools;Protestant Schools;101 to 201 pupils/students;2015/16;655;99588
4821;Primary schools;Protestant Schools;101 to 201 pupils/students;2016/17;650;98918
4822;Primary schools;Protestant Schools;101 to 201 pupils/students;2017/18;666;101334
4823;Primary schools;Protestant Schools;101 to 201 pupils/students;2018/19;662;101230
4824;Primary schools;Protestant Schools;101 to 201 pupils/students;2019/20;645;97851
4825;Primary schools;Protestant Schools;101 to 201 pupils/students;2020/21;649;98569
4826;Primary schools;Protestant Schools;101 to 201 pupils/students;2021/22;657;100289
4827;Primary schools;Protestant Schools;101 to 201 pupils/students;2022/23;653;100121
4828;Primary schools;Protestant Schools;101 to 201 pupils/students;2023/24;649;99760
4829;Primary schools;Protestant Schools;101 to 201 pupils/students;2024/25;645;99348
4830;Primary schools;Protestant Schools;201 to 501 pupils/students;1990/91;746;198515
4831;Primary schools;Protestant Schools;201 to 501 pupils/students;1991/92;698;186263
4832;Primary schools;Protestant Schools;201 to 501 pupils/students;1992/93;711;189196
4833;Primary schools;Protestant Schools;201 to 501 pupils/students;1993/94;760;202683
4834;Primary schools;Protestant Schools;201 to 501 pupils/students;1994/95;811;218362
4835;Primary schools;Protestant Schools;201 to 501 pupils/students;1995/96;907;249124
4836;Primary schools;Protestant Schools;201 to 501 pupils/students;1996/97;928;258202
4837;Primary schools;Protestant Schools;201 to 501 pupils/students;1997/98;922;257540
4838;Primary schools;Protestant Schools;201 to 501 pupils/students;1998/99;895;251749
4839;Primary schools;Protestant Schools;201 to 501 pupils/students;1999/00;884;249330
4840;Primary schools;Protestant Schools;201 to 501 pupils/students;2000/01;890;251920
4841;Primary schools;Protestant Schools;201 to 501 pupils/students;2001/02;928;263996
4842;Primary schools;Protestant Schools;201 to 501 pupils/students;2002/03;918;263299
4843;Primary schools;Protestant Schools;201 to 501 pupils/students;2003/04;916;263161
4844;Primary schools;Protestant Schools;201 to 501 pupils/students;2004/05;933;268715
4845;Primary schools;Protestant Schools;201 to 501 pupils/students;2005/06;930;268078
4846;Primary schools;Protestant Schools;201 to 501 pupils/students;2006/07;917;264219
4847;Primary schools;Protestant Schools;201 to 501 pupils/students;2007/08;917;264881
4848;Primary schools;Protestant Schools;201 to 501 pupils/students;2008/09;906;262774
4849;Primary schools;Protestant Schools;201 to 501 pupils/students;2009/10;898;260141
4850;Primary schools;Protestant Schools;201 to 501 pupils/students;2010/11;866;250199
4851;Primary schools;Protestant Schools;201 to 501 pupils/students;2011/12;848;243366
4852;Primary schools;Protestant Schools;201 to 501 pupils/students;2012/13;825;238298
4853;Primary schools;Protestant Schools;201 to 501 pupils/students;2013/14;809;235384
4854;Primary schools;Protestant Schools;201 to 501 pupils/students;2014/15;804;233194
4855;Primary schools;Protestant Schools;201 to 501 pupils/students;2015/16;828;239658
4856;Primary schools;Protestant Schools;201 to 501 pupils/students;2016/17;819;238167
4857;Primary schools;Protestant Schools;201 to 501 pupils/students;2017/18;793;232151
4858;Primary schools;Protestant Schools;201 to 501 pupils/students;2018/19;782;229943
4859;Primary schools;Protestant Schools;201 to 501 pupils/students;2019/20;789;230885
4860;Primary schools;Protestant Schools;201 to 501 pupils/students;2020/21;779;228948
4861;Primary schools;Protestant Schools;201 to 501 pupils/students;2021/22;767;226610
4862;Primary schools;Protestant Schools;201 to 501 pupils/students;2022/23;762;225096
4863;Primary schools;Protestant Schools;201 to 501 pupils/students;2023/24;763;225038
4864;Primary schools;Protestant Schools;201 to 501 pupils/students;2024/25;755;220993
4865;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1990/91;9;5091
4866;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1991/92;4;2469
4867;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1992/93;8;4546
4868;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1993/94;7;4048
4869;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1994/95;12;6857
4870;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1995/96;15;8721
4871;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1996/97;19;11083
4872;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1997/98;26;15304
4873;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1998/99;31;18191
4874;Primary schools;Protestant Schools;501 to 1 001 pupils/students;1999/00;32;19321
4875;Primary schools;Protestant Schools;501 to 1 001 pupils/students;2000/01;32;19296
4876;Primary schools;Protestant Schools;501 to 1 001 pupils/students;2001/02;35;20949
4877;Primary schools;Protestant Schools;501 to 1 001 pupils/students;2002/03;34;20319
4878;Primary schools;Protestant Schools;501 to 1 001 pupils/students;2003/04;37;22071
