ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
7846;Total male and female ;Total;Ukrainian;2014 February;5;5;0;0
7847;Total male and female ;Total;Ukrainian;2014 March;30;25;5;0
7848;Total male and female ;Total;Ukrainian;2014 1st Quarter;35;30;5;0
7849;Total male and female ;Total;Ukrainian;2014 April;10;10;0;0
7850;Total male and female ;Total;Ukrainian;2014 May;15;15;0;0
7851;Total male and female ;Total;Ukrainian;2014 June;15;15;0;0
7852;Total male and female ;Total;Ukrainian;2014 2nd Quarter;40;40;0;0
7853;Total male and female ;Total;Ukrainian;2014 July;45;45;0;0
7854;Total male and female ;Total;Ukrainian;2014 August;20;20;0;0
7855;Total male and female ;Total;Ukrainian;2014 September;35;35;5;0
7856;Total male and female ;Total;Ukrainian;2014 3rd Quarter;100;95;5;0
7857;Total male and female ;Total;Ukrainian;2014 October;40;40;0;0
7858;Total male and female ;Total;Ukrainian;2014 November;15;15;0;5
7859;Total male and female ;Total;Ukrainian;2014 December;35;30;5;0
7860;Total male and female ;Total;Ukrainian;2014 4th Quarter;90;80;10;5
7861;Total male and female ;Total;Ukrainian;2014;265;250;20;5
7862;Total male and female ;Total;Ukrainian;2015 January;25;25;0;0
7863;Total male and female ;Total;Ukrainian;2015 February;40;35;10;0
7864;Total male and female ;Total;Ukrainian;2015 March;40;40;0;0
7865;Total male and female ;Total;Ukrainian;2015 1st Quarter;110;95;10;0
7866;Total male and female ;Total;Ukrainian;2015 April;50;45;0;0
7867;Total male and female ;Total;Ukrainian;2015 May;50;50;0;0
7868;Total male and female ;Total;Ukrainian;2015 June;75;70;5;0
7869;Total male and female ;Total;Ukrainian;2015 2nd Quarter;180;170;10;0
7870;Total male and female ;Total;Ukrainian;2015 July;50;45;5;0
7871;Total male and female ;Total;Ukrainian;2015 August;65;65;0;0
7872;Total male and female ;Total;Ukrainian;2015 September;35;35;5;5
7873;Total male and female ;Total;Ukrainian;2015 3rd Quarter;150;140;10;5
7874;Total male and female ;Total;Ukrainian;2015 October;105;100;5;0
7875;Total male and female ;Total;Ukrainian;2015 November;105;105;5;0
7876;Total male and female ;Total;Ukrainian;2015 December;105;105;0;5
7877;Total male and female ;Total;Ukrainian;2015 4th Quarter;315;310;10;5
7878;Total male and female ;Total;Ukrainian;2015;755;715;40;10
7879;Total male and female ;Total;Ukrainian;2016 January;55;55;0;0
7880;Total male and female ;Total;Ukrainian;2016 February;95;95;0;0
7881;Total male and female ;Total;Ukrainian;2016 March;60;55;5;0
7882;Total male and female ;Total;Ukrainian;2016 1st Quarter;215;205;5;0
7883;Total male and female ;Total;Ukrainian;2016 April;15;15;0;0
7884;Total male and female ;Total;Ukrainian;2016 May;10;10;0;0
7885;Total male and female ;Total;Ukrainian;2016 June;20;20;0;0
7886;Total male and female ;Total;Ukrainian;2016 2nd Quarter;45;45;0;0
7887;Total male and female ;Total;Ukrainian;2016 July;25;25;5;0
7888;Total male and female ;Total;Ukrainian;2016 August;10;5;5;0
7889;Total male and female ;Total;Ukrainian;2016 September;15;15;0;0
7890;Total male and female ;Total;Ukrainian;2016 3rd Quarter;55;40;10;0
7891;Total male and female ;Total;Ukrainian;2016 October;10;10;0;0
7892;Total male and female ;Total;Ukrainian;2016 November;10;10;0;0
7893;Total male and female ;Total;Ukrainian;2016 December;10;5;5;0
7894;Total male and female ;Total;Ukrainian;2016 4th Quarter;30;20;5;0
7895;Total male and female ;Total;Ukrainian;2016;340;315;25;0
7896;Total male and female ;Total;Ukrainian;2017 January;15;15;0;0
7897;Total male and female ;Total;Ukrainian;2017 February;10;10;0;0
7898;Total male and female ;Total;Ukrainian;2017 March;15;10;5;0
7899;Total male and female ;Total;Ukrainian;2017 1st Quarter;40;30;10;0
7900;Total male and female ;Total;Ukrainian;2017 April;10;10;0;0
7901;Total male and female ;Total;Ukrainian;2017 May;10;5;5;0
7902;Total male and female ;Total;Ukrainian;2017 June;20;15;0;0
7903;Total male and female ;Total;Ukrainian;2017 2nd Quarter;40;35;5;0
7904;Total male and female ;Total;Ukrainian;2017 July;15;10;5;0
7905;Total male and female ;Total;Ukrainian;2017 August;20;15;5;0
7906;Total male and female ;Total;Ukrainian;2017 September;20;20;0;0
7907;Total male and female ;Total;Ukrainian;2017 3rd Quarter;55;45;10;0
7908;Total male and female ;Total;Ukrainian;2017 October;15;10;5;0
7909;Total male and female ;Total;Ukrainian;2017 November;15;15;0;0
7910;Total male and female ;Total;Ukrainian;2017 December;10;5;5;0
7911;Total male and female ;Total;Ukrainian;2017 4th Quarter;45;30;10;0
7912;Total male and female ;Total;Ukrainian;2017;180;140;40;0
7913;Total male and female ;Total;Ukrainian;2018 January;10;10;0;0
7914;Total male and female ;Total;Ukrainian;2018 February;5;5;0;5
7915;Total male and female ;Total;Ukrainian;2018 March;5;5;0;0
7916;Total male and female ;Total;Ukrainian;2018 1st Quarter;25;25;0;5
7917;Total male and female ;Total;Ukrainian;2018 April;10;10;0;0
7918;Total male and female ;Total;Ukrainian;2018 May;10;10;0;0
7919;Total male and female ;Total;Ukrainian;2018 June;10;10;0;0
7920;Total male and female ;Total;Ukrainian;2018 2nd Quarter;30;30;0;0
7921;Total male and female ;Total;Ukrainian;2018 July;65;60;5;0
7922;Total male and female ;Total;Ukrainian;2018 August;40;30;10;0
7923;Total male and female ;Total;Ukrainian;2018 September;35;30;5;0
7924;Total male and female ;Total;Ukrainian;2018 3rd Quarter;135;115;20;0
7925;Total male and female ;Total;Ukrainian;2018 October;80;80;0;0
7926;Total male and female ;Total;Ukrainian;2018 November;45;45;0;0
7927;Total male and female ;Total;Ukrainian;2018 December;10;5;0;0
7928;Total male and female ;Total;Ukrainian;2018 4th Quarter;135;135;5;0
7929;Total male and female ;Total;Ukrainian;2018;330;305;25;5
7930;Total male and female ;Total;Ukrainian;2019 January;15;10;5;5
7931;Total male and female ;Total;Ukrainian;2019 February;20;15;5;0
7932;Total male and female ;Total;Ukrainian;2019 March;15;10;0;0
7933;Total male and female ;Total;Ukrainian;2019 1st Quarter;50;40;10;5
7934;Total male and female ;Total;Ukrainian;2019 April;15;10;0;0
7935;Total male and female ;Total;Ukrainian;2019 May;25;15;5;0
7936;Total male and female ;Total;Ukrainian;2019 June;10;10;5;0
7937;Total male and female ;Total;Ukrainian;2019 2nd Quarter;50;35;15;0
7938;Total male and female ;Total;Ukrainian;2019 July;5;5;0;0
7939;Total male and female ;Total;Ukrainian;2019 August;5;5;0;0
7940;Total male and female ;Total;Ukrainian;2019 September;20;20;0;0
7941;Total male and female ;Total;Ukrainian;2019 3rd Quarter;30;25;0;0
7942;Total male and female ;Total;Ukrainian;2019 October;10;10;0;0
7943;Total male and female ;Total;Ukrainian;2019 November;10;10;0;0
7944;Total male and female ;Total;Ukrainian;2019 December;15;15;0;0
7945;Total male and female ;Total;Ukrainian;2019 4th Quarter;35;30;0;0
7946;Total male and female ;Total;Ukrainian;2019;160;130;30;5
7947;Total male and female ;Total;Ukrainian;2020 January;5;5;0;0
7948;Total male and female ;Total;Ukrainian;2020 February;10;10;0;0
7949;Total male and female ;Total;Ukrainian;2020 March;10;5;0;0
7950;Total male and female ;Total;Ukrainian;2020 1st Quarter;25;20;5;0
7951;Total male and female ;Total;Ukrainian;2020 April;0;0;0;0
7952;Total male and female ;Total;Ukrainian;2020 May;0;0;0;0
7953;Total male and female ;Total;Ukrainian;2020 June;5;5;0;0
7954;Total male and female ;Total;Ukrainian;2020 2nd Quarter;5;5;0;0
7955;Total male and female ;Total;Ukrainian;2020 July;5;0;0;0
7956;Total male and female ;Total;Ukrainian;2020 August;5;5;0;0
7957;Total male and female ;Total;Ukrainian;2020 September;5;0;0;0
7958;Total male and female ;Total;Ukrainian;2020 3rd Quarter;10;5;5;0
7959;Total male and female ;Total;Ukrainian;2020 October;5;5;0;0
7960;Total male and female ;Total;Ukrainian;2020 November;5;5;0;0
7961;Total male and female ;Total;Ukrainian;2020 December;5;5;0;0
7962;Total male and female ;Total;Ukrainian;2020 4th Quarter;10;10;0;0
7963;Total male and female ;Total;Ukrainian;2020;50;40;10;0
7964;Total male and female ;Total;Ukrainian;2021 January;5;5;0;0
7965;Total male and female ;Total;Ukrainian;2021 February;5;0;0;0
7966;Total male and female ;Total;Ukrainian;2021 March;0;0;0;0
7967;Total male and female ;Total;Ukrainian;2021 1st Quarter;10;5;5;0
7968;Total male and female ;Total;Ukrainian;2021 April;5;0;0;0
7969;Total male and female ;Total;Ukrainian;2021 May;5;5;0;0
7970;Total male and female ;Total;Ukrainian;2021 June;5;0;0;0
7971;Total male and female ;Total;Ukrainian;2021 2nd Quarter;10;10;0;0
7972;Total male and female ;Total;Ukrainian;2021 July;5;5;0;0
7973;Total male and female ;Total;Ukrainian;2021 August;15;15;0;0
7974;Total male and female ;Total;Ukrainian;2021 September;10;10;0;0
7975;Total male and female ;Total;Ukrainian;2021 3rd Quarter;30;30;0;0
7976;Total male and female ;Total;Ukrainian;2021 October;5;5;0;0
7977;Total male and female ;Total;Ukrainian;2021 November;15;15;0;0
7978;Total male and female ;Total;Ukrainian;2021 December;10;5;0;0
7979;Total male and female ;Total;Ukrainian;2021 4th Quarter;30;25;5;0
7980;Total male and female ;Total;Ukrainian;2021;80;70;10;0
7981;Total male and female ;Total;Ukrainian;2022 January;5;5;0;0
7982;Total male and female ;Total;Ukrainian;2022 February;20;15;5;0
7983;Total male and female ;Total;Ukrainian;2022 March;40;35;5;0
7984;Total male and female ;Total;Ukrainian;2022 1st Quarter;70;55;10;0
7985;Total male and female ;Total;Ukrainian;2022 April;10;5;0;0
7986;Total male and female ;Total;Ukrainian;2022 May;205;205;0;0
7987;Total male and female ;Total;Ukrainian;2022 June;115;110;0;0
7988;Total male and female ;Total;Ukrainian;2022 2nd Quarter;325;325;0;0
7989;Total male and female ;Total;Ukrainian;2022 July;105;100;0;0
7990;Total male and female ;Total;Ukrainian;2022 August;120;120;0;0
7991;Total male and female ;Total;Ukrainian;2022 September;120;120;0;0
7992;Total male and female ;Total;Ukrainian;2022 3th Quarter;340;340;0;0
7993;Total male and female ;Total;Ukrainian;2022 October;150;150;0;0
7994;Total male and female ;Total;Ukrainian;2022 November ;145;145;0;0
7995;Total male and female ;Total;Ukrainian;2022 December;50;50;0;0
7996;Total male and female ;Total;Ukrainian;2022 4th Quarter;340;340;0;0
7997;Total male and female ;Total;Ukrainian;2022;1075;1060;15;0
7998;Total male and female ;Total;Ukrainian;2023 January;55;55;0;0
7999;Total male and female ;Total;Ukrainian;2023 February;45;45;0;0
8000;Total male and female ;Total;Ukrainian;2023 March;60;60;0;0
8001;Total male and female ;Total;Ukrainian;2023 1st Quarter;160;160;0;0
8002;Total male and female ;Total;Ukrainian;2023 April;50;50;0;0
8003;Total male and female ;Total;Ukrainian;2023 May;40;40;0;0
8004;Total male and female ;Total;Ukrainian;2023 June;60;60;0;0
8005;Total male and female ;Total;Ukrainian;2023 2nd Quarter;150;150;0;0
8006;Total male and female ;Total;Ukrainian;2023 July;40;40;0;0
8007;Total male and female ;Total;Ukrainian;2023 August;45;45;0;0
8008;Total male and female ;Total;Ukrainian;2023 September;45;45;0;0
8009;Total male and female ;Total;Ukrainian;2023 3rd Quarter;130;130;0;0
8010;Total male and female ;Total;Ukrainian;2023 October;55;55;0;0
8011;Total male and female ;Total;Ukrainian;2023 November;55;55;0;0
8012;Total male and female ;Total;Ukrainian;2023 December;50;50;0;0
8013;Total male and female ;Total;Ukrainian;2023 4th Quarter;160;160;0;0
8014;Total male and female ;Total;Ukrainian;2023;600;600;0;0
8015;Total male and female ;Total;Ukrainian;2024 January;40;40;0;0
8016;Total male and female ;Total;Ukrainian;2024 February;50;50;0;0
8017;Total male and female ;Total;Ukrainian;2024 March;45;45;0;0
8018;Total male and female ;Total;Ukrainian;2024 1st Quarter;135;135;0;0
8019;Total male and female ;Total;Ukrainian;2024 April;25;25;0;0
8020;Total male and female ;Total;Ukrainian;2024 May;55;50;5;0
8021;Total male and female ;Total;Ukrainian;2024 June;35;35;0;0
8022;Total male and female ;Total;Ukrainian;2024 2nd Quarter;115;115;5;0
8023;Total male and female ;Total;Ukrainian;2024 July;50;50;0;0
8024;Total male and female ;Total;Ukrainian;2024 August;45;45;0;0
8025;Total male and female ;Total;Ukrainian;2024 September;45;45;0;0
8026;Total male and female ;Total;Ukrainian;2024 3rd Quarter;140;140;0;0
8027;Total male and female ;Total;Ukrainian;2024 October;25;25;0;0
8028;Total male and female ;Total;Ukrainian;2024 November;10;10;0;0
8029;Total male and female ;Total;Ukrainian;2024 December;5;5;0;0
8030;Total male and female ;Total;Ukrainian;2024 4th Quarter;35;35;0;0
8031;Total male and female ;Total;Ukrainian;2024;430;425;5;0
8032;Total male and female ;Total;Ukrainian;2025 January;10;10;0;0
8033;Total male and female ;Total;Ukrainian;2025 February;15;15;0;0
8034;Total male and female ;Total;Uzbek;2013 January;0;0;0;0
8035;Total male and female ;Total;Uzbek;2013 February;0;0;0;0
8036;Total male and female ;Total;Uzbek;2013 March;5;0;5;0
8037;Total male and female ;Total;Uzbek;2013 1st Quarter;5;0;5;0
8038;Total male and female ;Total;Uzbek;2013 April;0;0;0;0
8039;Total male and female ;Total;Uzbek;2013 May;0;0;0;0
8040;Total male and female ;Total;Uzbek;2013 June;0;0;0;0
8041;Total male and female ;Total;Uzbek;2013 2nd Quarter;0;0;0;0
8042;Total male and female ;Total;Uzbek;2013 July;0;0;0;0
8043;Total male and female ;Total;Uzbek;2013 August;0;0;0;0
8044;Total male and female ;Total;Uzbek;2013 September;5;0;5;0
8045;Total male and female ;Total;Uzbek;2013 3rd Quarter;5;0;5;0
8046;Total male and female ;Total;Uzbek;2013 October;0;0;0;0
8047;Total male and female ;Total;Uzbek;2013 November;0;0;0;0
8048;Total male and female ;Total;Uzbek;2013 December;0;0;0;0
8049;Total male and female ;Total;Uzbek;2013 4th Quarter;0;0;0;0
8050;Total male and female ;Total;Uzbek;2013;15;0;15;0
8051;Total male and female ;Total;Uzbek;2014 January;0;0;0;0
8052;Total male and female ;Total;Uzbek;2014 February;0;0;0;0
8053;Total male and female ;Total;Uzbek;2014 March;5;5;0;0
8054;Total male and female ;Total;Uzbek;2014 1st Quarter;5;5;0;0
8055;Total male and female ;Total;Uzbek;2014 April;0;0;0;0
8056;Total male and female ;Total;Uzbek;2014 May;0;0;0;0
8057;Total male and female ;Total;Uzbek;2014 June;0;0;0;0
8058;Total male and female ;Total;Uzbek;2014 2nd Quarter;0;0;0;0
8059;Total male and female ;Total;Uzbek;2014 July;0;0;0;0
8060;Total male and female ;Total;Uzbek;2014 August;0;0;0;0
8061;Total male and female ;Total;Uzbek;2014 September;5;5;0;0
8062;Total male and female ;Total;Uzbek;2014 3rd Quarter;5;5;0;0
8063;Total male and female ;Total;Uzbek;2014 October;0;0;0;0
8064;Total male and female ;Total;Uzbek;2014 November;0;0;0;0
8065;Total male and female ;Total;Uzbek;2014 December;0;0;0;0
8066;Total male and female ;Total;Uzbek;2014 4th Quarter;0;0;0;0
8067;Total male and female ;Total;Uzbek;2014;10;10;0;0
8068;Total male and female ;Total;Uzbek;2015 January;0;0;0;0
8069;Total male and female ;Total;Uzbek;2015 February;0;0;0;0
8070;Total male and female ;Total;Uzbek;2015 March;0;0;0;0
8071;Total male and female ;Total;Uzbek;2015 1st Quarter;0;0;0;0
8072;Total male and female ;Total;Uzbek;2015 April;0;0;0;0
8073;Total male and female ;Total;Uzbek;2015 May;0;0;0;0
8074;Total male and female ;Total;Uzbek;2015 June;0;0;0;0
8075;Total male and female ;Total;Uzbek;2015 2nd Quarter;0;0;0;0
8076;Total male and female ;Total;Uzbek;2015 July;0;0;0;0
8077;Total male and female ;Total;Uzbek;2015 August;0;0;0;0
8078;Total male and female ;Total;Uzbek;2015 September;0;0;0;0
8079;Total male and female ;Total;Uzbek;2015 3rd Quarter;0;0;0;0
8080;Total male and female ;Total;Uzbek;2015 October;0;0;0;0
8081;Total male and female ;Total;Uzbek;2015 November;0;0;0;0
8082;Total male and female ;Total;Uzbek;2015 December;0;0;0;0
8083;Total male and female ;Total;Uzbek;2015 4th Quarter;0;0;0;0
8084;Total male and female ;Total;Uzbek;2015;5;5;0;0
8085;Total male and female ;Total;Uzbek;2016 January;0;0;0;0
8086;Total male and female ;Total;Uzbek;2016 February;0;0;0;0
8087;Total male and female ;Total;Uzbek;2016 March;0;0;0;0
8088;Total male and female ;Total;Uzbek;2016 1st Quarter;0;0;0;0
8089;Total male and female ;Total;Uzbek;2016 April;0;0;0;0
8090;Total male and female ;Total;Uzbek;2016 May;0;0;0;0
8091;Total male and female ;Total;Uzbek;2016 June;0;0;0;0
8092;Total male and female ;Total;Uzbek;2016 2nd Quarter;0;0;0;0
8093;Total male and female ;Total;Uzbek;2016 July;0;0;0;0
8094;Total male and female ;Total;Uzbek;2016 August;0;0;0;0
8095;Total male and female ;Total;Uzbek;2016 September;0;0;0;0
