ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
1652;Men;45 to 55 years;2004 May;2620;2110;510;3080;2000;1080
1653;Men;45 to 55 years;2004 June;3060;2490;560;2810;1750;1060
1654;Men;45 to 55 years;2004 July;3620;2990;640;3590;2030;1560
1655;Men;45 to 55 years;2004 August;2580;2150;440;2810;1630;1180
1656;Men;45 to 55 years;2004 September;3090;2550;540;3090;2000;1090
1657;Men;45 to 55 years;2004 October;3810;3170;640;3810;2470;1340
1658;Men;45 to 55 years;2004 November;3540;2980;560;2880;1760;1120
1659;Men;45 to 55 years;2004 December;4390;3720;670;2610;1480;1120
1660;Men;45 to 55 years;2004 Annual figure;42910;35770;7130;37470;23290;14180
1661;Men;45 to 55 years;2005 January;4700;4150;560;2740;1610;1130
1662;Men;45 to 55 years;2005 February;4150;3630;520;3280;2060;1230
1663;Men;45 to 55 years;2005 March;3820;3250;570;3950;2540;1410
1664;Men;45 to 55 years;2005 April;3400;2920;480;4140;2960;1180
1665;Men;45 to 55 years;2005 May;2780;2300;480;4130;2480;1650
1666;Men;45 to 55 years;2005 June;3280;2710;580;3670;2460;1210
1667;Men;45 to 55 years;2005 July;2500;2130;380;3090;1990;1100
1668;Men;45 to 55 years;2005 August;2780;2400;380;2750;1730;1020
1669;Men;45 to 55 years;2005 September;3440;2990;440;3990;2840;1150
1670;Men;45 to 55 years;2005 October;2730;2350;380;3240;2320;920
1671;Men;45 to 55 years;2005 November;3050;2640;420;2800;1840;960
1672;Men;45 to 55 years;2005 December;3420;3020;400;2720;1710;1010
1673;Men;45 to 55 years;2005 Annual figure;40050;34480;5570;40490;26540;13950
1674;Men;45 to 55 years;2006 January;3880;3510;360;2990;1920;1080
1675;Men;45 to 55 years;2006 February;4120;3670;450;3320;2300;1030
1676;Men;45 to 55 years;2006 March;3890;3370;520;4240;2860;1380
1677;Men;45 to 55 years;2006 April;2650;2260;390;4390;3230;1160
1678;Men;45 to 55 years;2006 May;2690;2270;430;4100;2900;1200
1679;Men;45 to 55 years;2006 June;2860;2420;440;4100;2720;1390
1680;Men;45 to 55 years;2006 July;2340;2010;330;3230;1960;1270
1681;Men;45 to 55 years;2006 August;2990;2610;380;3690;2310;1370
1682;Men;45 to 55 years;2006 September;2610;2290;320;3910;2640;1270
1683;Men;45 to 55 years;2006 October;2790;2380;410;3820;2500;1330
1684;Men;45 to 55 years;2006 November;3140;2650;490;3850;2330;1520
1685;Men;45 to 55 years;2006 December;2890;2490;410;2740;1510;1220
1686;Men;45 to 55 years;2006 Annual figure;36840;31920;4920;44380;29170;15210
1687;Men;45 to 55 years;2007 January;4000;3510;490;3320;1830;1490
1688;Men;45 to 55 years;2007 February;3230;2770;460;3920;2330;1590
1689;Men;45 to 55 years;2007 March;3300;2750;550;5010;3010;2000
1690;Men;45 to 55 years;2007 April;2330;1940;390;4310;2730;1580
1691;Men;45 to 55 years;2007 May;2370;1990;380;4080;2500;1590
1692;Men;45 to 55 years;2007 June;2080;1760;320;3290;1930;1360
1693;Men;45 to 55 years;2007 July;2220;1880;330;2950;1710;1240
1694;Men;45 to 55 years;2007 August;2690;2360;330;3440;1960;1480
1695;Men;45 to 55 years;2007 September;2250;1920;330;3440;2210;1230
1696;Men;45 to 55 years;2007 October;2430;2000;430;3110;1870;1240
1697;Men;45 to 55 years;2007 November;3210;2770;440;3480;1890;1590
1698;Men;45 to 55 years;2007 December;2570;2320;260;2260;1140;1130
1699;Men;45 to 55 years;2007 Annual figure;32670;27970;4700;42610;25100;17520
1700;Men;45 to 55 years;2008 January;4360;3960;410;3520;1910;1610
1701;Men;45 to 55 years;2008 February;2530;2200;330;3290;1980;1300
1702;Men;45 to 55 years;2008 March;2210;1970;250;3210;1990;1210
1703;Men;45 to 55 years;2008 April;2370;2040;330;3540;2190;1350
1704;Men;45 to 55 years;2008 May;2310;1990;320;3220;1910;1310
1705;Men;45 to 55 years;2008 June;2180;1880;290;2620;1600;1010
1706;Men;45 to 55 years;2008 July;2660;2340;320;2870;1560;1310
1707;Men;45 to 55 years;2008 August;2290;2050;240;2380;1470;920
1708;Men;45 to 55 years;2008 September;2300;2020;280;2820;1810;1010
1709;Men;45 to 55 years;2008 October;2900;2540;370;2760;1650;1110
1710;Men;45 to 55 years;2008 November;2820;2520;310;2190;1280;910
1711;Men;45 to 55 years;2008 December;3490;3150;340;1970;990;980
1712;Men;45 to 55 years;2008 Annual figure;32420;28650;3770;34370;20340;14030
1713;Men;45 to 55 years;2009 January;5060;4710;360;2680;1460;1220
1714;Men;45 to 55 years;2009 February;4110;3750;360;2730;1460;1270
1715;Men;45 to 55 years;2009 March;4160;3830;330;3050;1590;1460
1716;Men;45 to 55 years;2009 April;4840;4450;390;3780;2110;1680
1717;Men;45 to 55 years;2009 May;3890;3640;260;2870;1650;1230
1718;Men;45 to 55 years;2009 June;4490;4220;270;2910;1640;1270
1719;Men;45 to 55 years;2009 July;5070;4770;300;3340;1690;1650
1720;Men;45 to 55 years;2009 August;4420;4190;230;2820;1550;1270
1721;Men;45 to 55 years;2009 September;4570;4350;230;3580;2230;1350
1722;Men;45 to 55 years;2009 October;5500;5160;340;3860;2370;1490
1723;Men;45 to 55 years;2009 November;4840;4520;320;3120;1780;1340
1724;Men;45 to 55 years;2009 December;5730;5460;270;3110;1530;1580
1725;Men;45 to 55 years;2009 Annual figure;56680;53030;3650;37860;21040;16820
1726;Men;45 to 55 years;2010 January;6580;6280;300;3640;2080;1560
1727;Men;55 to 65 years;1998 January;2390;2210;190;2190;440;1750
1728;Men;55 to 65 years;1998 February;1690;1500;180;1720;440;1290
1729;Men;55 to 65 years;1998 March;1310;1150;160;2070;690;1370
1730;Men;55 to 65 years;1998 April;1420;1200;220;2630;1100;1530
1731;Men;55 to 65 years;1998 May;1120;960;170;2090;700;1390
1732;Men;55 to 65 years;1998 June;1330;1170;160;2390;590;1800
1733;Men;55 to 65 years;1998 July;1890;1660;230;2440;500;1950
1734;Men;55 to 65 years;1998 August;1330;1180;150;2040;480;1560
1735;Men;55 to 65 years;1998 September;1090;940;150;1740;430;1310
1736;Men;55 to 65 years;1998 October;1460;1230;220;2250;530;1720
1737;Men;55 to 65 years;1998 November;1630;1450;180;1730;360;1370
1738;Men;55 to 65 years;1998 December;1840;1660;180;1930;300;1620
1739;Men;55 to 65 years;1998 Annual figure;18480;16310;2180;25200;6560;18640
1740;Men;55 to 65 years;1999 January;2180;1970;210;2770;410;2360
1741;Men;55 to 65 years;1999 February;1350;1190;160;2070;520;1550
1742;Men;55 to 65 years;1999 March;1420;1200;220;2960;1050;1910
1743;Men;55 to 65 years;1999 April;920;780;140;2490;950;1540
1744;Men;55 to 65 years;1999 May;1290;1090;200;2360;510;1840
1745;Men;55 to 65 years;1999 June;1090;950;150;2260;480;1780
1746;Men;55 to 65 years;1999 July;1150;980;160;1990;330;1660
1747;Men;55 to 65 years;1999 August;920;760;150;1910;360;1550
1748;Men;55 to 65 years;1999 September;1200;1000;200;2090;500;1590
1749;Men;55 to 65 years;1999 October;1210;1050;160;1840;450;1390
1750;Men;55 to 65 years;1999 November;1370;1210;160;1760;360;1390
1751;Men;55 to 65 years;1999 December;1280;1140;140;1720;310;1410
1752;Men;55 to 65 years;1999 Annual figure;15370;13320;2050;26200;6240;19970
1753;Men;55 to 65 years;2000 January;1850;1640;220;2010;370;1640
1754;Men;55 to 65 years;2000 February;1370;1200;170;1800;470;1330
1755;Men;55 to 65 years;2000 March;1280;1060;220;2260;820;1450
1756;Men;55 to 65 years;2000 April;980;790;190;1950;800;1150
1757;Men;55 to 65 years;2000 May;1080;910;170;1700;540;1160
1758;Men;55 to 65 years;2000 June;1090;930;160;1720;440;1290
1759;Men;55 to 65 years;2000 July;1250;1000;240;1550;330;1220
1760;Men;55 to 65 years;2000 August;1070;880;190;1430;360;1070
1761;Men;55 to 65 years;2000 September;940;780;160;1330;400;930
1762;Men;55 to 65 years;2000 October;1170;970;200;1500;410;1090
1763;Men;55 to 65 years;2000 November;1540;1320;220;1560;370;1190
1764;Men;55 to 65 years;2000 December;980;850;130;1270;240;1030
1765;Men;55 to 65 years;2000 Annual figure;14580;12320;2260;20080;5540;14540
1766;Men;55 to 65 years;2001 January;1580;1380;200;1400;290;1110
1767;Men;55 to 65 years;2001 February;1320;1140;180;1420;360;1060
1768;Men;55 to 65 years;2001 March;1590;1320;270;2410;740;1660
1769;Men;55 to 65 years;2001 April;1050;840;210;2110;770;1330
1770;Men;55 to 65 years;2001 May;1120;930;190;1930;500;1430
1771;Men;55 to 65 years;2001 June;930;780;150;1630;300;1330
1772;Men;55 to 65 years;2001 July;940;780;170;1360;320;1040
1773;Men;55 to 65 years;2001 August;1000;820;190;1350;330;1020
1774;Men;55 to 65 years;2001 September;930;770;160;1240;370;870
1775;Men;55 to 65 years;2001 October;1050;860;190;1320;370;940
1776;Men;55 to 65 years;2001 November;1450;1230;220;1540;330;1220
1777;Men;55 to 65 years;2001 December;900;790;110;1750;190;1550
1778;Men;55 to 65 years;2001 Annual figure;13860;11620;2240;19440;4880;14560
1779;Men;55 to 65 years;2002 January;1980;1730;250;1770;300;1470
1780;Men;55 to 65 years;2002 February;1370;1190;180;1220;340;880
1781;Men;55 to 65 years;2002 March;1350;1160;190;1550;650;900
1782;Men;55 to 65 years;2002 April;1500;1290;210;1650;790;870
1783;Men;55 to 65 years;2002 May;1490;1250;240;1580;590;990
1784;Men;55 to 65 years;2002 June;1260;1070;180;1320;480;840
1785;Men;55 to 65 years;2002 July;1180;1020;170;1440;340;1100
1786;Men;55 to 65 years;2002 August;1340;1150;200;1680;360;1320
1787;Men;55 to 65 years;2002 September;1270;1090;180;1140;390;760
1788;Men;55 to 65 years;2002 October;1630;1410;220;1260;420;840
1789;Men;55 to 65 years;2002 November;1780;1550;220;1060;270;790
1790;Men;55 to 65 years;2002 December;1400;1240;160;1010;220;780
1791;Men;55 to 65 years;2002 Annual figure;17540;15150;2390;16670;5130;11530
1792;Men;55 to 65 years;2003 January;2530;2180;350;1430;340;1090
1793;Men;55 to 65 years;2003 February;1920;1650;270;1260;400;860
1794;Men;55 to 65 years;2003 March;1710;1460;250;1400;590;810
1795;Men;55 to 65 years;2003 April;1670;1410;260;1540;720;820
1796;Men;55 to 65 years;2003 May;1810;1570;240;1620;680;950
1797;Men;55 to 65 years;2003 June;1490;1270;220;1160;400;760
1798;Men;55 to 65 years;2003 July;1970;1690;280;1430;450;990
1799;Men;55 to 65 years;2003 August;1350;1160;190;1090;390;710
1800;Men;55 to 65 years;2003 September;1900;1640;260;1270;380;890
1801;Men;55 to 65 years;2003 October;2050;1790;260;1500;500;1000
1802;Men;55 to 65 years;2003 November;2000;1640;350;1180;290;890
1803;Men;55 to 65 years;2003 December;1800;1460;340;1140;280;870
1804;Men;55 to 65 years;2003 Annual figure;22180;18910;3280;16020;5400;10620
1805;Men;55 to 65 years;2004 January;2380;2010;370;1330;320;1010
1806;Men;55 to 65 years;2004 February;1910;1530;380;1560;490;1070
1807;Men;55 to 65 years;2004 March;1800;1390;410;1750;690;1050
1808;Men;55 to 65 years;2004 April;1970;1540;420;2110;950;1160
1809;Men;55 to 65 years;2004 May;1360;1070;290;1570;620;940
1810;Men;55 to 65 years;2004 June;1740;1340;410;1430;540;890
1811;Men;55 to 65 years;2004 July;1970;1550;410;2050;660;1390
1812;Men;55 to 65 years;2004 August;1230;970;260;1590;590;990
1813;Men;55 to 65 years;2004 September;1500;1200;300;1450;550;910
1814;Men;55 to 65 years;2004 October;1860;1450;410;1880;690;1190
1815;Men;55 to 65 years;2004 November;1730;1430;310;1420;480;940
1816;Men;55 to 65 years;2004 December;2230;1850;380;1500;400;1090
1817;Men;55 to 65 years;2004 Annual figure;21660;17310;4340;19620;6980;12650
1818;Men;55 to 65 years;2005 January;2330;1970;360;1560;420;1130
1819;Men;55 to 65 years;2005 February;2040;1700;340;1960;740;1220
1820;Men;55 to 65 years;2005 March;2150;1810;340;1980;770;1210
1821;Men;55 to 65 years;2005 April;1900;1550;350;2260;1160;1100
1822;Men;55 to 65 years;2005 May;1420;1160;260;2370;830;1540
1823;Men;55 to 65 years;2005 June;1750;1400;350;1810;820;990
1824;Men;55 to 65 years;2005 July;1270;1030;240;1470;620;850
1825;Men;55 to 65 years;2005 August;1270;1040;230;1360;510;840
1826;Men;55 to 65 years;2005 September;1630;1370;260;1870;890;980
1827;Men;55 to 65 years;2005 October;1370;1130;240;1620;770;850
1828;Men;55 to 65 years;2005 November;1530;1270;260;1400;560;840
1829;Men;55 to 65 years;2005 December;1880;1630;250;1410;510;900
1830;Men;55 to 65 years;2005 Annual figure;20510;17050;3460;21050;8600;12460
1831;Men;55 to 65 years;2006 January;1820;1620;200;1500;580;920
1832;Men;55 to 65 years;2006 February;1920;1640;280;1580;670;910
1833;Men;55 to 65 years;2006 March;1840;1520;310;1960;880;1080
1834;Men;55 to 65 years;2006 April;1360;1120;240;2080;1230;850
1835;Men;55 to 65 years;2006 May;1360;1130;220;1890;1060;830
1836;Men;55 to 65 years;2006 June;1370;1130;250;1890;870;1020
1837;Men;55 to 65 years;2006 July;1260;1030;230;1480;660;820
1838;Men;55 to 65 years;2006 August;1530;1310;220;1800;780;1020
1839;Men;55 to 65 years;2006 September;1600;1360;230;1740;960;780
1840;Men;55 to 65 years;2006 October;1510;1290;220;1880;890;980
1841;Men;55 to 65 years;2006 November;1580;1300;270;1900;840;1060
1842;Men;55 to 65 years;2006 December;1420;1200;210;1410;540;860
1843;Men;55 to 65 years;2006 Annual figure;18540;15650;2890;21110;9970;11140
1844;Men;55 to 65 years;2007 January;1780;1560;220;1620;650;970
1845;Men;55 to 65 years;2007 February;1540;1280;260;1870;910;960
1846;Men;55 to 65 years;2007 March;1570;1270;290;2540;1240;1300
1847;Men;55 to 65 years;2007 April;1110;860;250;2220;1190;1030
1848;Men;55 to 65 years;2007 May;1180;950;230;2120;1060;1060
1849;Men;55 to 65 years;2007 June;1060;820;240;1630;790;840
1850;Men;55 to 65 years;2007 July;1070;860;210;1550;780;770
1851;Men;55 to 65 years;2007 August;1290;1090;200;1850;940;910
1852;Men;55 to 65 years;2007 September;1200;990;210;2110;990;1120
1853;Men;55 to 65 years;2007 October;1420;1130;290;1800;800;990
1854;Men;55 to 65 years;2007 November;1650;1430;230;2160;860;1300
1855;Men;55 to 65 years;2007 December;1380;1210;160;1610;540;1070
1856;Men;55 to 65 years;2007 Annual figure;16240;13460;2780;23070;10740;12330
1857;Men;55 to 65 years;2008 January;2310;2080;230;2480;930;1540
1858;Men;55 to 65 years;2008 February;1330;1140;190;2150;890;1270
1859;Men;55 to 65 years;2008 March;1140;960;170;2300;1010;1290
1860;Men;55 to 65 years;2008 April;1310;1120;200;2390;1100;1290
1861;Men;55 to 65 years;2008 May;1150;970;180;2230;900;1330
1862;Men;55 to 65 years;2008 June;1130;970;160;2020;770;1240
1863;Men;55 to 65 years;2008 July;1470;1270;200;2240;760;1480
1864;Men;55 to 65 years;2008 August;1190;1050;140;1820;700;1120
1865;Men;55 to 65 years;2008 September;1130;970;170;2080;850;1230
1866;Men;55 to 65 years;2008 October;1620;1390;230;2310;830;1480
1867;Men;55 to 65 years;2008 November;1460;1290;170;1790;600;1190
1868;Men;55 to 65 years;2008 December;1670;1500;170;1670;410;1250
1869;Men;55 to 65 years;2008 Annual figure;16900;14700;2200;25470;9750;15720
1870;Men;55 to 65 years;2009 January;2700;2470;230;2260;590;1680
1871;Men;55 to 65 years;2009 February;2100;1890;200;1940;600;1340
1872;Men;55 to 65 years;2009 March;2150;1950;210;2220;750;1480
1873;Men;55 to 65 years;2009 April;2370;2120;250;2700;1020;1680
1874;Men;55 to 65 years;2009 May;1990;1820;170;2020;690;1340
1875;Men;55 to 65 years;2009 June;2310;2150;160;1920;610;1310
1876;Men;55 to 65 years;2009 July;2590;2410;170;2310;670;1640
1877;Men;55 to 65 years;2009 August;2250;2080;180;2000;630;1380
1878;Men;55 to 65 years;2009 September;2410;2250;160;2290;900;1390
1879;Men;55 to 65 years;2009 October;3100;2870;230;2320;850;1470
1880;Men;55 to 65 years;2009 November;2620;2440;170;1930;590;1340
1881;Men;55 to 65 years;2009 December;3160;2910;250;2070;510;1560
1882;Men;55 to 65 years;2009 Annual figure;29750;27360;2390;26000;8390;17600
1883;Men;55 to 65 years;2010 January;3490;3290;190;2370;620;1750
1884;Women;15 to 65 years;1998 January;17570;16370;1200;16710;8230;8470
1885;Women;15 to 65 years;1998 February;15400;14010;1390;14900;9090;5810
1886;Women;15 to 65 years;1998 March;12500;11350;1150;15070;8770;6300
1887;Women;15 to 65 years;1998 April;14100;12290;1810;19640;11600;8040
1888;Women;15 to 65 years;1998 May;11400;9920;1480;14840;7940;6900
1889;Women;15 to 65 years;1998 June;11250;9830;1410;13830;7100;6730
1890;Women;15 to 65 years;1998 July;13990;12360;1630;15770;7520;8250
1891;Women;15 to 65 years;1998 August;10600;9510;1090;11790;5860;5930
1892;Women;15 to 65 years;1998 September;11160;9880;1280;14380;8570;5800
1893;Women;15 to 65 years;1998 October;13480;11900;1580;17080;9660;7410
1894;Women;15 to 65 years;1998 November;11870;10660;1220;13130;6740;6400
1895;Women;15 to 65 years;1998 December;13500;12190;1310;12500;5920;6580
1896;Women;15 to 65 years;1998 Annual figure;156820;140270;16550;179620;96990;82620
1897;Women;15 to 65 years;1999 January;12640;11420;1220;13430;6400;7030
1898;Women;15 to 65 years;1999 February;11270;10050;1220;12980;7100;5890
1899;Women;15 to 65 years;1999 March;13580;11900;1680;16550;9450;7100
1900;Women;15 to 65 years;1999 April;9030;7860;1170;13000;7580;5430
1901;Women;15 to 65 years;1999 May;8110;7080;1030;11940;6150;5790
1902;Women;15 to 65 years;1999 June;9360;8180;1180;12640;6460;6180
1903;Women;15 to 65 years;1999 July;9790;8580;1210;9950;4680;5260
1904;Women;15 to 65 years;1999 August;7830;6950;880;8860;4430;4420
1905;Women;15 to 65 years;1999 September;10340;9050;1300;13750;7900;5850
1906;Women;15 to 65 years;1999 October;9220;8060;1170;11350;6190;5160
1907;Women;15 to 65 years;1999 November;10060;8900;1160;10850;5530;5330
1908;Women;15 to 65 years;1999 December;8840;7730;1110;10830;5020;5810
1909;Women;15 to 65 years;1999 Annual figure;120080;105760;14320;146130;76890;69240
1910;Women;15 to 65 years;2000 January;11190;9850;1340;10240;5040;5200
1911;Women;15 to 65 years;2000 February;9890;8610;1280;10810;5820;4980
1912;Women;15 to 65 years;2000 March;10810;9330;1480;12420;6750;5670
1913;Women;15 to 65 years;2000 April;8000;6740;1260;11300;6080;5220
1914;Women;15 to 65 years;2000 May;7650;6580;1070;10840;5650;5190
1915;Women;15 to 65 years;2000 June;8270;6750;1520;11190;5170;6020
1916;Women;15 to 65 years;2000 July;9410;7810;1600;9860;3950;5910
1917;Women;15 to 65 years;2000 August;8410;7240;1170;9360;4600;4760
1918;Women;15 to 65 years;2000 September;7190;6110;1080;10090;5500;4590
1919;Women;15 to 65 years;2000 October;8470;7060;1410;10200;5190;5010
1920;Women;15 to 65 years;2000 November;11140;9290;1840;10790;5350;5440
1921;Women;15 to 65 years;2000 December;6390;5400;990;8230;3710;4530
1922;Women;15 to 65 years;2000 Annual figure;106810;90780;16040;125330;62810;62530
1923;Women;15 to 65 years;2001 January;8580;7400;1180;8850;4110;4740
1924;Women;15 to 65 years;2001 February;8570;7420;1150;8910;4470;4440
1925;Women;15 to 65 years;2001 March;10780;8960;1820;12660;5970;6700
1926;Women;15 to 65 years;2001 April;7900;6440;1460;10230;5360;4870
1927;Women;15 to 65 years;2001 May;8610;7110;1500;10460;5250;5200
1928;Women;15 to 65 years;2001 June;7460;6180;1280;8420;3840;4580
1929;Women;15 to 65 years;2001 July;7860;6170;1690;8900;3750;5150
1930;Women;15 to 65 years;2001 August;7170;6110;1060;7840;3510;4340
1931;Women;15 to 65 years;2001 September;7270;6060;1210;9440;4880;4560
1932;Women;15 to 65 years;2001 October;8350;7000;1350;9340;4720;4620
1933;Women;15 to 65 years;2001 November;10470;8850;1620;10760;5070;5690
1934;Women;15 to 65 years;2001 December;6170;5230;940;8060;3220;4840
1935;Women;15 to 65 years;2001 Annual figure;99180;82940;16240;113870;54130;59740
1936;Women;15 to 65 years;2002 January;12370;10800;1570;10450;4580;5870
1937;Women;15 to 65 years;2002 February;9440;8150;1290;9290;4520;4770
1938;Women;15 to 65 years;2002 March;9830;8460;1370;10050;4980;5070
1939;Women;15 to 65 years;2002 April;9920;8610;1300;10200;5430;4780
1940;Women;15 to 65 years;2002 May;11070;9490;1590;11280;5810;5470
1941;Women;15 to 65 years;2002 June;9920;8560;1360;9750;4840;4910
1942;Women;15 to 65 years;2002 July;9280;7970;1310;9370;4420;4950
1943;Women;15 to 65 years;2002 August;10480;9050;1430;9960;4580;5370
1944;Women;15 to 65 years;2002 September;9730;8480;1250;9980;5340;4640
1945;Women;15 to 65 years;2002 October;12890;11150;1750;12810;6460;6350
1946;Women;15 to 65 years;2002 November;12010;10330;1680;9320;4440;4880
1947;Women;15 to 65 years;2002 December;8740;7390;1350;8520;3960;4560
1948;Women;15 to 65 years;2002 Annual figure;125680;108450;17240;120990;59370;61620
