ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
208;Lorries and road tractors;1999;2005;684.8;634.3;50.5;940.5;634.3;306.1;69500.0;46877.0;22624.0;13532.0
209;Lorries and road tractors;1999;2006;568.6;529.1;39.5;747.0;529.1;217.9;62610.0;44350.0;18260.0;11931.0
210;Lorries and road tractors;1999;2007;449.5;422.1;27.3;563.2;422.1;141.1;54189.0;40614.0;13575.0;10394.0
211;Lorries and road tractors;1999;2008;360.0;342.3;17.8;431.0;342.3;88.7;47917.0;38056.0;9861.0;8994.0
212;Lorries and road tractors;1999;2009;255.8;246.1;9.6;292.5;246.1;46.4;38188.0;32133.0;6055.0;7660.0
213;Lorries and road tractors;1999;2010;173.7;168.7;5.0;192.2;168.7;23.4;30557.0;26830.0;3727.0;6289.0
214;Lorries and road tractors;1999;2011;125.7;121.1;4.6;143.8;121.1;22.7;28250.0;23797.0;4453.0;5090.0
215;Lorries and road tractors;1999;2012;90.9;87.2;3.7;104.5;87.2;17.3;24469.0;20410.0;4059.0;4271.0
216;Lorries and road tractors;1999;2013;63.1;59.8;3.4;76.1;59.8;16.3;21121.0;16599.0;4521.0;3602.0
217;Lorries and road tractors;1999;2014;46.8;43.8;3.0;57.7;43.8;13.9;18503.0;14058.0;4445.0;3116.0
218;Lorries and road tractors;1999;2015;38.4;36.2;2.2;45.2;36.2;9.0;16380.0;13109.0;3272.0;2758.0
219;Lorries and road tractors;1999;2016;30.5;28.5;2.0;35.4;28.5;6.9;14938.0;12019.0;2920.0;2373.0
220;Lorries and road tractors;1999;2017;22.7;21.3;1.4;25.7;21.3;4.5;12245.0;10125.0;2120.0;2101.0
221;Lorries and road tractors;2000;2001;951.8;828.3;123.6;1653.3;828.3;825.1;102495.0;51345.0;51150.0;16131.0
222;Lorries and road tractors;2000;2002;946.0;835.8;110.2;1564.3;835.8;728.4;97092.0;51881.0;45212.0;16111.0
223;Lorries and road tractors;2000;2003;917.1;825.0;92.1;1455.2;825.0;630.1;90461.0;51288.0;39173.0;16086.0
224;Lorries and road tractors;2000;2004;878.8;796.2;82.6;1326.4;796.2;530.2;84343.0;50630.0;33713.0;15726.0
225;Lorries and road tractors;2000;2005;811.5;740.6;70.9;1170.2;740.6;429.6;78169.0;49471.0;28698.0;14970.0
226;Lorries and road tractors;2000;2006;701.5;643.9;57.6;961.7;643.9;317.8;70124.0;46949.0;23175.0;13715.0
227;Lorries and road tractors;2000;2007;586.0;543.1;42.9;764.6;543.1;221.5;62849.0;44641.0;18208.0;12165.0
228;Lorries and road tractors;2000;2008;467.8;439.5;28.3;581.1;439.5;141.6;54168.0;40965.0;13203.0;10728.0
229;Lorries and road tractors;2000;2009;338.0;321.7;16.3;400.3;321.7;78.6;42966.0;34532.0;8434.0;9316.0
230;Lorries and road tractors;2000;2010;230.2;223.4;6.8;255.1;223.4;31.7;34693.0;30381.0;4312.0;7353.0
231;Lorries and road tractors;2000;2011;175.8;169.3;6.5;201.3;169.3;32.0;33024.0;27774.0;5250.0;6097.0
232;Lorries and road tractors;2000;2012;122.8;117.8;5.0;141.1;117.8;23.3;27620.0;23061.0;4560.0;5110.0
233;Lorries and road tractors;2000;2013;83.2;78.7;4.5;100.5;78.7;21.8;23258.0;18214.0;5044.0;4323.0
234;Lorries and road tractors;2000;2014;59.7;55.9;3.9;73.7;55.9;17.9;20279.0;15367.0;4912.0;3635.0
235;Lorries and road tractors;2000;2015;49.3;46.4;2.9;58.0;46.4;11.6;17973.0;14375.0;3599.0;3228.0
236;Lorries and road tractors;2000;2016;39.0;36.4;2.7;45.5;36.4;9.1;16350.0;13064.0;3285.0;2784.0
237;Lorries and road tractors;2000;2017;27.9;26.1;1.8;31.8;26.1;5.7;13051.0;10711.0;2340.0;2440.0
238;Lorries and road tractors;2001;2001;441.1;383.9;57.2;765.5;383.9;381.6;49059.0;24604.0;24455.0;15603.0
239;Lorries and road tractors;2001;2002;948.1;820.7;127.4;1663.2;820.7;842.5;104447.0;51537.0;52910.0;15924.0
240;Lorries and road tractors;2001;2003;959.5;848.4;111.1;1608.9;848.4;760.5;100600.0;53045.0;47555.0;15993.0
241;Lorries and road tractors;2001;2004;950.8;847.2;103.6;1512.3;847.2;665.1;94717.0;53062.0;41655.0;15966.0
242;Lorries and road tractors;2001;2005;908.2;816.3;91.9;1373.5;816.3;557.2;88595.0;52657.0;35938.0;15503.0
243;Lorries and road tractors;2001;2006;828.1;748.0;80.0;1190.0;748.0;442.0;80606.0;50669.0;29937.0;14763.0
244;Lorries and road tractors;2001;2007;708.2;646.4;61.9;965.6;646.4;319.2;72127.0;48285.0;23842.0;13387.0
245;Lorries and road tractors;2001;2008;589.9;547.0;43.0;761.7;547.0;214.8;62380.0;44792.0;17588.0;12211.0
246;Lorries and road tractors;2001;2009;450.1;421.8;28.2;558.1;421.8;136.3;51528.0;38946.0;12582.0;10831.0
247;Lorries and road tractors;2001;2010;335.7;321.8;13.9;386.8;321.8;65.1;44263.0;36818.0;7446.0;8739.0
248;Lorries and road tractors;2001;2011;250.7;240.9;9.8;289.2;240.9;48.3;39516.0;32923.0;6594.0;7318.0
249;Lorries and road tractors;2001;2012;176.8;169.2;7.6;204.7;169.2;35.5;33172.0;27422.0;5750.0;6170.0
250;Lorries and road tractors;2001;2013;125.2;118.1;7.1;152.6;118.1;34.4;29123.0;22551.0;6573.0;5239.0
251;Lorries and road tractors;2001;2014;92.4;86.2;6.1;114.6;86.2;28.4;25637.0;19289.0;6348.0;4470.0
252;Lorries and road tractors;2001;2015;71.9;67.6;4.4;85.1;67.6;17.5;22160.0;17596.0;4564.0;3839.0
253;Lorries and road tractors;2001;2016;53.5;49.8;3.7;62.5;49.8;12.7;18307.0;14600.0;3707.0;3413.0
254;Lorries and road tractors;2001;2017;38.5;36.0;2.5;44.0;36.0;7.9;14878.0;12191.0;2687.0;2955.0
255;Lorries and road tractors;2002;2001;;;;;;;;;;
256;Lorries and road tractors;2002;2002;428.6;370.2;58.3;755.9;370.2;385.7;58796.0;28794.0;30002.0;12857.0
257;Lorries and road tractors;2002;2003;742.7;644.9;97.8;1314.2;644.9;669.3;103407.0;50744.0;52663.0;12709.0
258;Lorries and road tractors;2002;2004;758.9;665.6;93.3;1264.6;665.6;599.1;99108.0;52161.0;46948.0;12760.0
259;Lorries and road tractors;2002;2005;754.2;667.6;86.6;1192.8;667.6;525.2;94007.0;52615.0;41392.0;12688.0
260;Lorries and road tractors;2002;2006;722.8;642.7;80.1;1084.8;642.7;442.1;87382.0;51770.0;35612.0;12415.0
261;Lorries and road tractors;2002;2007;642.1;576.7;65.5;914.5;576.7;337.8;78258.0;49347.0;28910.0;11686.0
262;Lorries and road tractors;2002;2008;539.2;490.3;49.0;734.9;490.3;244.7;68795.0;45891.0;22904.0;10683.0
263;Lorries and road tractors;2002;2009;456.4;423.0;33.5;584.4;423.0;161.4;59558.0;43106.0;16452.0;9812.0
264;Lorries and road tractors;2002;2010;367.3;346.7;20.6;443.2;346.7;96.4;52496.0;41071.0;11425.0;8442.0
265;Lorries and road tractors;2002;2011;278.4;264.3;14.1;333.9;264.3;69.6;46112.0;36498.0;9614.0;7242.0
266;Lorries and road tractors;2002;2012;201.1;192.3;8.8;233.3;192.3;41.0;38313.0;31581.0;6732.0;6090.0
267;Lorries and road tractors;2002;2013;136.9;128.8;8.1;167.9;128.8;39.1;33299.0;25550.0;7748.0;5042.0
268;Lorries and road tractors;2002;2014;101.0;94.0;7.0;126.2;94.0;32.2;29339.0;21857.0;7482.0;4302.0
269;Lorries and road tractors;2002;2015;80.6;75.6;5.0;95.8;75.6;20.2;25554.0;20172.0;5382.0;3748.0
270;Lorries and road tractors;2002;2016;61.2;56.8;4.4;71.9;56.8;15.1;21972.0;17354.0;4618.0;3273.0
271;Lorries and road tractors;2002;2017;46.2;43.0;3.2;53.3;43.0;10.4;18007.0;14508.0;3499.0;2962.0
272;Lorries and road tractors;2003;2001;;;;;;;;;;
273;Lorries and road tractors;2003;2002;;;;;;;;;;
274;Lorries and road tractors;2003;2003;424.4;366.5;57.8;762.4;366.5;395.9;63231.0;30395.0;32836.0;12058.0
275;Lorries and road tractors;2003;2004;703.4;603.6;99.7;1244.1;603.6;640.4;105005.0;50949.0;54055.0;11848.0
276;Lorries and road tractors;2003;2005;715.2;620.6;94.6;1193.9;620.6;573.3;100370.0;52176.0;48194.0;11895.0
277;Lorries and road tractors;2003;2006;717.2;625.8;91.4;1130.6;625.8;504.9;95124.0;52648.0;42477.0;11886.0
278;Lorries and road tractors;2003;2007;681.5;600.0;81.5;1020.4;600.0;420.4;88416.0;51990.0;36426.0;11541.0
279;Lorries and road tractors;2003;2008;593.1;529.5;63.5;846.9;529.5;317.4;77424.0;48407.0;29017.0;10939.0
280;Lorries and road tractors;2003;2009;519.1;469.2;49.9;710.0;469.2;240.8;68453.0;45235.0;23218.0;10372.0
281;Lorries and road tractors;2003;2010;424.8;390.6;34.2;550.8;390.6;160.2;60424.0;42852.0;17572.0;9115.0
282;Lorries and road tractors;2003;2011;334.4;311.3;23.1;425.1;311.3;113.8;54537.0;39936.0;14601.0;7794.0
283;Lorries and road tractors;2003;2012;252.2;236.8;15.4;308.8;236.8;72.1;46587.0;35717.0;10870.0;6629.0
284;Lorries and road tractors;2003;2013;176.6;165.6;11.0;218.9;165.6;53.3;40275.0;30466.0;9808.0;5435.0
285;Lorries and road tractors;2003;2014;123.3;114.5;8.8;155.2;114.5;40.7;34667.0;25573.0;9094.0;4477.0
286;Lorries and road tractors;2003;2015;97.9;91.3;6.6;117.7;91.3;26.4;30922.0;23985.0;6937.0;3807.0
287;Lorries and road tractors;2003;2016;72.7;67.2;5.5;86.1;67.2;19.0;26369.0;20567.0;5803.0;3266.0
288;Lorries and road tractors;2003;2017;53.3;49.3;4.0;62.2;49.3;12.9;21681.0;17183.0;4498.0;2867.0
289;Lorries and road tractors;2004;2001;;;;;;;;;;
290;Lorries and road tractors;2004;2002;;;;;;;;;;
291;Lorries and road tractors;2004;2003;;;;;;;;;;
292;Lorries and road tractors;2004;2004;465.5;395.7;69.9;844.3;395.7;448.6;64687.0;30316.0;34372.0;13052.0
293;Lorries and road tractors;2004;2005;781.3;659.0;122.3;1400.6;659.0;741.7;109364.0;51453.0;57911.0;12807.0
294;Lorries and road tractors;2004;2006;791.4;672.8;118.5;1327.4;672.8;654.6;105076.0;53259.0;51817.0;12633.0
295;Lorries and road tractors;2004;2007;777.8;668.3;109.5;1233.6;668.3;565.3;98607.0;53418.0;45188.0;12510.0
296;Lorries and road tractors;2004;2008;723.5;634.0;89.5;1081.2;634.0;447.3;89034.0;52205.0;36829.0;12144.0
297;Lorries and road tractors;2004;2009;649.1;573.4;75.7;938.8;573.4;365.3;79827.0;48762.0;31064.0;11760.0
298;Lorries and road tractors;2004;2010;580.9;519.2;61.8;808.1;519.2;288.9;73604.0;47288.0;26316.0;10979.0
299;Lorries and road tractors;2004;2011;488.9;443.5;45.4;667.2;443.5;223.7;68223.0;45351.0;22871.0;9779.0
300;Lorries and road tractors;2004;2012;380.4;348.7;31.6;497.0;348.7;148.2;58106.0;40774.0;17332.0;8553.0
301;Lorries and road tractors;2004;2013;271.3;249.3;22.0;355.8;249.3;106.5;50664.0;35498.0;15166.0;7023.0
302;Lorries and road tractors;2004;2014;192.7;178.4;14.3;244.5;178.4;66.1;43917.0;32039.0;11878.0;5568.0
303;Lorries and road tractors;2004;2015;145.9;135.8;10.1;176.5;135.8;40.7;38238.0;29419.0;8820.0;4615.0
304;Lorries and road tractors;2004;2016;106.3;97.8;8.5;127.0;97.8;29.2;32479.0;25020.0;7459.0;3909.0
305;Lorries and road tractors;2004;2017;73.8;67.8;6.0;86.8;67.8;19.1;25580.0;19968.0;5612.0;3395.0
306;Lorries and road tractors;2005;2001;;;;;;;;;;
307;Lorries and road tractors;2005;2002;;;;;;;;;;
308;Lorries and road tractors;2005;2003;;;;;;;;;;
309;Lorries and road tractors;2005;2004;;;;;;;;;;
310;Lorries and road tractors;2005;2005;445.2;376.1;69.1;794.8;376.1;418.7;59131.0;27980.0;31151.0;13441.0
311;Lorries and road tractors;2005;2006;769.6;641.3;128.3;1349.9;641.3;708.7;103874.0;49342.0;54531.0;12996.0
312;Lorries and road tractors;2005;2007;780.6;658.5;122.1;1288.6;658.5;630.1;99906.0;51057.0;48850.0;12898.0
313;Lorries and road tractors;2005;2008;766.8;664.9;101.9;1174.2;664.9;509.4;92473.0;52359.0;40113.0;12698.0
314;Lorries and road tractors;2005;2009;717.5;629.6;87.9;1053.8;629.6;424.2;84060.0;50220.0;33840.0;12536.0
315;Lorries and road tractors;2005;2010;675.0;595.7;79.4;966.9;595.7;371.3;79933.0;49241.0;30692.0;12097.0
316;Lorries and road tractors;2005;2011;605.5;546.3;59.2;837.8;546.3;291.5;74619.0;48659.0;25960.0;11228.0
317;Lorries and road tractors;2005;2012;513.4;470.3;43.1;672.3;470.3;202.0;66487.0;46511.0;19977.0;10111.0
318;Lorries and road tractors;2005;2013;380.6;348.0;32.6;506.3;348.0;158.3;58513.0;40219.0;18294.0;8652.0
319;Lorries and road tractors;2005;2014;290.2;267.4;22.8;372.8;267.4;105.4;52146.0;37398.0;14748.0;7149.0
320;Lorries and road tractors;2005;2015;218.6;203.1;15.5;265.6;203.1;62.5;44984.0;34396.0;10587.0;5905.0
321;Lorries and road tractors;2005;2016;162.2;149.0;13.2;194.1;149.0;45.1;39452.0;30279.0;9173.0;4920.0
322;Lorries and road tractors;2005;2017;117.0;107.3;9.7;138.3;107.3;31.0;32313.0;25064.0;7249.0;4281.0
323;Lorries and road tractors;2006;2001;;;;;;;;;;
324;Lorries and road tractors;2006;2002;;;;;;;;;;
325;Lorries and road tractors;2006;2003;;;;;;;;;;
326;Lorries and road tractors;2006;2004;;;;;;;;;;
327;Lorries and road tractors;2006;2005;;;;;;;;;;
328;Lorries and road tractors;2006;2006;521.3;431.3;90.0;928.2;431.3;496.9;48639.0;22600.0;26039.0;19084.0
329;Lorries and road tractors;2006;2007;1059.5;868.4;191.1;1854.6;868.4;986.2;100641.0;47124.0;53517.0;18428.0
330;Lorries and road tractors;2006;2008;1103.7;938.9;164.8;1762.3;938.9;823.4;97047.0;51704.0;45342.0;18159.0
331;Lorries and road tractors;2006;2009;1083.4;943.6;139.8;1618.3;943.6;674.7;89514.0;52195.0;37319.0;18079.0
332;Lorries and road tractors;2006;2010;1092.2;960.0;132.2;1578.4;960.0;618.4;87853.0;53435.0;34418.0;17966.0
333;Lorries and road tractors;2006;2011;1025.1;910.0;115.1;1477.1;910.0;567.1;84932.0;52324.0;32608.0;17391.0
334;Lorries and road tractors;2006;2012;919.6;825.0;94.7;1268.5;825.0;443.5;77354.0;50309.0;27045.0;16398.0
335;Lorries and road tractors;2006;2013;743.4;666.4;77.0;1039.7;666.4;373.3;70647.0;45280.0;25367.0;14717.0
336;Lorries and road tractors;2006;2014;590.9;532.4;58.4;802.6;532.4;270.2;63172.0;41907.0;21265.0;12705.0
337;Lorries and road tractors;2006;2015;466.6;420.3;46.3;606.8;420.3;186.5;55713.0;38588.0;17125.0;10891.0
338;Lorries and road tractors;2006;2016;369.3;338.5;30.8;443.8;338.5;105.3;48425.0;36933.0;11491.0;9164.0
339;Lorries and road tractors;2006;2017;268.5;245.5;23.0;319.1;245.5;73.6;41128.0;31644.0;9484.0;7758.0
340;Lorries and road tractors;2007;2001;;;;;;;;;;
341;Lorries and road tractors;2007;2002;;;;;;;;;;
342;Lorries and road tractors;2007;2003;;;;;;;;;;
343;Lorries and road tractors;2007;2004;;;;;;;;;;
344;Lorries and road tractors;2007;2005;;;;;;;;;;
345;Lorries and road tractors;2007;2006;;;;;;;;;;
346;Lorries and road tractors;2007;2007;409.6;335.8;73.8;716.8;335.8;381.1;44194.0;20701.0;23493.0;16220.0
347;Lorries and road tractors;2007;2008;803.1;677.0;126.1;1307.3;677.0;630.3;89624.0;46413.0;43211.0;14586.0
348;Lorries and road tractors;2007;2009;825.8;714.8;111.0;1250.6;714.8;535.8;85916.0;49107.0;36809.0;14556.0
349;Lorries and road tractors;2007;2010;855.0;742.2;112.8;1270.1;742.2;527.9;85936.0;50219.0;35717.0;14779.0
350;Lorries and road tractors;2007;2011;845.5;740.1;105.4;1259.6;740.1;519.5;85302.0;50119.0;35184.0;14766.0
351;Lorries and road tractors;2007;2012;817.6;724.4;93.2;1160.8;724.4;436.4;79454.0;49585.0;29869.0;14610.0
352;Lorries and road tractors;2007;2013;734.3;659.6;74.7;1022.1;659.6;362.6;74331.0;47964.0;26367.0;13751.0
353;Lorries and road tractors;2007;2014;643.9;581.6;62.3;869.7;581.6;288.1;69161.0;46253.0;22908.0;12575.0
354;Lorries and road tractors;2007;2015;536.8;482.0;54.8;702.5;482.0;220.5;62010.0;42548.0;19463.0;11329.0
355;Lorries and road tractors;2007;2016;447.7;408.9;38.8;541.7;408.9;132.8;54058.0;40809.0;13249.0;10020.0
356;Lorries and road tractors;2007;2017;335.7;306.6;29.1;399.5;306.6;92.9;46701.0;35841.0;10859.0;8555.0
357;Lorries and road tractors;2008;2001;;;;;;;;;;
358;Lorries and road tractors;2008;2002;;;;;;;;;;
359;Lorries and road tractors;2008;2003;;;;;;;;;;
360;Lorries and road tractors;2008;2004;;;;;;;;;;
361;Lorries and road tractors;2008;2005;;;;;;;;;;
362;Lorries and road tractors;2008;2006;;;;;;;;;;
363;Lorries and road tractors;2008;2007;;;;;;;;;;
364;Lorries and road tractors;2008;2008;533.1;448.0;85.1;873.0;448.0;425.0;47625.0;24440.0;23185.0;18331.0
365;Lorries and road tractors;2008;2009;980.5;843.3;137.1;1505.0;843.3;661.7;86636.0;48546.0;38090.0;17372.0
366;Lorries and road tractors;2008;2010;1077.7;948.2;129.5;1553.9;948.2;605.8;89632.0;54690.0;34942.0;17337.0
367;Lorries and road tractors;2008;2011;1045.7;923.2;122.5;1526.6;923.2;603.4;88357.0;53434.0;34923.0;17278.0
368;Lorries and road tractors;2008;2012;1021.8;911.0;110.8;1430.0;911.0;519.0;83785.0;53375.0;30410.0;17068.0
369;Lorries and road tractors;2008;2013;913.2;806.1;107.1;1325.4;806.1;519.3;79270.0;48213.0;31057.0;16720.0
370;Lorries and road tractors;2008;2014;840.4;750.2;90.2;1167.1;750.2;417.0;73724.0;47386.0;26338.0;15831.0
371;Lorries and road tractors;2008;2015;756.2;679.7;76.5;987.8;679.7;308.1;66820.0;45978.0;20841.0;14783.0
372;Lorries and road tractors;2008;2016;644.8;583.5;61.3;793.0;583.5;209.5;58918.0;43354.0;15564.0;13460.0
373;Lorries and road tractors;2008;2017;517.9;472.7;45.1;617.0;472.7;144.2;51594.0;39534.0;12060.0;11958.0
374;Lorries and road tractors;2009;2001;;;;;;;;;;
375;Lorries and road tractors;2009;2002;;;;;;;;;;
376;Lorries and road tractors;2009;2003;;;;;;;;;;
377;Lorries and road tractors;2009;2004;;;;;;;;;;
378;Lorries and road tractors;2009;2005;;;;;;;;;;
379;Lorries and road tractors;2009;2006;;;;;;;;;;
380;Lorries and road tractors;2009;2007;;;;;;;;;;
381;Lorries and road tractors;2009;2008;;;;;;;;;;
382;Lorries and road tractors;2009;2009;390.4;339.3;51.1;585.9;339.3;246.6;51564.0;29861.0;21703.0;11362.0
383;Lorries and road tractors;2009;2010;671.4;602.9;68.5;923.4;602.9;320.6;84145.0;54935.0;29210.0;10974.0
384;Lorries and road tractors;2009;2011;668.6;604.2;64.4;921.6;604.2;317.4;84188.0;55190.0;28998.0;10947.0
385;Lorries and road tractors;2009;2012;636.0;571.9;64.0;871.7;571.9;299.8;80411.0;52757.0;27654.0;10841.0
386;Lorries and road tractors;2009;2013;607.6;548.6;59.0;834.8;548.6;286.3;77163.0;50704.0;26459.0;10819.0
387;Lorries and road tractors;2009;2014;570.4;514.2;56.2;773.9;514.2;259.7;73780.0;49021.0;24759.0;10489.0
388;Lorries and road tractors;2009;2015;537.9;487.0;50.9;692.0;487.0;204.9;68968.0;48543.0;20424.0;10033.0
389;Lorries and road tractors;2009;2016;482.4;436.7;45.8;593.1;436.7;156.4;62055.0;45687.0;16368.0;9558.0
390;Lorries and road tractors;2009;2017;405.7;373.8;31.9;475.9;373.8;102.1;54511.0;42815.0;11696.0;8730.0
391;Lorries and road tractors;2010;2001;;;;;;;;;;
392;Lorries and road tractors;2010;2002;;;;;;;;;;
393;Lorries and road tractors;2010;2003;;;;;;;;;;
394;Lorries and road tractors;2010;2004;;;;;;;;;;
395;Lorries and road tractors;2010;2005;;;;;;;;;;
396;Lorries and road tractors;2010;2006;;;;;;;;;;
397;Lorries and road tractors;2010;2007;;;;;;;;;;
398;Lorries and road tractors;2010;2008;;;;;;;;;;
399;Lorries and road tractors;2010;2009;;;;;;;;;;
400;Lorries and road tractors;2010;2010;308.1;274.3;33.8;432.2;274.3;157.9;45557.0;28915.0;16643.0;9488.0
401;Lorries and road tractors;2010;2011;562.8;502.0;60.9;802.0;502.0;300.0;89424.0;55972.0;33451.0;8968.0
402;Lorries and road tractors;2010;2012;553.3;492.8;60.6;776.5;492.8;283.7;86952.0;55182.0;31770.0;8930.0
403;Lorries and road tractors;2010;2013;530.4;473.5;56.9;749.6;473.5;276.1;84112.0;53127.0;30985.0;8912.0
404;Lorries and road tractors;2010;2014;509.0;451.7;57.3;716.8;451.7;265.1;80615.0;50798.0;29816.0;8892.0
405;Lorries and road tractors;2010;2015;508.2;458.9;49.3;657.3;458.9;198.5;75424.0;52653.0;22771.0;8715.0
406;Lorries and road tractors;2010;2016;470.3;423.9;46.4;582.6;423.9;158.7;69256.0;50394.0;18861.0;8412.0
407;Lorries and road tractors;2010;2017;404.6;364.5;40.1;492.8;364.5;128.3;61864.0;45754.0;16110.0;7966.0
408;Lorries and road tractors;2011;2001;;;;;;;;;;
409;Lorries and road tractors;2011;2002;;;;;;;;;;
410;Lorries and road tractors;2011;2003;;;;;;;;;;
411;Lorries and road tractors;2011;2004;;;;;;;;;;
412;Lorries and road tractors;2011;2005;;;;;;;;;;
413;Lorries and road tractors;2011;2006;;;;;;;;;;
414;Lorries and road tractors;2011;2007;;;;;;;;;;
415;Lorries and road tractors;2011;2008;;;;;;;;;;
416;Lorries and road tractors;2011;2009;;;;;;;;;;
417;Lorries and road tractors;2011;2010;;;;;;;;;;
418;Lorries and road tractors;2011;2011;399.3;350.1;49.1;592.2;350.1;242.1;47500.0;28085.0;19416.0;12467.0
419;Lorries and road tractors;2011;2012;723.5;634.6;89.0;1051.2;634.6;416.7;95126.0;57424.0;37703.0;11051.0
420;Lorries and road tractors;2011;2013;704.5;616.3;88.2;1044.0;616.3;427.7;94405.0;55733.0;38672.0;11059.0
421;Lorries and road tractors;2011;2014;701.3;617.3;83.9;1005.3;617.3;388.0;90940.0;55842.0;35098.0;11055.0
422;Lorries and road tractors;2011;2015;697.3;613.4;83.9;951.3;613.4;337.9;84108.0;54236.0;29872.0;11310.0
423;Lorries and road tractors;2011;2016;676.1;595.8;80.2;870.3;595.8;274.4;79468.0;54410.0;25058.0;10951.0
424;Lorries and road tractors;2011;2017;599.5;530.4;69.1;751.2;530.4;220.8;71649.0;50592.0;21057.0;10484.0
425;Lorries and road tractors;2012;2001;;;;;;;;;;
426;Lorries and road tractors;2012;2002;;;;;;;;;;
427;Lorries and road tractors;2012;2003;;;;;;;;;;
428;Lorries and road tractors;2012;2004;;;;;;;;;;
429;Lorries and road tractors;2012;2005;;;;;;;;;;
430;Lorries and road tractors;2012;2006;;;;;;;;;;
431;Lorries and road tractors;2012;2007;;;;;;;;;;
432;Lorries and road tractors;2012;2008;;;;;;;;;;
433;Lorries and road tractors;2012;2009;;;;;;;;;;
434;Lorries and road tractors;2012;2010;;;;;;;;;;
435;Lorries and road tractors;2012;2011;;;;;;;;;;
436;Lorries and road tractors;2012;2012;370.8;322.3;48.5;549.3;322.3;227.0;47276.0;27741.0;19535.0;11618.0
437;Lorries and road tractors;2012;2013;689.5;595.1;94.4;1052.9;595.1;457.7;97307.0;55002.0;42305.0;10820.0
438;Lorries and road tractors;2012;2014;703.4;608.8;94.6;1046.3;608.8;437.5;97245.0;56581.0;40664.0;10759.0
439;Lorries and road tractors;2012;2015;726.1;632.7;93.5;1009.0;632.7;376.4;92074.0;57729.0;34345.0;10959.0
440;Lorries and road tractors;2012;2016;730.0;636.8;93.1;955.2;636.8;318.4;86353.0;57570.0;28783.0;11062.0
441;Lorries and road tractors;2012;2017;680.7;594.8;85.9;869.3;594.8;274.5;81323.0;55642.0;25681.0;10690.0
442;Lorries and road tractors;2013;2001;;;;;;;;;;
443;Lorries and road tractors;2013;2002;;;;;;;;;;
444;Lorries and road tractors;2013;2003;;;;;;;;;;
445;Lorries and road tractors;2013;2004;;;;;;;;;;
446;Lorries and road tractors;2013;2005;;;;;;;;;;
447;Lorries and road tractors;2013;2006;;;;;;;;;;
448;Lorries and road tractors;2013;2007;;;;;;;;;;
449;Lorries and road tractors;2013;2008;;;;;;;;;;
450;Lorries and road tractors;2013;2009;;;;;;;;;;
451;Lorries and road tractors;2013;2010;;;;;;;;;;
452;Lorries and road tractors;2013;2011;;;;;;;;;;
453;Lorries and road tractors;2013;2012;;;;;;;;;;
454;Lorries and road tractors;2013;2013;289.0;246.0;43.0;454.4;246.0;208.4;36188.0;19591.0;16596.0;12557.0
455;Lorries and road tractors;2013;2014;761.1;658.4;102.7;1133.4;658.4;474.9;99217.0;57640.0;41578.0;11423.0
456;Lorries and road tractors;2013;2015;804.2;693.7;110.5;1138.6;693.7;444.9;99623.0;60697.0;38926.0;11429.0
457;Lorries and road tractors;2013;2016;807.0;693.4;113.5;1081.7;693.4;388.3;94453.0;60550.0;33903.0;11452.0
458;Lorries and road tractors;2013;2017;766.2;659.6;106.6;1000.4;659.6;340.8;86764.0;57206.0;29557.0;11530.0
459;Lorries and road tractors;2014;2001;;;;;;;;;;
460;Lorries and road tractors;2014;2002;;;;;;;;;;
461;Lorries and road tractors;2014;2003;;;;;;;;;;
