ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
2578;Total dwellings;Hof van Twente;2014;1600.0;3550.0;;
2579;Total dwellings;Hof van Twente;2015;1670.0;3510.0;;
2580;Total dwellings;Hof van Twente;2016;1690.0;3380.0;;
2581;Total dwellings;Hof van Twente;2017;1660.0;3280.0;;
2582;Total dwellings;Hof van Twente;2018;1680.0;3260.0;;
2583;Total dwellings;Hof van Twente;2019;1470.0;3150.0;;
2584;Total dwellings;Hof van Twente;2020;1430.0;3200.0;;
2585;Total dwellings;Hof van Twente;2021;1700.0;3260.0;2780.0;
2586;Total dwellings;Hof van Twente;2022;1340.0;3100.0;2360.0;
2587;Total dwellings;Het Hogeland;2010;;;;
2588;Total dwellings;Het Hogeland;2011;;;;
2589;Total dwellings;Het Hogeland;2012;;;;
2590;Total dwellings;Het Hogeland;2013;;;;
2591;Total dwellings;Het Hogeland;2014;;;;
2592;Total dwellings;Het Hogeland;2015;;;;
2593;Total dwellings;Het Hogeland;2016;;;;
2594;Total dwellings;Het Hogeland;2017;;;;
2595;Total dwellings;Het Hogeland;2018;;;;
2596;Total dwellings;Het Hogeland;2019;1530.0;2490.0;;
2597;Total dwellings;Het Hogeland;2020;1490.0;2620.0;;
2598;Total dwellings;Het Hogeland;2021;1670.0;2680.0;2170.0;
2599;Total dwellings;Het Hogeland;2022;1300.0;2550.0;1850.0;
2600;Total dwellings;Hollands Kroon;2010;;;;
2601;Total dwellings;Hollands Kroon;2011;;;;
2602;Total dwellings;Hollands Kroon;2012;1750.0;3600.0;;
2603;Total dwellings;Hollands Kroon;2013;1850.0;3450.0;;
2604;Total dwellings;Hollands Kroon;2014;1400.0;3300.0;;
2605;Total dwellings;Hollands Kroon;2015;1480.0;3210.0;;
2606;Total dwellings;Hollands Kroon;2016;1540.0;3130.0;;
2607;Total dwellings;Hollands Kroon;2017;1450.0;3050.0;;
2608;Total dwellings;Hollands Kroon;2018;1520.0;3000.0;;
2609;Total dwellings;Hollands Kroon;2019;1390.0;3020.0;;
2610;Total dwellings;Hollands Kroon;2020;1340.0;3060.0;;
2611;Total dwellings;Hollands Kroon;2021;1510.0;3120.0;2640.0;
2612;Total dwellings;Hollands Kroon;2022;1160.0;2940.0;2250.0;
2613;Total dwellings;Hoogeveen;2010;2100.0;3300.0;;
2614;Total dwellings;Hoogeveen;2011;1650.0;3300.0;;
2615;Total dwellings;Hoogeveen;2012;1750.0;3250.0;;
2616;Total dwellings;Hoogeveen;2013;1850.0;3200.0;;
2617;Total dwellings;Hoogeveen;2014;1350.0;3000.0;;
2618;Total dwellings;Hoogeveen;2015;1480.0;3000.0;;
2619;Total dwellings;Hoogeveen;2016;1540.0;2920.0;;
2620;Total dwellings;Hoogeveen;2017;1460.0;2860.0;;
2621;Total dwellings;Hoogeveen;2018;1470.0;2780.0;;
2622;Total dwellings;Hoogeveen;2019;1330.0;2690.0;;
2623;Total dwellings;Hoogeveen;2020;1280.0;2710.0;;
2624;Total dwellings;Hoogeveen;2021;1430.0;2750.0;2290.0;
2625;Total dwellings;Hoogeveen;2022;1140.0;2640.0;2060.0;
2626;Total dwellings;Hoogezand-Sappemeer;2010;2100.0;3150.0;;
2627;Total dwellings;Hoogezand-Sappemeer;2011;1650.0;3150.0;;
2628;Total dwellings;Hoogezand-Sappemeer;2012;1750.0;3100.0;;
2629;Total dwellings;Hoogezand-Sappemeer;2013;1850.0;3050.0;;
2630;Total dwellings;Hoogezand-Sappemeer;2014;1400.0;2950.0;;
2631;Total dwellings;Hoogezand-Sappemeer;2015;1490.0;2830.0;;
2632;Total dwellings;Hoogezand-Sappemeer;2016;1560.0;2760.0;;
2633;Total dwellings;Hoogezand-Sappemeer;2017;1470.0;2730.0;;
2634;Total dwellings;Hoogezand-Sappemeer;2018;;;;
2635;Total dwellings;Hoogezand-Sappemeer;2019;;;;
2636;Total dwellings;Hoogezand-Sappemeer;2020;;;;
2637;Total dwellings;Hoogezand-Sappemeer;2021;;;;
2638;Total dwellings;Hoogezand-Sappemeer;2022;;;;
2639;Total dwellings;Hoorn;2010;1700.0;3250.0;;
2640;Total dwellings;Hoorn;2011;1350.0;3300.0;;
2641;Total dwellings;Hoorn;2012;1400.0;3200.0;;
2642;Total dwellings;Hoorn;2013;1500.0;3150.0;;
2643;Total dwellings;Hoorn;2014;1150.0;3000.0;;
2644;Total dwellings;Hoorn;2015;1200.0;2930.0;;
2645;Total dwellings;Hoorn;2016;1240.0;2840.0;;
2646;Total dwellings;Hoorn;2017;1180.0;2780.0;;
2647;Total dwellings;Hoorn;2018;1200.0;2700.0;;
2648;Total dwellings;Hoorn;2019;1120.0;2660.0;;
2649;Total dwellings;Hoorn;2020;1070.0;2690.0;;
2650;Total dwellings;Hoorn;2021;1200.0;2720.0;2440.0;
2651;Total dwellings;Hoorn;2022;940.0;2550.0;2180.0;
2652;Total dwellings;Horst aan de Maas;2010;2400.0;4250.0;;
2653;Total dwellings;Horst aan de Maas;2011;1850.0;4150.0;;
2654;Total dwellings;Horst aan de Maas;2012;1950.0;4100.0;;
2655;Total dwellings;Horst aan de Maas;2013;2050.0;4050.0;;
2656;Total dwellings;Horst aan de Maas;2014;1500.0;3800.0;;
2657;Total dwellings;Horst aan de Maas;2015;1630.0;3740.0;;
2658;Total dwellings;Horst aan de Maas;2016;1690.0;3620.0;;
2659;Total dwellings;Horst aan de Maas;2017;1620.0;3580.0;;
2660;Total dwellings;Horst aan de Maas;2018;1640.0;3520.0;;
2661;Total dwellings;Horst aan de Maas;2019;1530.0;3420.0;;
2662;Total dwellings;Horst aan de Maas;2020;1440.0;3350.0;;
2663;Total dwellings;Horst aan de Maas;2021;1620.0;3390.0;2660.0;
2664;Total dwellings;Horst aan de Maas;2022;1260.0;3190.0;2210.0;
2665;Total dwellings;Houten;2010;1450.0;3800.0;;18.0
2666;Total dwellings;Houten;2011;1100.0;3750.0;;17.0
2667;Total dwellings;Houten;2012;1100.0;3600.0;;20.6
2668;Total dwellings;Houten;2013;1200.0;3500.0;;19.9
2669;Total dwellings;Houten;2014;900.0;3350.0;;19.7
2670;Total dwellings;Houten;2015;940.0;3290.0;;20.2
2671;Total dwellings;Houten;2016;970.0;3240.0;;20.4
2672;Total dwellings;Houten;2017;940.0;3170.0;;20.3
2673;Total dwellings;Houten;2018;950.0;3090.0;;
2674;Total dwellings;Houten;2019;900.0;2990.0;;18.4
2675;Total dwellings;Houten;2020;860.0;3000.0;;19.2
2676;Total dwellings;Houten;2021;950.0;3040.0;2610.0;18.7
2677;Total dwellings;Houten;2022;740.0;2830.0;2250.0;17.4
2678;Total dwellings;Huizen;2010;2000.0;3500.0;;
2679;Total dwellings;Huizen;2011;1550.0;3400.0;;
2680;Total dwellings;Huizen;2012;1650.0;3350.0;;
2681;Total dwellings;Huizen;2013;1750.0;3300.0;;
2682;Total dwellings;Huizen;2014;1300.0;3150.0;;
2683;Total dwellings;Huizen;2015;1410.0;3120.0;;
2684;Total dwellings;Huizen;2016;1470.0;3040.0;;
2685;Total dwellings;Huizen;2017;1410.0;2970.0;;
2686;Total dwellings;Huizen;2018;1390.0;2850.0;;
2687;Total dwellings;Huizen;2019;1300.0;2800.0;;
2688;Total dwellings;Huizen;2020;1210.0;2810.0;;
2689;Total dwellings;Huizen;2021;1380.0;2870.0;2550.0;
2690;Total dwellings;Huizen;2022;1080.0;2660.0;2260.0;
2691;Total dwellings;Hulst;2010;2050.0;3200.0;;
2692;Total dwellings;Hulst;2011;1600.0;3200.0;;
2693;Total dwellings;Hulst;2012;1700.0;3100.0;;
2694;Total dwellings;Hulst;2013;1850.0;3100.0;;
2695;Total dwellings;Hulst;2014;1400.0;2900.0;;
2696;Total dwellings;Hulst;2015;1480.0;2930.0;;
2697;Total dwellings;Hulst;2016;1530.0;2820.0;;
2698;Total dwellings;Hulst;2017;1430.0;2780.0;;
2699;Total dwellings;Hulst;2018;1460.0;2720.0;;
2700;Total dwellings;Hulst;2019;1340.0;2670.0;;
2701;Total dwellings;Hulst;2020;1290.0;2670.0;;
2702;Total dwellings;Hulst;2021;1490.0;2880.0;2380.0;
2703;Total dwellings;Hulst;2022;1190.0;2720.0;2050.0;
2704;Total dwellings;IJsselstein;2010;1650.0;3700.0;;
2705;Total dwellings;IJsselstein;2011;1250.0;3650.0;;
2706;Total dwellings;IJsselstein;2012;1350.0;3550.0;;
2707;Total dwellings;IJsselstein;2013;1400.0;3500.0;;
2708;Total dwellings;IJsselstein;2014;1050.0;3350.0;;
2709;Total dwellings;IJsselstein;2015;1140.0;3280.0;;
2710;Total dwellings;IJsselstein;2016;1180.0;3240.0;;
2711;Total dwellings;IJsselstein;2017;1150.0;3150.0;;
2712;Total dwellings;IJsselstein;2018;1150.0;3030.0;;
2713;Total dwellings;IJsselstein;2019;1090.0;2950.0;;
2714;Total dwellings;IJsselstein;2020;1030.0;2960.0;;
2715;Total dwellings;IJsselstein;2021;1190.0;3000.0;2710.0;
2716;Total dwellings;IJsselstein;2022;920.0;2790.0;2390.0;
2717;Total dwellings;Kaag en Braassem;2010;2050.0;3750.0;;
2718;Total dwellings;Kaag en Braassem;2011;1600.0;3700.0;;
2719;Total dwellings;Kaag en Braassem;2012;1650.0;3600.0;;
2720;Total dwellings;Kaag en Braassem;2013;1750.0;3500.0;;
2721;Total dwellings;Kaag en Braassem;2014;1300.0;3350.0;;
2722;Total dwellings;Kaag en Braassem;2015;1400.0;3350.0;;
2723;Total dwellings;Kaag en Braassem;2016;1440.0;3250.0;;
2724;Total dwellings;Kaag en Braassem;2017;1390.0;3200.0;;
2725;Total dwellings;Kaag en Braassem;2018;1400.0;3110.0;;
2726;Total dwellings;Kaag en Braassem;2019;1290.0;3060.0;;
2727;Total dwellings;Kaag en Braassem;2020;1220.0;3080.0;;
2728;Total dwellings;Kaag en Braassem;2021;1350.0;3120.0;2590.0;
2729;Total dwellings;Kaag en Braassem;2022;1030.0;2890.0;2190.0;
2730;Total dwellings;Kampen;2010;2000.0;3250.0;;
2731;Total dwellings;Kampen;2011;1550.0;3200.0;;
2732;Total dwellings;Kampen;2012;1600.0;3100.0;;
2733;Total dwellings;Kampen;2013;1700.0;3100.0;;
2734;Total dwellings;Kampen;2014;1300.0;2950.0;;
2735;Total dwellings;Kampen;2015;1360.0;2930.0;;
2736;Total dwellings;Kampen;2016;1440.0;2880.0;;
2737;Total dwellings;Kampen;2017;1330.0;2780.0;;
2738;Total dwellings;Kampen;2018;1370.0;2760.0;;
2739;Total dwellings;Kampen;2019;1260.0;2670.0;;
2740;Total dwellings;Kampen;2020;1180.0;2690.0;;
2741;Total dwellings;Kampen;2021;1350.0;2750.0;2350.0;
2742;Total dwellings;Kampen;2022;1050.0;2610.0;2060.0;
2743;Total dwellings;Kapelle;2010;1950.0;3450.0;;
2744;Total dwellings;Kapelle;2011;1500.0;3450.0;;
2745;Total dwellings;Kapelle;2012;1600.0;3250.0;;
2746;Total dwellings;Kapelle;2013;1750.0;3250.0;;
2747;Total dwellings;Kapelle;2014;1300.0;3050.0;;
2748;Total dwellings;Kapelle;2015;1360.0;3000.0;;
2749;Total dwellings;Kapelle;2016;1410.0;2920.0;;
2750;Total dwellings;Kapelle;2017;1320.0;2800.0;;
2751;Total dwellings;Kapelle;2018;1350.0;2770.0;;
2752;Total dwellings;Kapelle;2019;1260.0;2720.0;;
2753;Total dwellings;Kapelle;2020;1210.0;2700.0;;
2754;Total dwellings;Kapelle;2021;1370.0;2970.0;2370.0;
2755;Total dwellings;Kapelle;2022;1080.0;2770.0;1920.0;
2756;Total dwellings;Katwijk;2010;1700.0;3350.0;;
2757;Total dwellings;Katwijk;2011;1350.0;3350.0;;
2758;Total dwellings;Katwijk;2012;1450.0;3250.0;;
2759;Total dwellings;Katwijk;2013;1550.0;3200.0;;
2760;Total dwellings;Katwijk;2014;1150.0;3100.0;;
2761;Total dwellings;Katwijk;2015;1200.0;3040.0;;
2762;Total dwellings;Katwijk;2016;1250.0;3020.0;;
2763;Total dwellings;Katwijk;2017;1190.0;2990.0;;
2764;Total dwellings;Katwijk;2018;1190.0;2860.0;;
2765;Total dwellings;Katwijk;2019;1110.0;2810.0;;
2766;Total dwellings;Katwijk;2020;1040.0;2860.0;;
2767;Total dwellings;Katwijk;2021;1170.0;2880.0;2640.0;
2768;Total dwellings;Katwijk;2022;910.0;2690.0;2350.0;
2769;Total dwellings;Kerkrade;2010;2050.0;3250.0;;
2770;Total dwellings;Kerkrade;2011;1600.0;3250.0;;
2771;Total dwellings;Kerkrade;2012;1700.0;3200.0;;
2772;Total dwellings;Kerkrade;2013;1800.0;3200.0;;
2773;Total dwellings;Kerkrade;2014;1300.0;3000.0;;
2774;Total dwellings;Kerkrade;2015;1370.0;2890.0;;
2775;Total dwellings;Kerkrade;2016;1440.0;2850.0;;
2776;Total dwellings;Kerkrade;2017;1420.0;2800.0;;
2777;Total dwellings;Kerkrade;2018;1390.0;2750.0;;
2778;Total dwellings;Kerkrade;2019;1290.0;2650.0;;
2779;Total dwellings;Kerkrade;2020;1190.0;2640.0;;
2780;Total dwellings;Kerkrade;2021;1360.0;2680.0;2250.0;
2781;Total dwellings;Kerkrade;2022;1070.0;2560.0;2060.0;
2782;Total dwellings;Koggenland;2010;2100.0;3850.0;;
2783;Total dwellings;Koggenland;2011;1650.0;3800.0;;
2784;Total dwellings;Koggenland;2012;1700.0;3700.0;;
2785;Total dwellings;Koggenland;2013;1850.0;3550.0;;
2786;Total dwellings;Koggenland;2014;1350.0;3400.0;;
2787;Total dwellings;Koggenland;2015;1440.0;3330.0;;
2788;Total dwellings;Koggenland;2016;1500.0;3240.0;;
2789;Total dwellings;Koggenland;2017;1410.0;3170.0;;
2790;Total dwellings;Koggenland;2018;1480.0;3060.0;;
2791;Total dwellings;Koggenland;2019;1360.0;3120.0;;
2792;Total dwellings;Koggenland;2020;1300.0;3110.0;;
2793;Total dwellings;Koggenland;2021;1450.0;3190.0;2690.0;
2794;Total dwellings;Koggenland;2022;1130.0;2960.0;2270.0;
2795;Total dwellings;Kollumerland en Nieuwkruisland;2010;2350.0;3150.0;;
2796;Total dwellings;Kollumerland en Nieuwkruisland;2011;1800.0;3100.0;;
2797;Total dwellings;Kollumerland en Nieuwkruisland;2012;1900.0;3100.0;;
2798;Total dwellings;Kollumerland en Nieuwkruisland;2013;2000.0;2950.0;;
2799;Total dwellings;Kollumerland en Nieuwkruisland;2014;1500.0;2850.0;;
2800;Total dwellings;Kollumerland en Nieuwkruisland;2015;1610.0;2800.0;;
2801;Total dwellings;Kollumerland en Nieuwkruisland;2016;1700.0;2690.0;;
2802;Total dwellings;Kollumerland en Nieuwkruisland;2017;1600.0;2640.0;;
2803;Total dwellings;Kollumerland en Nieuwkruisland;2018;1640.0;2580.0;;
2804;Total dwellings;Kollumerland en Nieuwkruisland;2019;;;;
2805;Total dwellings;Kollumerland en Nieuwkruisland;2020;;;;
2806;Total dwellings;Kollumerland en Nieuwkruisland;2021;;;;
2807;Total dwellings;Kollumerland en Nieuwkruisland;2022;;;;
2808;Total dwellings;Korendijk;2010;2150.0;3650.0;;
2809;Total dwellings;Korendijk;2011;1700.0;3650.0;;
2810;Total dwellings;Korendijk;2012;1750.0;3550.0;;
2811;Total dwellings;Korendijk;2013;1850.0;3550.0;;
2812;Total dwellings;Korendijk;2014;1350.0;3350.0;;
2813;Total dwellings;Korendijk;2015;1410.0;3260.0;;
2814;Total dwellings;Korendijk;2016;1470.0;3230.0;;
2815;Total dwellings;Korendijk;2017;1410.0;3170.0;;
2816;Total dwellings;Korendijk;2018;1460.0;3180.0;;
2817;Total dwellings;Korendijk;2019;;;;
2818;Total dwellings;Korendijk;2020;;;;
2819;Total dwellings;Korendijk;2021;;;;
2820;Total dwellings;Korendijk;2022;;;;
2821;Total dwellings;Krimpen aan den IJssel;2010;2000.0;3350.0;;
2822;Total dwellings;Krimpen aan den IJssel;2011;1500.0;3250.0;;
2823;Total dwellings;Krimpen aan den IJssel;2012;1600.0;3200.0;;
2824;Total dwellings;Krimpen aan den IJssel;2013;1700.0;3200.0;;
2825;Total dwellings;Krimpen aan den IJssel;2014;1250.0;3050.0;;
2826;Total dwellings;Krimpen aan den IJssel;2015;1310.0;3000.0;;
2827;Total dwellings;Krimpen aan den IJssel;2016;1360.0;2990.0;;
2828;Total dwellings;Krimpen aan den IJssel;2017;1300.0;2920.0;;
2829;Total dwellings;Krimpen aan den IJssel;2018;1290.0;2830.0;;
2830;Total dwellings;Krimpen aan den IJssel;2019;1190.0;2760.0;;
2831;Total dwellings;Krimpen aan den IJssel;2020;1120.0;2810.0;;
2832;Total dwellings;Krimpen aan den IJssel;2021;1240.0;2870.0;2620.0;
2833;Total dwellings;Krimpen aan den IJssel;2022;950.0;2670.0;2300.0;
2834;Total dwellings;Krimpenerwaard;2010;;;;
2835;Total dwellings;Krimpenerwaard;2011;;;;
2836;Total dwellings;Krimpenerwaard;2012;;;;
2837;Total dwellings;Krimpenerwaard;2013;;;;
2838;Total dwellings;Krimpenerwaard;2014;;;;
2839;Total dwellings;Krimpenerwaard;2015;1400.0;3070.0;;
2840;Total dwellings;Krimpenerwaard;2016;1460.0;3030.0;;
2841;Total dwellings;Krimpenerwaard;2017;1380.0;3000.0;;
2842;Total dwellings;Krimpenerwaard;2018;1400.0;2970.0;;
2843;Total dwellings;Krimpenerwaard;2019;1300.0;2890.0;;
2844;Total dwellings;Krimpenerwaard;2020;1230.0;2930.0;;
2845;Total dwellings;Krimpenerwaard;2021;1390.0;2990.0;2700.0;
2846;Total dwellings;Krimpenerwaard;2022;1070.0;2820.0;2360.0;
2847;Total dwellings;Laarbeek;2010;2250.0;4000.0;;
2848;Total dwellings;Laarbeek;2011;1750.0;4000.0;;
2849;Total dwellings;Laarbeek;2012;1800.0;3850.0;;
2850;Total dwellings;Laarbeek;2013;1950.0;3800.0;;
2851;Total dwellings;Laarbeek;2014;1450.0;3650.0;;
2852;Total dwellings;Laarbeek;2015;1560.0;3590.0;;
2853;Total dwellings;Laarbeek;2016;1610.0;3550.0;;
2854;Total dwellings;Laarbeek;2017;1570.0;3440.0;;
2855;Total dwellings;Laarbeek;2018;1580.0;3440.0;;
2856;Total dwellings;Laarbeek;2019;1460.0;3340.0;;
2857;Total dwellings;Laarbeek;2020;1360.0;3300.0;;
2858;Total dwellings;Laarbeek;2021;1550.0;3350.0;2780.0;
2859;Total dwellings;Laarbeek;2022;1210.0;3150.0;2350.0;
2860;Total dwellings;Land van Cuijk;2010;;;;
2861;Total dwellings;Land van Cuijk;2011;;;;
2862;Total dwellings;Land van Cuijk;2012;;;;
2863;Total dwellings;Land van Cuijk;2013;;;;
2864;Total dwellings;Land van Cuijk;2014;;;;
2865;Total dwellings;Land van Cuijk;2015;;;;
2866;Total dwellings;Land van Cuijk;2016;;;;
2867;Total dwellings;Land van Cuijk;2017;;;;
2868;Total dwellings;Land van Cuijk;2018;;;;
2869;Total dwellings;Land van Cuijk;2019;;;;
2870;Total dwellings;Land van Cuijk;2020;;;;
2871;Total dwellings;Land van Cuijk;2021;;;;
2872;Total dwellings;Land van Cuijk;2022;1200.0;3040.0;2290.0;
2873;Total dwellings;Landerd;2010;2350.0;4250.0;;
2874;Total dwellings;Landerd;2011;1850.0;4250.0;;
2875;Total dwellings;Landerd;2012;1950.0;4150.0;;
2876;Total dwellings;Landerd;2013;2050.0;4150.0;;
2877;Total dwellings;Landerd;2014;1550.0;3950.0;;
2878;Total dwellings;Landerd;2015;1690.0;3850.0;;
2879;Total dwellings;Landerd;2016;1750.0;3820.0;;
2880;Total dwellings;Landerd;2017;1690.0;3750.0;;
2881;Total dwellings;Landerd;2018;1690.0;3700.0;;
2882;Total dwellings;Landerd;2019;1570.0;3540.0;;
2883;Total dwellings;Landerd;2020;1470.0;3510.0;;
2884;Total dwellings;Landerd;2021;1680.0;3570.0;2970.0;
2885;Total dwellings;Landerd;2022;;;;
2886;Total dwellings;Landgraaf;2010;2150.0;3550.0;;
2887;Total dwellings;Landgraaf;2011;1600.0;3450.0;;
2888;Total dwellings;Landgraaf;2012;1700.0;3400.0;;
2889;Total dwellings;Landgraaf;2013;1800.0;3300.0;;
2890;Total dwellings;Landgraaf;2014;1350.0;3200.0;;
2891;Total dwellings;Landgraaf;2015;1430.0;3140.0;;
2892;Total dwellings;Landgraaf;2016;1500.0;3030.0;;
2893;Total dwellings;Landgraaf;2017;1440.0;2950.0;;
2894;Total dwellings;Landgraaf;2018;1430.0;2900.0;;
2895;Total dwellings;Landgraaf;2019;1340.0;2820.0;;
2896;Total dwellings;Landgraaf;2020;1250.0;2830.0;;
2897;Total dwellings;Landgraaf;2021;1430.0;2870.0;2360.0;
2898;Total dwellings;Landgraaf;2022;1110.0;2750.0;2120.0;
2899;Total dwellings;Landsmeer;2010;2150.0;3750.0;;
2900;Total dwellings;Landsmeer;2011;1700.0;3700.0;;
2901;Total dwellings;Landsmeer;2012;1800.0;3650.0;;
2902;Total dwellings;Landsmeer;2013;1900.0;3550.0;;
2903;Total dwellings;Landsmeer;2014;1450.0;3450.0;;
2904;Total dwellings;Landsmeer;2015;1490.0;3390.0;;
2905;Total dwellings;Landsmeer;2016;1540.0;3300.0;;
2906;Total dwellings;Landsmeer;2017;1480.0;3230.0;;
2907;Total dwellings;Landsmeer;2018;1500.0;3160.0;;
2908;Total dwellings;Landsmeer;2019;1410.0;3190.0;;
2909;Total dwellings;Landsmeer;2020;1320.0;3180.0;;
2910;Total dwellings;Landsmeer;2021;1480.0;3270.0;2860.0;
2911;Total dwellings;Landsmeer;2022;1140.0;3050.0;2540.0;
2912;Total dwellings;Langedijk;2010;1850.0;3750.0;;9.0
2913;Total dwellings;Langedijk;2011;1450.0;3750.0;;9.0
2914;Total dwellings;Langedijk;2012;1550.0;3600.0;;8.5
2915;Total dwellings;Langedijk;2013;1650.0;3450.0;;8.7
2916;Total dwellings;Langedijk;2014;1200.0;3300.0;;8.3
2917;Total dwellings;Langedijk;2015;1250.0;3180.0;;10.4
2918;Total dwellings;Langedijk;2016;1290.0;3090.0;;10.4
2919;Total dwellings;Langedijk;2017;1240.0;3030.0;;10.3
2920;Total dwellings;Langedijk;2018;1270.0;2900.0;;
2921;Total dwellings;Langedijk;2019;1170.0;2950.0;;10.8
2922;Total dwellings;Langedijk;2020;1120.0;2990.0;;10.9
2923;Total dwellings;Langedijk;2021;1280.0;3040.0;2520.0;11.3
2924;Total dwellings;Langedijk;2022;;;;
2925;Total dwellings;Lansingerland;2010;1750.0;3850.0;;5.0
2926;Total dwellings;Lansingerland;2011;1350.0;3800.0;;
2927;Total dwellings;Lansingerland;2012;1450.0;3750.0;;
2928;Total dwellings;Lansingerland;2013;1550.0;3700.0;;
2929;Total dwellings;Lansingerland;2014;1150.0;3550.0;;
2930;Total dwellings;Lansingerland;2015;1160.0;3480.0;;5.5
2931;Total dwellings;Lansingerland;2016;1230.0;3400.0;;5.2
2932;Total dwellings;Lansingerland;2017;1190.0;3380.0;;5.1
2933;Total dwellings;Lansingerland;2018;1200.0;3300.0;;
2934;Total dwellings;Lansingerland;2019;1130.0;3200.0;;4.5
2935;Total dwellings;Lansingerland;2020;1060.0;3210.0;;5.0
2936;Total dwellings;Lansingerland;2021;1190.0;3250.0;2840.0;4.6
2937;Total dwellings;Lansingerland;2022;920.0;3050.0;2440.0;4.3
2938;Total dwellings;Laren (NH.);2010;3100.0;3950.0;;
2939;Total dwellings;Laren (NH.);2011;2400.0;3900.0;;
2940;Total dwellings;Laren (NH.);2012;2600.0;4000.0;;
2941;Total dwellings;Laren (NH.);2013;2800.0;3950.0;;
2942;Total dwellings;Laren (NH.);2014;2050.0;3800.0;;
2943;Total dwellings;Laren (NH.);2015;2270.0;3880.0;;
2944;Total dwellings;Laren (NH.);2016;2350.0;3790.0;;
2945;Total dwellings;Laren (NH.);2017;2250.0;3760.0;;
2946;Total dwellings;Laren (NH.);2018;2240.0;3690.0;;
2947;Total dwellings;Laren (NH.);2019;2080.0;3610.0;;
2948;Total dwellings;Laren (NH.);2020;1830.0;3560.0;;
2949;Total dwellings;Laren (NH.);2021;2120.0;3710.0;3600.0;
2950;Total dwellings;Laren (NH.);2022;1660.0;3520.0;3350.0;
2951;Total dwellings;Leek;2010;2400.0;3550.0;;
2952;Total dwellings;Leek;2011;1900.0;3550.0;;
2953;Total dwellings;Leek;2012;2000.0;3500.0;;
2954;Total dwellings;Leek;2013;2100.0;3400.0;;
2955;Total dwellings;Leek;2014;1550.0;3250.0;;
2956;Total dwellings;Leek;2015;1650.0;3140.0;;
2957;Total dwellings;Leek;2016;1750.0;3100.0;;
2958;Total dwellings;Leek;2017;1640.0;3070.0;;
2959;Total dwellings;Leek;2018;1650.0;2930.0;;
2960;Total dwellings;Leek;2019;;;;
2961;Total dwellings;Leek;2020;;;;
2962;Total dwellings;Leek;2021;;;;
2963;Total dwellings;Leek;2022;;;;
2964;Total dwellings;Leerdam;2010;1950.0;3300.0;;
2965;Total dwellings;Leerdam;2011;1500.0;3250.0;;
2966;Total dwellings;Leerdam;2012;1600.0;3150.0;;
2967;Total dwellings;Leerdam;2013;1650.0;3100.0;;
2968;Total dwellings;Leerdam;2014;1150.0;3000.0;;
2969;Total dwellings;Leerdam;2015;1250.0;2990.0;;
2970;Total dwellings;Leerdam;2016;1290.0;2870.0;;
2971;Total dwellings;Leerdam;2017;1230.0;2880.0;;
2972;Total dwellings;Leerdam;2018;1270.0;2780.0;;
2973;Total dwellings;Leerdam;2019;;;;
2974;Total dwellings;Leerdam;2020;;;;
2975;Total dwellings;Leerdam;2021;;;;
2976;Total dwellings;Leerdam;2022;;;;
2977;Total dwellings;Leeuwarden;2010;1750.0;2700.0;;
2978;Total dwellings;Leeuwarden;2011;1350.0;2650.0;;
2979;Total dwellings;Leeuwarden;2012;1450.0;2650.0;;
2980;Total dwellings;Leeuwarden;2013;1550.0;2600.0;;
2981;Total dwellings;Leeuwarden;2014;1150.0;2500.0;;
2982;Total dwellings;Leeuwarden;2015;1200.0;2460.0;;3.1
2983;Total dwellings;Leeuwarden;2016;1260.0;2360.0;;
2984;Total dwellings;Leeuwarden;2017;1190.0;2290.0;;3.0
2985;Total dwellings;Leeuwarden;2018;1260.0;2230.0;;
2986;Total dwellings;Leeuwarden;2019;1160.0;2260.0;;
2987;Total dwellings;Leeuwarden;2020;1110.0;2310.0;;3.3
2988;Total dwellings;Leeuwarden;2021;1220.0;2370.0;2030.0;3.3
2989;Total dwellings;Leeuwarden;2022;950.0;2260.0;1830.0;3.2
2990;Total dwellings;Leeuwarderadeel;2010;2150.0;3250.0;;
2991;Total dwellings;Leeuwarderadeel;2011;1750.0;3250.0;;
2992;Total dwellings;Leeuwarderadeel;2012;1800.0;3100.0;;
2993;Total dwellings;Leeuwarderadeel;2013;1900.0;3000.0;;
2994;Total dwellings;Leeuwarderadeel;2014;1450.0;2850.0;;
