ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
517;Total buildings;Building projects under construction;2015 April;15616.0
518;Total buildings;Building projects under construction;2015 May;16369.0
519;Total buildings;Building projects under construction;2015 June;16731.0
520;Total buildings;Building projects under construction;2015 2nd quarter;16731.0
521;Total buildings;Building projects under construction;2015 July;16808.0
522;Total buildings;Building projects under construction;2015 August;17404.0
523;Total buildings;Building projects under construction;2015 September;17300.0
524;Total buildings;Building projects under construction;2015 3rd quarter;17300.0
525;Total buildings;Building projects under construction;2015 October;17418.0
526;Total buildings;Building projects under construction;2015 November;17190.0
527;Total buildings;Building projects under construction;2015 December;17229.0
528;Total buildings;Building projects under construction;2015 4th quarter;17229.0
529;Total buildings;Building projects under construction;2015;17229.0
530;Total buildings;Building projects under construction;2016 January;17114.0
531;Total buildings;Building projects under construction;2016 February;17188.0
532;Total buildings;Building projects under construction;2016 March;16992.0
533;Total buildings;Building projects under construction;2016 1st quarter;16992.0
534;Total buildings;Building projects under construction;2016 April;16856.0
535;Total buildings;Building projects under construction;2016 May;16980.0
536;Total buildings;Building projects under construction;2016 June;16841.0
537;Total buildings;Building projects under construction;2016 2nd quarter;16841.0
538;Total buildings;Building projects under construction;2016 July;16786.0
539;Total buildings;Building projects under construction;2016 August;17513.0
540;Total buildings;Building projects under construction;2016 September;17444.0
541;Total buildings;Building projects under construction;2016 3rd quarter;17444.0
542;Total buildings;Building projects under construction;2016 October;17427.0
543;Total buildings;Building projects under construction;2016 November;17525.0
544;Total buildings;Building projects under construction;2016 December;17740.0
545;Total buildings;Building projects under construction;2016 4th quarter;17740.0
546;Total buildings;Building projects under construction;2016;17740.0
547;Total buildings;Building projects under construction;2017 January;18439.0
548;Total buildings;Building projects under construction;2017 February;18683.0
549;Total buildings;Building projects under construction;2017 March;18588.0
550;Total buildings;Building projects under construction;2017 1st quarter;18588.0
551;Total buildings;Building projects under construction;2017 April;18871.0
552;Total buildings;Building projects under construction;2017 May;19447.0
553;Total buildings;Building projects under construction;2017 June;19637.0
554;Total buildings;Building projects under construction;2017 2nd quarter;19637.0
555;Total buildings;Building projects under construction;2017 July;19791.0
556;Total buildings;Building projects under construction;2017 August;20976.0
557;Total buildings;Building projects under construction;2017 September;21111.0
558;Total buildings;Building projects under construction;2017 3rd quarter;21111.0
559;Total buildings;Building projects under construction;2017 October;21068.0
560;Total buildings;Building projects under construction;2017 November;21338.0
561;Total buildings;Building projects under construction;2017 December;22024.0
562;Total buildings;Building projects under construction;2017 4th quarter;22024.0
563;Total buildings;Building projects under construction;2017;22024.0
564;Total buildings;Building projects under construction;2018 January;22022.0
565;Total buildings;Building projects under construction;2018 February;22313.0
566;Total buildings;Building projects under construction;2018 March;22390.0
567;Total buildings;Building projects under construction;2018 1st quarter;22390.0
568;Total buildings;Building projects under construction;2018 April;22465.0
569;Total buildings;Building projects under construction;2018 May;22607.0
570;Total buildings;Building projects under construction;2018 June;22448.0
571;Total buildings;Building projects under construction;2018 2nd quarter;22448.0
572;Total buildings;Building projects under construction;2018 July;22536.0
573;Total buildings;Building projects under construction;2018 August;23281.0
574;Total buildings;Building projects under construction;2018 September;23560.0
575;Total buildings;Building projects under construction;2018 3rd quarter;23560.0
576;Total buildings;Building projects under construction;2018 October;23570.0
577;Total buildings;Building projects under construction;2018 November;23962.0
578;Total buildings;Building projects under construction;2018 December;24654.0
579;Total buildings;Building projects under construction;2018 4th quarter;24654.0
580;Total buildings;Building projects under construction;2018;24654.0
581;Total buildings;Building projects under construction;2019 January;24986.0
582;Total buildings;Building projects under construction;2019 February;25126.0
583;Total buildings;Building projects under construction;2019 March;24720.0
584;Total buildings;Building projects under construction;2019 1st quarter;24720.0
585;Total buildings;Building projects under construction;2019 April;24700.0
586;Total buildings;Building projects under construction;2019 May;24886.0
587;Total buildings;Building projects under construction;2019 June;24961.0
588;Total buildings;Building projects under construction;2019 2nd quarter;24961.0
589;Total buildings;Building projects under construction;2019 July;24549.0
590;Total buildings;Building projects under construction;2019 August;25510.0
591;Total buildings;Building projects under construction;2019 September;25294.0
592;Total buildings;Building projects under construction;2019 3rd quarter;25294.0
593;Total buildings;Building projects under construction;2019 October;24894.0
594;Total buildings;Building projects under construction;2019 November;24818.0
595;Total buildings;Building projects under construction;2019 December;25449.0
596;Total buildings;Building projects under construction;2019 4th quarter;25449.0
597;Total buildings;Building projects under construction;2019;25449.0
598;Total buildings;Building projects under construction;2020 January;25501.0
599;Total buildings;Building projects under construction;2020 February;25626.0
600;Total buildings;Building projects under construction;2020 March;25326.0
601;Total buildings;Building projects under construction;2020 1st quarter;25326.0
602;Total buildings;Building projects under construction;2020 April;25715.0
603;Total buildings;Building projects under construction;2020 May;25695.0
604;Total buildings;Building projects under construction;2020 June;26160.0
605;Total buildings;Building projects under construction;2020 2nd quarter;26160.0
606;Total buildings;Building projects under construction;2020 July;26626.0
607;Total buildings;Building projects under construction;2020 August;27228.0
608;Total buildings;Building projects under construction;2020 September;27203.0
609;Total buildings;Building projects under construction;2020 3rd quarter;27203.0
610;Total buildings;Building projects under construction;2020 October;27371.0
611;Total buildings;Building projects under construction;2020 November;27700.0
612;Total buildings;Building projects under construction;2020 December;28266.0
613;Total buildings;Building projects under construction;2020 4th quarter;28266.0
614;Total buildings;Building projects under construction;2020;28266.0
615;Total buildings;Building projects under construction;2021 January;28747.0
616;Total buildings;Building projects under construction;2021 February;29230.0
617;Total buildings;Building projects under construction;2021 March;28782.0
618;Total buildings;Building projects under construction;2021 1st quarter;28782.0
619;Total buildings;Building projects under construction;2021 April;29361.0
620;Total buildings;Building projects under construction;2021 May;30246.0
621;Total buildings;Building projects under construction;2021 June;30554.0
622;Total buildings;Building projects under construction;2021 2nd quarter;30554.0
623;Total buildings;Building projects under construction;2021 July;30680.0
624;Total buildings;Building projects under construction;2021 August;31787.0
625;Total buildings;Building projects under construction;2021 September;31664.0
626;Total buildings;Building projects under construction;2021 3rd quarter;31664.0
627;Total buildings;Building projects under construction;2021 October;31939.0
628;Total buildings;Building projects under construction;2021 November;31696.0
