ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
6326;Maritime transport;Imports;4 Ores and metal waste;Africa;2008;194;175;214;10.0;0;;1640;1385;1896;16.0;0;1.0
6327;Maritime transport;Imports;4 Ores and metal waste;Africa;2009;63;58;69;9.0;0;;218;188;248;14.0;0;1.0
6328;Maritime transport;Imports;4 Ores and metal waste;Africa;2010;139;126;151;9.0;0;;359;310;409;14.0;0;5.0
6329;Maritime transport;Imports;4 Ores and metal waste;Africa;2011;187;170;204;9.0;0;;311;266;356;14.0;0;1.0
6330;Maritime transport;Imports;4 Ores and metal waste;Africa;2012;229;210;248;8.0;0;;317;271;363;15.0;0;9.0
6331;Maritime transport;Imports;4 Ores and metal waste;Africa;2013;171;155;186;9.0;0;;318;270;366;15.0;0;9.0
6332;Maritime transport;Imports;4 Ores and metal waste;Africa;2014;114;104;124;9.0;0;;217;181;252;16.0;0;1.0
6333;Maritime transport;Imports;4 Ores and metal waste;Africa;2015;118;106;129;10.0;0;;230;192;268;16.0;0;9.0
6334;Maritime transport;Imports;4 Ores and metal waste;Africa;2016;118;106;130;10.0;0;;268;227;308;15.0;0;9.0
6335;Maritime transport;Imports;4 Ores and metal waste;Africa;2017;141;126;156;11.0;0;;356;303;408;15.0;0;5.0
6336;Maritime transport;Imports;4 Ores and metal waste;America;2007;1138;1059;1218;7.0;0;;6088;5450;6726;10.0;2;
6337;Maritime transport;Imports;4 Ores and metal waste;America;2008;1499;1400;1597;7.0;0;;7469;6977;7961;7.0;2;5.0
6338;Maritime transport;Imports;4 Ores and metal waste;America;2009;556;519;594;7.0;0;;4857;4459;5254;8.0;1;1.0
6339;Maritime transport;Imports;4 Ores and metal waste;America;2010;980;903;1058;8.0;0;;6710;6138;7282;9.0;2;5.0
6340;Maritime transport;Imports;4 Ores and metal waste;America;2011;1221;1133;1308;7.0;0;;5297;4757;5838;10.0;1;1.0
6341;Maritime transport;Imports;4 Ores and metal waste;America;2012;1179;1109;1249;6.0;0;;3742;3311;4172;11.0;1;1.0
6342;Maritime transport;Imports;4 Ores and metal waste;America;2013;905;846;964;7.0;0;;3855;3376;4335;12.0;1;9.0
6343;Maritime transport;Imports;4 Ores and metal waste;America;2014;711;655;767;8.0;0;;3075;2652;3498;14.0;1;1.0
6344;Maritime transport;Imports;4 Ores and metal waste;America;2015;636;577;695;9.0;0;;4199;3684;4715;12.0;1;5.0
6345;Maritime transport;Imports;4 Ores and metal waste;America;2016;457;418;496;9.0;0;;4345;3856;4834;11.0;1;9.0
6346;Maritime transport;Imports;4 Ores and metal waste;America;2017;515;466;564;9.0;0;;4750;4239;5261;11.0;1;9.0
6347;Maritime transport;Imports;4 Ores and metal waste;Asia;2007;278;242;315;13.0;0;;875;740;1010;15.0;0;
6348;Maritime transport;Imports;4 Ores and metal waste;Asia;2008;286;258;313;10.0;0;;519;448;589;14.0;0;1.0
6349;Maritime transport;Imports;4 Ores and metal waste;Asia;2009;93;81;106;14.0;0;;217;184;250;15.0;0;1.0
6350;Maritime transport;Imports;4 Ores and metal waste;Asia;2010;204;185;222;9.0;0;;202;180;224;11.0;0;9.0
6351;Maritime transport;Imports;4 Ores and metal waste;Asia;2011;195;179;211;8.0;0;;581;495;666;15.0;0;5.0
6352;Maritime transport;Imports;4 Ores and metal waste;Asia;2012;130;119;140;8.0;0;;443;372;514;16.0;0;1.0
6353;Maritime transport;Imports;4 Ores and metal waste;Asia;2013;48;44;52;8.0;0;;49;43;56;14.0;0;1.0
6354;Maritime transport;Imports;4 Ores and metal waste;Asia;2014;48;40;56;16.0;0;;60;48;73;21.0;0;5.0
6355;Maritime transport;Imports;4 Ores and metal waste;Asia;2015;35;28;42;20.0;0;;48;35;60;27.0;0;1.0
6356;Maritime transport;Imports;4 Ores and metal waste;Asia;2016;41;38;45;9.0;0;;47;39;55;17.0;0;9.0
6357;Maritime transport;Imports;4 Ores and metal waste;Asia;2017;53;40;65;24.0;0;;103;80;127;23.0;0;5.0
6358;Maritime transport;Imports;4 Ores and metal waste;Europe;2007;810;657;964;19.0;0;;2967;2210;3723;25.0;1;
6359;Maritime transport;Imports;4 Ores and metal waste;Europe;2008;646;531;761;18.0;0;;2277;1585;2969;30.0;1;1.0
6360;Maritime transport;Imports;4 Ores and metal waste;Europe;2009;349;257;440;26.0;0;;2581;2003;3159;22.0;1;9.0
6361;Maritime transport;Imports;4 Ores and metal waste;Europe;2010;891;739;1044;17.0;0;;3715;3014;4417;19.0;1;5.0
6362;Maritime transport;Imports;4 Ores and metal waste;Europe;2011;1192;970;1414;19.0;0;;3328;2670;3986;20.0;1;9.0
6363;Maritime transport;Imports;4 Ores and metal waste;Europe;2012;969;785;1153;19.0;0;;4003;3204;4801;20.0;1;9.0
6364;Maritime transport;Imports;4 Ores and metal waste;Europe;2013;720;562;879;22.0;0;;5134;4122;6146;20.0;1;5.0
6365;Maritime transport;Imports;4 Ores and metal waste;Europe;2014;825;698;953;15.0;0;;5845;4836;6854;17.0;2;9.0
6366;Maritime transport;Imports;4 Ores and metal waste;Europe;2015;640;531;749;17.0;0;;5068;4208;5929;17.0;1;9.0
6367;Maritime transport;Imports;4 Ores and metal waste;Europe;2016;426;324;527;24.0;0;;3583;2851;4315;20.0;1;1.0
6368;Maritime transport;Imports;4 Ores and metal waste;Europe;2017;750;618;881;18.0;0;;4463;3688;5238;17.0;1;5.0
6369;Maritime transport;Imports;4 Ores and metal waste;Oceania;2007;88;73;103;17.0;0;;781;628;935;20.0;0;
6370;Maritime transport;Imports;4 Ores and metal waste;Oceania;2008;76;66;86;14.0;0;;585;474;696;19.0;0;1.0
6371;Maritime transport;Imports;4 Ores and metal waste;Oceania;2009;16;11;21;32.0;0;;20;16;25;22.0;0;1.0
6372;Maritime transport;Imports;4 Ores and metal waste;Oceania;2010;46;37;54;18.0;0;;53;43;63;19.0;0;5.0
6373;Maritime transport;Imports;4 Ores and metal waste;Oceania;2011;92;79;105;14.0;0;;74;59;88;20.0;0;5.0
6374;Maritime transport;Imports;4 Ores and metal waste;Oceania;2012;98;85;110;13.0;0;;76;61;90;20.0;0;9.0
6375;Maritime transport;Imports;4 Ores and metal waste;Oceania;2013;37;32;42;13.0;0;;39;32;47;19.0;0;1.0
6376;Maritime transport;Imports;4 Ores and metal waste;Oceania;2014;49;38;59;21.0;0;;72;53;91;27.0;0;5.0
6377;Maritime transport;Imports;4 Ores and metal waste;Oceania;2015;52;40;63;23.0;0;;66;47;85;29.0;0;9.0
6378;Maritime transport;Imports;4 Ores and metal waste;Oceania;2016;35;31;40;13.0;0;;50;40;59;20.0;0;1.0
6379;Maritime transport;Imports;4 Ores and metal waste;Oceania;2017;36;26;46;27.0;0;;46;31;61;33.0;0;9.0
6380;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
6381;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2008;0;0;1;;0;;0;0;3;;0;
6382;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
6383;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2010;0;0;0;;0;;0;0;1;19.0;0;
6384;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2011;0;0;2;14.0;0;;0;0;1;20.0;0;5.0
6385;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2012;0;0;3;13.0;0;;0;0;4;20.0;0;9.0
6386;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2013;0;0;2;13.0;0;;0;0;3;19.0;0;1.0
6387;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2014;0;0;4;21.0;0;;0;0;5;27.0;0;5.0
6388;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2015;0;0;2;23.0;0;;0;0;7;29.0;0;9.0
6389;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2016;0;0;1;13.0;0;;0;0;1;20.0;0;1.0
6390;Maritime transport;Imports;4 Ores and metal waste;Unspecified countries and areas;2017;0;0;1;27.0;0;;0;0;3;33.0;0;9.0
6391;Maritime transport;Imports;5 Metal products;Total all continents;2007;7018;6590;7446;6.0;2;;3816;3512;4119;8.0;1;
6392;Maritime transport;Imports;5 Metal products;Total all continents;2008;5248;4878;5617;7.0;2;1.0;3545;3237;3854;9.0;1;9.0
6393;Maritime transport;Imports;5 Metal products;Total all continents;2009;3174;2944;3405;7.0;1;1.0;2725;2490;2959;9.0;1;1.0
6394;Maritime transport;Imports;5 Metal products;Total all continents;2010;4802;4461;5143;7.0;1;5.0;3445;3122;3769;9.0;1;5.0
6395;Maritime transport;Imports;5 Metal products;Total all continents;2011;6586;6195;6977;6.0;2;5.0;5194;4807;5580;7.0;1;5.0
6396;Maritime transport;Imports;5 Metal products;Total all continents;2012;6216;5855;6577;6.0;2;2.0;4702;4337;5066;8.0;1;2.0
6397;Maritime transport;Imports;5 Metal products;Total all continents;2013;5723;5405;6040;6.0;1;2.0;3867;3574;4161;8.0;1;1.0
6398;Maritime transport;Imports;5 Metal products;Total all continents;2014;6609;6253;6966;5.0;2;5.0;4805;4452;5157;7.0;1;5.0
6399;Maritime transport;Imports;5 Metal products;Total all continents;2015;6369;6015;6724;6.0;2;9.0;4347;4024;4671;7.0;1;2.0
6400;Maritime transport;Imports;5 Metal products;Total all continents;2016;6183;5831;6534;6.0;2;9.0;4933;4560;5306;8.0;1;5.0
6401;Maritime transport;Imports;5 Metal products;Total all continents;2017;7017;6616;7418;6.0;2;5.0;5178;4811;5545;7.0;1;9.0
6402;Maritime transport;Imports;5 Metal products;Africa;2007;153;119;188;22.0;0;;224;183;265;18.0;0;
6403;Maritime transport;Imports;5 Metal products;Africa;2008;112;92;132;18.0;0;;175;141;208;19.0;0;1.0
6404;Maritime transport;Imports;5 Metal products;Africa;2009;56;46;67;18.0;0;;110;86;134;22.0;0;1.0
6405;Maritime transport;Imports;5 Metal products;Africa;2010;128;98;158;23.0;0;;126;89;163;29.0;0;9.0
6406;Maritime transport;Imports;5 Metal products;Africa;2011;76;44;108;42.0;0;;71;42;100;41.0;0;1.0
6407;Maritime transport;Imports;5 Metal products;Africa;2012;83;52;115;38.0;0;;86;59;112;31.0;0;9.0
6408;Maritime transport;Imports;5 Metal products;Africa;2013;229;181;276;21.0;0;;186;137;235;26.0;0;5.0
6409;Maritime transport;Imports;5 Metal products;Africa;2014;215;171;259;20.0;0;;153;106;201;31.0;0;9.0
6410;Maritime transport;Imports;5 Metal products;Africa;2015;199;160;238;20.0;0;;129;97;160;25.0;0;9.0
6411;Maritime transport;Imports;5 Metal products;Africa;2016;172;133;212;23.0;0;;98;68;129;31.0;0;1.0
6412;Maritime transport;Imports;5 Metal products;Africa;2017;187;147;227;22.0;0;;114;83;145;27.0;0;9.0
6413;Maritime transport;Imports;5 Metal products;America;2007;946;804;1087;15.0;0;;328;268;389;18.0;0;
6414;Maritime transport;Imports;5 Metal products;America;2008;587;517;657;12.0;0;;242;205;279;15.0;0;1.0
6415;Maritime transport;Imports;5 Metal products;America;2009;235;205;264;13.0;0;;152;124;179;18.0;0;1.0
6416;Maritime transport;Imports;5 Metal products;America;2010;313;257;369;18.0;0;;88;64;112;27.0;0;1.0
6417;Maritime transport;Imports;5 Metal products;America;2011;853;722;983;15.0;0;;1095;877;1313;20.0;0;5.0
6418;Maritime transport;Imports;5 Metal products;America;2012;597;506;688;15.0;0;;812;633;992;22.0;0;1.0
6419;Maritime transport;Imports;5 Metal products;America;2013;398;333;463;16.0;0;;275;216;335;22.0;0;1.0
6420;Maritime transport;Imports;5 Metal products;America;2014;572;491;653;14.0;0;;602;479;725;20.0;0;5.0
6421;Maritime transport;Imports;5 Metal products;America;2015;532;461;603;13.0;0;;628;505;751;20.0;0;9.0
6422;Maritime transport;Imports;5 Metal products;America;2016;487;417;556;14.0;0;;889;700;1078;21.0;0;5.0
6423;Maritime transport;Imports;5 Metal products;America;2017;410;351;470;14.0;0;;742;589;896;21.0;0;1.0
6424;Maritime transport;Imports;5 Metal products;Asia;2007;668;523;813;22.0;0;;410;296;525;28.0;0;
6425;Maritime transport;Imports;5 Metal products;Asia;2008;651;431;870;34.0;0;;380;244;517;36.0;0;9.0
6426;Maritime transport;Imports;5 Metal products;Asia;2009;331;266;396;20.0;0;;188;143;233;24.0;0;1.0
6427;Maritime transport;Imports;5 Metal products;Asia;2010;499;398;600;20.0;0;;286;217;356;24.0;0;5.0
6428;Maritime transport;Imports;5 Metal products;Asia;2011;640;461;820;28.0;0;;382;254;510;33.0;0;9.0
6429;Maritime transport;Imports;5 Metal products;Asia;2012;612;454;771;26.0;0;;340;232;447;32.0;0;9.0
6430;Maritime transport;Imports;5 Metal products;Asia;2013;582;454;710;22.0;0;;351;251;450;28.0;0;9.0
6431;Maritime transport;Imports;5 Metal products;Asia;2014;728;609;847;16.0;0;;435;342;528;21.0;0;9.0
6432;Maritime transport;Imports;5 Metal products;Asia;2015;632;528;737;17.0;0;;352;277;427;21.0;0;1.0
6433;Maritime transport;Imports;5 Metal products;Asia;2016;525;428;622;18.0;0;;356;271;440;24.0;0;9.0
6434;Maritime transport;Imports;5 Metal products;Asia;2017;564;462;666;18.0;0;;361;286;435;21.0;0;9.0
6435;Maritime transport;Imports;5 Metal products;Europe;2007;5249;4834;5664;8.0;2;;2852;2557;3148;10.0;1;
6436;Maritime transport;Imports;5 Metal products;Europe;2008;3859;3463;4255;10.0;1;;2745;2437;3053;11.0;1;9.0
6437;Maritime transport;Imports;5 Metal products;Europe;2009;2545;2316;2774;9.0;1;;2275;2042;2507;10.0;1;1.0
6438;Maritime transport;Imports;5 Metal products;Europe;2010;3860;3522;4198;9.0;1;;2945;2625;3264;11.0;1;5.0
6439;Maritime transport;Imports;5 Metal products;Europe;2011;5017;4615;5419;8.0;1;;3646;3296;3995;10.0;1;5.0
6440;Maritime transport;Imports;5 Metal products;Europe;2012;4924;4546;5301;8.0;1;;3464;3121;3806;10.0;1;9.0
6441;Maritime transport;Imports;5 Metal products;Europe;2013;4508;4177;4839;7.0;1;;3054;2760;3348;10.0;1;1.0
6442;Maritime transport;Imports;5 Metal products;Europe;2014;5069;4709;5430;7.0;1;;3613;3277;3948;9.0;1;5.0
6443;Maritime transport;Imports;5 Metal products;Europe;2015;4997;4640;5355;7.0;1;;3238;2932;3543;9.0;1;1.0
6444;Maritime transport;Imports;5 Metal products;Europe;2016;4991;4631;5351;7.0;1;;3589;3245;3933;10.0;1;5.0
6445;Maritime transport;Imports;5 Metal products;Europe;2017;5845;5435;6255;7.0;1;;3959;3606;4313;9.0;1;5.0
6446;Maritime transport;Imports;5 Metal products;Oceania;2007;2;0;4;;0;;1;0;2;;0;
6447;Maritime transport;Imports;5 Metal products;Oceania;2008;40;7;73;83.0;0;;4;0;7;87.0;0;9.0
6448;Maritime transport;Imports;5 Metal products;Oceania;2009;7;1;13;89.0;0;;1;0;2;;0;1.0
6449;Maritime transport;Imports;5 Metal products;Oceania;2010;2;0;5;;0;;0;0;1;;0;9.0
6450;Maritime transport;Imports;5 Metal products;Oceania;2011;1;0;2;;0;;0;0;0;;0;
6451;Maritime transport;Imports;5 Metal products;Oceania;2012;0;0;0;;0;;0;0;0;;0;
6452;Maritime transport;Imports;5 Metal products;Oceania;2013;6;0;15;;0;;1;0;3;;0;
6453;Maritime transport;Imports;5 Metal products;Oceania;2014;26;0;52;;0;;2;0;5;;0;9.0
6454;Maritime transport;Imports;5 Metal products;Oceania;2015;8;0;18;;0;;1;0;2;;0;1.0
6455;Maritime transport;Imports;5 Metal products;Oceania;2016;8;0;15;94.0;0;;1;0;2;104.0;0;9.0
6456;Maritime transport;Imports;5 Metal products;Oceania;2017;11;0;23;113.0;0;;1;0;3;118.0;0;9.0
6457;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2007;0;0;0;;0;;0;0;1;;0;
6458;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
6459;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
6460;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
6461;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2011;0;0;1;;0;;0;0;0;;0;
6462;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2012;0;0;1;;0;;0;0;0;;0;
6463;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2013;0;0;1;;0;;0;0;1;;0;
6464;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2014;0;0;6;;0;;0;0;15;;0;9.0
6465;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2015;0;0;2;;0;;0;0;2;;0;1.0
6466;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2016;0;0;1;94.0;0;;0;0;1;104.0;0;9.0
6467;Maritime transport;Imports;5 Metal products;Unspecified countries and areas;2017;0;0;2;113.0;0;;0;0;1;118.0;0;9.0
6468;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2007;565;526;604;7.0;0;;12435;11160;13709;10.0;3;
6469;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2008;586;548;624;7.0;0;9.0;12291;11024;13558;10.0;3;9.0
6470;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2009;386;362;410;6.0;0;1.0;9085;8125;10045;11.0;3;1.0
6471;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2010;682;639;725;6.0;0;5.0;14667;13305;16029;9.0;4;5.0
6472;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2011;712;672;752;6.0;0;9.0;12166;11163;13169;8.0;3;1.0
6473;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2012;557;525;589;6.0;0;1.0;7859;7103;8615;10.0;2;1.0
6474;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2013;530;502;558;5.0;0;9.0;7849;7192;8505;8.0;2;9.0
6475;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2014;567;536;598;6.0;0;4.0;8615;7889;9342;8.0;2;4.0
6476;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2015;634;596;672;6.0;0;5.0;7374;6670;8078;10.0;2;1.0
6477;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2016;721;677;764;6.0;0;5.0;7278;6556;8000;10.0;2;9.0
6478;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Total all continents;2017;625;582;669;7.0;0;1.0;8309;7574;9044;9.0;2;5.0
6479;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2007;7;4;10;44.0;0;;108;60;155;44.0;0;
6480;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2008;8;4;13;56.0;0;;137;70;204;49.0;0;9.0
6481;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2009;8;5;11;41.0;0;;128;77;179;40.0;0;9.0
6482;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2010;12;7;17;40.0;0;;237;135;338;43.0;0;5.0
6483;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2011;36;27;45;24.0;0;;495;387;603;22.0;0;5.0
6484;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2012;16;13;20;22.0;0;;204;149;259;27.0;0;1.0
6485;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2013;25;19;30;23.0;0;;342;256;428;25.0;0;5.0
6486;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2014;16;11;20;26.0;0;;186;134;237;28.0;0;1.0
6487;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2015;15;12;19;23.0;0;;161;116;206;28.0;0;9.0
6488;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2016;10;8;13;26.0;0;;97;67;126;30.0;0;1.0
6489;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Africa;2017;11;8;14;31.0;0;;79;50;108;37.0;0;9.0
6490;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2007;42;23;61;46.0;0;;261;137;384;47.0;0;
6491;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2008;31;13;50;58.0;0;;136;61;211;55.0;0;1.0
6492;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2009;26;12;40;55.0;0;;78;25;130;68.0;0;1.0
6493;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2010;38;17;58;55.0;0;;205;53;357;74.0;0;9.0
6494;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2011;68;48;87;29.0;0;;659;404;914;39.0;0;5.0
6495;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2012;37;26;48;30.0;0;;78;45;112;42.0;0;1.0
6496;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2013;53;41;65;23.0;0;;330;216;445;35.0;0;5.0
6497;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2014;58;44;72;24.0;0;;148;92;204;38.0;0;1.0
6498;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2015;90;69;110;23.0;0;;84;50;117;40.0;0;1.0
6499;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2016;101;67;135;34.0;0;;96;51;142;47.0;0;9.0
6500;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;America;2017;65;45;86;31.0;0;;89;54;125;40.0;0;9.0
6501;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Asia;2007;170;114;225;33.0;0;;745;422;1068;43.0;0;
6502;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Asia;2008;194;131;257;33.0;0;;711;383;1039;46.0;0;9.0
6503;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Asia;2009;96;63;129;35.0;0;;383;189;576;51.0;0;1.0
6504;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Asia;2010;209;128;291;39.0;0;;658;336;979;49.0;0;9.0
6505;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Asia;2011;189;131;246;30.0;0;;669;462;876;31.0;0;9.0
6506;Maritime transport;Imports;6 Crude and manufactured minerals, bu...;Asia;2012;156;110;203;30.0;0;;510;340;680;33.0;0;1.0
