ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
287;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);1999 3rd quarter;27.0;2.0
288;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);1999 4th quarter;47.0;4.0
289;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);1999;99.0;3.0
290;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2000 1st quarter;51.0;6.0
291;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2000 2nd quarter;67.0;8.0
292;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2000 3rd quarter;118.0;10.0
293;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2000 4th quarter;117.0;12.0
294;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2000;353.0;10.0
295;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2001 1st quarter;154.0;13.0
296;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2001 2nd quarter;185.0;15.0
297;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2001 3rd quarter;207.0;17.0
298;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2001 4th quarter;204.0;20.0
299;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2001;750.0;16.0
300;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2002 1st quarter;369.0;25.0
301;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2002 2nd quarter;432.0;29.0
302;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2002 3rd quarter;581.0;30.0
303;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2002 4th quarter;623.0;31.0
304;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2002;2005.0;29.0
305;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2003 1st quarter;714.0;31.0
306;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2003 2nd quarter;883.0;31.0
307;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2003 3rd quarter;896.0;31.0
308;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2003 4th quarter;935.0;30.0
309;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2003;3428.0;31.0
310;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2004 1st quarter;721.0;31.0
311;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2004 2nd quarter;923.0;31.0
312;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2004 3rd quarter;884.0;32.0
313;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2004 4th quarter;934.0;30.0
314;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2004;3462.0;31.0
315;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2005 1st quarter;998.0;33.0
316;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2005 2nd quarter;1083.0;31.0
317;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2005 3rd quarter;1080.0;31.0
318;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2005 4th quarter;1080.0;30.0
319;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2005;4241.0;31.0
320;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2006 1st quarter;960.0;30.0
321;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2006 2nd quarter;1162.0;31.0
322;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2006 3rd quarter;1161.0;32.0
323;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2006 4th quarter;1348.0;31.0
324;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2006;4631.0;31.0
325;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2007 1st quarter;1210.0;32.0
326;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2007 2nd quarter;1562.0;35.0
327;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2007 3rd quarter;1371.0;34.0
328;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2007 4th quarter;1421.0;34.0
329;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2007;5564.0;34.0
330;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2008 1st quarter;1630.0;35.0
331;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2008 2nd quarter;1583.0;35.0
332;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2008 3rd quarter;1385.0;35.0
333;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2008 4th quarter;1609.0;35.0
334;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2008;6207.0;35.0
335;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2009 1st quarter;1534.0;37.0
336;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2009 2nd quarter;1586.0;38.0
337;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2009 3rd quarter;1465.0;37.0
338;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2009 4th quarter;1627.0;38.0
339;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2009;6212.0;38.0
340;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2010 1st quarter;1435.0;38.0
341;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2010 2nd quarter;1453.0;38.0
342;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2010 3rd quarter;1461.0;39.0
343;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2010 4th quarter;1793.0;38.0
344;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2010;6142.0;38.0
345;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2011 1st quarter;1355.0;37.0
346;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2011 2nd quarter;1104.0;38.0
347;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2011 3rd quarter;1049.0;38.0
348;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2011 4th quarter;1053.0;37.0
349;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2011;4561.0;38.0
350;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2012 1st quarter;1056.0;36.0
351;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2012 2nd quarter;1036.0;35.0
352;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2012 3rd quarter;1021.0;34.0
353;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2012 4th quarter;1136.0;35.0
354;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2012;4249.0;35.0
355;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2013 1st quarter;1159.0;35.0
356;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2013 2nd quarter;1135.0;36.0
357;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2013 3rd quarter;1159.0;35.0
358;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2013 4th quarter;1327.0;36.0
359;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2013;4780.0;35.0
360;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2014 1st quarter;1340.0;37.0
361;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2014 2nd quarter;1454.0;36.0
362;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2014 3rd quarter;1485.0;36.0
363;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2014 4th quarter;1450.0;36.0
364;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2014;5729.0;36.0
365;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2015 1st quarter;1484.0;36.0
366;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2015 2nd quarter;1361.0;37.0
367;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2015 3rd quarter;1523.0;37.0
368;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2015 4th quarter;1461.0;36.0
369;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2015;5829.0;36.0
370;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2016 1st quarter;1404.0;36.0
371;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2016 2nd quarter;1270.0;35.0
372;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2016 3rd quarter;1263.0;36.0
373;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2016 4th quarter;1313.0;36.0
374;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2016;5250.0;36.0
375;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2017 1st quarter;1092.0;35.0
376;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2017 2nd quarter;1267.0;36.0
377;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2017 3rd quarter;1119.0;37.0
378;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2017 4th quarter;1195.0;37.0
379;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);2017;4673.0;36.0
380;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);1999 1st quarter;16.0;0.0
381;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);1999 2nd quarter;22.0;1.0
382;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);1999 3rd quarter;37.0;2.0
383;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);1999 4th quarter;41.0;3.0
384;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);1999;116.0;2.0
385;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2000 1st quarter;37.0;6.0
386;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2000 2nd quarter;57.0;7.0
387;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2000 3rd quarter;88.0;9.0
388;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2000 4th quarter;77.0;11.0
389;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2000;259.0;9.0
390;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2001 1st quarter;117.0;12.0
391;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2001 2nd quarter;136.0;14.0
392;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2001 3rd quarter;110.0;16.0
393;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2001 4th quarter;137.0;18.0
394;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2001;500.0;15.0
395;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2002 1st quarter;183.0;24.0
396;All ended debt restructuring plans;Natural persons total;South of the Netherlands (LD);2002 2nd quarter;288.0;29.0
