ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
8944;Total natural persons;Overijssel (PV);2020 August;4.0
8945;Total natural persons;Overijssel (PV);2020 September;3.0
8946;Total natural persons;Overijssel (PV);2020 3rd quarter;12.0
8947;Total natural persons;Overijssel (PV);2020 October;4.0
8948;Total natural persons;Overijssel (PV);2020 November;8.0
8949;Total natural persons;Overijssel (PV);2020 December;1.0
8950;Total natural persons;Overijssel (PV);2020 4th quarter;13.0
8951;Total natural persons;Overijssel (PV);2020;73.0
8952;Total natural persons;Overijssel (PV);2021 January;9.0
8953;Total natural persons;Overijssel (PV);2021 February;3.0
8954;Total natural persons;Overijssel (PV);2021 March;5.0
8955;Total natural persons;Overijssel (PV);2021 1st quarter;17.0
8956;Total natural persons;Overijssel (PV);2021 April;10.0
8957;Total natural persons;Overijssel (PV);2021 May;8.0
8958;Total natural persons;Overijssel (PV);2021 June;7.0
8959;Total natural persons;Overijssel (PV);2021 2nd quarter;25.0
8960;Total natural persons;Overijssel (PV);2021 July;4.0
8961;Total natural persons;Overijssel (PV);2021 August;4.0
8962;Total natural persons;Overijssel (PV);2021 September;8.0
8963;Total natural persons;Overijssel (PV);2021 3rd quarter;16.0
8964;Total natural persons;Overijssel (PV);2021 October;4.0
8965;Total natural persons;Overijssel (PV);2021 November;1.0
8966;Total natural persons;Overijssel (PV);2021 December;5.0
8967;Total natural persons;Overijssel (PV);2021 4th quarter;10.0
8968;Total natural persons;Overijssel (PV);2021;68.0
8969;Total natural persons;Overijssel (PV);2022 January;0.0
8970;Total natural persons;Overijssel (PV);2022 February;8.0
8971;Total natural persons;Overijssel (PV);2022 March;2.0
8972;Total natural persons;Overijssel (PV);2022 1st quarter;10.0
8973;Total natural persons;Overijssel (PV);2022 April;1.0
8974;Total natural persons;Overijssel (PV);2022 May;4.0
8975;Total natural persons;Overijssel (PV);2022 June;5.0
8976;Total natural persons;Overijssel (PV);2022 2nd quarter;10.0
8977;Total natural persons;Overijssel (PV);2022 July;3.0
8978;Total natural persons;Overijssel (PV);2022 August;3.0
8979;Total natural persons;Overijssel (PV);2022 September;2.0
8980;Total natural persons;Overijssel (PV);2022 3rd quarter;8.0
8981;Total natural persons;Overijssel (PV);2022 October;6.0
8982;Total natural persons;Overijssel (PV);2022 November;7.0
8983;Total natural persons;Overijssel (PV);2022 December;4.0
8984;Total natural persons;Overijssel (PV);2022 4th quarter;17.0
8985;Total natural persons;Overijssel (PV);2022;45.0
8986;Total natural persons;Overijssel (PV);2023 January;6.0
8987;Total natural persons;Overijssel (PV);2023 February;8.0
8988;Total natural persons;Overijssel (PV);2023 March;3.0
8989;Total natural persons;Overijssel (PV);2023 1st quarter;17.0
8990;Total natural persons;Overijssel (PV);2023 April;7.0
8991;Total natural persons;Overijssel (PV);2023 May;9.0
8992;Total natural persons;Overijssel (PV);2023 June;8.0
8993;Total natural persons;Overijssel (PV);2023 2nd quarter;24.0
8994;Total natural persons;Overijssel (PV);2023 July;3.0
8995;Total natural persons;Overijssel (PV);2023 August;6.0
8996;Total natural persons;Overijssel (PV);2023 September;6.0
8997;Total natural persons;Overijssel (PV);2023 3rd quarter;15.0
8998;Total natural persons;Overijssel (PV);2023 October;7.0
8999;Total natural persons;Overijssel (PV);2023 November;3.0
9000;Total natural persons;Overijssel (PV);2023 December;3.0
9001;Total natural persons;Overijssel (PV);2023 4th quarter;13.0
9002;Total natural persons;Overijssel (PV);2023;69.0
9003;Total natural persons;Overijssel (PV);2024 January;9.0
9004;Total natural persons;Overijssel (PV);2024 February;6.0
9005;Total natural persons;Overijssel (PV);2024 March;10.0
9006;Total natural persons;Overijssel (PV);2024 1st quarter;25.0
9007;Total natural persons;Overijssel (PV);2024 April;6.0
9008;Total natural persons;Overijssel (PV);2024 May;1.0
9009;Total natural persons;Overijssel (PV);2024 June;4.0
9010;Total natural persons;Overijssel (PV);2024 2nd quarter;11.0
9011;Total natural persons;Overijssel (PV);2024 July;9.0
9012;Total natural persons;Overijssel (PV);2024 August;10.0
9013;Total natural persons;Overijssel (PV);2024 September;7.0
9014;Total natural persons;Overijssel (PV);2024 3rd quarter;26.0
9015;Total natural persons;Overijssel (PV);2024 October;7.0
9016;Total natural persons;Overijssel (PV);2024 November;4.0
9017;Total natural persons;Overijssel (PV);2024 December;8.0
9018;Total natural persons;Overijssel (PV);2024 4th quarter;19.0
9019;Total natural persons;Overijssel (PV);2024;81.0
9020;Total natural persons;Overijssel (PV);2025 January;9.0
9021;Total natural persons;Overijssel (PV);2025 February;2.0
9022;Total natural persons;Overijssel (PV);2025 March;6.0
9023;Total natural persons;Overijssel (PV);2025 1st quarter;17.0
9024;Total natural persons;Flevoland (PV);1981 January;
9025;Total natural persons;Flevoland (PV);1981 February;
9026;Total natural persons;Flevoland (PV);1981 March;
9027;Total natural persons;Flevoland (PV);1981 1st quarter;
9028;Total natural persons;Flevoland (PV);1981 April;
9029;Total natural persons;Flevoland (PV);1981 May;
9030;Total natural persons;Flevoland (PV);1981 June;
9031;Total natural persons;Flevoland (PV);1981 2nd quarter;
9032;Total natural persons;Flevoland (PV);1981 July;
9033;Total natural persons;Flevoland (PV);1981 August;
9034;Total natural persons;Flevoland (PV);1981 September;
9035;Total natural persons;Flevoland (PV);1981 3rd quarter;
9036;Total natural persons;Flevoland (PV);1981 October;
9037;Total natural persons;Flevoland (PV);1981 November;
9038;Total natural persons;Flevoland (PV);1981 December;
9039;Total natural persons;Flevoland (PV);1981 4th quarter;
9040;Total natural persons;Flevoland (PV);1981;
9041;Total natural persons;Flevoland (PV);1982 January;
9042;Total natural persons;Flevoland (PV);1982 February;
9043;Total natural persons;Flevoland (PV);1982 March;
9044;Total natural persons;Flevoland (PV);1982 1st quarter;
9045;Total natural persons;Flevoland (PV);1982 April;
9046;Total natural persons;Flevoland (PV);1982 May;
9047;Total natural persons;Flevoland (PV);1982 June;
9048;Total natural persons;Flevoland (PV);1982 2nd quarter;
9049;Total natural persons;Flevoland (PV);1982 July;
9050;Total natural persons;Flevoland (PV);1982 August;
9051;Total natural persons;Flevoland (PV);1982 September;
9052;Total natural persons;Flevoland (PV);1982 3rd quarter;
9053;Total natural persons;Flevoland (PV);1982 October;
9054;Total natural persons;Flevoland (PV);1982 November;
9055;Total natural persons;Flevoland (PV);1982 December;
9056;Total natural persons;Flevoland (PV);1982 4th quarter;
9057;Total natural persons;Flevoland (PV);1982;
9058;Total natural persons;Flevoland (PV);1983 January;
9059;Total natural persons;Flevoland (PV);1983 February;
9060;Total natural persons;Flevoland (PV);1983 March;
9061;Total natural persons;Flevoland (PV);1983 1st quarter;
9062;Total natural persons;Flevoland (PV);1983 April;
9063;Total natural persons;Flevoland (PV);1983 May;
9064;Total natural persons;Flevoland (PV);1983 June;
9065;Total natural persons;Flevoland (PV);1983 2nd quarter;
9066;Total natural persons;Flevoland (PV);1983 July;
9067;Total natural persons;Flevoland (PV);1983 August;
9068;Total natural persons;Flevoland (PV);1983 September;
9069;Total natural persons;Flevoland (PV);1983 3rd quarter;
9070;Total natural persons;Flevoland (PV);1983 October;
9071;Total natural persons;Flevoland (PV);1983 November;
9072;Total natural persons;Flevoland (PV);1983 December;
9073;Total natural persons;Flevoland (PV);1983 4th quarter;
9074;Total natural persons;Flevoland (PV);1983;
9075;Total natural persons;Flevoland (PV);1984 January;
9076;Total natural persons;Flevoland (PV);1984 February;
9077;Total natural persons;Flevoland (PV);1984 March;
9078;Total natural persons;Flevoland (PV);1984 1st quarter;
9079;Total natural persons;Flevoland (PV);1984 April;
9080;Total natural persons;Flevoland (PV);1984 May;
9081;Total natural persons;Flevoland (PV);1984 June;
9082;Total natural persons;Flevoland (PV);1984 2nd quarter;
9083;Total natural persons;Flevoland (PV);1984 July;
9084;Total natural persons;Flevoland (PV);1984 August;
9085;Total natural persons;Flevoland (PV);1984 September;
9086;Total natural persons;Flevoland (PV);1984 3rd quarter;
9087;Total natural persons;Flevoland (PV);1984 October;
9088;Total natural persons;Flevoland (PV);1984 November;
9089;Total natural persons;Flevoland (PV);1984 December;
9090;Total natural persons;Flevoland (PV);1984 4th quarter;
9091;Total natural persons;Flevoland (PV);1984;
9092;Total natural persons;Flevoland (PV);1985 January;
9093;Total natural persons;Flevoland (PV);1985 February;
9094;Total natural persons;Flevoland (PV);1985 March;
9095;Total natural persons;Flevoland (PV);1985 1st quarter;
9096;Total natural persons;Flevoland (PV);1985 April;
9097;Total natural persons;Flevoland (PV);1985 May;
9098;Total natural persons;Flevoland (PV);1985 June;
9099;Total natural persons;Flevoland (PV);1985 2nd quarter;
9100;Total natural persons;Flevoland (PV);1985 july;
9101;Total natural persons;Flevoland (PV);1985 August;
9102;Total natural persons;Flevoland (PV);1985 September;
9103;Total natural persons;Flevoland (PV);1985 3rd quarter;
9104;Total natural persons;Flevoland (PV);1985 October;
9105;Total natural persons;Flevoland (PV);1985 November;
9106;Total natural persons;Flevoland (PV);1985 December;
9107;Total natural persons;Flevoland (PV);1985 4th quarter;
9108;Total natural persons;Flevoland (PV);1985;
9109;Total natural persons;Flevoland (PV);1986 January;
9110;Total natural persons;Flevoland (PV);1986 February;
9111;Total natural persons;Flevoland (PV);1986 March;
9112;Total natural persons;Flevoland (PV);1986 1st quarter;
9113;Total natural persons;Flevoland (PV);1986 April;
9114;Total natural persons;Flevoland (PV);1986 May;
9115;Total natural persons;Flevoland (PV);1986 June;
9116;Total natural persons;Flevoland (PV);1986 2nd quarter;
9117;Total natural persons;Flevoland (PV);1986 July;
9118;Total natural persons;Flevoland (PV);1986 August;
9119;Total natural persons;Flevoland (PV);1986 September;
9120;Total natural persons;Flevoland (PV);1986 3rd quarter;
9121;Total natural persons;Flevoland (PV);1986 October;
9122;Total natural persons;Flevoland (PV);1986 November;
9123;Total natural persons;Flevoland (PV);1986 December;
9124;Total natural persons;Flevoland (PV);1986 4th quarter;
9125;Total natural persons;Flevoland (PV);1986;
9126;Total natural persons;Flevoland (PV);1987 January;
9127;Total natural persons;Flevoland (PV);1987 February;
9128;Total natural persons;Flevoland (PV);1987 March;
9129;Total natural persons;Flevoland (PV);1987 1st quarter;
9130;Total natural persons;Flevoland (PV);1987 April;
9131;Total natural persons;Flevoland (PV);1987 May;
9132;Total natural persons;Flevoland (PV);1987 June;
9133;Total natural persons;Flevoland (PV);1987 2nd quarter;
9134;Total natural persons;Flevoland (PV);1987 July;
9135;Total natural persons;Flevoland (PV);1987 August;
9136;Total natural persons;Flevoland (PV);1987 September;
9137;Total natural persons;Flevoland (PV);1987 3rd quarter;
9138;Total natural persons;Flevoland (PV);1987 October;
9139;Total natural persons;Flevoland (PV);1987 November;
9140;Total natural persons;Flevoland (PV);1987 December;
9141;Total natural persons;Flevoland (PV);1987 4th quarter;
9142;Total natural persons;Flevoland (PV);1987;
9143;Total natural persons;Flevoland (PV);1988 January;
9144;Total natural persons;Flevoland (PV);1988 February;
9145;Total natural persons;Flevoland (PV);1988 March;
9146;Total natural persons;Flevoland (PV);1988 1st quarter;
9147;Total natural persons;Flevoland (PV);1988 April;
9148;Total natural persons;Flevoland (PV);1988 May;
9149;Total natural persons;Flevoland (PV);1988 June;
9150;Total natural persons;Flevoland (PV);1988 2nd quarter;
9151;Total natural persons;Flevoland (PV);1988 July;
9152;Total natural persons;Flevoland (PV);1988 August;
9153;Total natural persons;Flevoland (PV);1988 September;
9154;Total natural persons;Flevoland (PV);1988 3rd quarter;
9155;Total natural persons;Flevoland (PV);1988 October;
9156;Total natural persons;Flevoland (PV);1988 November;
9157;Total natural persons;Flevoland (PV);1988 December;
9158;Total natural persons;Flevoland (PV);1988 4th quarter;
9159;Total natural persons;Flevoland (PV);1988;
9160;Total natural persons;Flevoland (PV);1989 January;
9161;Total natural persons;Flevoland (PV);1989 February;
9162;Total natural persons;Flevoland (PV);1989 March;
9163;Total natural persons;Flevoland (PV);1989 1st quarter;
9164;Total natural persons;Flevoland (PV);1989 April;
9165;Total natural persons;Flevoland (PV);1989 May;
9166;Total natural persons;Flevoland (PV);1989 June;
9167;Total natural persons;Flevoland (PV);1989 2nd quarter;
9168;Total natural persons;Flevoland (PV);1989 July;
9169;Total natural persons;Flevoland (PV);1989 August;
9170;Total natural persons;Flevoland (PV);1989 September;
9171;Total natural persons;Flevoland (PV);1989 3rd quarter;
9172;Total natural persons;Flevoland (PV);1989 October;
9173;Total natural persons;Flevoland (PV);1989 November;
9174;Total natural persons;Flevoland (PV);1989 December;
9175;Total natural persons;Flevoland (PV);1989 4th quarter;
9176;Total natural persons;Flevoland (PV);1989;
9177;Total natural persons;Flevoland (PV);1990 January;
9178;Total natural persons;Flevoland (PV);1990 February;
9179;Total natural persons;Flevoland (PV);1990 March;
9180;Total natural persons;Flevoland (PV);1990 1st quarter;
9181;Total natural persons;Flevoland (PV);1990 April;
9182;Total natural persons;Flevoland (PV);1990 May;
9183;Total natural persons;Flevoland (PV);1990 June;
9184;Total natural persons;Flevoland (PV);1990 2nd quarter;
9185;Total natural persons;Flevoland (PV);1990 July;
9186;Total natural persons;Flevoland (PV);1990 August;
9187;Total natural persons;Flevoland (PV);1990 September;
9188;Total natural persons;Flevoland (PV);1990 3rd quarter;
9189;Total natural persons;Flevoland (PV);1990 October;
9190;Total natural persons;Flevoland (PV);1990 November;
9191;Total natural persons;Flevoland (PV);1990 December;
9192;Total natural persons;Flevoland (PV);1990 4th quarter;
9193;Total natural persons;Flevoland (PV);1990;
9194;Total natural persons;Flevoland (PV);1991 January;
9195;Total natural persons;Flevoland (PV);1991 February;
9196;Total natural persons;Flevoland (PV);1991 March;
9197;Total natural persons;Flevoland (PV);1991 1st quarter;
9198;Total natural persons;Flevoland (PV);1991 April;
9199;Total natural persons;Flevoland (PV);1991 May;
9200;Total natural persons;Flevoland (PV);1991 June;
9201;Total natural persons;Flevoland (PV);1991 2nd quarter;
9202;Total natural persons;Flevoland (PV);1991 July;
9203;Total natural persons;Flevoland (PV);1991 August;
9204;Total natural persons;Flevoland (PV);1991 September;
