ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
238;Borssele;01 jan 1830 ;01 jan 1970 ;GM1254  ;Zeeland                            ;Z.             ;18300101;19700101    
239;Boschkapelle;01 jan 1830 ;01 jul 1936 ;GM1027  ;Zeeland                            ;Z.             ;18300101;19360701    
240;Boskoop;01 jan 1830 ;01 jan 2014 ;GM0499  ;Zuid-Holland                       ;ZH.            ;18300101;20140101    
241;Bovenkarspel;01 jan 1830 ;01 jan 1979 ;GM0379  ;Noord-Holland                      ;NH.            ;18300101;19790101    
242;Boxmeer;01 jan 1830 ;01 jan 2022 ;GM0756  ;Noord-Brabant                      ;NB.            ;18300101;20220101    
243;Boxtel;01 jan 1830 ;            ;GM0757  ;Noord-Brabant                      ;NB.            ;18300101;            
244;Brakel;01 jan 1830 ;01 jan 1999 ;GM0212  ;Gelderland                         ;Gld.           ;18300101;19990101    
245;Brandwijk;01 jan 1830 ;01 jan 1986 ;GM0500  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
246;Breda;01 jan 1830 ;            ;GM0758  ;Noord-Brabant                      ;NB.            ;18300101;            
247;Brederwiede;01 jan 1973 ;01 jan 2001 ;GM0194  ;Overijssel                         ;O.             ;19730101;20010101    
248;Breskens;01 jan 1830 ;01 apr 1970 ;GM0655  ;Zeeland                            ;Z.             ;18300101;19700401    
249;Breukelen;01 jan 1949 ;01 jan 2011 ;GM0311  ;Utrecht                            ;U.             ;19490101;20110101    
250;Breukelen-Nijenrode;01 jan 1830 ;01 jan 1949 ;GM1028  ;Utrecht                            ;U.             ;18300101;19490101    
251;Breukelen-Sint Pieters;01 jan 1830 ;01 jan 1949 ;GM1029  ;Utrecht                            ;U.             ;18300101;19490101    
252;Brielle;01 jan 1830 ;01 jan 2023 ;GM0501  ;Zuid-Holland                       ;ZH.            ;18300101;20230101    
253;Broek;01 jan 1830 ;01 jun 1870 ;GM1030  ;Zuid-Holland                       ;ZH.            ;18300101;18700601    
254;Broek in Waterland;01 jan 1830 ;01 jan 1991 ;GM0380  ;Noord-Holland                      ;NH.            ;18300101;19910101    
255;Broek op Langedijk;01 jan 1830 ;01 aug 1941 ;GM1031  ;Noord-Holland                      ;NH.            ;18300101;19410801    
256;Broekhuizen;02 jan 1839 ;01 jan 2001 ;GM0898  ;Limburg                            ;L.             ;18390102;20010101    
257;Broeksittard;02 jan 1839 ;01 okt 1942 ;GM1032  ;Limburg                            ;L.             ;18390102;19421001    
258;Bronckhorst;01 jan 2005 ;            ;GM1876  ;Gelderland                         ;Gld.           ;20050101;            
259;Brouwershaven;01 jan 1830 ;01 jan 1997 ;GM0656  ;Zeeland                            ;Z.             ;18300101;19970101    
260;Bruinisse;01 jan 1830 ;01 jan 1997 ;GM0657  ;Zeeland                            ;Z.             ;18300101;19970101    
261;Brummen;01 jan 1830 ;            ;GM0213  ;Gelderland                         ;Gld.           ;18300101;            
262;Brunssum;02 jan 1839 ;            ;GM0899  ;Limburg                            ;L.             ;18390102;            
263;Budel;01 jan 1830 ;28 jan 1998 ;GM0759  ;Noord-Brabant                      ;NB.            ;18300101;19980128    
264;Buggenum;02 jan 1839 ;01 okt 1942 ;GM1033  ;Limburg                            ;L.             ;18390102;19421001    
265;Buiksloot;01 jan 1830 ;01 jan 1921 ;GM1034  ;Noord-Holland                      ;NH.            ;18300101;19210101    
266;Bunde;02 jan 1839 ;01 jan 1982 ;GM0900  ;Limburg                            ;L.             ;18390102;19820101    
267;Bunnik;01 jan 1830 ;            ;GM0312  ;Utrecht                            ;U.             ;18300101;            
268;Bunschoten;01 jan 1830 ;            ;GM0313  ;Utrecht                            ;U.             ;18300101;            
269;Buren;01 jan 1830 ;            ;GM0214  ;Gelderland                         ;Gld.           ;18300101;            
270;Burgh;01 jan 1830 ;01 jan 1961 ;GM1035  ;Zeeland                            ;Z.             ;18300101;19610101    
271;Bussum;01 jan 1830 ;01 jan 2016 ;GM0381  ;Noord-Holland                      ;NH.            ;18300101;20160101    
272;Buurmalsen;01 jan 1830 ;01 jan 1978 ;GM0215  ;Gelderland                         ;Gld.           ;18300101;19780101    
273;Cabouw;01 jan 1830 ;13 jun 1857 ;GM1310  ;Utrecht                            ;U.             ;18300101;18570613    
274;Cadier en Keer;02 jan 1839 ;01 jan 1982 ;GM0901  ;Limburg                            ;L.             ;18390102;19820101    
275;Cadzand;01 jan 1830 ;01 apr 1970 ;GM0658  ;Zeeland                            ;Z.             ;18300101;19700401    
276;Callantsoog;01 jan 1830 ;01 jan 1990 ;GM0382  ;Noord-Holland                      ;NH.            ;18300101;19900101    
277;Capelle;01 jan 1830 ;01 jan 1923 ;GM1036  ;Noord-Brabant                      ;NB.            ;18300101;19230101    
278;Capelle aan den IJssel;01 jan 1830 ;            ;GM0502  ;Zuid-Holland                       ;ZH.            ;18300101;            
279;Castricum;01 jan 1830 ;            ;GM0383  ;Noord-Holland                      ;NH.            ;18300101;            
280;Chaam;01 jan 1830 ;01 jan 1997 ;GM0760  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
281;Charlois;01 jan 1830 ;28 feb 1895 ;GM1037  ;Zuid-Holland                       ;ZH.            ;18300101;18950228    
282;Cillaarshoek;01 jan 1830 ;01 jan 1832 ;GM1311  ;Zuid-Holland                       ;ZH.            ;18300101;18320101    
283;Clinge;01 jan 1830 ;01 apr 1970 ;GM0659  ;Zeeland                            ;Z.             ;18300101;19700401    
284;Coevorden;01 jan 1830 ;            ;GM0109  ;Drenthe                            ;D.             ;18300101;            
285;Colijnsplaat;01 jan 1830 ;01 apr 1941 ;GM1038  ;Zeeland                            ;Z.             ;18300101;19410401    
286;Cothen;01 jan 1830 ;01 jan 1996 ;GM0314  ;Utrecht                            ;U.             ;18300101;19960101    
287;Cranendonck;28 jan 1998 ;            ;GM1706  ;Noord-Brabant                      ;NB.            ;19980128;            
288;Cromstrijen;01 jan 1984 ;01 jan 2019 ;GM0611  ;Zuid-Holland                       ;ZH.            ;19840101;20190101    
289;Cromvoirt;01 jan 1830 ;01 jan 1933 ;GM1039  ;Noord-Brabant                      ;NB.            ;18300101;19330101    
290;Cuijk;01 jan 1994 ;01 jan 2022 ;GM1684  ;Noord-Brabant                      ;NB.            ;19940101;20220101    
291;Cuijk en Sint Agatha;01 jan 1830 ;01 jan 1994 ;GM0761  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
292;Culemborg;01 jan 1830 ;            ;GM0216  ;Gelderland                         ;Gld.           ;18300101;            
293;Dalen;01 jan 1830 ;01 jan 1998 ;GM0110  ;Drenthe                            ;D.             ;18300101;19980101    
294;Dalfsen;01 jan 1830 ;            ;GM0148  ;Overijssel                         ;O.             ;18300101;            
295;Dantumadeel;01 jan 1830 ;01 jan 2009 ;GM0065  ;Friesland                          ;F.             ;18300101;20090101    
296;Dantumadiel;01 jan 2009 ;            ;GM1891  ;Friesland                          ;F.             ;20090101;            
297;Darthuizen;01 jan 1830 ;13 jun 1857 ;GM1312  ;Utrecht                            ;U.             ;18300101;18570613    
298;Deil;01 jan 1830 ;01 jan 1978 ;GM0217  ;Gelderland                         ;Gld.           ;18300101;19780101    
299;Delfshaven;01 jan 1830 ;01 jan 1886 ;GM1040  ;Zuid-Holland                       ;ZH.            ;18300101;18860101    
300;Delft;01 jan 1830 ;            ;GM0503  ;Zuid-Holland                       ;ZH.            ;18300101;            
301;Delfzijl;01 jan 1830 ;01 jan 2021 ;GM0010  ;Groningen                          ;Gr.            ;18300101;20210101    
302;Denekamp;01 jan 1830 ;01 jun 2002 ;GM0149  ;Overijssel                         ;O.             ;18300101;20020601    
303;Deurne;01 jan 1926 ;            ;GM0762  ;Noord-Brabant                      ;NB.            ;19260101;            
304;Deurne en Liessel;01 jan 1830 ;01 jan 1926 ;GM1041  ;Noord-Brabant                      ;NB.            ;18300101;19260101    
305;Deursen en Dennenburg;01 jan 1830 ;01 mei 1923 ;GM1042  ;Noord-Brabant                      ;NB.            ;18300101;19230501    
306;Deventer;01 jan 1830 ;            ;GM0150  ;Overijssel                         ;O.             ;18300101;            
307;Didam;01 jan 1830 ;01 jan 2005 ;GM0218  ;Gelderland                         ;Gld.           ;18300101;20050101    
308;Dieden, Demen en Langel;01 jan 1830 ;01 mei 1923 ;GM1043  ;Noord-Brabant                      ;NB.            ;18300101;19230501    
309;Diemen;01 jan 1830 ;            ;GM0384  ;Noord-Holland                      ;NH.            ;18300101;            
310;Diepenheim;01 jan 1830 ;01 jan 2001 ;GM0151  ;Overijssel                         ;O.             ;18300101;20010101    
311;Diepenveen;01 jan 1830 ;01 jan 1999 ;GM0152  ;Overijssel                         ;O.             ;18300101;19990101    
312;Diessen;01 jan 1830 ;01 jan 1997 ;GM0763  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
313;Diever;01 jan 1830 ;01 jan 1998 ;GM0111  ;Drenthe                            ;D.             ;18300101;19980101    
314;Dijk en Waard;01 jan 2022 ;            ;GM1980  ;Noord-Holland                      ;NH.            ;20220101;            
315;Dinkelland;01 jun 2002 ;            ;GM1774  ;Overijssel                         ;O.             ;20020601;            
316;Dinteloord en Prinsenland;01 jan 1830 ;01 jan 1997 ;GM0764  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
317;Dinther;01 jan 1830 ;01 jan 1969 ;GM1044  ;Noord-Brabant                      ;NB.            ;18300101;19690101    
318;Dinxperlo;01 jan 1830 ;01 jan 2005 ;GM0219  ;Gelderland                         ;Gld.           ;18300101;20050101    
319;Dirksland;01 jan 1830 ;01 jan 2013 ;GM0504  ;Zuid-Holland                       ;ZH.            ;18300101;20130101    
320;Dodewaard;01 jan 1830 ;01 jan 2002 ;GM0220  ;Gelderland                         ;Gld.           ;18300101;20020101    
321;Doesburg;01 jan 1830 ;            ;GM0221  ;Gelderland                         ;Gld.           ;18300101;            
322;Doetinchem;01 jan 1920 ;            ;GM0222  ;Gelderland                         ;Gld.           ;19200101;            
323;Dokkum;01 jan 1830 ;01 jan 1984 ;GM0066  ;Friesland                          ;F.             ;18300101;19840101    
324;Domburg;01 jan 1830 ;01 jan 1997 ;GM0660  ;Zeeland                            ;Z.             ;18300101;19970101    
325;Dommelen;01 jan 1830 ;01 mei 1934 ;GM1045  ;Noord-Brabant                      ;NB.            ;18300101;19340501    
326;Dongen;01 jan 1830 ;            ;GM0766  ;Noord-Brabant                      ;NB.            ;18300101;            
327;Dongeradeel;01 jan 1984 ;01 jan 2019 ;GM0058  ;Friesland                          ;F.             ;19840101;20190101    
328;Doniawerstal;01 jan 1830 ;01 jan 1984 ;GM0067  ;Friesland                          ;F.             ;18300101;19840101    
329;Doorn;01 jan 1830 ;01 jan 2006 ;GM0315  ;Utrecht                            ;U.             ;18300101;20060101    
330;Doornspijk;01 jan 1830 ;01 aug 1974 ;GM0223  ;Gelderland                         ;Gld.           ;18300101;19740801    
331;Doorwerth;01 jan 1830 ;01 mei 1923 ;GM1046  ;Gelderland                         ;Gld.           ;18300101;19230501    
332;Dordrecht;01 jan 1830 ;            ;GM0505  ;Zuid-Holland                       ;ZH.            ;18300101;            
333;Dorth;01 jan 1830 ;01 jul 1831 ;GM1313  ;Gelderland                         ;Gld.           ;18300101;18310701    
334;Drechterland;01 jan 1980 ;            ;GM0498  ;Noord-Holland                      ;NH.            ;19800101;            
335;Dreischor;01 jan 1830 ;01 jan 1961 ;GM1047  ;Zeeland                            ;Z.             ;18300101;19610101    
336;Dreumel;01 jan 1830 ;01 jan 1984 ;GM0224  ;Gelderland                         ;Gld.           ;18300101;19840101    
337;Driebergen;01 jan 1830 ;01 mei 1931 ;GM1048  ;Utrecht                            ;U.             ;18300101;19310501    
338;Driebergen-Rijsenburg;01 mei 1931 ;01 jan 2006 ;GM0316  ;Utrecht                            ;U.             ;19310501;20060101    
339;Driebruggen;01 feb 1964 ;01 jan 1989 ;GM0506  ;Zuid-Holland                       ;ZH.            ;19640201;19890101    
340;Driel;01 jan 1830 ;01 aug 1944 ;GM1248  ;Gelderland                         ;Gld.           ;18300101;19440801    
341;Driewegen;01 jan 1830 ;01 jan 1970 ;GM0661  ;Zeeland                            ;Z.             ;18300101;19700101    
342;Drimmelen;25 apr 1998 ;            ;GM1719  ;Noord-Brabant                      ;NB.            ;19980425;            
343;Drongelen;08 jan 1908 ;01 mei 1923 ;GM1049  ;Noord-Brabant                      ;NB.            ;19080108;19230501    
344;Drongelen, Haagoord, Gansoyen, Doevere;01 jan 1830 ;08 jan 1908 ;GM1263  ;Noord-Brabant                      ;NB.            ;18300101;19080108    
345;Dronten;01 jan 1972 ;            ;GM0303  ;Flevoland                          ;Fle.           ;19720101;            
346;Drunen;01 jan 1830 ;01 jan 1997 ;GM0767  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
347;Druten;01 jan 1830 ;            ;GM0225  ;Gelderland                         ;Gld.           ;18300101;            
348;Dubbeldam;01 jan 1830 ;01 jul 1970 ;GM0507  ;Zuid-Holland                       ;ZH.            ;18300101;19700701    
349;Duist;01 jan 1830 ;13 jun 1857 ;GM1314  ;Utrecht                            ;U.             ;18300101;18570613    
350;Duiveland;01 jan 1961 ;01 jan 1997 ;GM0662  ;Zeeland                            ;Z.             ;19610101;19970101    
351;Duiven;01 jan 1830 ;            ;GM0226  ;Gelderland                         ;Gld.           ;18300101;            
352;Duivendijke;01 jan 1830 ;01 jan 1961 ;GM1050  ;Zeeland                            ;Z.             ;18300101;19610101    
353;Duizel en Steensel;01 jan 1830 ;01 jan 1923 ;GM1051  ;Noord-Brabant                      ;NB.            ;18300101;19230101    
354;Den Dungen;01 jan 1830 ;01 jan 1996 ;GM0768  ;Noord-Brabant                      ;NB.            ;18300101;19960101    
355;Dussen;08 jan 1908 ;01 jan 1997 ;GM0769  ;Noord-Brabant                      ;NB.            ;19080108;19970101    
356;Dussen, Munster en Muilkerk;01 jan 1830 ;08 jan 1908 ;GM1265  ;Noord-Brabant                      ;NB.            ;18300101;19080108    
357;Dwingeloo;01 jan 1830 ;01 jan 1998 ;GM0112  ;Drenthe                            ;D.             ;18300101;19980101    
358;Echt;02 jan 1839 ;01 jan 2003 ;GM0902  ;Limburg                            ;L.             ;18390102;20030101    
359;Echteld;01 jan 1830 ;01 jan 2002 ;GM0227  ;Gelderland                         ;Gld.           ;18300101;20020101    
