ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
380;R Culture, sports and recreation;2023;21155;19958;1197;220;977;22849;4357;17425;15555;1870;0;51;1016;182;834;19741.0;18621.0;1120.0;210.0;908.0;21116.0;3990.0;16077.0;14271.0;1796.0;;;980.0;173.0;807.0;8.5;8.5;9.4;-31.2;26.5;8.5;7.8;11.3;13.2;-2.3;;;-14.3;-11.3;-14.9;107.2;107.2;106.9;104.5;107.6;108.2;109.2;108.4;109.0;104.1;;;103.7;105.2;103.4
381;90-92 Arts, culture and gambling;2021;8781;8039;742;166;576;9218;2234;5878;4515;1363;0;77;1029;132;897;8781.0;8039.0;742.0;166.0;576.0;9218.0;2234.0;5878.0;4515.0;1363.0;0.0;;1029.0;132.0;897.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
382;90-92 Arts, culture and gambling;2022;11873;10807;1066;317;749;12941;2469;9111;7588;1523;0;169;1192;204;988;11404.0;10382.0;1022.0;306.0;716.0;12248.0;2338.0;8600.0;7073.0;1527.0;;;1143.0;195.0;948.0;29.9;29.1;37.7;84.3;24.3;32.9;4.7;46.3;56.7;12.0;;;11.1;47.7;5.7;104.1;104.1;104.3;103.6;104.6;105.7;105.6;105.9;107.3;99.7;;;104.3;104.6;104.2
383;90-92 Arts, culture and gambling;2023;13646;12451;1195;220;975;14954;2824;11063;9455;1608;0;51;1016;182;834;12698.0;11580.0;1118.0;210.0;906.0;13699.0;2537.0;10106.0;8528.0;1562.0;;;980.0;173.0;807.0;11.3;11.5;9.4;-31.2;26.6;11.8;8.5;17.5;20.6;2.3;;;-14.3;-11.3;-14.9;107.5;107.5;106.9;104.5;107.6;109.2;111.3;109.5;110.9;102.9;;;103.7;105.2;103.4
384;90 Creative, arts and entertainment..;2021;4379;4097;282;83;199;4592;1969;1605;1371;234;0;45;973;96;877;4379.0;4097.0;282.0;83.0;199.0;4592.0;1969.0;1605.0;1371.0;234.0;0.0;;973.0;96.0;877.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
385;90 Creative, arts and entertainment..;2022;6146;5807;339;70;269;6496;2194;3193;2948;245;0;7;1102;138;964;5920.0;5594.0;326.0;66.0;260.0;6255.0;2061.0;3128.0;2837.0;291.0;;;1060.0;134.0;926.0;35.2;36.5;15.6;-20.5;30.7;36.2;4.7;94.9;106.9;24.4;;;8.9;39.6;5.6;103.8;103.8;104.0;106.1;103.5;103.9;106.5;102.1;103.9;84.2;;;104.0;103.0;104.1
386;90 Creative, arts and entertainment..;2023;7234;6885;349;74;275;7677;2513;4244;3981;263;0;-3;923;113;810;6649.0;6333.0;316.0;65.0;251.0;7053.0;2232.0;3931.0;3623.0;295.0;;;898.0;114.0;785.0;12.3;13.2;-2.9;-1.4;-3.3;12.8;8.3;25.7;27.7;1.2;;;-15.2;-15.2;-15.2;108.8;108.7;110.3;113.7;109.4;108.8;112.6;108.0;109.9;89.3;;;102.7;99.5;103.2
387;91 Library, archive, museum and other..;2021;2084;2001;83;83;0;2141;251;1822;693;1129;0;32;36;36;0;2084.0;2001.0;83.0;83.0;0.0;2141.0;251.0;1822.0;693.0;1129.0;0.0;;36.0;36.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;
388;91 Library, archive, museum and other..;2022;2566;2319;247;247;0;2641;257;2156;878;1278;0;162;66;66;0;2495.0;2255.0;240.0;240.0;;2567.0;260.0;2085.0;849.0;1236.0;;;61.0;61.0;;19.7;12.7;189.2;189.2;;19.9;3.6;14.4;22.5;9.5;;;69.4;69.4;;102.8;102.8;102.9;102.9;;102.9;98.8;103.4;103.4;103.4;;;108.2;108.2;
389;91 Library, archive, museum and other..;2023;2735;2589;146;146;0;2822;291;2408;1063;1345;0;54;69;69;0;2587.0;2443.0;145.0;145.0;;2670.0;287.0;2258.0;991.0;1267.0;;;59.0;59.0;;3.7;8.3;-39.7;-39.7;;4.0;10.5;8.3;16.7;2.5;;;-3.0;-3.0;;105.7;106.0;100.8;100.8;;105.7;101.3;106.6;107.2;106.2;;;116.6;116.6;
390;92 Gambling and betting services;2021;2318;1941;377;0;377;2485;14;2451;2451;0;0;0;20;0;20;2318.0;1941.0;377.0;0.0;377.0;2485.0;14.0;2451.0;2451.0;0.0;0.0;;20.0;0.0;20.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
391;92 Gambling and betting services;2022;3161;2681;480;0;480;3804;18;3762;3762;0;0;0;24;0;24;2989.0;2533.0;456.0;;456.0;3426.0;17.0;3387.0;3387.0;;;;22.0;;22.0;28.9;30.5;21.0;;21.0;37.9;21.4;38.2;38.2;;;;10.0;;10.0;105.8;105.8;105.3;;105.3;111.0;105.9;111.1;111.1;;;;109.1;;109.1
392;92 Gambling and betting services;2023;3677;2977;700;0;700;4455;20;4411;4411;0;0;0;24;0;24;3457.0;2804.0;654.0;;654.0;3965.0;18.0;3924.0;3924.0;;;;22.0;;22.0;15.7;10.7;43.3;;43.3;15.7;5.6;15.9;15.9;;;;0.0;;0.0;106.4;106.2;107.1;;107.1;112.4;111.5;112.4;112.4;;;;109.1;;109.1
393;93 Sporting services and amusement..;2021;4946;4945;1;0;1;5211;1266;3945;3673;272;0;0;0;0;0;4946.0;4945.0;1.0;0.0;1.0;5211.0;1266.0;3945.0;3673.0;272.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;;;
394;93 Sporting services and amusement..;2022;6918;6916;2;0;2;7350;1388;5962;5632;330;0;0;0;0;0;6787.0;6785.0;2.0;;2.0;7215.0;1365.0;5850.0;5539.0;311.0;;;;;;37.2;37.2;100.0;;100.0;38.5;7.8;48.3;50.8;14.3;;;;;;101.9;101.9;100.0;;100.0;101.9;101.7;101.9;101.7;106.1;;;;;
395;93 Sporting services and amusement..;2023;7509;7507;2;0;2;7895;1533;6362;6100;262;0;0;0;0;0;7036.0;7034.0;2.0;;2.0;7402.0;1453.0;5949.0;5714.0;238.0;;;;;;3.7;3.7;0.0;;0.0;2.6;6.4;1.7;3.2;-23.3;;;;;;106.7;106.7;100.0;;100.0;106.7;105.5;106.9;106.8;109.9;;;;;
396;S Other service activities;2021;17387;17048;339;0;339;18051;5492;12305;11529;776;0;0;254;0;254;17387.0;17048.0;339.0;0.0;339.0;18051.0;5492.0;12305.0;11529.0;776.0;0.0;;254.0;0.0;254.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
397;S Other service activities;2022;19162;18737;425;0;425;19960;5852;13767;12881;886;0;0;341;0;341;18189.0;17786.0;403.0;;403.0;18944.0;5638.0;12980.0;12188.0;792.0;;;326.0;;326.0;4.6;4.3;18.9;;18.9;4.9;2.7;5.5;5.7;2.1;;;28.3;;28.3;105.3;105.3;105.5;;105.5;105.4;103.8;106.1;105.7;111.9;;;104.6;;104.6
398;S Other service activities;2023;20364;19936;428;0;428;21166;6158;14642;13697;945;0;0;366;0;366;18385.0;17998.0;387.0;;387.0;19072.0;5687.0;13063.0;12219.0;841.0;;;322.0;;322.0;1.1;1.2;-4.0;;-4.0;0.7;0.9;0.6;0.3;6.2;;;-1.2;;-1.2;110.8;110.8;110.6;;110.6;111.0;108.3;112.1;112.1;112.3;;;113.6;;113.6
399;94 Services furnished by membership..;2021;7947;7947;0;0;0;7947;2323;5624;4848;776;0;0;0;0;0;7947.0;7947.0;0.0;0.0;0.0;7947.0;2323.0;5624.0;4848.0;776.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;100.0;;;;;
400;94 Services furnished by membership..;2022;8259;8259;0;0;0;8259;2291;5968;5082;886;0;0;0;0;0;7727.0;7727.0;;;;7727.0;2235.0;5492.0;4700.0;792.0;;;;;;-2.8;-2.8;;;;-2.8;-3.8;-2.3;-3.1;2.1;;;;;;106.9;106.9;;;;106.9;102.5;108.7;108.1;111.9;;;;;
401;94 Services furnished by membership..;2023;8584;8584;0;0;0;8584;2357;6227;5282;945;0;0;0;0;0;7829.0;7829.0;;;;7829.0;2265.0;5564.0;4721.0;841.0;;;;;;1.3;1.3;;;;1.3;1.4;1.3;0.5;6.2;;;;;;109.6;109.6;;;;109.6;104.1;111.9;111.9;112.3;;;;;
402;95 Repair services of computers and..;2021;2949;2636;313;0;313;3187;1607;1351;1351;0;0;0;229;0;229;2949.0;2636.0;313.0;0.0;313.0;3187.0;1607.0;1351.0;1351.0;0.0;0.0;;229.0;0.0;229.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
403;95 Repair services of computers and..;2022;3316;2924;392;0;392;3570;1806;1454;1454;0;0;0;310;0;310;3154.0;2783.0;371.0;;371.0;3400.0;1703.0;1400.0;1400.0;;;;297.0;;297.0;7.0;5.6;18.5;;18.5;6.7;6.0;3.6;3.6;;;;29.7;;29.7;105.1;105.1;105.7;;105.7;105.0;106.0;103.9;103.9;;;;104.4;;104.4
404;95 Repair services of computers and..;2023;3462;3068;394;0;394;3709;1902;1469;1469;0;0;0;338;0;338;3091.0;2736.0;355.0;;355.0;3312.0;1697.0;1318.0;1318.0;;;;296.0;;296.0;-2.0;-1.7;-4.3;;-4.3;-2.6;-0.3;-5.8;-5.8;;;;-0.3;;-0.3;112.0;112.1;111.0;;111.0;112.0;112.1;111.4;111.4;;;;114.2;;114.2
405;96 Other personal services;2021;6491;6465;26;0;26;6917;1562;5330;5330;0;0;0;25;0;25;6491.0;6465.0;26.0;0.0;26.0;6917.0;1562.0;5330.0;5330.0;0.0;0.0;;25.0;0.0;25.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
406;96 Other personal services;2022;7587;7554;33;0;33;8131;1755;6345;6345;0;0;0;31;0;31;7308.0;7276.0;32.0;;32.0;7817.0;1700.0;6088.0;6088.0;;;;29.0;;29.0;12.6;12.5;23.1;;23.1;13.0;8.8;14.2;14.2;;;;16.0;;16.0;103.8;103.8;103.1;;103.1;104.0;103.2;104.2;104.2;;;;106.9;;106.9
407;96 Other personal services;2023;8318;8284;34;0;34;8873;1899;6946;6946;0;0;0;28;0;28;7465.0;7433.0;32.0;;32.0;7930.0;1725.0;6179.0;6179.0;;;;26.0;;26.0;2.1;2.2;0.0;;0.0;1.5;1.5;1.5;1.5;;;;-9.7;;-9.7;111.4;111.4;106.3;;106.3;111.9;110.1;112.4;112.4;;;;106.9;;106.9
408;T Activities of households;2021;986;986;0;0;0;986;0;986;4;982;0;0;0;0;0;986.0;986.0;0.0;0.0;0.0;986.0;0.0;986.0;4.0;982.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;;100.0;100.0;100.0;;;;;
409;T Activities of households;2022;1044;1044;0;0;0;1044;0;1044;4;1040;0;0;0;0;0;982.0;982.0;;;;982.0;;982.0;4.0;978.0;;;;;;-0.4;-0.4;;;;-0.4;;-0.4;0.0;-0.4;;;;;;106.3;106.3;;;;106.3;;106.3;100.0;106.3;;;;;
410;T Activities of households;2023;1171;1171;0;0;0;1171;0;1171;4;1167;0;0;0;0;0;1022.0;1022.0;;;;1022.0;;1022.0;4.0;1017.0;;;;;;4.0;4.0;;;;4.0;;4.0;0.0;4.0;;;;;;114.6;114.6;;;;114.6;;114.6;100.0;114.7;;;;;
411;97 Services of households as employers..;2021;986;986;0;0;0;986;0;986;4;982;0;0;0;0;0;986.0;986.0;0.0;0.0;0.0;986.0;0.0;986.0;4.0;982.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;;100.0;100.0;100.0;;;;;
412;97 Services of households as employers..;2022;1044;1044;0;0;0;1044;0;1044;4;1040;0;0;0;0;0;982.0;982.0;;;;982.0;;982.0;4.0;978.0;;;;;;-0.4;-0.4;;;;-0.4;;-0.4;0.0;-0.4;;;;;;106.3;106.3;;;;106.3;;106.3;100.0;106.3;;;;;
413;97 Services of households as employers..;2023;1171;1171;0;0;0;1171;0;1171;4;1167;0;0;0;0;0;1022.0;1022.0;;;;1022.0;;1022.0;4.0;1017.0;;;;;;4.0;4.0;;;;4.0;;4.0;0.0;4.0;;;;;;114.6;114.6;;;;114.6;;114.6;100.0;114.7;;;;;
414;98 Undifferentiated goods and services..;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;98 Undifferentiated goods and services..;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;98 Undifferentiated goods and services..;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;U Extraterritorial organisations;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;U Extraterritorial organisations;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;U Extraterritorial organisations;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;99 Extraterritorial organisations;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;99 Extraterritorial organisations;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;99 Extraterritorial organisations;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;68A Imp. rents owner-occupided dwellings;2021;47843;47843;0;0;0;47843;0;47843;47843;0;0;0;0;0;0;47843.0;47843.0;0.0;0.0;0.0;47843.0;0.0;47843.0;47843.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;;100.0;100.0;;;;;;
424;68A Imp. rents owner-occupided dwellings;2022;49578;49578;0;0;0;49578;0;49578;49578;0;0;0;0;0;0;48368.0;48368.0;;;;48368.0;;48368.0;48368.0;;;;;;;1.1;1.1;;;;1.1;;1.1;1.1;;;;;;;102.5;102.5;;;;102.5;;102.5;102.5;;;;;;
425;68A Imp. rents owner-occupided dwellings;2023;51860;51860;0;0;0;51860;0;51860;51860;0;0;0;0;0;0;48945.0;48945.0;;;;48945.0;;48945.0;48945.0;;;;;;;1.2;1.2;;;;1.2;;1.2;1.2;;;;;;;106.0;106.0;;;;106.0;;106.0;106.0;;;;;;
426;68B Real estate excl. imputed rents;2021;57803;57695;108;0;108;58504;29809;26206;21949;4257;2476;0;13;0;13;57803.0;57695.0;108.0;0.0;108.0;58504.0;29809.0;26206.0;21949.0;4257.0;2476.0;;13.0;0.0;13.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
427;68B Real estate excl. imputed rents;2022;62319;62209;110;0;110;63017;33359;27246;22880;4366;2396;0;16;0;16;60119.0;60014.0;105.0;;105.0;60782.0;31788.0;26732.0;22482.0;4250.0;2246.0;;16.0;;16.0;4.0;4.0;-2.8;;-2.8;3.9;6.6;2.0;2.4;-0.2;-9.3;;23.1;;23.1;103.7;103.7;104.8;;104.8;103.7;104.9;101.9;101.8;102.7;106.7;;100.0;;100.0
428;68B Real estate excl. imputed rents;2023;65929;65818;111;0;111;66631;35967;28346;23833;4513;2303;0;15;0;15;60818.0;60713.0;105.0;;105.0;61479.0;32245.0;27104.0;22784.0;4320.0;2119.0;;15.0;;15.0;1.2;1.2;0.0;;0.0;1.1;1.4;1.4;1.3;1.6;-5.6;;-6.3;;-6.3;108.4;108.4;105.7;;105.7;108.4;111.5;104.6;104.6;104.5;108.7;;100.0;;100.0
429;Total other items;2021;197760;187701;10059;-6662;16721;25843;4117;-2729;-2729;0;0;0;24455;16285;8170;197760.0;187701.0;10059.0;-6662.0;16721.0;25843.0;4117.0;-2729.0;-2729.0;0.0;0.0;;24455.0;16285.0;8170.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
430;Total other items;2022;220947;203005;17942;-15919;33861;34008;5294;2239;2239;0;0;0;26475;16957;9518;204760.0;190052.0;14708.0;-15470.0;30178.0;27974.0;5089.0;723.0;723.0;;;;22162.0;13794.0;8368.0;3.5;1.3;46.2;132.2;80.5;8.2;23.6;-126.5;-126.5;;;;-9.4;-15.3;2.4;107.9;106.8;122.0;102.9;112.2;121.6;104.0;309.7;309.7;;;;119.5;122.9;113.7
431;Total other items;2023;228699;210377;18322;-20688;39010;35279;5719;950;950;0;0;0;28610;17666;10944;205268.0;189188.0;15914.0;-15420.0;31444.0;29346.0;5273.0;536.0;536.0;;;;23884.0;13785.0;10186.0;0.2;-0.5;8.2;-0.3;4.2;4.9;3.6;-25.9;-25.9;;;;7.8;-0.1;21.7;111.4;111.2;115.1;134.2;124.1;120.2;108.5;177.3;177.3;;;;119.8;128.2;107.4
432;Margins on merchanting;2021;16285;16285;0;0;0;16285;0;0;0;0;0;0;16285;16285;0;16285.0;16285.0;0.0;0.0;0.0;16285.0;0.0;0.0;0.0;0.0;0.0;;16285.0;16285.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;;;;;;;100.0;100.0;
433;Margins on merchanting;2022;16957;16957;0;0;0;16957;0;0;0;0;0;0;16957;16957;0;13794.0;13794.0;;;;13794.0;;;;;;;13794.0;13794.0;;-15.3;-15.3;;;;-15.3;;;;;;;-15.3;-15.3;;122.9;122.9;;;;122.9;;;;;;;122.9;122.9;
434;Margins on merchanting;2023;17666;17666;0;0;0;17666;0;0;0;0;0;0;17666;17666;0;13785.0;13785.0;;;;13785.0;;;;;;;13785.0;13785.0;;-0.1;-0.1;;;;-0.1;;;;;;;-0.1;-0.1;;128.2;128.2;;;;128.2;;;;;;;128.2;128.2;
435;Other goods n.e.c.;2021;2328;2328;0;0;0;2334;2334;0;0;0;0;0;0;0;0;2328.0;2328.0;0.0;0.0;0.0;2334.0;2334.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;;;;;;;;
436;Other goods n.e.c.;2022;2517;2517;0;0;0;2524;2524;0;0;0;0;0;0;0;0;2392.0;2392.0;;;;2401.0;2401.0;;;;;;;;;2.7;2.7;;;;2.9;2.9;;;;;;;;;105.2;105.2;;;;105.1;105.1;;;;;;;;
437;Other goods n.e.c.;2023;2639;2639;0;0;0;2648;2648;0;0;0;0;0;0;0;0;2416.0;2416.0;;;;2431.0;2431.0;;;;;;;;;1.0;1.0;;;;1.3;1.3;;;;;;;;;109.2;109.2;;;;108.9;108.9;;;;;;;;
438;Other services n.e.c.;2021;9824;0;9824;0;9824;1783;1783;0;0;0;0;0;0;0;0;9824.0;0.0;9824.0;0.0;9824.0;1783.0;1783.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;;100.0;;100.0;100.0;100.0;;;;;;;;
439;Other services n.e.c.;2022;20726;0;20726;0;20726;2770;2770;0;0;0;0;0;0;0;0;17803.0;;17803.0;;17803.0;2688.0;2688.0;;;;;;;;;81.2;;81.2;;81.2;50.8;50.8;;;;;;;;;116.4;;116.4;;116.4;103.1;103.1;;;;;;;;
440;Other services n.e.c.;2023;23152;0;23152;0;23152;3071;3071;0;0;0;0;0;0;0;0;19266.0;;19266.0;;19266.0;2842.0;2842.0;;;;;;;;;8.2;;8.2;;8.2;5.7;5.7;;;;;;;;;120.2;;120.2;;120.2;108.0;108.0;;;;;;;;
441;Trade and transport margins;2021;171923;169088;2835;0;2835;0;0;0;0;0;0;0;0;0;0;171923.0;169088.0;2835.0;0.0;2835.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;;;;;;;;;;
442;Trade and transport margins;2022;186946;183531;3415;0;3415;0;0;0;0;0;0;0;0;0;0;176795.0;173866.0;2929.0;;2929.0;;;;;;;;;;;2.8;2.8;3.3;;3.3;;;;;;;;;;;105.7;105.6;116.6;;116.6;;;;;;;;;;
443;Trade and transport margins;2023;193429;190072;3357;0;3357;0;0;0;0;0;0;0;0;0;0;175742.0;172978.0;2778.0;;2778.0;;;;;;;;;;;-0.6;-0.5;-5.2;;-5.2;;;;;;;;;;;110.1;109.9;120.8;;120.8;;;;;;;;;;
444;Consumption non-residents in Netherlands;2021;0;0;0;0;0;0;0;-10770;-10770;0;0;0;10770;0;10770;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10770.0;-10770.0;0.0;0.0;;10770.0;0.0;10770.0;;;;;;;;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;;100.0
445;Consumption non-residents in Netherlands;2022;0;0;0;0;0;0;0;-15717;-15717;0;0;0;15717;0;15717;;;;;;;;-14392.0;-14392.0;;;;14392.0;;14392.0;;;;;;;;33.6;33.6;;;;33.6;;33.6;;;;;;;;109.2;109.2;;;;109.2;;109.2
446;Consumption non-residents in Netherlands;2023;0;0;0;0;0;0;0;-19131;-19131;0;0;0;19131;0;19131;;;;;;;;-16337.0;-16337.0;;;;16337.0;;16337.0;;;;;;;;13.5;13.5;;;;13.5;;13.5;;;;;;;;117.1;117.1;;;;117.1;;117.1
447;Consumption by Dutch residents abroad;2021;0;0;0;0;0;8041;0;8041;8041;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;8041.0;0.0;8041.0;8041.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;100.0;;100.0;100.0;;;;;;
448;Consumption by Dutch residents abroad;2022;0;0;0;0;0;17956;0;17956;17956;0;0;0;0;0;0;;;;;;15115.0;;15115.0;15115.0;;;;;;;;;;;;88.0;;88.0;88.0;;;;;;;;;;;;118.8;;118.8;118.8;;;;;;
449;Consumption by Dutch residents abroad;2023;0;0;0;0;0;20081;0;20081;20081;0;0;0;0;0;0;;;;;;16415.0;;16415.0;16415.0;;;;;;;;;;;;8.6;;8.6;8.6;;;;;;;;;;;;122.3;;122.3;122.3;;;;;;
450;Cif/fob-adjustment and reclassification;2021;-6662;0;-6662;-6662;0;0;0;0;0;0;0;0;0;0;0;-6662.0;0.0;-6662.0;-6662.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;;100.0;100.0;;;;;;;;;;;
451;Cif/fob-adjustment and reclassification;2022;-15919;0;-15919;-15919;0;0;0;0;0;0;0;0;0;0;0;-15470.0;;-15470.0;-15470.0;;;;;;;;;;;;132.2;;132.2;132.2;;;;;;;;;;;;102.9;;102.9;102.9;;;;;;;;;;;
452;Cif/fob-adjustment and reclassification;2023;-20688;0;-20688;-20688;0;0;0;0;0;0;0;0;0;0;0;-15420.0;;-15420.0;-15420.0;;;;;;;;;;;;-0.3;;-0.3;-0.3;;;;;;;;;;;;134.2;;134.2;134.2;;;;;;;;;;;
453;Cif/fob reclassification;2021;4062;0;4062;0;4062;0;0;0;0;0;0;0;0;0;0;4062.0;0.0;4062.0;0.0;4062.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;;100.0;;100.0;;;;;;;;;;
454;Cif/fob reclassification;2022;9720;0;9720;0;9720;0;0;0;0;0;0;0;0;0;0;9446.0;;9446.0;;9446.0;;;;;;;;;;;132.5;;132.5;;132.5;;;;;;;;;;;102.9;;102.9;;102.9;;;;;;;;;;
455;Cif/fob reclassification;2023;12501;0;12501;0;12501;0;0;0;0;0;0;0;0;0;0;9342.0;;9342.0;;9342.0;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;133.8;;133.8;;133.8;;;;;;;;;;
456;Cif/fob adjustment;2021;0;0;0;0;0;-2600;0;0;0;0;0;0;-2600;0;-2600;0.0;0.0;0.0;0.0;0.0;-2600.0;0.0;0.0;0.0;0.0;0.0;;-2600.0;0.0;-2600.0;;;;;;;;;;;;;;;;;;;;;100.0;;;;;;;100.0;;100.0
457;Cif/fob adjustment;2022;0;0;0;0;0;-6199;0;0;0;0;0;0;-6199;0;-6199;;;;;;-6024.0;;;;;;;-6024.0;;-6024.0;;;;;;131.7;;;;;;;131.7;;131.7;;;;;;102.9;;;;;;;102.9;;102.9
458;Cif/fob adjustment;2023;0;0;0;0;0;-8187;0;0;0;0;0;0;-8187;0;-8187;;;;;;-6078.0;;;;;;;-6078.0;;-6078.0;;;;;;0.9;;;;;;;0.9;;0.9;;;;;;134.7;;;;;;;134.7;;134.7
459;Total products and other items;2021;2423966;1740104;683862;495280;188582;2523786;948374;606798;380427;226371;184425;13444;770745;560235;210510;2423966.0;1740104.0;683862.0;495280.0;188582.0;2523786.0;948374.0;606798.0;380427.0;226371.0;184425.0;;770745.0;560235.0;210510.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
