ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
366;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 42;2043
367;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 43;1981
368;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 44;2082
369;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 45;2084
370;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 46;2163
371;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 47;2280
372;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 48;2297
373;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 49;2248
374;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 50;2152
375;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 51;2186
376;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 52 (6 dagen);1939
377;Totaal mannen en vrouwen;Totaal leeftijd;1977;110093
378;Totaal mannen en vrouwen;Totaal leeftijd;1978 week 0 (1 dag);323
