ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
8862;Total overnight accommodation;The Netherlands;Limburg (PV);2021 October;313;924
8863;Total overnight accommodation;The Netherlands;Limburg (PV);2021 November;196;525
8864;Total overnight accommodation;The Netherlands;Limburg (PV);2021 December;139;423
8865;Total overnight accommodation;The Netherlands;Limburg (PV);2021 4th quarter;647;1872
8866;Total overnight accommodation;The Netherlands;Limburg (PV);2021;2915;10065
8867;Total overnight accommodation;The Netherlands;Limburg (PV);2022 January;96;305
8868;Total overnight accommodation;The Netherlands;Limburg (PV);2022 February;153;412
8869;Total overnight accommodation;The Netherlands;Limburg (PV);2022 March;216;572
8870;Total overnight accommodation;The Netherlands;Limburg (PV);2022 1th quarter;464;1289
8871;Total overnight accommodation;The Netherlands;Limburg (PV);2022 April;278;738
8872;Total overnight accommodation;The Netherlands;Limburg (PV);2022 May;361;1066
8873;Total overnight accommodation;The Netherlands;Limburg (PV);2022 June;319;954
8874;Total overnight accommodation;The Netherlands;Limburg (PV);2022 2nd quarter;958;2758
8875;Total overnight accommodation;The Netherlands;Limburg (PV);2022 July;339;1150
8876;Total overnight accommodation;The Netherlands;Limburg (PV);2022 August;378;1578
8877;Total overnight accommodation;The Netherlands;Limburg (PV);2022 September;303;953
8878;Total overnight accommodation;The Netherlands;Limburg (PV);2022 3rd quarter;1020;3682
8879;Total overnight accommodation;The Netherlands;Limburg (PV);2022 October;295;806
8880;Total overnight accommodation;The Netherlands;Limburg (PV);2022 November;212;513
8881;Total overnight accommodation;The Netherlands;Limburg (PV);2022 December;257;618
8882;Total overnight accommodation;The Netherlands;Limburg (PV);2022 4th quarter;763;1936
8883;Total overnight accommodation;The Netherlands;Limburg (PV);2022;3206;9664
8884;Total overnight accommodation;The Netherlands;Limburg (PV);2023 January;185;485
8885;Total overnight accommodation;The Netherlands;Limburg (PV);2023 February;174;423
8886;Total overnight accommodation;The Netherlands;Limburg (PV);2023 March;226;602
8887;Total overnight accommodation;The Netherlands;Limburg (PV);2023 1st quarter;586;1510
8888;Total overnight accommodation;The Netherlands;Limburg (PV);2023 April;275;706
8889;Total overnight accommodation;The Netherlands;Limburg (PV);2023 May;332;992
8890;Total overnight accommodation;The Netherlands;Limburg (PV);2023 June;316;946
8891;Total overnight accommodation;The Netherlands;Limburg (PV);2023 2nd quarter;922;2644
8892;Total overnight accommodation;The Netherlands;Limburg (PV);2023 July;330;1201
8893;Total overnight accommodation;The Netherlands;Limburg (PV);2023 August;362;1496
8894;Total overnight accommodation;The Netherlands;Limburg (PV);2023 September;293;949
8895;Total overnight accommodation;The Netherlands;Limburg (PV);2023 3rd quarter;985;3646
8896;Total overnight accommodation;The Netherlands;Limburg (PV);2023 October;277;802
8897;Total overnight accommodation;The Netherlands;Limburg (PV);2023 November;201;492
8898;Total overnight accommodation;The Netherlands;Limburg (PV);2023 December;268;642
8899;Total overnight accommodation;The Netherlands;Limburg (PV);2023 4th quarter;746;1936
8900;Total overnight accommodation;The Netherlands;Limburg (PV);2023;3239;9737
8901;Total overnight accommodation;The Netherlands;Limburg (PV);2024 January;190;484
8902;Total overnight accommodation;The Netherlands;Limburg (PV);2024 February;190;507
8903;Total overnight accommodation;The Netherlands;Limburg (PV);2024 March;208;501
8904;Total overnight accommodation;The Netherlands;Limburg (PV);2024 1st quarter;588;1492
8905;Total overnight accommodation;The Netherlands;Limburg (PV);2024 April;256;645
8906;Total overnight accommodation;The Netherlands;Limburg (PV);2024 May;354;1067
8907;Total overnight accommodation;The Netherlands;Limburg (PV);2024 June;310;963
8908;Total overnight accommodation;The Netherlands;Limburg (PV);2024 2nd quarter;920;2675
8909;Total overnight accommodation;The Netherlands;Limburg (PV);2024 July;331;1201
8910;Total overnight accommodation;The Netherlands;Limburg (PV);2024 August;377;1483
8911;Total overnight accommodation;The Netherlands;Limburg (PV);2024 September;323;998
8912;Total overnight accommodation;The Netherlands;Limburg (PV);2024 3rd quarter;1031;3679
8913;Total overnight accommodation;The Netherlands;Limburg (PV);2024 October;270;695
8914;Total overnight accommodation;The Netherlands;Limburg (PV);2024 November;226;564
8915;Total overnight accommodation;The Netherlands;Limburg (PV);2024 December;291;687
8916;Total overnight accommodation;The Netherlands;Limburg (PV);2024 4th quarter;787;1946
8917;Total overnight accommodation;The Netherlands;Limburg (PV);2024;3320;9782
8918;Total overnight accommodation;The Netherlands;Limburg (PV);2025 January;177;439
8919;Total overnight accommodation;The Netherlands;Limburg (PV);2025 February;188;484
8920;Total overnight accommodation;The Netherlands;Kust (TG);2012 January;152;385
8921;Total overnight accommodation;The Netherlands;Kust (TG);2012 February;149;396
8922;Total overnight accommodation;The Netherlands;Kust (TG);2012 March;205;517
8923;Total overnight accommodation;The Netherlands;Kust (TG);2012 1st quarter;505;1298
8924;Total overnight accommodation;The Netherlands;Kust (TG);2012 April;289;824
8925;Total overnight accommodation;The Netherlands;Kust (TG);2012 May;417;1469
8926;Total overnight accommodation;The Netherlands;Kust (TG);2012 June;390;1490
8927;Total overnight accommodation;The Netherlands;Kust (TG);2012 2nd quarter;1096;3783
8928;Total overnight accommodation;The Netherlands;Kust (TG);2012 July;408;1963
8929;Total overnight accommodation;The Netherlands;Kust (TG);2012 August;482;2454
8930;Total overnight accommodation;The Netherlands;Kust (TG);2012 September;342;1096
8931;Total overnight accommodation;The Netherlands;Kust (TG);2012 3rd quarter;1232;5514
8932;Total overnight accommodation;The Netherlands;Kust (TG);2012 October;292;858
8933;Total overnight accommodation;The Netherlands;Kust (TG);2012 November;175;438
8934;Total overnight accommodation;The Netherlands;Kust (TG);2012 December;156;437
8935;Total overnight accommodation;The Netherlands;Kust (TG);2012 4th quarter;623;1733
8936;Total overnight accommodation;The Netherlands;Kust (TG);2012;3456;12328
8937;Total overnight accommodation;The Netherlands;Kust (TG);2013 January;137;369
8938;Total overnight accommodation;The Netherlands;Kust (TG);2013 February;180;474
8939;Total overnight accommodation;The Netherlands;Kust (TG);2013 March;199;506
8940;Total overnight accommodation;The Netherlands;Kust (TG);2013 1st quarter;517;1350
8941;Total overnight accommodation;The Netherlands;Kust (TG);2013 April;277;762
8942;Total overnight accommodation;The Netherlands;Kust (TG);2013 May;434;1485
8943;Total overnight accommodation;The Netherlands;Kust (TG);2013 June;401;1465
8944;Total overnight accommodation;The Netherlands;Kust (TG);2013 2nd quarter;1112;3713
8945;Total overnight accommodation;The Netherlands;Kust (TG);2013 July;468;2247
8946;Total overnight accommodation;The Netherlands;Kust (TG);2013 August;520;2637
8947;Total overnight accommodation;The Netherlands;Kust (TG);2013 September;357;1189
8948;Total overnight accommodation;The Netherlands;Kust (TG);2013 3rd quarter;1344;6073
8949;Total overnight accommodation;The Netherlands;Kust (TG);2013 October;289;860
8950;Total overnight accommodation;The Netherlands;Kust (TG);2013 November;183;448
8951;Total overnight accommodation;The Netherlands;Kust (TG);2013 December;185;502
8952;Total overnight accommodation;The Netherlands;Kust (TG);2013 4th quarter;658;1810
8953;Total overnight accommodation;The Netherlands;Kust (TG);2013;3631;12946
8954;Total overnight accommodation;The Netherlands;Kust (TG);2014 January;150;379
8955;Total overnight accommodation;The Netherlands;Kust (TG);2014 February;176;453
8956;Total overnight accommodation;The Netherlands;Kust (TG);2014 March;243;597
8957;Total overnight accommodation;The Netherlands;Kust (TG);2014 1st quarter;570;1428
8958;Total overnight accommodation;The Netherlands;Kust (TG);2014 April;280;787
8959;Total overnight accommodation;The Netherlands;Kust (TG);2014 May;447;1485
8960;Total overnight accommodation;The Netherlands;Kust (TG);2014 June;452;1656
8961;Total overnight accommodation;The Netherlands;Kust (TG);2014 2nd quarter;1179;3927
8962;Total overnight accommodation;The Netherlands;Kust (TG);2014 July;424;2029
8963;Total overnight accommodation;The Netherlands;Kust (TG);2014 August;484;2553
8964;Total overnight accommodation;The Netherlands;Kust (TG);2014 September;389;1330
8965;Total overnight accommodation;The Netherlands;Kust (TG);2014 3rd quarter;1298;5912
8966;Total overnight accommodation;The Netherlands;Kust (TG);2014 October;320;949
8967;Total overnight accommodation;The Netherlands;Kust (TG);2014 November;204;483
8968;Total overnight accommodation;The Netherlands;Kust (TG);2014 December;190;515
8969;Total overnight accommodation;The Netherlands;Kust (TG);2014 4th quarter;714;1947
8970;Total overnight accommodation;The Netherlands;Kust (TG);2014;3761;13214
8971;Total overnight accommodation;The Netherlands;Kust (TG);2015 January;136;346
8972;Total overnight accommodation;The Netherlands;Kust (TG);2015 February;192;522
8973;Total overnight accommodation;The Netherlands;Kust (TG);2015 March;212;518
8974;Total overnight accommodation;The Netherlands;Kust (TG);2015 1st quarter;540;1386
8975;Total overnight accommodation;The Netherlands;Kust (TG);2015 April;259;739
8976;Total overnight accommodation;The Netherlands;Kust (TG);2015 May;441;1550
8977;Total overnight accommodation;The Netherlands;Kust (TG);2015 June;416;1537
8978;Total overnight accommodation;The Netherlands;Kust (TG);2015 2nd quarter;1116;3826
8979;Total overnight accommodation;The Netherlands;Kust (TG);2015 July;425;2137
8980;Total overnight accommodation;The Netherlands;Kust (TG);2015 August;503;2457
8981;Total overnight accommodation;The Netherlands;Kust (TG);2015 September;336;1148
8982;Total overnight accommodation;The Netherlands;Kust (TG);2015 3rd quarter;1264;5741
8983;Total overnight accommodation;The Netherlands;Kust (TG);2015 October;323;926
8984;Total overnight accommodation;The Netherlands;Kust (TG);2015 November;202;491
8985;Total overnight accommodation;The Netherlands;Kust (TG);2015 December;184;518
8986;Total overnight accommodation;The Netherlands;Kust (TG);2015 4th quarter;708;1934
8987;Total overnight accommodation;The Netherlands;Kust (TG);2015;3628;12887
8988;Total overnight accommodation;The Netherlands;Kust (TG);2016 January;145;371
8989;Total overnight accommodation;The Netherlands;Kust (TG);2016 February;197;498
8990;Total overnight accommodation;The Netherlands;Kust (TG);2016 March;222;571
8991;Total overnight accommodation;The Netherlands;Kust (TG);2016 1st quarter;564;1440
8992;Total overnight accommodation;The Netherlands;Kust (TG);2016 April;292;845
8993;Total overnight accommodation;The Netherlands;Kust (TG);2016 May;430;1436
8994;Total overnight accommodation;The Netherlands;Kust (TG);2016 June;383;1395
8995;Total overnight accommodation;The Netherlands;Kust (TG);2016 2nd quarter;1105;3676
8996;Total overnight accommodation;The Netherlands;Kust (TG);2016 July;422;1927
8997;Total overnight accommodation;The Netherlands;Kust (TG);2016 August;521;2616
8998;Total overnight accommodation;The Netherlands;Kust (TG);2016 September;435;1479
8999;Total overnight accommodation;The Netherlands;Kust (TG);2016 3rd quarter;1378;6023
9000;Total overnight accommodation;The Netherlands;Kust (TG);2016 October;339;1017
9001;Total overnight accommodation;The Netherlands;Kust (TG);2016 November;209;513
9002;Total overnight accommodation;The Netherlands;Kust (TG);2016 December;196;507
9003;Total overnight accommodation;The Netherlands;Kust (TG);2016 4th quarter;743;2036
9004;Total overnight accommodation;The Netherlands;Kust (TG);2016;3790;13175
9005;Total overnight accommodation;The Netherlands;Kust (TG);2017 January;184;484
9006;Total overnight accommodation;The Netherlands;Kust (TG);2017 February;187;457
9007;Total overnight accommodation;The Netherlands;Kust (TG);2017 March;250;616
9008;Total overnight accommodation;The Netherlands;Kust (TG);2017 1st quarter;621;1558
9009;Total overnight accommodation;The Netherlands;Kust (TG);2017 April;324;928
9010;Total overnight accommodation;The Netherlands;Kust (TG);2017 May;424;1311
9011;Total overnight accommodation;The Netherlands;Kust (TG);2017 June;424;1479
9012;Total overnight accommodation;The Netherlands;Kust (TG);2017 2nd quarter;1172;3718
9013;Total overnight accommodation;The Netherlands;Kust (TG);2017 July;426;1830
9014;Total overnight accommodation;The Netherlands;Kust (TG);2017 August;487;2354
9015;Total overnight accommodation;The Netherlands;Kust (TG);2017 September;402;1404
9016;Total overnight accommodation;The Netherlands;Kust (TG);2017 3rd quarter;1315;5588
9017;Total overnight accommodation;The Netherlands;Kust (TG);2017 October;365;1051
9018;Total overnight accommodation;The Netherlands;Kust (TG);2017 November;219;528
9019;Total overnight accommodation;The Netherlands;Kust (TG);2017 December;203;543
9020;Total overnight accommodation;The Netherlands;Kust (TG);2017 4th quarter;787;2122
9021;Total overnight accommodation;The Netherlands;Kust (TG);2017;3895;12986
9022;Total overnight accommodation;The Netherlands;Kust (TG);2018 January;177;442
9023;Total overnight accommodation;The Netherlands;Kust (TG);2018 February;189;474
9024;Total overnight accommodation;The Netherlands;Kust (TG);2018 March;231;598
9025;Total overnight accommodation;The Netherlands;Kust (TG);2018 1st quarter;597;1514
9026;Total overnight accommodation;The Netherlands;Kust (TG);2018 April;314;873
9027;Total overnight accommodation;The Netherlands;Kust (TG);2018 May;440;1442
9028;Total overnight accommodation;The Netherlands;Kust (TG);2018 June;416;1472
9029;Total overnight accommodation;The Netherlands;Kust (TG);2018 2nd quarter;1169;3787
9030;Total overnight accommodation;The Netherlands;Kust (TG);2018 July;428;1745
9031;Total overnight accommodation;The Netherlands;Kust (TG);2018 August;486;2372
9032;Total overnight accommodation;The Netherlands;Kust (TG);2018 September;381;1324
9033;Total overnight accommodation;The Netherlands;Kust (TG);2018 3rd quarter;1295;5441
9034;Total overnight accommodation;The Netherlands;Kust (TG);2018 October;323;948
9035;Total overnight accommodation;The Netherlands;Kust (TG);2018 November;218;545
9036;Total overnight accommodation;The Netherlands;Kust (TG);2018 December;197;539
