ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
5046;Total sales;10514 Cheese and curd;2019 December;101.1;0.0;-0.8
5047;Total sales;10514 Cheese and curd;2019;102.8;;1.7
5048;Total sales;10514 Cheese and curd;2020 January;101.8;0.7;-1.0
5049;Total sales;10514 Cheese and curd;2020 February;102.5;0.7;-0.4
5050;Total sales;10514 Cheese and curd;2020 March;102.6;0.1;-0.4
5051;Total sales;10514 Cheese and curd;2020 April;102.5;-0.1;-1.7
5052;Total sales;10514 Cheese and curd;2020 May;102.4;-0.1;-1.3
5053;Total sales;10514 Cheese and curd;2020 June;102.5;0.0;-2.1
5054;Total sales;10514 Cheese and curd;2020 July;101.8;-0.6;-2.1
5055;Total sales;10514 Cheese and curd;2020 August;97.9;-3.9;-4.4
5056;Total sales;10514 Cheese and curd;2020 September;97.4;-0.5;-4.9
5057;Total sales;10514 Cheese and curd;2020 October;96.9;-0.5;-4.4
5058;Total sales;10514 Cheese and curd;2020 November;99.1;2.3;-2.0
5059;Total sales;10514 Cheese and curd;2020 December;99.1;0.0;-2.0
5060;Total sales;10514 Cheese and curd;2020;100.5;;-2.2
5061;Total sales;10514 Cheese and curd;2021 January;99.1;0.0;-2.7
5062;Total sales;10514 Cheese and curd;2021 February;99.5;0.4;-2.9
5063;Total sales;10514 Cheese and curd;2021 March;99.7;0.1;-2.8
5064;Total sales;10514 Cheese and curd;2021 April;100.0;0.4;-2.4
5065;Total sales;10514 Cheese and curd;2021 May;100.0;-0.1;-2.4
5066;Total sales;10514 Cheese and curd;2021 June;99.7;-0.3;-2.7
5067;Total sales;10514 Cheese and curd;2021 July;99.8;0.1;-1.9
5068;Total sales;10514 Cheese and curd;2021 August;99.9;0.1;2.1
5069;Total sales;10514 Cheese and curd;2021 September;100.2;0.3;2.9
5070;Total sales;10514 Cheese and curd;2021 October;100.6;0.3;3.8
5071;Total sales;10514 Cheese and curd;2021 November;100.8;0.2;1.7
5072;Total sales;10514 Cheese and curd;2021 December;100.7;-0.1;1.6
5073;Total sales;10514 Cheese and curd;2021;100.0;;-0.5
5074;Total sales;10514 Cheese and curd;2022 January;104.6;3.9;5.5
5075;Total sales;10514 Cheese and curd;2022 February;104.4;-0.2;4.9
5076;Total sales;10514 Cheese and curd;2022 March;105.1;0.7;5.5
5077;Total sales;10514 Cheese and curd;2022 April;106.3;1.1;6.3
5078;Total sales;10514 Cheese and curd;2022 May;107.0;0.7;7.1
5079;Total sales;10514 Cheese and curd;2022 June;108.9;1.7;9.2
5080;Total sales;10514 Cheese and curd;2022 July;113.5;4.2;13.7
5081;Total sales;10514 Cheese and curd;2022 August;114.3;0.8;14.4
5082;Total sales;10514 Cheese and curd;2022 September;114.8;0.4;14.6
5083;Total sales;10514 Cheese and curd;2022 October;114.9;0.1;14.3
5084;Total sales;10514 Cheese and curd;2022 November;114.8;-0.1;13.9
5085;Total sales;10514 Cheese and curd;2022 December;114.0;-0.7;13.3
5086;Total sales;10514 Cheese and curd;2022;110.2;;10.2
5087;Total sales;10514 Cheese and curd;2023 January;113.0;-0.9;8.1
5088;Total sales;10514 Cheese and curd;2023 February;108.2;-4.3;3.7
5089;Total sales;10514 Cheese and curd;2023 March;108.1;-0.1;2.8
5090;Total sales;10514 Cheese and curd;2023 April;105.3;-2.5;-0.9
5091;Total sales;10514 Cheese and curd;2023 May;104.4;-0.9;-2.5
5092;Total sales;10514 Cheese and curd;2023 June;104.0;-0.4;-4.5
5093;Total sales;10514 Cheese and curd;2023 July;103.8;-0.2;-8.6
5094;Total sales;10514 Cheese and curd;2023 August;104.4;0.6;-8.7
5095;Total sales;10514 Cheese and curd;2023 September;104.0;-0.4;-9.5
5096;Total sales;10514 Cheese and curd;2023 October;104.4;0.5;-9.1
5097;Total sales;10514 Cheese and curd;2023 November;104.2;-0.2;-9.2
5098;Total sales;10514 Cheese and curd;2023 December;105.0;0.7;-8.0
5099;Total sales;10514 Cheese and curd;2023;105.7;;-4.1
5100;Total sales;10514 Cheese and curd;2024 January;105.2;0.2;-7.0
5101;Total sales;10514 Cheese and curd;2024 February;105.0;-0.2;-3.0
5102;Total sales;10514 Cheese and curd;2024 March;105.1;0.1;-2.7
5103;Total sales;10514 Cheese and curd;2024 April;105.2;0.1;-0.1
5104;Total sales;10514 Cheese and curd;2024 May;105.2;0.0;0.8
5105;Total sales;10514 Cheese and curd;2024 June;105.5;0.2;1.5
5106;Total sales;10514 Cheese and curd;2024 July;105.9;0.4;2.1
5107;Total sales;10514 Cheese and curd;2024 August;106.0;0.1;1.6
5108;Total sales;10514 Cheese and curd;2024 September;106.8;0.8;2.7
5109;Total sales;10514 Cheese and curd;2024 October;107.9;1.0;3.3
5110;Total sales;10514 Cheese and curd;2024 November;109.8;1.7;5.3
5111;Total sales;10514 Cheese and curd;2024 December;109.3;-0.4;4.2
5112;Total sales;10514 Cheese and curd;2024;106.4;;0.6
5113;Total sales;10514 Cheese and curd;2025 January;110.7;1.2;5.2
5114;Total sales;10514 Cheese and curd;2025 February;111.0;0.3;5.8
5115;Total sales;10515 Other dairy products;2018 January;75.6;;
5116;Total sales;10515 Other dairy products;2018 February;75.3;-0.4;
5117;Total sales;10515 Other dairy products;2018 March;74.8;-0.7;
5118;Total sales;10515 Other dairy products;2018 April;74.8;0.1;
5119;Total sales;10515 Other dairy products;2018 May;75.6;1.1;
5120;Total sales;10515 Other dairy products;2018 June;77.5;2.5;
5121;Total sales;10515 Other dairy products;2018 July;80.0;3.2;
5122;Total sales;10515 Other dairy products;2018 August;79.6;-0.4;
5123;Total sales;10515 Other dairy products;2018 September;81.5;2.3;
5124;Total sales;10515 Other dairy products;2018 October;81.7;0.3;
5125;Total sales;10515 Other dairy products;2018 November;81.8;0.1;
5126;Total sales;10515 Other dairy products;2018 December;82.1;0.3;
5127;Total sales;10515 Other dairy products;2018;78.4;;
5128;Total sales;10515 Other dairy products;2019 January;85.2;3.8;12.7
5129;Total sales;10515 Other dairy products;2019 February;87.0;2.1;15.6
5130;Total sales;10515 Other dairy products;2019 March;87.1;0.1;16.5
5131;Total sales;10515 Other dairy products;2019 April;87.4;0.4;16.8
5132;Total sales;10515 Other dairy products;2019 May;87.3;-0.2;15.4
5133;Total sales;10515 Other dairy products;2019 June;86.8;-0.5;11.9
5134;Total sales;10515 Other dairy products;2019 July;86.9;0.1;8.7
5135;Total sales;10515 Other dairy products;2019 August;86.0;-1.0;8.0
5136;Total sales;10515 Other dairy products;2019 September;85.6;-0.6;5.0
5137;Total sales;10515 Other dairy products;2019 October;85.3;-0.3;4.3
5138;Total sales;10515 Other dairy products;2019 November;85.4;0.1;4.4
5139;Total sales;10515 Other dairy products;2019 December;85.5;0.1;4.1
5140;Total sales;10515 Other dairy products;2019;86.3;;10.1
5141;Total sales;10515 Other dairy products;2020 January;86.7;1.4;1.7
5142;Total sales;10515 Other dairy products;2020 February;88.2;1.7;1.4
5143;Total sales;10515 Other dairy products;2020 March;89.7;1.7;3.0
5144;Total sales;10515 Other dairy products;2020 April;89.1;-0.7;1.9
5145;Total sales;10515 Other dairy products;2020 May;88.5;-0.7;1.4
5146;Total sales;10515 Other dairy products;2020 June;89.6;1.3;3.3
5147;Total sales;10515 Other dairy products;2020 July;90.2;0.6;3.8
5148;Total sales;10515 Other dairy products;2020 August;90.2;0.1;4.9
5149;Total sales;10515 Other dairy products;2020 September;90.1;-0.2;5.3
5150;Total sales;10515 Other dairy products;2020 October;90.1;0.0;5.7
5151;Total sales;10515 Other dairy products;2020 November;91.4;1.4;7.0
5152;Total sales;10515 Other dairy products;2020 December;91.3;-0.1;6.8
5153;Total sales;10515 Other dairy products;2020;89.6;;3.8
5154;Total sales;10515 Other dairy products;2021 January;91.2;0.0;5.2
5155;Total sales;10515 Other dairy products;2021 February;94.2;3.3;6.8
5156;Total sales;10515 Other dairy products;2021 March;96.5;2.4;7.6
5157;Total sales;10515 Other dairy products;2021 April;99.9;3.5;12.1
5158;Total sales;10515 Other dairy products;2021 May;101.1;1.2;14.2
5159;Total sales;10515 Other dairy products;2021 June;101.6;0.5;13.3
5160;Total sales;10515 Other dairy products;2021 July;102.5;0.9;13.7
5161;Total sales;10515 Other dairy products;2021 August;;;
5162;Total sales;10515 Other dairy products;2021 September;101.8;;13.1
5163;Total sales;10515 Other dairy products;2021 October;102.8;1.0;14.1
5164;Total sales;10515 Other dairy products;2021 November;103.0;0.1;12.7
5165;Total sales;10515 Other dairy products;2021 December;104.3;1.3;14.3
5166;Total sales;10515 Other dairy products;2021;;;
5167;Total sales;10515 Other dairy products;2022 January;114.4;9.7;25.4
5168;Total sales;10515 Other dairy products;2022 February;113.7;-0.6;20.7
5169;Total sales;10515 Other dairy products;2022 March;116.8;2.7;21.0
5170;Total sales;10515 Other dairy products;2022 April;120.1;2.9;20.2
5171;Total sales;10515 Other dairy products;2022 May;120.6;0.5;19.4
5172;Total sales;10515 Other dairy products;2022 June;115.7;-4.1;13.9
5173;Total sales;10515 Other dairy products;2022 July;120.5;4.2;17.6
5174;Total sales;10515 Other dairy products;2022 August;119.1;-1.2;
5175;Total sales;10515 Other dairy products;2022 September;119.4;0.2;17.2
5176;Total sales;10515 Other dairy products;2022 October;118.3;-0.9;15.1
5177;Total sales;10515 Other dairy products;2022 November;117.2;-1.0;13.8
5178;Total sales;10515 Other dairy products;2022 December;115.7;-1.3;10.9
5179;Total sales;10515 Other dairy products;2022;117.6;;
5180;Total sales;10515 Other dairy products;2023 January;113.3;-2.0;-0.9
5181;Total sales;10515 Other dairy products;2023 February;110.7;-2.3;-2.6
5182;Total sales;10515 Other dairy products;2023 March;108.4;-2.1;-7.2
5183;Total sales;10515 Other dairy products;2023 April;107.0;-1.2;-10.9
5184;Total sales;10515 Other dairy products;2023 May;104.6;-2.3;-13.3
5185;Total sales;10515 Other dairy products;2023 June;104.7;0.1;-9.5
5186;Total sales;10515 Other dairy products;2023 July;100.0;-4.5;-17.0
5187;Total sales;10515 Other dairy products;2023 August;100.0;0.0;-16.0
5188;Total sales;10515 Other dairy products;2023 September;98.5;-1.5;-17.5
5189;Total sales;10515 Other dairy products;2023 October;104.1;5.7;-12.0
5190;Total sales;10515 Other dairy products;2023 November;105.1;1.0;-10.3
5191;Total sales;10515 Other dairy products;2023 December;105.1;-0.1;-9.2
5192;Total sales;10515 Other dairy products;2023;105.1;;-10.6
5193;Total sales;10515 Other dairy products;2024 January;103.4;-1.6;-8.8
5194;Total sales;10515 Other dairy products;2024 February;102.1;-1.2;-7.7
5195;Total sales;10515 Other dairy products;2024 March;100.4;-1.7;-7.3
5196;Total sales;10515 Other dairy products;2024 April;97.5;-2.9;-8.9
5197;Total sales;10515 Other dairy products;2024 May;97.5;0.1;-6.7
5198;Total sales;10515 Other dairy products;2024 June;98.5;1.0;-5.9
5199;Total sales;10515 Other dairy products;2024 July;100.3;1.8;0.3
5200;Total sales;10515 Other dairy products;2024 August;100.6;0.3;0.6
5201;Total sales;10515 Other dairy products;2024 September;103.1;2.5;4.7
5202;Total sales;10515 Other dairy products;2024 October;106.5;3.3;2.3
5203;Total sales;10515 Other dairy products;2024 November;108.3;1.7;3.1
5204;Total sales;10515 Other dairy products;2024 December;108.9;0.5;3.7
5205;Total sales;10515 Other dairy products;2024;102.3;;-2.7
5206;Total sales;10515 Other dairy products;2025 January;112.7;3.5;9.0
5207;Total sales;10515 Other dairy products;2025 February;114.4;1.5;12.0
5208;Total sales;105151 Milk and cream, concentrated o...;2018 January;92.5;;
5209;Total sales;105151 Milk and cream, concentrated o...;2018 February;90.7;-2.0;
5210;Total sales;105151 Milk and cream, concentrated o...;2018 March;90.7;0.0;
5211;Total sales;105151 Milk and cream, concentrated o...;2018 April;90.7;0.0;
5212;Total sales;105151 Milk and cream, concentrated o...;2018 May;93.1;2.7;
5213;Total sales;105151 Milk and cream, concentrated o...;2018 June;97.1;4.3;
5214;Total sales;105151 Milk and cream, concentrated o...;2018 July;97.2;0.2;
5215;Total sales;105151 Milk and cream, concentrated o...;2018 August;97.2;0.0;
5216;Total sales;105151 Milk and cream, concentrated o...;2018 September;97.8;0.6;
5217;Total sales;105151 Milk and cream, concentrated o...;2018 October;98.1;0.3;
5218;Total sales;105151 Milk and cream, concentrated o...;2018 November;98.3;0.2;
5219;Total sales;105151 Milk and cream, concentrated o...;2018 December;98.2;-0.1;
5220;Total sales;105151 Milk and cream, concentrated o...;2018;95.1;;
5221;Total sales;105151 Milk and cream, concentrated o...;2019 January;98.2;0.0;6.2
5222;Total sales;105151 Milk and cream, concentrated o...;2019 February;98.3;0.1;8.4
5223;Total sales;105151 Milk and cream, concentrated o...;2019 March;98.4;0.1;8.6
5224;Total sales;105151 Milk and cream, concentrated o...;2019 April;97.1;-1.4;7.1
5225;Total sales;105151 Milk and cream, concentrated o...;2019 May;97.1;0.0;4.3
5226;Total sales;105151 Milk and cream, concentrated o...;2019 June;96.9;-0.2;-0.1
5227;Total sales;105151 Milk and cream, concentrated o...;2019 July;96.8;-0.1;-0.4
5228;Total sales;105151 Milk and cream, concentrated o...;2019 August;96.8;0.0;-0.4
5229;Total sales;105151 Milk and cream, concentrated o...;2019 September;97.1;0.2;-0.8
5230;Total sales;105151 Milk and cream, concentrated o...;2019 October;96.8;-0.3;-1.3
5231;Total sales;105151 Milk and cream, concentrated o...;2019 November;97.1;0.4;-1.2
5232;Total sales;105151 Milk and cream, concentrated o...;2019 December;97.2;0.0;-1.0
5233;Total sales;105151 Milk and cream, concentrated o...;2019;97.3;;2.3
5234;Total sales;105151 Milk and cream, concentrated o...;2020 January;97.9;0.8;-0.3
5235;Total sales;105151 Milk and cream, concentrated o...;2020 February;98.7;0.8;0.4
5236;Total sales;105151 Milk and cream, concentrated o...;2020 March;98.2;-0.5;-0.2
5237;Total sales;105151 Milk and cream, concentrated o...;2020 April;98.1;-0.1;1.0
5238;Total sales;105151 Milk and cream, concentrated o...;2020 May;97.2;-0.9;0.1
5239;Total sales;105151 Milk and cream, concentrated o...;2020 June;97.0;-0.3;0.0
5240;Total sales;105151 Milk and cream, concentrated o...;2020 July;94.9;-2.1;-1.9
5241;Total sales;105151 Milk and cream, concentrated o...;2020 August;95.2;0.3;-1.7
5242;Total sales;105151 Milk and cream, concentrated o...;2020 September;95.0;-0.2;-2.1
5243;Total sales;105151 Milk and cream, concentrated o...;2020 October;95.6;0.6;-1.2
5244;Total sales;105151 Milk and cream, concentrated o...;2020 November;95.4;-0.2;-1.8
5245;Total sales;105151 Milk and cream, concentrated o...;2020 December;95.0;-0.4;-2.2
5246;Total sales;105151 Milk and cream, concentrated o...;2020;96.5;;-0.8
5247;Total sales;105151 Milk and cream, concentrated o...;2021 January;95.0;0.0;-3.0
5248;Total sales;105151 Milk and cream, concentrated o...;2021 February;98.9;4.1;0.2
5249;Total sales;105151 Milk and cream, concentrated o...;2021 March;102.2;3.3;4.1
5250;Total sales;105151 Milk and cream, concentrated o...;2021 April;99.2;-2.9;1.2
5251;Total sales;105151 Milk and cream, concentrated o...;2021 May;98.6;-0.7;1.4
5252;Total sales;105151 Milk and cream, concentrated o...;2021 June;98.7;0.1;1.8
5253;Total sales;105151 Milk and cream, concentrated o...;2021 July;98.9;0.2;4.2
5254;Total sales;105151 Milk and cream, concentrated o...;2021 August;100.3;1.4;5.3
5255;Total sales;105151 Milk and cream, concentrated o...;2021 September;100.6;0.3;5.9
5256;Total sales;105151 Milk and cream, concentrated o...;2021 October;101.8;1.2;6.5
5257;Total sales;105151 Milk and cream, concentrated o...;2021 November;102.2;0.4;7.2
5258;Total sales;105151 Milk and cream, concentrated o...;2021 December;103.5;1.2;8.9
5259;Total sales;105151 Milk and cream, concentrated o...;2021;100.0;;3.6
5260;Total sales;105151 Milk and cream, concentrated o...;2022 January;105.9;2.3;11.5
5261;Total sales;105151 Milk and cream, concentrated o...;2022 February;105.7;-0.2;6.9
5262;Total sales;105151 Milk and cream, concentrated o...;2022 March;107.7;1.8;5.4
5263;Total sales;105151 Milk and cream, concentrated o...;2022 April;109.4;1.6;10.2
5264;Total sales;105151 Milk and cream, concentrated o...;2022 May;111.1;1.6;12.7
5265;Total sales;105151 Milk and cream, concentrated o...;2022 June;111.4;0.3;12.8
5266;Total sales;105151 Milk and cream, concentrated o...;2022 July;125.5;12.7;26.9
5267;Total sales;105151 Milk and cream, concentrated o...;2022 August;126.3;0.6;25.9
5268;Total sales;105151 Milk and cream, concentrated o...;2022 September;127.6;1.1;26.9
5269;Total sales;105151 Milk and cream, concentrated o...;2022 October;129.4;1.4;27.1
5270;Total sales;105151 Milk and cream, concentrated o...;2022 November;127.2;-1.7;24.4
5271;Total sales;105151 Milk and cream, concentrated o...;2022 December;124.0;-2.5;19.8
5272;Total sales;105151 Milk and cream, concentrated o...;2022;117.6;;17.6
5273;Total sales;105151 Milk and cream, concentrated o...;2023 January;122.7;-1.1;15.9
5274;Total sales;105151 Milk and cream, concentrated o...;2023 February;122.6;0.0;16.0
5275;Total sales;105151 Milk and cream, concentrated o...;2023 March;127.0;3.6;18.0
5276;Total sales;105151 Milk and cream, concentrated o...;2023 April;128.0;0.8;17.0
5277;Total sales;105151 Milk and cream, concentrated o...;2023 May;127.7;-0.2;15.0
5278;Total sales;105151 Milk and cream, concentrated o...;2023 June;127.8;0.0;14.7
5279;Total sales;105151 Milk and cream, concentrated o...;2023 July;126.6;-0.9;0.9
5280;Total sales;105151 Milk and cream, concentrated o...;2023 August;126.6;0.0;0.2
5281;Total sales;105151 Milk and cream, concentrated o...;2023 September;;;
5282;Total sales;105151 Milk and cream, concentrated o...;2023 October;126.8;;-2.0
5283;Total sales;105151 Milk and cream, concentrated o...;2023 November;127.0;0.1;-0.1
5284;Total sales;105151 Milk and cream, concentrated o...;2023 December;127.1;0.0;2.5
5285;Total sales;105151 Milk and cream, concentrated o...;2023;;;
5286;Total sales;105151 Milk and cream, concentrated o...;2024 January;126.9;-0.1;3.4
5287;Total sales;105151 Milk and cream, concentrated o...;2024 February;126.9;0.0;3.5
5288;Total sales;105151 Milk and cream, concentrated o...;2024 March;127.0;0.1;-0.1
