ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
1375;0 to 49 employed persons;60 Programming and broadcasting;2018;0.0;0.0;0.0;0.0
1376;0 to 49 employed persons;60 Programming and broadcasting;2019;0.0;0.0;0.0;0.0
1377;0 to 49 employed persons;60 Programming and broadcasting;2020;0.0;0.0;0.0;0.0
1378;0 to 49 employed persons;60 Programming and broadcasting;2021;;;;
1379;0 to 49 employed persons;60 Programming and broadcasting;2022;;;;
1380;0 to 49 employed persons;61 Telecommunications;2013;;;;65.0
1381;0 to 49 employed persons;61 Telecommunications;2014;357.0;114.0;8.0;70.0
1382;0 to 49 employed persons;61 Telecommunications;2015;;;;50.0
1383;0 to 49 employed persons;61 Telecommunications;2016;255.0;155.0;8.0;45.0
1384;0 to 49 employed persons;61 Telecommunications;2017;234.0;120.0;6.0;40.0
1385;0 to 49 employed persons;61 Telecommunications;2018;253.0;157.0;11.0;65.0
1386;0 to 49 employed persons;61 Telecommunications;2019;237.0;132.0;7.0;40.0
1387;0 to 49 employed persons;61 Telecommunications;2020;235.0;216.0;13.0;35.0
1388;0 to 49 employed persons;61 Telecommunications;2021;233.0;202.0;18.0;35.0
1389;0 to 49 employed persons;61 Telecommunications;2022;115.0;94.0;5.0;
1390;0 to 49 employed persons;62-63 IT- and information services;2013;12158.0;7293.0;417.0;2905.0
1391;0 to 49 employed persons;62-63 IT- and information services;2014;;;;3140.0
1392;0 to 49 employed persons;62-63 IT- and information services;2015;;;;3295.0
1393;0 to 49 employed persons;62-63 IT- and information services;2016;13955.0;8734.0;490.0;3340.0
1394;0 to 49 employed persons;62-63 IT- and information services;2017;13315.0;8457.0;459.0;3195.0
1395;0 to 49 employed persons;62-63 IT- and information services;2018;13422.0;8203.0;395.0;3140.0
1396;0 to 49 employed persons;62-63 IT- and information services;2019;13741.0;7608.0;415.0;3110.0
1397;0 to 49 employed persons;62-63 IT- and information services;2020;12574.0;7953.0;448.0;3210.0
1398;0 to 49 employed persons;62-63 IT- and information services;2021;13463.0;7422.0;457.0;3190.0
1399;0 to 49 employed persons;62-63 IT- and information services;2022;15058.0;8657.0;485.0;
1400;0 to 49 employed persons;62 Support activities in the field of IT;2013;11019.0;6614.0;386.0;2600.0
1401;0 to 49 employed persons;62 Support activities in the field of IT;2014;10856.0;6998.0;396.0;2800.0
1402;0 to 49 employed persons;62 Support activities in the field of IT;2015;13165.0;8852.0;482.0;3015.0
1403;0 to 49 employed persons;62 Support activities in the field of IT;2016;12660.0;8099.0;460.0;3075.0
1404;0 to 49 employed persons;62 Support activities in the field of IT;2017;12047.0;7823.0;427.0;2950.0
1405;0 to 49 employed persons;62 Support activities in the field of IT;2018;11880.0;7506.0;357.0;2885.0
1406;0 to 49 employed persons;62 Support activities in the field of IT;2019;12575.0;7081.0;386.0;2880.0
1407;0 to 49 employed persons;62 Support activities in the field of IT;2020;11431.0;7335.0;419.0;2995.0
1408;0 to 49 employed persons;62 Support activities in the field of IT;2021;12304.0;6778.0;418.0;2965.0
1409;0 to 49 employed persons;62 Support activities in the field of IT;2022;14020.0;8085.0;448.0;
1410;0 to 49 employed persons;63 Information service activities;2013;1138.0;679.0;31.0;305.0
1411;0 to 49 employed persons;63 Information service activities;2014;;;;340.0
1412;0 to 49 employed persons;63 Information service activities;2015;;;;280.0
1413;0 to 49 employed persons;63 Information service activities;2016;1295.0;635.0;30.0;265.0
1414;0 to 49 employed persons;63 Information service activities;2017;1268.0;635.0;32.0;245.0
1415;0 to 49 employed persons;63 Information service activities;2018;1542.0;697.0;37.0;255.0
1416;0 to 49 employed persons;63 Information service activities;2019;1166.0;527.0;29.0;230.0
1417;0 to 49 employed persons;63 Information service activities;2020;1144.0;618.0;29.0;215.0
1418;0 to 49 employed persons;63 Information service activities;2021;1159.0;644.0;39.0;225.0
1419;0 to 49 employed persons;63 Information service activities;2022;1037.0;572.0;37.0;
1420;0 to 49 employed persons;K Financial institutions;2013;2416.0;1368.0;88.0;2140.0
1421;0 to 49 employed persons;K Financial institutions;2014;2437.0;1379.0;96.0;2055.0
1422;0 to 49 employed persons;K Financial institutions;2015;2161.0;1055.0;81.0;2060.0
1423;0 to 49 employed persons;K Financial institutions;2016;2269.0;1191.0;85.0;1985.0
1424;0 to 49 employed persons;K Financial institutions;2017;2071.0;1056.0;73.0;1695.0
1425;0 to 49 employed persons;K Financial institutions;2018;2230.0;1088.0;51.0;1645.0
1426;0 to 49 employed persons;K Financial institutions;2019;3167.0;1004.0;71.0;1600.0
1427;0 to 49 employed persons;K Financial institutions;2020;2325.0;984.0;66.0;1675.0
1428;0 to 49 employed persons;K Financial institutions;2021;2371.0;1079.0;80.0;1620.0
1429;0 to 49 employed persons;K Financial institutions;2022;3542.0;1146.0;89.0;
1430;0 to 49 employed persons;L Renting, buying, selling real estate;2013;124.0;71.0;4.0;65.0
1431;0 to 49 employed persons;L Renting, buying, selling real estate;2014;80.0;36.0;3.0;60.0
1432;0 to 49 employed persons;L Renting, buying, selling real estate;2015;66.0;32.0;2.0;50.0
1433;0 to 49 employed persons;L Renting, buying, selling real estate;2016;59.0;27.0;2.0;45.0
1434;0 to 49 employed persons;L Renting, buying, selling real estate;2017;51.0;26.0;2.0;45.0
1435;0 to 49 employed persons;L Renting, buying, selling real estate;2018;95.0;47.0;2.0;40.0
1436;0 to 49 employed persons;L Renting, buying, selling real estate;2019;52.0;28.0;3.0;35.0
1437;0 to 49 employed persons;L Renting, buying, selling real estate;2020;45.0;22.0;2.0;40.0
1438;0 to 49 employed persons;L Renting, buying, selling real estate;2021;40.0;18.0;2.0;40.0
1439;0 to 49 employed persons;L Renting, buying, selling real estate;2022;29.0;13.0;1.0;
1440;0 to 49 employed persons;68 Renting, buying, selling real estate;2013;124.0;71.0;4.0;65.0
1441;0 to 49 employed persons;68 Renting, buying, selling real estate;2014;80.0;36.0;3.0;60.0
1442;0 to 49 employed persons;68 Renting, buying, selling real estate;2015;66.0;32.0;2.0;50.0
1443;0 to 49 employed persons;68 Renting, buying, selling real estate;2016;59.0;27.0;2.0;45.0
1444;0 to 49 employed persons;68 Renting, buying, selling real estate;2017;51.0;26.0;2.0;45.0
1445;0 to 49 employed persons;68 Renting, buying, selling real estate;2018;95.0;47.0;2.0;40.0
1446;0 to 49 employed persons;68 Renting, buying, selling real estate;2019;52.0;28.0;3.0;35.0
1447;0 to 49 employed persons;68 Renting, buying, selling real estate;2020;45.0;22.0;2.0;40.0
1448;0 to 49 employed persons;68 Renting, buying, selling real estate;2021;40.0;18.0;2.0;40.0
1449;0 to 49 employed persons;68 Renting, buying, selling real estate;2022;29.0;13.0;1.0;
1450;0 to 49 employed persons;M-N Business services;2013;13464.0;6753.0;429.0;3965.0
1451;0 to 49 employed persons;M-N Business services;2014;12824.0;6649.0;448.0;4070.0
1452;0 to 49 employed persons;M-N Business services;2015;13369.0;7606.0;517.0;4020.0
1453;0 to 49 employed persons;M-N Business services;2016;12786.0;7313.0;516.0;4125.0
1454;0 to 49 employed persons;M-N Business services;2017;12547.0;7146.0;501.0;3945.0
1455;0 to 49 employed persons;M-N Business services;2018;12474.0;7201.0;470.0;3780.0
1456;0 to 49 employed persons;M-N Business services;2019;13576.0;7235.0;528.0;4080.0
1457;0 to 49 employed persons;M-N Business services;2020;16057.0;8231.0;583.0;4305.0
1458;0 to 49 employed persons;M-N Business services;2021;15562.0;8584.0;651.0;4220.0
1459;0 to 49 employed persons;M-N Business services;2022;18856.0;10231.0;821.0;
1460;0 to 49 employed persons;M Other specialised business services;2013;12333.0;6268.0;403.0;3520.0
1461;0 to 49 employed persons;M Other specialised business services;2014;11782.0;6135.0;418.0;3635.0
1462;0 to 49 employed persons;M Other specialised business services;2015;12242.0;7108.0;485.0;3495.0
1463;0 to 49 employed persons;M Other specialised business services;2016;11806.0;6916.0;491.0;3565.0
1464;0 to 49 employed persons;M Other specialised business services;2017;11281.0;6684.0;471.0;3385.0
1465;0 to 49 employed persons;M Other specialised business services;2018;11544.0;6859.0;447.0;3355.0
1466;0 to 49 employed persons;M Other specialised business services;2019;12410.0;6866.0;501.0;3485.0
1467;0 to 49 employed persons;M Other specialised business services;2020;14435.0;7586.0;545.0;3550.0
1468;0 to 49 employed persons;M Other specialised business services;2021;14121.0;8018.0;619.0;3525.0
1469;0 to 49 employed persons;M Other specialised business services;2022;16800.0;9237.0;757.0;
1470;0 to 49 employed persons;69-71 Management,  technical consultancy;2013;7391.0;2918.0;146.0;2595.0
1471;0 to 49 employed persons;69-71 Management,  technical consultancy;2014;6716.0;2483.0;145.0;2620.0
1472;0 to 49 employed persons;69-71 Management,  technical consultancy;2015;7141.0;3638.0;187.0;2450.0
1473;0 to 49 employed persons;69-71 Management,  technical consultancy;2016;6880.0;3367.0;202.0;2480.0
1474;0 to 49 employed persons;69-71 Management,  technical consultancy;2017;6010.0;2863.0;181.0;2315.0
1475;0 to 49 employed persons;69-71 Management,  technical consultancy;2018;6191.0;2971.0;165.0;2315.0
1476;0 to 49 employed persons;69-71 Management,  technical consultancy;2019;7360.0;3261.0;202.0;2415.0
1477;0 to 49 employed persons;69-71 Management,  technical consultancy;2020;8704.0;3595.0;222.0;2475.0
1478;0 to 49 employed persons;69-71 Management,  technical consultancy;2021;7810.0;3506.0;244.0;2450.0
1479;0 to 49 employed persons;69-71 Management,  technical consultancy;2022;9334.0;4108.0;299.0;
1480;0 to 49 employed persons;69 Legal services, administration etc.;2013;131.0;65.0;3.0;50.0
1481;0 to 49 employed persons;69 Legal services, administration etc.;2014;104.0;52.0;3.0;45.0
1482;0 to 49 employed persons;69 Legal services, administration etc.;2015;66.0;34.0;2.0;30.0
1483;0 to 49 employed persons;69 Legal services, administration etc.;2016;81.0;45.0;2.0;35.0
1484;0 to 49 employed persons;69 Legal services, administration etc.;2017;76.0;38.0;2.0;35.0
1485;0 to 49 employed persons;69 Legal services, administration etc.;2018;83.0;54.0;4.0;25.0
1486;0 to 49 employed persons;69 Legal services, administration etc.;2019;77.0;43.0;3.0;30.0
1487;0 to 49 employed persons;69 Legal services, administration etc.;2020;;;;25.0
1488;0 to 49 employed persons;69 Legal services, administration etc.;2021;56.0;23.0;1.0;25.0
1489;0 to 49 employed persons;69 Legal services, administration etc.;2022;105.0;64.0;4.0;
1490;0 to 49 employed persons;70 Holding companies (not financial);2013;3149.0;949.0;46.0;1225.0
1491;0 to 49 employed persons;70 Holding companies (not financial);2014;3330.0;835.0;46.0;1235.0
1492;0 to 49 employed persons;70 Holding companies (not financial);2015;3399.0;1230.0;70.0;1100.0
1493;0 to 49 employed persons;70 Holding companies (not financial);2016;2793.0;972.0;63.0;1095.0
1494;0 to 49 employed persons;70 Holding companies (not financial);2017;2510.0;951.0;68.0;980.0
1495;0 to 49 employed persons;70 Holding companies (not financial);2018;2621.0;1097.0;57.0;945.0
1496;0 to 49 employed persons;70 Holding companies (not financial);2019;3020.0;1202.0;78.0;990.0
1497;0 to 49 employed persons;70 Holding companies (not financial);2020;;;;1005.0
1498;0 to 49 employed persons;70 Holding companies (not financial);2021;2856.0;1415.0;89.0;1005.0
1499;0 to 49 employed persons;70 Holding companies (not financial);2022;3050.0;1299.0;92.0;
1500;0 to 49 employed persons;71 Architects, technical services etc.;2013;4111.0;1904.0;98.0;1315.0
1501;0 to 49 employed persons;71 Architects, technical services etc.;2014;3282.0;1596.0;95.0;1340.0
1502;0 to 49 employed persons;71 Architects, technical services etc.;2015;3675.0;2374.0;116.0;1320.0
1503;0 to 49 employed persons;71 Architects, technical services etc.;2016;4006.0;2350.0;136.0;1350.0
1504;0 to 49 employed persons;71 Architects, technical services etc.;2017;3424.0;1874.0;111.0;1300.0
1505;0 to 49 employed persons;71 Architects, technical services etc.;2018;3486.0;1819.0;104.0;1340.0
1506;0 to 49 employed persons;71 Architects, technical services etc.;2019;4263.0;2016.0;121.0;1395.0
1507;0 to 49 employed persons;71 Architects, technical services etc.;2020;5537.0;2068.0;130.0;1445.0
1508;0 to 49 employed persons;71 Architects, technical services etc.;2021;4899.0;2068.0;155.0;1415.0
1509;0 to 49 employed persons;71 Architects, technical services etc.;2022;6179.0;2745.0;204.0;
1510;0 to 49 employed persons;72 Research and development;2013;2964.0;2193.0;194.0;430.0
1511;0 to 49 employed persons;72 Research and development;2014;3065.0;2294.0;216.0;450.0
1512;0 to 49 employed persons;72 Research and development;2015;3308.0;2488.0;249.0;510.0
1513;0 to 49 employed persons;72 Research and development;2016;3313.0;2554.0;246.0;545.0
1514;0 to 49 employed persons;72 Research and development;2017;3828.0;2859.0;248.0;580.0
1515;0 to 49 employed persons;72 Research and development;2018;4094.0;3012.0;245.0;605.0
1516;0 to 49 employed persons;72 Research and development;2019;3897.0;2827.0;252.0;610.0
1517;0 to 49 employed persons;72 Research and development;2020;4544.0;3224.0;279.0;645.0
1518;0 to 49 employed persons;72 Research and development;2021;5294.0;3870.0;337.0;690.0
1519;0 to 49 employed persons;72 Research and development;2022;6006.0;4292.0;412.0;
1520;0 to 49 employed persons;73-75 Advertising, design and other;2013;1978.0;1157.0;63.0;500.0
1521;0 to 49 employed persons;73-75 Advertising, design and other;2014;2001.0;1358.0;57.0;565.0
1522;0 to 49 employed persons;73-75 Advertising, design and other;2015;1793.0;982.0;49.0;535.0
1523;0 to 49 employed persons;73-75 Advertising, design and other;2016;1613.0;996.0;43.0;540.0
1524;0 to 49 employed persons;73-75 Advertising, design and other;2017;1443.0;963.0;42.0;490.0
1525;0 to 49 employed persons;73-75 Advertising, design and other;2018;1259.0;876.0;38.0;440.0
1526;0 to 49 employed persons;73-75 Advertising, design and other;2019;1154.0;777.0;47.0;455.0
1527;0 to 49 employed persons;73-75 Advertising, design and other;2020;1187.0;768.0;44.0;430.0
1528;0 to 49 employed persons;73-75 Advertising, design and other;2021;1017.0;642.0;38.0;385.0
1529;0 to 49 employed persons;73-75 Advertising, design and other;2022;1460.0;838.0;46.0;
1530;0 to 49 employed persons;73 Advertising and market research;2013;581.0;285.0;11.0;255.0
1531;0 to 49 employed persons;73 Advertising and market research;2014;;;;295.0
1532;0 to 49 employed persons;73 Advertising and market research;2015;;;;280.0
1533;0 to 49 employed persons;73 Advertising and market research;2016;;;;245.0
1534;0 to 49 employed persons;73 Advertising and market research;2017;599.0;285.0;12.0;230.0
1535;0 to 49 employed persons;73 Advertising and market research;2018;454.0;199.0;9.0;175.0
1536;0 to 49 employed persons;73 Advertising and market research;2019;;;;175.0
1537;0 to 49 employed persons;73 Advertising and market research;2020;;;;160.0
1538;0 to 49 employed persons;73 Advertising and market research;2021;;;;120.0
1539;0 to 49 employed persons;73 Advertising and market research;2022;809.0;399.0;22.0;
1540;0 to 49 employed persons;74 Other specialised business services;2013;1390.0;870.0;52.0;235.0
1541;0 to 49 employed persons;74 Other specialised business services;2014;1292.0;995.0;42.0;260.0
1542;0 to 49 employed persons;74 Other specialised business services;2015;753.0;554.0;30.0;250.0
1543;0 to 49 employed persons;74 Other specialised business services;2016;831.0;682.0;30.0;285.0
1544;0 to 49 employed persons;74 Other specialised business services;2017;835.0;672.0;30.0;255.0
1545;0 to 49 employed persons;74 Other specialised business services;2018;792.0;671.0;29.0;260.0
1546;0 to 49 employed persons;74 Other specialised business services;2019;740.0;556.0;34.0;275.0
1547;0 to 49 employed persons;74 Other specialised business services;2020;794.0;530.0;33.0;265.0
1548;0 to 49 employed persons;74 Other specialised business services;2021;;;;265.0
1549;0 to 49 employed persons;74 Other specialised business services;2022;619.0;432.0;24.0;
1550;0 to 49 employed persons;75 Veterinary activities;2013;7.0;2.0;0.0;5.0
1551;0 to 49 employed persons;75 Veterinary activities;2014;;;;10.0
1552;0 to 49 employed persons;75 Veterinary activities;2015;;;;
1553;0 to 49 employed persons;75 Veterinary activities;2016;;;;10.0
1554;0 to 49 employed persons;75 Veterinary activities;2017;9.0;5.0;0.0;5.0
1555;0 to 49 employed persons;75 Veterinary activities;2018;13.0;7.0;0.0;5.0
1556;0 to 49 employed persons;75 Veterinary activities;2019;;;;
1557;0 to 49 employed persons;75 Veterinary activities;2020;;;;
1558;0 to 49 employed persons;75 Veterinary activities;2021;;;;
1559;0 to 49 employed persons;75 Veterinary activities;2022;32.0;7.0;0.0;
1560;0 to 49 employed persons;N Renting and other business support;2013;1131.0;485.0;25.0;445.0
1561;0 to 49 employed persons;N Renting and other business support;2014;1042.0;514.0;30.0;435.0
1562;0 to 49 employed persons;N Renting and other business support;2015;1127.0;498.0;32.0;525.0
1563;0 to 49 employed persons;N Renting and other business support;2016;980.0;397.0;25.0;560.0
1564;0 to 49 employed persons;N Renting and other business support;2017;1265.0;461.0;30.0;565.0
1565;0 to 49 employed persons;N Renting and other business support;2018;930.0;342.0;23.0;425.0
1566;0 to 49 employed persons;N Renting and other business support;2019;1166.0;369.0;27.0;595.0
1567;0 to 49 employed persons;N Renting and other business support;2020;1622.0;645.0;38.0;755.0
1568;0 to 49 employed persons;N Renting and other business support;2021;1441.0;565.0;32.0;700.0
