ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
5596;Total male and female, including unknown;Total age;306;2010 February;20;20
5597;Total male and female, including unknown;Total age;306;2010 March;25;20
5598;Total male and female, including unknown;Total age;306;2010 1st Quarter;70;65
5599;Total male and female, including unknown;Total age;306;2010 April;15;10
5600;Total male and female, including unknown;Total age;306;2010 May;20;20
5601;Total male and female, including unknown;Total age;306;2010 June;15;15
5602;Total male and female, including unknown;Total age;306;2010 2nd Quarter;45;40
5603;Total male and female, including unknown;Total age;306;2010 July;5;5
5604;Total male and female, including unknown;Total age;306;2010 August;10;5
5605;Total male and female, including unknown;Total age;306;2010 September;20;15
5606;Total male and female, including unknown;Total age;306;2010 3rd Quarter;35;25
5607;Total male and female, including unknown;Total age;306;2010 October;35;30
5608;Total male and female, including unknown;Total age;306;2010 November;20;15
5609;Total male and female, including unknown;Total age;306;2010 December;30;20
5610;Total male and female, including unknown;Total age;306;2010 4th Quarter;85;70
5611;Total male and female, including unknown;Total age;306;2010;235;200
5612;Total male and female, including unknown;Total age;306;2011 January;10;10
5613;Total male and female, including unknown;Total age;306;2011 February;20;20
5614;Total male and female, including unknown;Total age;306;2011 March;30;20
5615;Total male and female, including unknown;Total age;306;2011 1st Quarter;60;45
5616;Total male and female, including unknown;Total age;306;2011 April;15;5
5617;Total male and female, including unknown;Total age;306;2011 May;20;15
5618;Total male and female, including unknown;Total age;306;2011 June;10;5
5619;Total male and female, including unknown;Total age;306;2011 2nd Quarter;45;25
5620;Total male and female, including unknown;Total age;306;2011 July;10;5
5621;Total male and female, including unknown;Total age;306;2011 August;15;10
5622;Total male and female, including unknown;Total age;306;2011 September;10;0
5623;Total male and female, including unknown;Total age;306;2011 3rd Quarter;30;15
5624;Total male and female, including unknown;Total age;306;2011 October;15;15
5625;Total male and female, including unknown;Total age;306;2011 November;15;10
5626;Total male and female, including unknown;Total age;306;2011 December;20;15
5627;Total male and female, including unknown;Total age;306;2011 4th Quarter;50;35
5628;Total male and female, including unknown;Total age;306;2011;185;125
5629;Total male and female, including unknown;Total age;306;2012 January;10;10
5630;Total male and female, including unknown;Total age;306;2012 February;15;10
5631;Total male and female, including unknown;Total age;306;2012 March;10;5
5632;Total male and female, including unknown;Total age;306;2012 1st Quarter;30;25
5633;Total male and female, including unknown;Total age;306;2012 April;15;10
5634;Total male and female, including unknown;Total age;306;2012 May;15;15
5635;Total male and female, including unknown;Total age;306;2012 June;10;10
5636;Total male and female, including unknown;Total age;306;2012 2nd Quarter;45;30
5637;Total male and female, including unknown;Total age;306;2012 July;10;5
5638;Total male and female, including unknown;Total age;306;2012 August;10;5
5639;Total male and female, including unknown;Total age;306;2012 September;20;10
5640;Total male and female, including unknown;Total age;306;2012 3rd Quarter;40;20
5641;Total male and female, including unknown;Total age;306;2012 October;20;15
5642;Total male and female, including unknown;Total age;306;2012 November;15;0
5643;Total male and female, including unknown;Total age;306;2012 December;45;35
5644;Total male and female, including unknown;Total age;306;2012 4th Quarter;80;50
5645;Total male and female, including unknown;Total age;306;2012;195;125
5646;Total male and female, including unknown;Total age;306;2013 January;15;15
5647;Total male and female, including unknown;Total age;306;2013 February;25;10
5648;Total male and female, including unknown;Total age;306;2013 March;15;5
5649;Total male and female, including unknown;Total age;306;2013 1st Quarter;60;20
5650;Total male and female, including unknown;Total age;306;2013 April;10;0
5651;Total male and female, including unknown;Total age;306;2013 May;10;5
5652;Total male and female, including unknown;Total age;306;2013 June;15;5
5653;Total male and female, including unknown;Total age;306;2013 2nd Quarter;35;10
5654;Total male and female, including unknown;Total age;306;2013 July;15;5
5655;Total male and female, including unknown;Total age;306;2013 August;5;5
5656;Total male and female, including unknown;Total age;306;2013 September;15;15
5657;Total male and female, including unknown;Total age;306;2013 3rd Quarter;40;20
5658;Total male and female, including unknown;Total age;306;2013 October;10;10
5659;Total male and female, including unknown;Total age;306;2013 November;15;15
5660;Total male and female, including unknown;Total age;306;2013 December;15;10
5661;Total male and female, including unknown;Total age;306;2013 4th Quarter;40;35
5662;Total male and female, including unknown;Total age;306;2013;170;85
5663;Total male and female, including unknown;Total age;306;2014 January;10;10
5664;Total male and female, including unknown;Total age;306;2014 February;10;5
5665;Total male and female, including unknown;Total age;306;2014 March;20;10
5666;Total male and female, including unknown;Total age;306;2014 1st Quarter;40;20
5667;Total male and female, including unknown;Total age;306;2014 April;10;0
5668;Total male and female, including unknown;Total age;306;2014 May;15;5
5669;Total male and female, including unknown;Total age;306;2014 June;0;0
5670;Total male and female, including unknown;Total age;306;2014 2nd Quarter;25;10
5671;Total male and female, including unknown;Total age;306;2014 July;5;5
5672;Total male and female, including unknown;Total age;306;2014 August;5;5
5673;Total male and female, including unknown;Total age;306;2014 September;5;5
5674;Total male and female, including unknown;Total age;306;2014 3rd Quarter;20;15
5675;Total male and female, including unknown;Total age;306;2014 October;10;5
5676;Total male and female, including unknown;Total age;306;2014 November;5;0
5677;Total male and female, including unknown;Total age;306;2014 December;15;5
5678;Total male and female, including unknown;Total age;306;2014 4th Quarter;25;10
5679;Total male and female, including unknown;Total age;306;2014;110;55
5680;Total male and female, including unknown;Total age;306;2015 January;10;5
5681;Total male and female, including unknown;Total age;306;2015 February;5;5
5682;Total male and female, including unknown;Total age;306;2015 March;15;5
5683;Total male and female, including unknown;Total age;306;2015 1st Quarter;30;15
5684;Total male and female, including unknown;Total age;306;2015 April;15;5
5685;Total male and female, including unknown;Total age;306;2015 May;5;0
5686;Total male and female, including unknown;Total age;306;2015 June;5;5
5687;Total male and female, including unknown;Total age;306;2015 2nd Quarter;25;10
5688;Total male and female, including unknown;Total age;306;2015 July;0;0
5689;Total male and female, including unknown;Total age;306;2015 August;5;0
5690;Total male and female, including unknown;Total age;306;2015 September;5;0
5691;Total male and female, including unknown;Total age;306;2015 3rd Quarter;15;5
5692;Total male and female, including unknown;Total age;306;2015 October;0;0
5693;Total male and female, including unknown;Total age;306;2015 November;5;5
5694;Total male and female, including unknown;Total age;306;2015 December;10;5
5695;Total male and female, including unknown;Total age;306;2015 4th Quarter;15;5
5696;Total male and female, including unknown;Total age;306;2015;80;35
5697;Total male and female, including unknown;Total age;306;2016 January;5;0
5698;Total male and female, including unknown;Total age;336;2007 January;20;5
5699;Total male and female, including unknown;Total age;336;2007 February;10;10
5700;Total male and female, including unknown;Total age;336;2007 March;20;15
5701;Total male and female, including unknown;Total age;336;2007 1st Quarter;50;25
5702;Total male and female, including unknown;Total age;336;2007 April;5;5
5703;Total male and female, including unknown;Total age;336;2007 May;0;0
5704;Total male and female, including unknown;Total age;336;2007 June;5;0
