ID;EconomicActivitiesNaceRev2;Periods;CompensationOfEmployees_1;WagesAndSalaries_2;EmployersSocialContributions_3;CompensationOfEmployeesPerFte_4;WagesPerFte_5;CompensationPerHoursWorked_6;WagesPerHoursWorked_7;FullTimeEquivalentFte_8;HoursWorked_9;HoursPaid_10;HoursAgreed_11;PaidExtraHours_12;TotalMaleAndFemale_13;Male_14;Female_15;TotalMaleAndFemale_16;Male_17;Female_18;TotalMaleAndFemale_19;Male_20;Female_21
204;03 Fishing and aquaculture;1997;83.0;74.0;9.0;;;;;1;3;3;3;0;2;2;0;;;;;;
205;03 Fishing and aquaculture;1998;85.0;70.0;15.0;;;;;1;3;3;3;0;2;2;0;;;;;;
206;03 Fishing and aquaculture;1999;90.0;74.0;16.0;;;;;1;3;3;3;0;2;2;0;;;;;;
207;03 Fishing and aquaculture;2000;84.0;68.0;16.0;;;;;1;3;3;3;0;2;2;0;;;;;;
208;03 Fishing and aquaculture;2001;78.0;63.0;15.0;55.0;44.4;29.1;23.5;1;3;3;3;0;2;1;0;1.0;1.0;0.0;0.0;0.0;0.0
209;03 Fishing and aquaculture;2002;71.0;57.0;14.0;55.3;44.4;30.0;24.1;1;2;2;2;0;2;1;0;1.0;1.0;0.0;0.0;0.0;0.0
210;03 Fishing and aquaculture;2003;76.0;60.0;16.0;58.5;46.1;30.6;24.1;1;2;3;2;0;2;1;0;1.0;1.0;0.0;1.0;0.0;0.0
211;03 Fishing and aquaculture;2004;70.0;55.0;15.0;59.3;46.6;32.3;25.4;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
212;03 Fishing and aquaculture;2005;63.0;50.0;13.0;59.9;47.5;32.6;25.9;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
213;03 Fishing and aquaculture;2006;59.0;47.0;12.0;60.9;48.5;33.3;26.5;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
214;03 Fishing and aquaculture;2007;64.0;51.0;13.0;64.8;51.6;35.3;28.1;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
215;03 Fishing and aquaculture;2008;60.0;47.0;13.0;64.1;50.0;33.4;26.1;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
216;03 Fishing and aquaculture;2009;59.0;46.0;13.0;61.9;48.5;31.9;24.9;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
217;03 Fishing and aquaculture;2010;59.0;46.0;13.0;66.0;51.6;33.8;26.4;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
218;03 Fishing and aquaculture;2011;63.0;49.0;14.0;69.2;54.2;35.4;27.7;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
219;03 Fishing and aquaculture;2012;65.0;50.0;15.0;70.3;54.4;35.9;27.8;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
220;B-E Industry (no construction), energy;1969;8268.0;6721.0;1547.0;6.5;5.2;3.3;2.7;1282;2504;2690;2634;56;1334;1145;189;;;;;;
221;B-E Industry (no construction), energy;1970;9168.0;7448.0;1720.0;7.1;5.8;3.7;3.0;1283;2451;2633;2579;54;1336;1145;192;;;;;;
222;B-E Industry (no construction), energy;1971;10165.0;8217.0;1948.0;8.0;6.5;4.3;3.5;1264;2372;2545;2493;52;1317;1130;186;;;;;;
223;B-E Industry (no construction), energy;1972;11133.0;8981.0;2152.0;9.1;7.4;4.9;3.9;1221;2276;2446;2397;48;1273;1089;184;;;;;;
224;B-E Industry (no construction), energy;1973;12819.0;10191.0;2628.0;10.6;8.4;5.8;4.6;1208;2224;2388;2333;55;1260;1079;181;;;;;;
225;B-E Industry (no construction), energy;1974;14769.0;11676.0;3093.0;12.3;9.7;6.9;5.5;1205;2133;2318;2269;49;1257;1075;182;;;;;;
226;B-E Industry (no construction), energy;1975;15355.0;12119.0;3236.0;13.1;10.4;7.7;6.1;1170;1997;2208;2168;41;1223;1049;174;;;;;;
227;B-E Industry (no construction), energy;1976;16843.0;13237.0;3606.0;14.9;11.7;8.6;6.8;1134;1949;2142;2100;42;1186;1023;164;;;;;;
228;B-E Industry (no construction), energy;1977;17501.0;13792.0;3709.0;15.6;12.3;9.1;7.2;1120;1914;2105;2067;37;1174;1014;161;;;;;;
229;B-E Industry (no construction), energy;1978;18277.0;14398.0;3879.0;16.6;13.1;9.9;7.8;1098;1854;2054;2018;37;1153;993;160;;;;;;
230;B-E Industry (no construction), energy;1979;19433.0;15240.0;4193.0;17.8;14.0;10.6;8.3;1089;1842;2028;1989;39;1146;984;162;;;;;;
231;B-E Industry (no construction), energy;1980;20104.0;15713.0;4391.0;18.6;14.6;11.1;8.7;1079;1813;2002;1969;33;1137;971;165;;;;;;
232;B-E Industry (no construction), energy;1981;20492.0;16045.0;4447.0;19.4;15.2;11.5;9.0;1056;1789;1954;1923;31;1113;952;161;;;;;;
233;B-E Industry (no construction), energy;1982;21088.0;16588.0;4500.0;20.7;16.3;12.2;9.6;1019;1723;1879;1851;28;1076;920;156;;;;;;
234;B-E Industry (no construction), energy;1983;21415.0;16701.0;4714.0;21.8;17.0;12.9;10.0;980;1666;1789;1763;27;1037;887;149;;;;;;
235;B-E Industry (no construction), energy;1984;21980.0;17153.0;4827.0;22.9;17.9;13.4;10.5;960;1635;1737;1707;30;1016;866;151;;;;;;
236;B-E Industry (no construction), energy;1985;23047.0;18026.0;5021.0;23.8;18.6;14.2;11.1;969;1625;1719;1688;31;1026;875;151;;;;;;
237;B-E Industry (no construction), energy;1986;23873.0;18708.0;5165.0;24.4;19.1;14.6;11.5;979;1634;1730;1699;31;1037;883;155;;;;;;
238;B-E Industry (no construction), energy;1987;24918.0;19386.0;5532.0;25.3;19.7;15.2;11.9;986;1636;1732;1702;30;1046;887;158;;;;;;
239;B-E Industry (no construction), energy;1988;25248.0;19859.0;5389.0;25.6;20.2;15.5;12.2;984;1632;1720;1688;32;1047;888;160;;;;;;
240;B-E Industry (no construction), energy;1989;25601.0;20375.0;5226.0;25.9;20.6;15.6;12.4;990;1639;1726;1693;33;1060;892;169;;;;;;
241;B-E Industry (no construction), energy;1990;27205.0;23584.0;3621.0;26.8;23.3;16.1;14.0;1014;1688;1770;1734;36;1085;914;172;;;;;;
242;B-E Industry (no construction), energy;1991;28572.0;24763.0;3809.0;28.0;24.3;16.8;14.6;1020;1702;1786;1750;36;1097;913;184;;;;;;
243;B-E Industry (no construction), energy;1992;29929.0;25778.0;4151.0;29.5;25.4;17.6;15.2;1013;1696;1772;1737;35;1085;897;188;;;;;;
244;B-E Industry (no construction), energy;1993;29986.0;26099.0;3887.0;30.9;26.9;18.7;16.3;972;1604;1698;1665;33;1046;861;184;;;;;;
245;B-E Industry (no construction), energy;1994;29992.0;26303.0;3689.0;32.1;28.1;19.2;16.8;935;1565;1629;1597;31;1009;834;176;;;;;;
246;B-E Industry (no construction), energy;1995;30674.0;26655.0;4019.0;33.0;28.7;19.5;16.9;930;1577;1625;1591;34;1007;825;182;;;;;;
247;B-E Industry (no construction), energy;1996;30920.0;26752.0;4168.0;33.6;29.1;19.8;17.1;919;1562;1610;1577;33;998;817;181;;;;;;
248;B-E Industry (no construction), energy;1997;31812.0;27689.0;4123.0;34.4;29.9;20.3;17.7;925;1564;1615;1579;36;1001;816;185;;;;;;
249;B-E Industry (no construction), energy;1998;33258.0;27085.0;6173.0;35.7;29.1;21.2;17.3;931;1569;1621;1584;37;1010;818;193;;;;;;
250;B-E Industry (no construction), energy;1999;34449.0;28090.0;6359.0;36.9;30.1;21.9;17.9;933;1571;1621;1586;36;1018;817;201;;;;;;
251;B-E Industry (no construction), energy;2000;36015.0;29236.0;6779.0;38.7;31.4;22.9;18.6;931;1570;1620;1585;35;1024;817;207;;;;;;
252;B-E Industry (no construction), energy;2001;37591.0;30417.0;7174.0;40.3;32.6;24.0;19.4;932;1569;1615;1582;32;1022;808;214;808.0;705.0;104.0;214.0;103.0;111.0
253;B-E Industry (no construction), energy;2002;38921.0;31045.0;7876.0;42.5;33.9;25.3;20.2;915;1537;1585;1558;27;1005;794;210;788.0;691.0;97.0;216.0;103.0;113.0
254;B-E Industry (no construction), energy;2003;39211.0;31118.0;8093.0;44.4;35.2;26.3;20.9;883;1490;1530;1505;25;971;769;202;757.0;666.0;91.0;214.0;103.0;112.0
255;B-E Industry (no construction), energy;2004;39535.0;31027.0;8508.0;46.2;36.3;27.5;21.5;855;1440;1478;1456;22;943;746;197;722.0;640.0;82.0;221.0;107.0;115.0
256;B-E Industry (no construction), energy;2005;38957.0;30765.0;8192.0;46.8;36.9;27.7;21.9;833;1404;1444;1419;25;921;730;191;701.0;624.0;77.0;219.0;106.0;114.0
257;B-E Industry (no construction), energy;2006;39857.0;31413.0;8444.0;48.2;38.0;28.6;22.5;827;1395;1433;1408;25;916;721;195;693.0;613.0;80.0;222.0;108.0;115.0
258;B-E Industry (no construction), energy;2007;41301.0;32598.0;8703.0;49.7;39.2;29.4;23.2;831;1405;1438;1413;26;921;724;197;696.0;615.0;81.0;225.0;109.0;116.0
259;B-E Industry (no construction), energy;2008;43113.0;33857.0;9256.0;51.5;40.4;30.4;23.9;837;1418;1448;1423;25;931;727;203;695.0;612.0;82.0;236.0;115.0;121.0
260;B-E Industry (no construction), energy;2009;42652.0;33499.0;9153.0;52.4;41.1;31.4;24.7;814;1356;1413;1392;21;906;705;201;670.0;593.0;77.0;236.0;112.0;123.0
261;B-E Industry (no construction), energy;2010;42696.0;33468.0;9228.0;53.7;42.1;31.7;24.9;795;1345;1380;1356;24;884;686;198;662.0;587.0;75.0;222.0;99.0;122.0
262;B-E Industry (no construction), energy;2011;43280.0;33970.0;9310.0;54.8;43.0;32.3;25.3;790;1342;1371;1346;24;878;680;197;658.0;582.0;75.0;220.0;98.0;122.0
263;B-E Industry (no construction), energy;2012;43645.0;33951.0;9694.0;56.0;43.5;32.9;25.6;780;1327;1354;1330;24;867;671;196;649.0;574.0;75.0;217.0;96.0;121.0
264;B Mining and quarrying;1969;221.0;175.0;46.0;9.5;7.5;4.1;3.2;23;54;53;50;3;25;23;2;;;;;;
265;B Mining and quarrying;1970;206.0;162.0;44.0;10.6;8.4;4.6;3.6;19;44;43;41;2;21;19;1;;;;;;
266;B Mining and quarrying;1971;199.0;156.0;43.0;11.4;8.9;5.0;3.9;17;40;38;36;2;19;17;1;;;;;;
267;B Mining and quarrying;1972;200.0;158.0;42.0;13.8;10.9;6.5;5.1;15;31;31;30;1;16;14;1;;;;;;
268;B Mining and quarrying;1973;184.0;145.0;39.0;15.8;12.5;7.3;5.8;12;25;25;24;1;12;12;1;;;;;;
269;B Mining and quarrying;1974;111.0;86.0;25.0;16.4;12.7;9.1;7.1;7;12;13;13;0;7;7;1;;;;;;
270;B Mining and quarrying;1975;132.0;103.0;29.0;19.5;15.2;9.0;7.0;7;15;14;13;1;7;7;1;;;;;;
271;B Mining and quarrying;1976;162.0;125.0;37.0;20.9;16.1;12.3;9.5;8;13;14;14;0;8;8;1;;;;;;
272;B Mining and quarrying;1977;183.0;142.0;41.0;23.6;18.3;13.9;10.8;8;13;14;14;0;8;8;1;;;;;;
273;B Mining and quarrying;1978;202.0;156.0;46.0;26.1;20.1;15.6;12.0;8;13;14;14;0;8;8;1;;;;;;
274;B Mining and quarrying;1979;220.0;170.0;50.0;28.4;21.9;17.1;13.2;8;13;14;14;0;8;8;1;;;;;;
275;B Mining and quarrying;1980;249.0;192.0;57.0;28.6;22.0;17.0;13.1;9;15;16;16;0;9;9;1;;;;;;
276;B Mining and quarrying;1981;263.0;198.0;65.0;30.2;22.7;14.6;11.0;9;18;17;16;1;9;9;1;;;;;;
277;B Mining and quarrying;1982;298.0;226.0;72.0;34.2;25.9;20.3;15.4;9;15;16;16;0;9;8;1;;;;;;
278;B Mining and quarrying;1983;319.0;242.0;77.0;32.9;25.0;19.6;14.9;10;16;17;17;0;10;9;1;;;;;;
279;B Mining and quarrying;1984;350.0;265.0;85.0;36.1;27.4;17.8;13.4;10;20;18;17;1;10;9;1;;;;;;
280;B Mining and quarrying;1985;425.0;298.0;127.0;43.9;30.8;26.4;18.5;10;16;17;17;0;10;9;1;;;;;;
281;B Mining and quarrying;1986;427.0;311.0;116.0;44.1;32.1;26.7;19.5;10;16;17;17;0;10;9;1;;;;;;
282;B Mining and quarrying;1987;418.0;322.0;96.0;43.1;33.2;24.7;19.1;10;17;17;17;0;10;10;1;;;;;;
283;B Mining and quarrying;1988;416.0;334.0;82.0;43.4;34.8;24.6;19.8;10;17;17;17;0;10;10;1;;;;;;
284;B Mining and quarrying;1989;421.0;349.0;72.0;43.9;36.4;24.9;20.6;10;17;17;17;0;10;10;1;;;;;;
285;B Mining and quarrying;1990;432.0;375.0;57.0;45.1;39.1;25.9;22.5;10;17;17;17;0;10;10;1;;;;;;
286;B Mining and quarrying;1991;462.0;397.0;65.0;48.2;41.4;27.9;23.9;10;17;17;17;0;10;10;1;;;;;;
287;B Mining and quarrying;1992;499.0;426.0;73.0;52.0;44.4;29.4;25.1;10;17;17;17;0;10;10;1;;;;;;
288;B Mining and quarrying;1993;529.0;453.0;76.0;54.6;46.8;30.2;25.9;10;18;17;17;1;10;10;1;;;;;;
289;B Mining and quarrying;1994;544.0;464.0;80.0;55.0;46.9;30.2;25.8;10;18;18;17;1;10;10;1;;;;;;
290;B Mining and quarrying;1995;539.0;453.0;86.0;59.3;49.9;33.8;28.4;9;16;16;16;0;10;9;1;;;;;;
291;B Mining and quarrying;1996;558.0;469.0;89.0;59.7;50.2;33.9;28.5;9;16;17;16;0;10;9;1;;;;;;
292;B Mining and quarrying;1997;560.0;471.0;89.0;62.4;52.5;35.2;29.6;9;16;16;16;0;10;9;1;;;;;;
293;B Mining and quarrying;1998;592.0;466.0;126.0;64.0;50.4;35.9;28.3;9;16;17;16;0;10;9;1;;;;;;
294;B Mining and quarrying;1999;585.0;464.0;121.0;66.0;52.3;37.2;29.5;9;16;16;16;0;9;8;1;;;;;;
295;B Mining and quarrying;2000;586.0;459.0;127.0;67.3;52.7;38.1;29.8;9;15;15;15;0;9;8;1;;;;;;
296;B Mining and quarrying;2001;584.0;462.0;122.0;69.7;55.2;39.3;31.1;8;15;15;15;0;9;8;1;8.0;7.0;1.0;1.0;0.0;0.0
297;B Mining and quarrying;2002;656.0;510.0;146.0;74.7;58.1;41.8;32.5;9;16;16;15;0;9;8;1;8.0;7.0;1.0;1.0;1.0;0.0
298;B Mining and quarrying;2003;666.0;520.0;146.0;76.2;59.5;44.3;34.6;9;15;15;15;0;9;8;1;8.0;7.0;1.0;1.0;1.0;0.0
299;B Mining and quarrying;2004;689.0;529.0;160.0;80.6;61.9;46.9;36.0;9;15;15;15;0;9;8;1;8.0;7.0;1.0;1.0;1.0;1.0
300;B Mining and quarrying;2005;574.0;445.0;129.0;80.5;62.4;46.9;36.4;7;12;13;12;0;8;7;1;6.0;6.0;1.0;1.0;1.0;0.0
301;B Mining and quarrying;2006;577.0;449.0;128.0;83.6;65.1;48.7;37.9;7;12;12;12;0;7;6;1;6.0;6.0;1.0;1.0;1.0;0.0
302;B Mining and quarrying;2007;603.0;469.0;134.0;88.1;68.5;51.4;40.0;7;12;12;12;0;7;6;1;6.0;5.0;1.0;1.0;1.0;0.0
303;B Mining and quarrying;2008;636.0;490.0;146.0;92.8;71.6;53.7;41.4;7;12;12;12;0;7;6;1;6.0;5.0;1.0;1.0;1.0;0.0
304;B Mining and quarrying;2009;648.0;501.0;147.0;94.1;72.7;54.2;41.9;7;12;12;12;0;7;6;1;6.0;5.0;1.0;1.0;1.0;1.0
305;B Mining and quarrying;2010;671.0;520.0;151.0;98.1;76.0;56.9;44.1;7;12;12;12;0;7;6;1;6.0;5.0;1.0;1.0;1.0;1.0
306;B Mining and quarrying;2011;707.0;549.0;158.0;99.6;77.3;57.9;44.9;7;12;12;12;0;8;6;1;6.0;6.0;1.0;2.0;1.0;1.0
307;B Mining and quarrying;2012;707.0;546.0;161.0;96.6;74.7;55.8;43.1;7;13;13;13;0;8;7;1;6.0;6.0;1.0;2.0;1.0;1.0
308;C Manufacturing;1969;7573.0;6161.0;1412.0;6.3;5.1;3.2;2.6;1204;2345;2526;2475;51;1254;1069;185;;;;;;
309;C Manufacturing;1970;8417.0;6844.0;1573.0;7.0;5.7;3.7;3.0;1210;2304;2481;2431;50;1261;1073;187;;;;;;
310;C Manufacturing;1971;9343.0;7559.0;1784.0;7.8;6.3;4.2;3.4;1192;2231;2400;2352;48;1243;1061;182;;;;;;
311;C Manufacturing;1972;10220.0;8251.0;1969.0;8.9;7.2;4.8;3.8;1153;2145;2308;2262;46;1202;1023;180;;;;;;
312;C Manufacturing;1973;11846.0;9423.0;2423.0;10.4;8.3;5.6;4.5;1142;2098;2256;2203;52;1192;1015;177;;;;;;
313;C Manufacturing;1974;13737.0;10866.0;2871.0;12.0;9.5;6.8;5.4;1143;2023;2199;2152;47;1194;1016;179;;;;;;
314;C Manufacturing;1975;14100.0;11133.0;2967.0;12.7;10.0;7.5;5.9;1109;1888;2093;2054;39;1160;990;170;;;;;;
315;C Manufacturing;1976;15425.0;12126.0;3299.0;14.4;11.3;8.4;6.6;1072;1840;2025;1984;41;1123;963;160;;;;;;
316;C Manufacturing;1977;15930.0;12557.0;3373.0;15.1;11.9;8.8;7.0;1058;1805;1988;1951;36;1111;954;157;;;;;;
317;C Manufacturing;1978;16597.0;13079.0;3518.0;16.0;12.6;9.5;7.5;1036;1746;1938;1902;36;1089;933;156;;;;;;
318;C Manufacturing;1979;17560.0;13774.0;3786.0;17.1;13.4;10.1;8.0;1026;1732;1909;1872;38;1080;922;158;;;;;;
319;C Manufacturing;1980;18056.0;14113.0;3943.0;17.8;13.9;10.6;8.3;1014;1700;1880;1849;32;1070;909;161;;;;;;
320;C Manufacturing;1981;18253.0;14296.0;3957.0;18.4;14.4;10.9;8.6;990;1671;1830;1801;29;1045;889;156;;;;;;
321;C Manufacturing;1982;18838.0;14827.0;4011.0;19.8;15.5;11.7;9.2;954;1610;1758;1731;27;1008;857;151;;;;;;
322;C Manufacturing;1983;19192.0;14977.0;4215.0;21.0;16.4;12.4;9.6;914;1552;1668;1642;26;968;824;144;;;;;;
323;C Manufacturing;1984;19802.0;15464.0;4338.0;22.2;17.3;13.0;10.2;894;1519;1616;1589;27;949;804;144;;;;;;
324;C Manufacturing;1985;20715.0;16238.0;4477.0;22.9;18.0;13.7;10.7;903;1512;1599;1570;30;958;814;144;;;;;;
325;C Manufacturing;1986;21615.0;16969.0;4646.0;23.7;18.6;14.2;11.2;913;1522;1612;1582;30;969;822;148;;;;;;
326;C Manufacturing;1987;22535.0;17584.0;4951.0;24.5;19.1;14.8;11.6;919;1521;1612;1583;28;976;825;151;;;;;;
327;C Manufacturing;1988;22745.0;17932.0;4813.0;24.8;19.6;15.0;11.8;916;1514;1597;1567;30;977;825;151;;;;;;
328;C Manufacturing;1989;23132.0;18424.0;4708.0;25.1;20.0;15.2;12.1;921;1521;1603;1572;31;989;828;160;;;;;;
329;C Manufacturing;1990;24544.0;21285.0;3259.0;26.0;22.5;15.7;13.6;945;1568;1646;1611;34;1014;850;164;;;;;;
330;C Manufacturing;1991;25995.0;22551.0;3444.0;27.3;23.7;16.4;14.3;951;1581;1661;1627;34;1025;849;176;;;;;;
331;C Manufacturing;1992;27231.0;23466.0;3765.0;28.8;24.9;17.3;14.9;944;1576;1648;1616;33;1013;833;180;;;;;;
332;C Manufacturing;1993;27154.0;23655.0;3499.0;30.1;26.2;18.3;15.9;902;1483;1573;1543;30;974;798;175;;;;;;
333;C Manufacturing;1994;27200.0;23889.0;3311.0;31.5;27.6;18.9;16.6;865;1442;1504;1475;29;936;770;167;;;;;;
334;C Manufacturing;1995;27797.0;24189.0;3608.0;32.3;28.1;19.1;16.6;861;1456;1503;1470;32;935;763;172;;;;;;
335;C Manufacturing;1996;28045.0;24297.0;3748.0;32.9;28.5;19.4;16.8;851;1443;1490;1458;32;926;756;170;;;;;;
336;C Manufacturing;1997;28822.0;25139.0;3683.0;33.6;29.3;19.9;17.4;857;1447;1495;1461;34;929;756;173;;;;;;
337;C Manufacturing;1998;30111.0;24563.0;5548.0;34.9;28.5;20.8;16.9;862;1451;1500;1465;35;938;757;181;;;;;;
338;C Manufacturing;1999;31182.0;25463.0;5719.0;36.1;29.5;21.5;17.5;864;1453;1502;1468;34;946;757;189;;;;;;
339;C Manufacturing;2000;32680.0;26574.0;6106.0;37.9;30.8;22.5;18.3;863;1453;1501;1468;33;952;757;195;;;;;;
340;C Manufacturing;2001;34123.0;27646.0;6477.0;39.5;32.0;23.5;19.0;865;1453;1497;1467;30;951;749;202;749.0;651.0;98.0;202.0;98.0;104.0
341;C Manufacturing;2002;35153.0;28069.0;7084.0;41.6;33.2;24.8;19.8;846;1418;1464;1439;24;931;733;198;726.0;635.0;91.0;205.0;99.0;107.0
342;C Manufacturing;2003;35277.0;28030.0;7247.0;43.4;34.4;25.8;20.5;814;1369;1408;1385;23;897;708;189;695.0;611.0;84.0;202.0;98.0;105.0
343;C Manufacturing;2004;35577.0;27983.0;7594.0;45.2;35.5;26.9;21.1;788;1324;1361;1341;20;870;687;183;665.0;589.0;77.0;205.0;98.0;107.0
344;C Manufacturing;2005;35117.0;27802.0;7315.0;45.8;36.2;27.2;21.6;768;1289;1329;1306;22;851;674;177;646.0;574.0;71.0;205.0;100.0;106.0
345;C Manufacturing;2006;35965.0;28410.0;7555.0;47.1;37.2;28.0;22.1;763;1283;1321;1299;22;847;666;181;639.0;565.0;75.0;208.0;101.0;107.0
346;C Manufacturing;2007;37248.0;29465.0;7783.0;48.6;38.5;28.8;22.8;766;1291;1325;1302;23;851;669;183;641.0;566.0;75.0;210.0;102.0;108.0
347;C Manufacturing;2008;38839.0;30559.0;8280.0;50.3;39.6;29.8;23.5;772;1301;1333;1310;22;860;672;188;640.0;564.0;76.0;220.0;108.0;113.0
348;C Manufacturing;2009;38192.0;30049.0;8143.0;51.0;40.2;30.9;24.3;748;1238;1295;1277;18;834;649;185;615.0;545.0;71.0;219.0;104.0;114.0
349;C Manufacturing;2010;38074.0;29908.0;8166.0;52.3;41.1;31.1;24.4;728;1225;1260;1239;21;811;629;182;607.0;538.0;69.0;205.0;92.0;113.0
350;C Manufacturing;2011;38524.0;30297.0;8227.0;53.4;42.0;31.6;24.8;722;1220;1250;1229;21;804;623;181;601.0;533.0;68.0;203.0;90.0;113.0
351;C Manufacturing;2012;38847.0;30276.0;8571.0;54.6;42.5;32.2;25.1;712;1205;1233;1212;21;794;614;180;593.0;525.0;68.0;201.0;89.0;112.0
352;10-12 Manufacture of food and beverages;1969;1147.0;902.0;245.0;5.9;4.6;3.0;2.4;194;384;409;399;11;208;170;37;;;;;;
353;10-12 Manufacture of food and beverages;1970;1313.0;1032.0;281.0;6.8;5.3;3.5;2.8;194;372;398;387;10;208;169;39;;;;;;
354;10-12 Manufacture of food and beverages;1971;1467.0;1145.0;322.0;7.6;5.9;4.1;3.2;193;362;387;377;10;207;168;39;;;;;;
355;10-12 Manufacture of food and beverages;1972;1653.0;1285.0;368.0;8.7;6.8;4.7;3.6;190;353;376;367;10;204;166;38;;;;;;
356;10-12 Manufacture of food and beverages;1973;1888.0;1446.0;442.0;10.1;7.7;5.6;4.3;187;337;364;353;11;200;164;37;;;;;;
357;10-12 Manufacture of food and beverages;1974;2158.0;1647.0;511.0;11.7;8.9;6.8;5.2;184;318;348;339;10;198;161;37;;;;;;
358;10-12 Manufacture of food and beverages;1975;2377.0;1814.0;563.0;13.3;10.1;7.8;6.0;179;303;336;328;8;193;157;37;;;;;;
359;10-12 Manufacture of food and beverages;1976;2570.0;1955.0;615.0;14.8;11.3;8.8;6.7;173;294;326;318;8;187;152;34;;;;;;
360;10-12 Manufacture of food and beverages;1977;2703.0;2064.0;639.0;15.8;12.1;9.5;7.3;171;284;320;313;8;185;151;35;;;;;;
361;10-12 Manufacture of food and beverages;1978;2840.0;2167.0;673.0;16.9;12.9;10.3;7.8;168;277;313;306;7;182;148;34;;;;;;
362;10-12 Manufacture of food and beverages;1979;3009.0;2284.0;725.0;18.0;13.7;10.9;8.2;167;277;310;302;8;182;147;34;;;;;;
363;10-12 Manufacture of food and beverages;1980;3095.0;2340.0;755.0;18.9;14.3;11.5;8.7;164;268;301;294;7;179;144;35;;;;;;
364;10-12 Manufacture of food and beverages;1981;3256.0;2465.0;791.0;20.3;15.3;12.2;9.3;161;266;295;289;6;176;142;34;;;;;;
365;10-12 Manufacture of food and beverages;1982;3392.0;2577.0;815.0;21.5;16.4;13.0;9.9;157;262;288;283;6;173;139;33;;;;;;
366;10-12 Manufacture of food and beverages;1983;3433.0;2580.0;853.0;22.7;17.1;13.3;10.0;151;258;275;270;6;167;135;31;;;;;;
367;10-12 Manufacture of food and beverages;1984;3440.0;2596.0;844.0;23.2;17.5;13.8;10.4;148;249;266;259;6;164;132;32;;;;;;
368;10-12 Manufacture of food and beverages;1985;3522.0;2665.0;857.0;23.8;18.0;14.3;10.9;148;245;261;255;6;164;132;32;;;;;;
369;10-12 Manufacture of food and beverages;1986;3580.0;2713.0;867.0;24.2;18.3;14.7;11.1;148;244;259;253;6;164;132;33;;;;;;
370;10-12 Manufacture of food and beverages;1987;3833.0;2917.0;916.0;25.9;19.7;16.1;12.2;148;239;255;249;6;164;132;33;;;;;;
371;10-12 Manufacture of food and beverages;1988;3803.0;2928.0;875.0;26.0;20.0;16.3;12.5;146;234;250;243;6;161;128;34;;;;;;
372;10-12 Manufacture of food and beverages;1989;3794.0;2941.0;853.0;25.9;20.1;16.3;12.6;147;233;249;243;6;163;126;37;;;;;;
373;10-12 Manufacture of food and beverages;1990;3933.0;3334.0;599.0;26.9;22.8;16.9;14.3;146;233;248;241;6;164;125;38;;;;;;
374;10-12 Manufacture of food and beverages;1991;4139.0;3506.0;633.0;28.1;23.8;17.3;14.7;147;239;252;245;7;167;125;42;;;;;;
375;10-12 Manufacture of food and beverages;1992;4340.0;3643.0;697.0;29.4;24.7;18.1;15.2;148;240;253;246;7;167;123;44;;;;;;
376;10-12 Manufacture of food and beverages;1993;4516.0;3875.0;641.0;31.0;26.6;19.0;16.3;146;238;250;243;6;166;122;44;;;;;;
377;10-12 Manufacture of food and beverages;1994;4520.0;3914.0;606.0;32.3;27.9;19.4;16.8;140;232;240;234;6;161;118;43;;;;;;
378;10-12 Manufacture of food and beverages;1995;4445.0;3805.0;640.0;32.4;27.8;19.1;16.4;137;232;235;229;6;157;114;43;;;;;;
379;10-12 Manufacture of food and beverages;1996;4344.0;3704.0;640.0;33.1;28.3;19.5;16.6;131;223;226;220;6;150;108;42;;;;;;
380;10-12 Manufacture of food and beverages;1997;4465.0;3816.0;649.0;34.2;29.2;19.9;17.0;131;224;228;222;6;150;106;44;;;;;;
381;10-12 Manufacture of food and beverages;1998;4637.0;3701.0;936.0;35.7;28.5;20.9;16.7;130;222;225;219;6;152;106;45;;;;;;
382;10-12 Manufacture of food and beverages;1999;4883.0;3893.0;990.0;37.2;29.6;21.7;17.3;131;225;228;222;6;155;107;48;;;;;;
383;10-12 Manufacture of food and beverages;2000;5106.0;4048.0;1058.0;38.8;30.8;22.7;18.0;132;225;229;223;6;154;106;49;;;;;;
384;10-12 Manufacture of food and beverages;2001;5327.0;4202.0;1125.0;40.8;32.2;23.8;18.8;131;224;227;221;6;153;103;50;110.0;89.0;20.0;43.0;14.0;30.0
385;10-12 Manufacture of food and beverages;2002;5465.0;4232.0;1233.0;43.0;33.3;25.4;19.7;127;215;219;215;5;151;101;50;106.0;87.0;19.0;45.0;14.0;31.0
