ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
6427;33 Repair and installation of machinery;2009 February;0;0;0
6428;33 Repair and installation of machinery;2009 March;0;0;0
6429;33 Repair and installation of machinery;2009 1st quarter;0;0;0
6430;33 Repair and installation of machinery;2009 April;0;0;0
6431;33 Repair and installation of machinery;2009 May;0;0;0
6432;33 Repair and installation of machinery;2009 June;1;0;1
6433;33 Repair and installation of machinery;2009 2nd quarter;1;0;1
6434;33 Repair and installation of machinery;2009 July;0;0;0
6435;33 Repair and installation of machinery;2009 August;0;0;0
6436;33 Repair and installation of machinery;2009 September;0;0;0
6437;33 Repair and installation of machinery;2009 3rd quarter;0;0;0
6438;33 Repair and installation of machinery;2009 October;0;0;0
6439;33 Repair and installation of machinery;2009 November;1;0;1
6440;33 Repair and installation of machinery;2009 December;0;0;0
6441;33 Repair and installation of machinery;2009 4th quarter;1;0;1
6442;33 Repair and installation of machinery;2009;2;0;2
6443;33 Repair and installation of machinery;2010 January;0;0;0
6444;33 Repair and installation of machinery;2010 February;0;0;0
6445;33 Repair and installation of machinery;2010 March;0;0;0
6446;33 Repair and installation of machinery;2010 1st quarter;0;0;0
6447;33 Repair and installation of machinery;2010 April;1;0;1
6448;33 Repair and installation of machinery;2010 May;1;0;1
6449;33 Repair and installation of machinery;2010 June;0;0;0
6450;33 Repair and installation of machinery;2010 2nd quarter;2;0;2
6451;33 Repair and installation of machinery;2010 July;0;0;0
6452;33 Repair and installation of machinery;2010 August;0;0;0
6453;33 Repair and installation of machinery;2010 September;0;0;0
6454;33 Repair and installation of machinery;2010 3rd quarter;0;0;0
6455;33 Repair and installation of machinery;2010 October;0;0;0
6456;33 Repair and installation of machinery;2010 November;0;0;0
6457;33 Repair and installation of machinery;2010 December;0;0;0
6458;33 Repair and installation of machinery;2010 4th quarter;0;0;0
6459;33 Repair and installation of machinery;2010;2;0;2
6460;33 Repair and installation of machinery;2011 January;2;1;1
6461;33 Repair and installation of machinery;2011 February;4;1;3
6462;33 Repair and installation of machinery;2011 March;1;0;1
6463;33 Repair and installation of machinery;2011 1st quarter;7;2;5
6464;33 Repair and installation of machinery;2011 April;8;0;8
6465;33 Repair and installation of machinery;2011 May;3;0;3
6466;33 Repair and installation of machinery;2011 June;0;0;0
6467;33 Repair and installation of machinery;2011 2nd quarter;11;0;11
6468;33 Repair and installation of machinery;2011 July;6;3;3
6469;33 Repair and installation of machinery;2011 August;5;0;5
6470;33 Repair and installation of machinery;2011 September;1;0;1
6471;33 Repair and installation of machinery;2011 3rd quarter;12;3;9
6472;33 Repair and installation of machinery;2011 October;1;0;1
6473;33 Repair and installation of machinery;2011 November;4;0;4
6474;33 Repair and installation of machinery;2011 December;7;1;6
6475;33 Repair and installation of machinery;2011 4th quarter;12;1;11
6476;33 Repair and installation of machinery;2011;42;6;36
6477;33 Repair and installation of machinery;2012 January;6;1;5
6478;33 Repair and installation of machinery;2012 February;4;0;4
6479;33 Repair and installation of machinery;2012 March;4;0;4
6480;33 Repair and installation of machinery;2012 1st quarter;14;1;13
6481;33 Repair and installation of machinery;2012 April;3;0;3
6482;33 Repair and installation of machinery;2012 May;5;0;5
6483;33 Repair and installation of machinery;2012 June;1;0;1
6484;33 Repair and installation of machinery;2012 2nd quarter;9;0;9
6485;33 Repair and installation of machinery;2012 July ;4;3;1
6486;33 Repair and installation of machinery;2012 August;5;0;5
6487;33 Repair and installation of machinery;2012 September;7;0;7
6488;33 Repair and installation of machinery;2012 3rd quarter;16;3;13
6489;33 Repair and installation of machinery;2012 October;1;0;1
6490;33 Repair and installation of machinery;2012 November;3;1;2
6491;33 Repair and installation of machinery;2012 December;7;1;6
6492;33 Repair and installation of machinery;2012 4th quarter;11;2;9
6493;33 Repair and installation of machinery;2012;50;6;44
6494;33 Repair and installation of machinery;2013 January;3;1;2
6495;33 Repair and installation of machinery;2013 February;10;0;10
6496;33 Repair and installation of machinery;2013 March;7;1;6
6497;33 Repair and installation of machinery;2013 1st quarter;20;2;18
6498;33 Repair and installation of machinery;2013 April;2;0;2
6499;33 Repair and installation of machinery;2013 May;3;0;3
6500;33 Repair and installation of machinery;2013 June;3;1;2
6501;33 Repair and installation of machinery;2013 2nd quarter;8;1;7
6502;33 Repair and installation of machinery;2013 July;6;0;6
6503;33 Repair and installation of machinery;2013 August;1;0;1
6504;33 Repair and installation of machinery;2013 September;4;0;4
6505;33 Repair and installation of machinery;2013 3rd quarter;11;0;11
6506;33 Repair and installation of machinery;2013 October;1;0;1
6507;33 Repair and installation of machinery;2013 November;5;0;5
6508;33 Repair and installation of machinery;2013 December;2;0;2
6509;33 Repair and installation of machinery;2013 4th quarter;8;0;8
6510;33 Repair and installation of machinery;2013;47;3;44
6511;33 Repair and installation of machinery;2014 January;3;0;3
6512;33 Repair and installation of machinery;2014 February;1;0;1
6513;33 Repair and installation of machinery;2014 March;5;1;4
6514;33 Repair and installation of machinery;2014 1st quarter;9;1;8
6515;33 Repair and installation of machinery;2014 April;8;0;8
6516;D Electricity and gas supply;1993 January;0;0;0
6517;D Electricity and gas supply;1993 February;1;1;0
6518;D Electricity and gas supply;1993 March;0;0;0
6519;D Electricity and gas supply;1993 1st quarter;1;1;0
6520;D Electricity and gas supply;1993 April;0;0;0
6521;D Electricity and gas supply;1993 May;0;0;0
6522;D Electricity and gas supply;1993 June;0;0;0
6523;D Electricity and gas supply;1993 2nd quarter;0;0;0
6524;D Electricity and gas supply;1993 July;0;0;0
6525;D Electricity and gas supply;1993 August;0;0;0
6526;D Electricity and gas supply;1993 September;0;0;0
6527;D Electricity and gas supply;1993 3rd quarter;0;0;0
6528;D Electricity and gas supply;1993 October;0;0;0
6529;D Electricity and gas supply;1993 November;1;0;1
6530;D Electricity and gas supply;1993 December;0;0;0
6531;D Electricity and gas supply;1993 4th quarter;1;0;1
6532;D Electricity and gas supply;1993;2;1;1
6533;D Electricity and gas supply;1994 January;0;0;0
6534;D Electricity and gas supply;1994 February;0;0;0
6535;D Electricity and gas supply;1994 March;0;0;0
6536;D Electricity and gas supply;1994 1st quarter;0;0;0
6537;D Electricity and gas supply;1994 April;0;0;0
6538;D Electricity and gas supply;1994 May;0;0;0
6539;D Electricity and gas supply;1994 June;0;0;0
6540;D Electricity and gas supply;1994 2nd quarter;0;0;0
6541;D Electricity and gas supply;1994 July;0;0;0
6542;D Electricity and gas supply;1994 August;0;0;0
6543;D Electricity and gas supply;1994 September;0;0;0
6544;D Electricity and gas supply;1994 3rd quarter;0;0;0
6545;D Electricity and gas supply;1994 October;1;0;1
6546;D Electricity and gas supply;1994 November;1;0;1
6547;D Electricity and gas supply;1994 December;0;0;0
6548;D Electricity and gas supply;1994 4th quarter;2;0;2
6549;D Electricity and gas supply;1994;2;0;2
6550;D Electricity and gas supply;1995 January;0;0;0
6551;D Electricity and gas supply;1995 February;0;0;0
6552;D Electricity and gas supply;1995 March;0;0;0
6553;D Electricity and gas supply;1995 1st quarter;0;0;0
6554;D Electricity and gas supply;1995 April;0;0;0
6555;D Electricity and gas supply;1995 May;0;0;0
6556;D Electricity and gas supply;1995 June;0;0;0
6557;D Electricity and gas supply;1995 2nd quarter;0;0;0
6558;D Electricity and gas supply;1995 July;1;1;0
6559;D Electricity and gas supply;1995 August;0;0;0
6560;D Electricity and gas supply;1995 September;0;0;0
6561;D Electricity and gas supply;1995 3rd quarter;1;1;0
6562;D Electricity and gas supply;1995 October;0;0;0
6563;D Electricity and gas supply;1995 November;0;0;0
6564;D Electricity and gas supply;1995 December;0;0;0
6565;D Electricity and gas supply;1995 4th quarter;0;0;0
6566;D Electricity and gas supply;1995;1;1;0
6567;D Electricity and gas supply;1996 January;0;0;0
6568;D Electricity and gas supply;1996 February;0;0;0
6569;D Electricity and gas supply;1996 March;0;0;0
6570;D Electricity and gas supply;1996 1st quarter;0;0;0
6571;D Electricity and gas supply;1996 April;0;0;0
6572;D Electricity and gas supply;1996 May;0;0;0
6573;D Electricity and gas supply;1996 June;0;0;0
6574;D Electricity and gas supply;1996 2nd quarter;0;0;0
6575;D Electricity and gas supply;1996 July;0;0;0
6576;D Electricity and gas supply;1996 August;0;0;0
6577;D Electricity and gas supply;1996 September;0;0;0
6578;D Electricity and gas supply;1996 3rd quarter;0;0;0
6579;D Electricity and gas supply;1996 October;0;0;0
6580;D Electricity and gas supply;1996 November;0;0;0
6581;D Electricity and gas supply;1996 December;0;0;0
6582;D Electricity and gas supply;1996 4th quarter;0;0;0
6583;D Electricity and gas supply;1996;0;0;0
6584;D Electricity and gas supply;1997 January;0;0;0
6585;D Electricity and gas supply;1997 February;0;0;0
6586;D Electricity and gas supply;1997 March;0;0;0
6587;D Electricity and gas supply;1997 1st quarter;0;0;0
6588;D Electricity and gas supply;1997 April;0;0;0
6589;D Electricity and gas supply;1997 May;0;0;0
6590;D Electricity and gas supply;1997 June;0;0;0
6591;D Electricity and gas supply;1997 2nd quarter;0;0;0
6592;D Electricity and gas supply;1997 July;1;0;1
6593;D Electricity and gas supply;1997 August;0;0;0
6594;D Electricity and gas supply;1997 September;0;0;0
6595;D Electricity and gas supply;1997 3rd quarter;1;0;1
6596;D Electricity and gas supply;1997 October;0;0;0
6597;D Electricity and gas supply;1997 November;0;0;0
6598;D Electricity and gas supply;1997 December;0;0;0
6599;D Electricity and gas supply;1997 4th quarter;0;0;0
6600;D Electricity and gas supply;1997;1;0;1
6601;D Electricity and gas supply;1998 January;0;0;0
6602;D Electricity and gas supply;1998 February;0;0;0
6603;D Electricity and gas supply;1998 March;0;0;0
6604;D Electricity and gas supply;1998 1st quarter;0;0;0
6605;D Electricity and gas supply;1998 April;0;0;0
6606;D Electricity and gas supply;1998 May;0;0;0
6607;D Electricity and gas supply;1998 June;0;0;0
6608;D Electricity and gas supply;1998 2nd quarter;0;0;0
6609;D Electricity and gas supply;1998 July;0;0;0
6610;D Electricity and gas supply;1998 August;0;0;0
6611;D Electricity and gas supply;1998 September;0;0;0
6612;D Electricity and gas supply;1998 3rd quarter;0;0;0
6613;D Electricity and gas supply;1998 October;0;0;0
6614;D Electricity and gas supply;1998 November;1;0;1
6615;D Electricity and gas supply;1998 December;0;0;0
6616;D Electricity and gas supply;1998 4th quarter;1;0;1
6617;D Electricity and gas supply;1998;1;0;1
6618;D Electricity and gas supply;1999 January;0;0;0
6619;D Electricity and gas supply;1999 February;0;0;0
6620;D Electricity and gas supply;1999 March;0;0;0
6621;D Electricity and gas supply;1999 1st quarter;0;0;0
6622;D Electricity and gas supply;1999 April;0;0;0
6623;D Electricity and gas supply;1999 May;0;0;0
6624;D Electricity and gas supply;1999 June;0;0;0
6625;D Electricity and gas supply;1999 2nd quarter;0;0;0
6626;D Electricity and gas supply;1999 July;0;0;0
6627;D Electricity and gas supply;1999 August;0;0;0
6628;D Electricity and gas supply;1999 September;0;0;0
6629;D Electricity and gas supply;1999 3rd quarter;0;0;0
6630;D Electricity and gas supply;1999 October;0;0;0
6631;D Electricity and gas supply;1999 November;0;0;0
6632;D Electricity and gas supply;1999 December;0;0;0
6633;D Electricity and gas supply;1999 4th quarter;0;0;0
6634;D Electricity and gas supply;1999;0;0;0
6635;D Electricity and gas supply;2000 January;0;0;0
6636;D Electricity and gas supply;2000 February;0;0;0
6637;D Electricity and gas supply;2000 March;0;0;0
6638;D Electricity and gas supply;2000 1st quarter;0;0;0
6639;D Electricity and gas supply;2000 April;0;0;0
6640;D Electricity and gas supply;2000 May;0;0;0
6641;D Electricity and gas supply;2000 June;0;0;0
6642;D Electricity and gas supply;2000 2nd quarter;0;0;0
6643;D Electricity and gas supply;2000 July;1;0;1
6644;D Electricity and gas supply;2000 August;0;0;0
6645;D Electricity and gas supply;2000 September;0;0;0
6646;D Electricity and gas supply;2000 3rd quarter;1;0;1
6647;D Electricity and gas supply;2000 October;0;0;0
6648;D Electricity and gas supply;2000 November;0;0;0
6649;D Electricity and gas supply;2000 December;0;0;0
6650;D Electricity and gas supply;2000 4th quarter;0;0;0
6651;D Electricity and gas supply;2000;1;0;1
6652;D Electricity and gas supply;2001 January;0;0;0
6653;D Electricity and gas supply;2001 February;0;0;0
6654;D Electricity and gas supply;2001 March;0;0;0
6655;D Electricity and gas supply;2001 1st quarter;0;0;0
6656;D Electricity and gas supply;2001 April;0;0;0
6657;D Electricity and gas supply;2001 May;0;0;0
6658;D Electricity and gas supply;2001 June;0;0;0
6659;D Electricity and gas supply;2001 2nd quarter;0;0;0
6660;D Electricity and gas supply;2001 July;0;0;0
6661;D Electricity and gas supply;2001 August;0;0;0
6662;D Electricity and gas supply;2001 September;0;0;0
6663;D Electricity and gas supply;2001 3rd quarter;0;0;0
6664;D Electricity and gas supply;2001 October;0;0;0
6665;D Electricity and gas supply;2001 November;0;0;0
6666;D Electricity and gas supply;2001 December;0;0;0
6667;D Electricity and gas supply;2001 4th quarter;0;0;0
