ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
166;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2018;61.8;26.0;65.3;75.3;33.5;75.6;41.5;44.7;36.9;36.9;40.5
167;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2019;65.6;22.6;72.1;78.9;35.3;76.5;39.6;46.2;36.9;36.4;45.4
168;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2020;66.6;28.1;75.2;82.1;36.8;77.5;52.0;52.5;44.1;38.8;47.8
169;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2021;67.1;26.5;73.2;79.3;41.0;75.9;42.2;45.8;43.6;39.4;50.3
170;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2012;66.1;31.7;66.0;77.0;36.8;72.2;39.4;47.3;42.4;51.4;43.1
171;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2013;63.2;28.9;68.0;76.4;38.3;71.3;35.9;44.1;35.7;45.2;36.6
172;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2014;63.3;27.4;68.1;76.3;36.7;72.9;40.8;46.6;37.5;44.1;39.0
173;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2015;65.7;31.8;70.9;78.4;34.7;75.7;39.7;48.7;39.2;44.5;39.1
174;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2016;66.9;32.5;70.4;76.8;37.6;75.5;42.0;46.9;36.5;43.1;37.5
175;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2017;66.6;33.8;74.9;80.6;37.0;80.2;45.9;49.5;39.9;45.0;46.6
176;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2018;67.6;31.7;71.0;80.3;39.3;80.5;47.5;50.8;42.8;42.9;46.5
177;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2019;71.4;28.0;77.5;83.7;41.1;81.5;45.8;52.4;43.1;42.6;51.6
178;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2020;72.0;33.9;80.2;86.5;42.6;82.3;58.2;58.7;50.3;45.0;54.0
179;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2021;72.9;32.7;79.0;84.3;47.6;81.3;48.8;52.4;50.2;46.0;56.9
180;Leeftijd: 45 tot 55 jaar;Waarde;2012;59.4;26.0;54.8;70.7;29.9;66.3;32.1;39.5;34.6;40.2;32.8
181;Leeftijd: 45 tot 55 jaar;Waarde;2013;59.6;24.4;58.6;70.5;35.8;67.4;30.1;37.5;32.1;37.0;29.3
182;Leeftijd: 45 tot 55 jaar;Waarde;2014;59.8;27.2;57.9;70.1;32.1;68.8;32.2;39.2;33.9;38.1;32.2
183;Leeftijd: 45 tot 55 jaar;Waarde;2015;61.4;24.4;62.0;70.1;33.0;65.9;34.0;40.2;30.6;36.2;31.0
184;Leeftijd: 45 tot 55 jaar;Waarde;2016;62.1;25.9;63.7;74.2;32.6;69.2;34.2;41.0;30.8;36.5;31.2
185;Leeftijd: 45 tot 55 jaar;Waarde;2017;65.2;25.4;63.6;72.3;33.9;71.5;39.5;41.7;33.9;36.5;38.1
186;Leeftijd: 45 tot 55 jaar;Waarde;2018;63.5;24.4;62.9;73.9;37.9;72.9;40.2;45.2;35.2;33.4;38.6
187;Leeftijd: 45 tot 55 jaar;Waarde;2019;65.5;23.1;64.9;74.3;36.6;72.7;37.8;42.4;35.3;33.8;38.3
188;Leeftijd: 45 tot 55 jaar;Waarde;2020;65.1;25.9;72.7;78.8;41.9;78.2;53.0;47.8;43.2;41.3;41.0
189;Leeftijd: 45 tot 55 jaar;Waarde;2021;68.6;24.4;73.5;82.1;48.6;82.0;45.4;47.1;45.0;38.4;48.2
190;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2012;56.8;23.6;52.1;68.3;27.5;63.8;29.7;36.9;32.1;37.5;30.3
191;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2013;56.9;21.9;55.9;67.9;33.1;64.8;27.6;34.8;29.5;34.3;26.8
192;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2014;57.2;24.8;55.2;67.6;29.6;66.3;29.7;36.6;31.3;35.4;29.6
193;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2015;58.8;22.0;59.3;67.6;30.5;63.4;31.4;37.5;28.0;33.5;28.4
194;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2016;59.5;23.4;61.0;71.8;30.0;66.7;31.6;38.3;28.2;33.7;28.7
195;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2017;62.6;22.9;60.9;69.8;31.3;69.0;36.8;39.0;31.3;33.8;35.3
196;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2018;60.9;22.0;60.2;71.5;35.2;70.5;37.5;42.4;32.6;30.8;35.9
