ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
276;Bedrijven;Totaal milieubescherming;2019;5522;6709.0;2201.0;244.0;428.0;1198.0;2570.0;;1069.0;;319.0;;;7113.0
277;Bedrijven;Totaal milieubescherming;2020;5709;6744.0;2131.0;358.0;466.0;1204.0;2443.0;;936.0;;346.0;;;6940.0
278;Bedrijven;Totaal milieubescherming;2021;6147;7323.0;2316.0;296.0;453.0;1297.0;2636.0;;1164.0;;376.0;;;7554.0
279;Bedrijven;Lucht;2013    ;21;21.0;;;;;21.0;;119.0;;36.0;;;160.0
280;Bedrijven;Lucht;2014    ;18;18.0;;;;;18.0;;524.0;;61.0;;;564.0
281;Bedrijven;Lucht;2015    ;3;3.0;;;;;3.0;;753.0;;68.0;;;776.0
282;Bedrijven;Lucht;2016    ;2;2.0;;;;;2.0;;124.0;;41.0;;;156.0
283;Bedrijven;Lucht;2017    ;2;2.0;;;;;2.0;;100.0;;147.0;;;131.0
284;Bedrijven;Lucht;2018    ;4;4.0;;;;;4.0;;152.0;;145.0;;;177.0
285;Bedrijven;Lucht;2019;5;5.0;;;;;5.0;;165.0;;84.0;;;200.0
286;Bedrijven;Lucht;2020;6;6.0;;;;;6.0;;146.0;;69.0;;;184.0
287;Bedrijven;Lucht;2021;7;7.0;;;;;7.0;;197.0;;57.0;;;233.0
288;Bedrijven;Afvalwater;2013    ;748;787.0;221.0;;;182.0;673.0;;68.0;;35.0;;;1089.0
289;Bedrijven;Afvalwater;2014    ;768;817.0;230.0;;;181.0;693.0;;259.0;;20.0;;;1278.0
290;Bedrijven;Afvalwater;2015    ;676;727.0;202.0;;;151.0;599.0;;119.0;;34.0;;;1019.0
291;Bedrijven;Afvalwater;2016    ;670;713.0;188.0;;;145.0;586.0;;137.0;;22.0;;;1007.0
292;Bedrijven;Afvalwater;2017    ;705;757.0;203.0;;;151.0;622.0;;116.0;;27.0;;;1020.0
293;Bedrijven;Afvalwater;2018    ;430;421.0;93.0;;;102.0;345.0;;88.0;;20.0;;;721.0
294;Bedrijven;Afvalwater;2019;465;462.0;107.0;;;109.0;375.0;;94.0;;26.0;;;772.0
295;Bedrijven;Afvalwater;2020;419;436.0;101.0;;;84.0;317.0;;124.0;;17.0;;;657.0
296;Bedrijven;Afvalwater;2021;499;514.0;112.0;;;96.0;386.0;;112.0;;30.0;;;720.0
