ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
4800;Total male and female;5 to 9 years;Central and South America;Bonaire;2014;49;36;13
4801;Total male and female;5 to 9 years;Central and South America;Bonaire;2015;36;27;9
4802;Total male and female;5 to 9 years;Central and South America;Bonaire;2016;44;33;11
4803;Total male and female;5 to 9 years;Central and South America;Bonaire;2017;55;45;10
4804;Total male and female;5 to 9 years;Central and South America;Bonaire;2018;42;28;14
4805;Total male and female;5 to 9 years;Central and South America;Bonaire;2019;42;22;20
4806;Total male and female;5 to 9 years;Central and South America;Bonaire;2020;50;19;31
4807;Total male and female;5 to 9 years;Central and South America;Bonaire;2021;50;27;23
4808;Total male and female;5 to 9 years;Central and South America;Bonaire;2022;56;32;24
4809;Total male and female;5 to 9 years;Central and South America;Bonaire;2023;77;30;47
4810;Total male and female;5 to 9 years;Central and South America;St Eustatius;2011;6;2;4
4811;Total male and female;5 to 9 years;Central and South America;St Eustatius;2012;8;9;-1
4812;Total male and female;5 to 9 years;Central and South America;St Eustatius;2013;11;14;-3
4813;Total male and female;5 to 9 years;Central and South America;St Eustatius;2014;4;5;-1
4814;Total male and female;5 to 9 years;Central and South America;St Eustatius;2015;12;5;7
4815;Total male and female;5 to 9 years;Central and South America;St Eustatius;2016;3;6;-3
4816;Total male and female;5 to 9 years;Central and South America;St Eustatius;2017;8;5;3
4817;Total male and female;5 to 9 years;Central and South America;St Eustatius;2018;6;7;-1
4818;Total male and female;5 to 9 years;Central and South America;St Eustatius;2019;9;3;6
4819;Total male and female;5 to 9 years;Central and South America;St Eustatius;2020;4;7;-3
4820;Total male and female;5 to 9 years;Central and South America;St Eustatius;2021;8;4;4
4821;Total male and female;5 to 9 years;Central and South America;St Eustatius;2022;5;6;-1
4822;Total male and female;5 to 9 years;Central and South America;St Eustatius;2023;4;6;-2
4823;Total male and female;5 to 9 years;Central and South America;Saba;2011;0;4;-4
4824;Total male and female;5 to 9 years;Central and South America;Saba;2012;1;4;-3
4825;Total male and female;5 to 9 years;Central and South America;Saba;2013;3;2;1
4826;Total male and female;5 to 9 years;Central and South America;Saba;2014;4;3;1
4827;Total male and female;5 to 9 years;Central and South America;Saba;2015;2;0;2
4828;Total male and female;5 to 9 years;Central and South America;Saba;2016;7;2;5
4829;Total male and female;5 to 9 years;Central and South America;Saba;2017;3;1;2
4830;Total male and female;5 to 9 years;Central and South America;Saba;2018;6;7;-1
4831;Total male and female;5 to 9 years;Central and South America;Saba;2019;4;4;0
4832;Total male and female;5 to 9 years;Central and South America;Saba;2020;2;1;1
4833;Total male and female;5 to 9 years;Central and South America;Saba;2021;2;5;-3
4834;Total male and female;5 to 9 years;Central and South America;Saba;2022;6;1;5
4835;Total male and female;5 to 9 years;Central and South America;Saba;2023;5;2;3
4836;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2011;8;2;6
4837;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2012;6;6;0
4838;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2013;8;8;0
4839;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2014;3;4;-1
4840;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2015;1;4;-3
4841;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2016;1;2;-1
4842;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2017;0;0;0
4843;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2018;0;4;-4
4844;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2019;8;3;5
4845;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2020;0;0;0
4846;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2021;2;7;-5
4847;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2022;0;1;-1
4848;Total male and female;5 to 9 years;North America;Caribbean Netherlands;2023;1;4;-3
4849;Total male and female;5 to 9 years;North America;Bonaire;2011;4;0;4
4850;Total male and female;5 to 9 years;North America;Bonaire;2012;3;2;1
4851;Total male and female;5 to 9 years;North America;Bonaire;2013;2;0;2
4852;Total male and female;5 to 9 years;North America;Bonaire;2014;0;3;-3
4853;Total male and female;5 to 9 years;North America;Bonaire;2015;0;0;0
4854;Total male and female;5 to 9 years;North America;Bonaire;2016;0;2;-2
4855;Total male and female;5 to 9 years;North America;Bonaire;2017;0;0;0
4856;Total male and female;5 to 9 years;North America;Bonaire;2018;0;0;0
4857;Total male and female;5 to 9 years;North America;Bonaire;2019;3;0;3
4858;Total male and female;5 to 9 years;North America;Bonaire;2020;0;0;0
4859;Total male and female;5 to 9 years;North America;Bonaire;2021;0;0;0
4860;Total male and female;5 to 9 years;North America;Bonaire;2022;0;0;0
4861;Total male and female;5 to 9 years;North America;Bonaire;2023;0;0;0
4862;Total male and female;5 to 9 years;North America;St Eustatius;2011;3;2;1
4863;Total male and female;5 to 9 years;North America;St Eustatius;2012;2;0;2
4864;Total male and female;5 to 9 years;North America;St Eustatius;2013;5;7;-2
4865;Total male and female;5 to 9 years;North America;St Eustatius;2014;2;1;1
4866;Total male and female;5 to 9 years;North America;St Eustatius;2015;1;4;-3
4867;Total male and female;5 to 9 years;North America;St Eustatius;2016;0;0;0
4868;Total male and female;5 to 9 years;North America;St Eustatius;2017;0;0;0
4869;Total male and female;5 to 9 years;North America;St Eustatius;2018;0;0;0
4870;Total male and female;5 to 9 years;North America;St Eustatius;2019;0;0;0
4871;Total male and female;5 to 9 years;North America;St Eustatius;2020;0;0;0
4872;Total male and female;5 to 9 years;North America;St Eustatius;2021;0;0;0
4873;Total male and female;5 to 9 years;North America;St Eustatius;2022;0;1;-1
4874;Total male and female;5 to 9 years;North America;St Eustatius;2023;1;1;0
4875;Total male and female;5 to 9 years;North America;Saba;2011;1;0;1
4876;Total male and female;5 to 9 years;North America;Saba;2012;1;4;-3
4877;Total male and female;5 to 9 years;North America;Saba;2013;1;1;0
4878;Total male and female;5 to 9 years;North America;Saba;2014;1;0;1
4879;Total male and female;5 to 9 years;North America;Saba;2015;0;0;0
4880;Total male and female;5 to 9 years;North America;Saba;2016;1;0;1
4881;Total male and female;5 to 9 years;North America;Saba;2017;0;0;0
4882;Total male and female;5 to 9 years;North America;Saba;2018;0;4;-4
4883;Total male and female;5 to 9 years;North America;Saba;2019;5;3;2
4884;Total male and female;5 to 9 years;North America;Saba;2020;0;0;0
4885;Total male and female;5 to 9 years;North America;Saba;2021;2;7;-5
4886;Total male and female;5 to 9 years;North America;Saba;2022;0;0;0
4887;Total male and female;5 to 9 years;North America;Saba;2023;0;3;-3
4888;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2011;15;15;0
4889;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2012;26;20;6
4890;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2013;29;20;9
4891;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2014;25;23;2
4892;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2015;18;12;6
4893;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2016;26;20;6
4894;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2017;22;19;3
4895;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2018;25;14;11
4896;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2019;22;10;12
4897;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2020;28;14;14
4898;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2021;25;16;9
4899;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2022;22;13;9
4900;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Caribbean Netherlands;2023;19;8;11
4901;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2011;13;13;0
4902;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2012;22;14;8
4903;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2013;24;8;16
4904;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2014;22;18;4
4905;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2015;14;11;3
4906;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2016;22;16;6
4907;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2017;17;18;-1
4908;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2018;16;6;10
4909;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2019;15;6;9
4910;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2020;25;8;17
4911;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2021;21;11;10
4912;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2022;18;10;8
4913;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Bonaire;2023;18;4;14
4914;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2011;2;0;2
4915;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2012;4;4;0
4916;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2013;5;11;-6
4917;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2014;1;2;-1
4918;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2015;4;1;3
4919;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2016;1;3;-2
4920;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2017;3;1;2
4921;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2018;5;2;3
4922;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2019;4;3;1
4923;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2020;3;5;-2
4924;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2021;4;1;3
4925;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2022;1;2;-1
4926;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;St Eustatius;2023;0;4;-4
4927;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2011;0;2;-2
4928;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2012;0;2;-2
4929;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2013;0;1;-1
4930;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2014;2;3;-1
4931;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2015;0;0;0
4932;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2016;3;1;2
4933;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2017;2;0;2
4934;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2018;4;6;-2
4935;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2019;3;1;2
4936;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2020;0;1;-1
4937;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2021;0;4;-4
4938;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2022;3;1;2
4939;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten;Saba;2023;1;0;1
4940;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2011;11;5;6
4941;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2012;7;14;-7
4942;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2013;8;16;-8
4943;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2014;19;15;4
4944;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2015;5;17;-12
4945;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2016;5;21;-16
4946;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2017;8;23;-15
4947;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2018;9;21;-12
4948;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2019;6;13;-7
4949;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2020;12;12;0
4950;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2021;7;17;-10
4951;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2022;9;21;-12
4952;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2023;9;25;-16
4953;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2011;8;4;4
4954;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2012;6;9;-3
4955;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2013;5;13;-8
4956;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2014;18;14;4
4957;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2015;4;14;-10
4958;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2016;5;17;-12
4959;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2017;8;22;-14
4960;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2018;8;18;-10
4961;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2019;6;13;-7
4962;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2020;12;11;1
4963;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2021;6;14;-8
4964;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2022;9;18;-9
4965;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2023;8;24;-16
4966;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2011;3;1;2
4967;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2012;0;4;-4
4968;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2013;2;3;-1
4969;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2014;1;1;0
4970;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2015;1;3;-2
4971;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2016;0;3;-3
4972;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2017;0;1;-1
4973;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2018;1;3;-2
4974;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2019;0;0;0
4975;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2020;0;1;-1
4976;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2021;1;3;-2
4977;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2022;0;3;-3
4978;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2023;1;1;0
4979;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2011;0;0;0
4980;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2012;1;1;0
4981;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2013;1;0;1
4982;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2014;0;0;0
4983;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2015;0;0;0
4984;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2016;0;1;-1
4985;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2017;0;0;0
4986;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2018;0;0;0
4987;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2019;0;0;0
4988;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2020;0;0;0
4989;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2021;0;0;0
4990;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2022;0;0;0
4991;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2023;0;0;0
4992;Total male and female;5 to 9 years;European Union (including Netherlands);Caribbean Netherlands;2011;60;15;45
4993;Total male and female;5 to 9 years;European Union (including Netherlands);Caribbean Netherlands;2012;41;22;19
4994;Total male and female;5 to 9 years;European Union (including Netherlands);Caribbean Netherlands;2013;58;26;32
4995;Total male and female;5 to 9 years;European Union (including Netherlands);Caribbean Netherlands;2014;42;24;18
