ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
3181;Total sales;0812115 Silica sands (quartz sands o...;2010 October;114.5;0.2;-0.4
3182;Total sales;0812115 Silica sands (quartz sands o...;2010 November;114.8;0.2;-0.2
3183;Total sales;0812115 Silica sands (quartz sands o...;2010 December;114.8;0.0;-0.2
3184;Total sales;0812115 Silica sands (quartz sands o...;2010;114.8;;-0.1
3185;Total sales;0812115 Silica sands (quartz sands o...;2011 January;115.0;0.2;0.0
3186;Total sales;0812115 Silica sands (quartz sands o...;2011 February;115.1;0.0;0.0
3187;Total sales;0812115 Silica sands (quartz sands o...;2011 March;115.1;0.1;-0.2
3188;Total sales;0812115 Silica sands (quartz sands o...;2011 April;115.1;0.0;0.4
3189;Total sales;0812115 Silica sands (quartz sands o...;2011 May;115.1;0.0;0.5
3190;Total sales;0812115 Silica sands (quartz sands o...;2011 June;115.0;-0.1;0.6
3191;Total sales;0812115 Silica sands (quartz sands o...;2011 July;115.7;0.6;0.6
3192;Total sales;0812115 Silica sands (quartz sands o...;2011 August;115.7;0.0;0.6
3193;Total sales;0812115 Silica sands (quartz sands o...;2011 September;115.7;0.0;1.1
3194;Total sales;0812115 Silica sands (quartz sands o...;2011 October;116.7;0.9;1.9
3195;Total sales;0812115 Silica sands (quartz sands o...;2011 November;115.8;-0.8;0.9
3196;Total sales;0812115 Silica sands (quartz sands o...;2011 December;116.8;0.8;1.8
3197;Total sales;0812115 Silica sands (quartz sands o...;2011;115.6;;0.7
3198;Total sales;0812115 Silica sands (quartz sands o...;2012 January;117.2;0.3;1.9
3199;Total sales;0812115 Silica sands (quartz sands o...;2012 February;117.0;-0.1;1.7
3200;Total sales;0812115 Silica sands (quartz sands o...;2012 March;116.7;-0.3;1.3
3201;Total sales;0812115 Silica sands (quartz sands o...;2012 April;116.4;-0.3;1.1
3202;Total sales;0812115 Silica sands (quartz sands o...;2012 May;116.7;0.3;1.4
3203;Total sales;0812115 Silica sands (quartz sands o...;2012 June;116.7;0.0;1.5
3204;Total sales;0812115 Silica sands (quartz sands o...;2012 July;117.6;0.7;1.6
3205;Total sales;0812115 Silica sands (quartz sands o...;2012 August;117.6;0.0;1.6
3206;Total sales;0812115 Silica sands (quartz sands o...;2012 September;117.6;0.1;1.7
3207;Total sales;0812115 Silica sands (quartz sands o...;2012 October;117.8;0.2;0.9
3208;Total sales;0812115 Silica sands (quartz sands o...;2012 November;117.6;-0.1;1.6
3209;Total sales;0812115 Silica sands (quartz sands o...;2012 December;117.6;0.0;0.7
3210;Total sales;0812115 Silica sands (quartz sands o...;2012;117.2;;1.4
3211;Total sales;0812119 Construction sands such as c...;2000 January;80.5;;
3212;Total sales;0812119 Construction sands such as c...;2000 February;80.5;0.0;
3213;Total sales;0812119 Construction sands such as c...;2000 March;80.5;0.0;
3214;Total sales;0812119 Construction sands such as c...;2000 April;80.7;0.3;
3215;Total sales;0812119 Construction sands such as c...;2000 May;80.7;0.0;
3216;Total sales;0812119 Construction sands such as c...;2000 June;80.7;0.0;
3217;Total sales;0812119 Construction sands such as c...;2000 July;80.9;0.2;
3218;Total sales;0812119 Construction sands such as c...;2000 August;80.9;0.0;
3219;Total sales;0812119 Construction sands such as c...;2000 September;80.9;0.0;
3220;Total sales;0812119 Construction sands such as c...;2000 October;81.6;0.8;
3221;Total sales;0812119 Construction sands such as c...;2000 November;81.6;0.0;
3222;Total sales;0812119 Construction sands such as c...;2000 December;81.8;0.3;
3223;Total sales;0812119 Construction sands such as c...;2000;80.9;;
3224;Total sales;0812119 Construction sands such as c...;2001 January;87.2;6.6;8.4
3225;Total sales;0812119 Construction sands such as c...;2001 February;87.2;0.0;8.4
3226;Total sales;0812119 Construction sands such as c...;2001 March;87.2;0.0;8.4
3227;Total sales;0812119 Construction sands such as c...;2001 April;87.4;0.3;8.3
3228;Total sales;0812119 Construction sands such as c...;2001 May;87.5;0.0;8.3
3229;Total sales;0812119 Construction sands such as c...;2001 June;87.5;0.0;8.3
3230;Total sales;0812119 Construction sands such as c...;2001 July;87.5;0.0;8.1
3231;Total sales;0812119 Construction sands such as c...;2001 August;87.5;0.0;8.1
3232;Total sales;0812119 Construction sands such as c...;2001 September;87.5;0.0;8.1
3233;Total sales;0812119 Construction sands such as c...;2001 October;87.5;0.0;7.2
3234;Total sales;0812119 Construction sands such as c...;2001 November;87.5;0.0;7.2
3235;Total sales;0812119 Construction sands such as c...;2001 December;87.5;0.0;6.9
3236;Total sales;0812119 Construction sands such as c...;2001;87.4;;8.0
3237;Total sales;0812119 Construction sands such as c...;2002 January;93.4;6.8;7.1
3238;Total sales;0812119 Construction sands such as c...;2002 February;93.4;0.0;7.1
3239;Total sales;0812119 Construction sands such as c...;2002 March;93.4;0.0;7.1
3240;Total sales;0812119 Construction sands such as c...;2002 April;93.8;0.4;7.3
3241;Total sales;0812119 Construction sands such as c...;2002 May;93.8;0.0;7.3
3242;Total sales;0812119 Construction sands such as c...;2002 June;93.8;0.0;7.3
3243;Total sales;0812119 Construction sands such as c...;2002 July;93.8;0.0;7.3
3244;Total sales;0812119 Construction sands such as c...;2002 August;93.8;0.0;7.3
3245;Total sales;0812119 Construction sands such as c...;2002 September;93.8;0.0;7.3
3246;Total sales;0812119 Construction sands such as c...;2002 October;93.8;0.0;7.3
3247;Total sales;0812119 Construction sands such as c...;2002 November;93.8;0.0;7.3
3248;Total sales;0812119 Construction sands such as c...;2002 December;94.0;0.2;7.5
3249;Total sales;0812119 Construction sands such as c...;2002;93.7;;7.3
3250;Total sales;0812119 Construction sands such as c...;2003 January;96.9;3.1;3.8
3251;Total sales;0812119 Construction sands such as c...;2003 February;97.0;0.0;3.8
3252;Total sales;0812119 Construction sands such as c...;2003 March;97.0;0.0;3.8
3253;Total sales;0812119 Construction sands such as c...;2003 April;97.0;0.0;3.4
3254;Total sales;0812119 Construction sands such as c...;2003 May;97.0;0.0;3.4
3255;Total sales;0812119 Construction sands such as c...;2003 June;97.0;0.0;3.4
3256;Total sales;0812119 Construction sands such as c...;2003 July;97.0;0.0;3.4
3257;Total sales;0812119 Construction sands such as c...;2003 August;97.0;0.0;3.4
3258;Total sales;0812119 Construction sands such as c...;2003 September;97.0;0.0;3.4
3259;Total sales;0812119 Construction sands such as c...;2003 October;95.1;-1.9;1.4
3260;Total sales;0812119 Construction sands such as c...;2003 November;95.1;0.0;1.4
3261;Total sales;0812119 Construction sands such as c...;2003 December;95.2;0.1;1.3
3262;Total sales;0812119 Construction sands such as c...;2003;96.5;;3.0
3263;Total sales;0812119 Construction sands such as c...;2004 January;96.9;1.8;0.0
3264;Total sales;0812119 Construction sands such as c...;2004 February;96.9;0.0;0.0
3265;Total sales;0812119 Construction sands such as c...;2004 March;96.9;0.0;0.0
3266;Total sales;0812119 Construction sands such as c...;2004 April;96.8;-0.1;-0.2
3267;Total sales;0812119 Construction sands such as c...;2004 May;96.8;0.0;-0.2
3268;Total sales;0812119 Construction sands such as c...;2004 June;96.8;0.0;-0.2
3269;Total sales;0812119 Construction sands such as c...;2004 July;96.8;0.0;-0.2
3270;Total sales;0812119 Construction sands such as c...;2004 August;96.8;0.0;-0.2
3271;Total sales;0812119 Construction sands such as c...;2004 September;96.8;0.0;-0.2
3272;Total sales;0812119 Construction sands such as c...;2004 October;96.8;0.0;1.8
3273;Total sales;0812119 Construction sands such as c...;2004 November;96.8;0.0;1.8
3274;Total sales;0812119 Construction sands such as c...;2004 December;96.8;0.0;1.6
3275;Total sales;0812119 Construction sands such as c...;2004;96.8;;0.3
3276;Total sales;0812119 Construction sands such as c...;2005 January;98.0;1.3;1.1
3277;Total sales;0812119 Construction sands such as c...;2005 February;98.0;0.0;1.1
3278;Total sales;0812119 Construction sands such as c...;2005 March;98.0;0.0;1.1
3279;Total sales;0812119 Construction sands such as c...;2005 April;98.9;0.9;2.1
3280;Total sales;0812119 Construction sands such as c...;2005 May;98.9;0.0;2.2
3281;Total sales;0812119 Construction sands such as c...;2005 June;98.9;0.0;2.2
3282;Total sales;0812119 Construction sands such as c...;2005 July;98.9;0.0;2.2
3283;Total sales;0812119 Construction sands such as c...;2005 August;98.9;0.0;2.2
3284;Total sales;0812119 Construction sands such as c...;2005 September;98.9;0.0;2.2
3285;Total sales;0812119 Construction sands such as c...;2005 October;104.2;5.3;7.6
3286;Total sales;0812119 Construction sands such as c...;2005 November;104.2;0.0;7.6
3287;Total sales;0812119 Construction sands such as c...;2005 December;104.2;0.0;7.7
3288;Total sales;0812119 Construction sands such as c...;2005;100.0;;3.3
3289;Total sales;0812119 Construction sands such as c...;2006 January;105.9;1.6;8.1
3290;Total sales;0812119 Construction sands such as c...;2006 February;105.9;0.0;8.1
3291;Total sales;0812119 Construction sands such as c...;2006 March;106.1;0.2;8.2
3292;Total sales;0812119 Construction sands such as c...;2006 April;105.2;-0.8;6.4
3293;Total sales;0812119 Construction sands such as c...;2006 May;105.2;0.0;6.4
3294;Total sales;0812119 Construction sands such as c...;2006 June;105.2;0.0;6.4
3295;Total sales;0812119 Construction sands such as c...;2006 July;105.2;0.0;6.4
3296;Total sales;0812119 Construction sands such as c...;2006 August;105.2;0.0;6.4
3297;Total sales;0812119 Construction sands such as c...;2006 September;105.2;0.0;6.4
3298;Total sales;0812119 Construction sands such as c...;2006 October;106.3;1.0;2.0
3299;Total sales;0812119 Construction sands such as c...;2006 November;106.3;0.0;2.0
3300;Total sales;0812119 Construction sands such as c...;2006 December;106.4;0.1;2.1
3301;Total sales;0812119 Construction sands such as c...;2006;105.7;;5.7
3302;Total sales;0812119 Construction sands such as c...;2007 January;108.7;2.2;2.6
3303;Total sales;0812119 Construction sands such as c...;2007 February;108.9;0.2;2.8
3304;Total sales;0812119 Construction sands such as c...;2007 March;109.0;0.0;2.7
3305;Total sales;0812119 Construction sands such as c...;2007 April;109.4;0.4;4.0
3306;Total sales;0812119 Construction sands such as c...;2007 May;109.4;0.0;4.0
3307;Total sales;0812119 Construction sands such as c...;2007 June;109.4;0.0;4.0
3308;Total sales;0812119 Construction sands such as c...;2007 July;109.4;0.0;3.9
3309;Total sales;0812119 Construction sands such as c...;2007 August;109.4;0.0;3.9
3310;Total sales;0812119 Construction sands such as c...;2007 September;109.4;0.0;3.9
3311;Total sales;0812119 Construction sands such as c...;2007 October;109.4;0.0;2.9
3312;Total sales;0812119 Construction sands such as c...;2007 November;109.4;0.0;2.9
3313;Total sales;0812119 Construction sands such as c...;2007 December;109.4;0.0;2.9
3314;Total sales;0812119 Construction sands such as c...;2007;109.3;;3.4
3315;Total sales;0812119 Construction sands such as c...;2008 January;112.7;3.0;3.7
3316;Total sales;0812119 Construction sands such as c...;2008 February;112.7;0.0;3.5
3317;Total sales;0812119 Construction sands such as c...;2008 March;112.7;0.0;3.4
3318;Total sales;0812119 Construction sands such as c...;2008 April;112.8;0.1;3.1
3319;Total sales;0812119 Construction sands such as c...;2008 May;112.8;0.0;3.1
3320;Total sales;0812119 Construction sands such as c...;2008 June;112.8;0.0;3.1
3321;Total sales;0812119 Construction sands such as c...;2008 July;113.9;1.0;4.2
3322;Total sales;0812119 Construction sands such as c...;2008 August;113.9;0.0;4.2
3323;Total sales;0812119 Construction sands such as c...;2008 September;113.9;0.0;4.2
3324;Total sales;0812119 Construction sands such as c...;2008 October;116.2;2.0;6.2
3325;Total sales;0812119 Construction sands such as c...;2008 November;116.2;0.0;6.2
3326;Total sales;0812119 Construction sands such as c...;2008 December;116.2;0.0;6.2
3327;Total sales;0812119 Construction sands such as c...;2008;113.9;;4.3
3328;Total sales;0812119 Construction sands such as c...;2009 January;120.4;3.6;6.9
3329;Total sales;0812119 Construction sands such as c...;2009 February;120.4;0.0;6.9
3330;Total sales;0812119 Construction sands such as c...;2009 March;120.4;0.0;6.9
3331;Total sales;0812119 Construction sands such as c...;2009 April;120.3;-0.1;6.6
3332;Total sales;0812119 Construction sands such as c...;2009 May;120.3;0.0;6.6
3333;Total sales;0812119 Construction sands such as c...;2009 June;120.3;0.0;6.6
3334;Total sales;0812119 Construction sands such as c...;2009 July;120.4;0.1;5.7
3335;Total sales;0812119 Construction sands such as c...;2009 August;120.3;-0.1;5.6
3336;Total sales;0812119 Construction sands such as c...;2009 September;120.3;0.0;5.6
3337;Total sales;0812119 Construction sands such as c...;2009 October;120.6;0.2;3.8
3338;Total sales;0812119 Construction sands such as c...;2009 November;120.6;0.0;3.8
3339;Total sales;0812119 Construction sands such as c...;2009 December;120.6;0.0;3.8
3340;Total sales;0812119 Construction sands such as c...;2009;120.4;;5.7
3341;Total sales;0812119 Construction sands such as c...;2010 January;122.3;1.4;1.5
3342;Total sales;0812119 Construction sands such as c...;2010 February;122.5;0.2;1.7
3343;Total sales;0812119 Construction sands such as c...;2010 March;122.5;0.0;1.7
3344;Total sales;0812119 Construction sands such as c...;2010 April;122.6;0.1;1.9
3345;Total sales;0812119 Construction sands such as c...;2010 May;122.6;0.0;1.9
3346;Total sales;0812119 Construction sands such as c...;2010 June;122.6;0.0;1.9
3347;Total sales;0812119 Construction sands such as c...;2010 July;122.5;-0.1;1.7
3348;Total sales;0812119 Construction sands such as c...;2010 August;122.5;0.0;1.8
3349;Total sales;0812119 Construction sands such as c...;2010 September;122.6;0.1;1.9
3350;Total sales;0812119 Construction sands such as c...;2010 October;122.6;0.0;1.7
3351;Total sales;0812119 Construction sands such as c...;2010 November;122.6;0.0;1.7
3352;Total sales;0812119 Construction sands such as c...;2010 December;122.6;0.0;1.7
3353;Total sales;0812119 Construction sands such as c...;2010;122.6;;1.8
3354;Total sales;0812119 Construction sands such as c...;2011 January;125.0;1.9;2.2
3355;Total sales;0812119 Construction sands such as c...;2011 February;125.0;0.0;2.0
3356;Total sales;0812119 Construction sands such as c...;2011 March;125.0;0.0;2.0
3357;Total sales;0812119 Construction sands such as c...;2011 April;124.8;-0.1;1.8
3358;Total sales;0812119 Construction sands such as c...;2011 May;125.0;0.1;1.9
3359;Total sales;0812119 Construction sands such as c...;2011 June;125.0;0.0;1.9
3360;Total sales;0812119 Construction sands such as c...;2011 July;125.0;0.0;2.0
3361;Total sales;0812119 Construction sands such as c...;2011 August;125.0;0.1;2.1
3362;Total sales;0812119 Construction sands such as c...;2011 September;125.0;0.0;2.0
3363;Total sales;0812119 Construction sands such as c...;2011 October;124.8;-0.2;1.8
3364;Total sales;0812119 Construction sands such as c...;2011 November;124.8;0.0;1.8
3365;Total sales;0812119 Construction sands such as c...;2011 December;124.6;-0.2;1.6
3366;Total sales;0812119 Construction sands such as c...;2011;124.9;;1.9
3367;Total sales;0812119 Construction sands such as c...;2012 January;128.3;2.9;2.6
3368;Total sales;0812119 Construction sands such as c...;2012 February;128.3;0.0;2.6
3369;Total sales;0812119 Construction sands such as c...;2012 March;127.2;-0.8;1.8
3370;Total sales;0812119 Construction sands such as c...;2012 April;126.9;-0.2;1.7
3371;Total sales;0812119 Construction sands such as c...;2012 May;126.6;-0.2;1.3
3372;Total sales;0812119 Construction sands such as c...;2012 June;127.3;0.6;1.9
3373;Total sales;0812119 Construction sands such as c...;2012 July;127.4;0.1;2.0
3374;Total sales;0812119 Construction sands such as c...;2012 August;127.8;0.3;2.2
3375;Total sales;0812119 Construction sands such as c...;2012 September;126.7;-0.8;1.3
3376;Total sales;0812119 Construction sands such as c...;2012 October;125.5;-1.0;0.5
3377;Total sales;0812119 Construction sands such as c...;2012 November;126.1;0.5;1.0
3378;Total sales;0812119 Construction sands such as c...;2012 December;126.7;0.5;1.7
3379;Total sales;0812119 Construction sands such as c...;2012;127.1;;1.7
3380;Total sales;0812121 Gravel and pebbles of a kind...;2000 January;86.0;;
3381;Total sales;0812121 Gravel and pebbles of a kind...;2000 February;86.0;0.0;
3382;Total sales;0812121 Gravel and pebbles of a kind...;2000 March;86.0;0.0;
3383;Total sales;0812121 Gravel and pebbles of a kind...;2000 April;86.0;0.0;
3384;Total sales;0812121 Gravel and pebbles of a kind...;2000 May;86.0;0.0;
3385;Total sales;0812121 Gravel and pebbles of a kind...;2000 June;86.0;0.0;
3386;Total sales;0812121 Gravel and pebbles of a kind...;2000 July;86.1;0.1;
3387;Total sales;0812121 Gravel and pebbles of a kind...;2000 August;86.1;0.0;
3388;Total sales;0812121 Gravel and pebbles of a kind...;2000 September;86.1;0.0;
3389;Total sales;0812121 Gravel and pebbles of a kind...;2000 October;86.2;0.1;
3390;Total sales;0812121 Gravel and pebbles of a kind...;2000 November;86.2;0.0;
3391;Total sales;0812121 Gravel and pebbles of a kind...;2000 December;86.2;0.0;
3392;Total sales;0812121 Gravel and pebbles of a kind...;2000;86.1;;
3393;Total sales;0812121 Gravel and pebbles of a kind...;2001 January;88.7;3.0;3.2
3394;Total sales;0812121 Gravel and pebbles of a kind...;2001 February;88.7;0.0;3.2
3395;Total sales;0812121 Gravel and pebbles of a kind...;2001 March;89.0;0.3;3.5
3396;Total sales;0812121 Gravel and pebbles of a kind...;2001 April;89.1;0.1;3.6
3397;Total sales;0812121 Gravel and pebbles of a kind...;2001 May;89.1;0.0;3.6
3398;Total sales;0812121 Gravel and pebbles of a kind...;2001 June;89.1;0.0;3.6
3399;Total sales;0812121 Gravel and pebbles of a kind...;2001 July;89.1;0.0;3.5
3400;Total sales;0812121 Gravel and pebbles of a kind...;2001 August;89.1;0.0;3.5
3401;Total sales;0812121 Gravel and pebbles of a kind...;2001 September;89.1;0.0;3.5
3402;Total sales;0812121 Gravel and pebbles of a kind...;2001 October;89.2;0.2;3.6
3403;Total sales;0812121 Gravel and pebbles of a kind...;2001 November;89.2;0.0;3.6
3404;Total sales;0812121 Gravel and pebbles of a kind...;2001 December;89.2;0.0;3.6
3405;Total sales;0812121 Gravel and pebbles of a kind...;2001;89.1;;3.5
3406;Total sales;0812121 Gravel and pebbles of a kind...;2002 January;93.3;4.5;5.1
3407;Total sales;0812121 Gravel and pebbles of a kind...;2002 February;93.3;0.0;5.1
3408;Total sales;0812121 Gravel and pebbles of a kind...;2002 March;93.3;0.0;4.8
3409;Total sales;0812121 Gravel and pebbles of a kind...;2002 April;93.3;0.0;4.7
3410;Total sales;0812121 Gravel and pebbles of a kind...;2002 May;93.3;0.0;4.7
3411;Total sales;0812121 Gravel and pebbles of a kind...;2002 June;93.3;0.0;4.7
